Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
1	-2712.223	-2731.84	-2693.485	592.73	-220.436	-222.126	-219.388	894.35	-2225.995	-2237.632	-2213.019	477.72	-265.793	-280.864	-251.095	415.79	130.279	129.427	131.848	827.43	0	0	0	NA	0.79	0.97	0.01
2	-2705.641	-2726.734	-2686.973	637.47	-220.367	-221.872	-219.093	912.12	-2223.269	-2236.808	-2210.873	403.8	-262.005	-276.667	-247.19	608.85	129.403	128.522	131.004	932.78	0	0	0	NA	0.72	0.97	0.01
10	-2699.025	-2718.023	-2678.586	441.93	-220.101	-221.73	-218.726	1044.62	-2219.199	-2231.533	-2208.658	321.22	-259.725	-273.854	-243.456	447.91	128.638	127.692	130.208	1107.68	0	0	0	NA	0.72	0.92	0.01
18	-2710.889	-2731.453	-2691.591	623.86	-221.11	-222.562	-219.896	966.96	-2228.492	-2241.279	-2217.566	480.58	-261.287	-275.493	-246.134	686.22	131.63	130.662	133.414	770.55	0	0	0	NA	0.82	0.97	0.01
14	-2704.983	-2724.273	-2687.035	414.18	-221.037	-222.775	-219.868	941.35	-2221.008	-2232.632	-2209.066	265.85	-262.938	-279.299	-248.695	466.18	131.653	130.695	133.348	970.01	0	0	0	NA	0.72	0.92	0.01
16	-2702.861	-2724.29	-2685.846	454.53	-220.91	-222.799	-219.609	780.86	-2221.434	-2234.241	-2209.91	303.47	-260.518	-277.11	-245.116	496.65	130.996	130.087	132.722	959.49	0	0	0	NA	0.79	0.95	0.01
17	-2711.159	-2732.281	-2692.272	484.18	-219.677	-221.457	-218.591	704.48	-2227.672	-2240.186	-2216.236	329.91	-263.811	-278.868	-249.224	469.27	128.266	127.337	130.029	870.48	0	0	0	NA	0.79	0.92	0.05
6	-2702.352	-2721.021	-2682.952	683.83	-220.609	-222.401	-219.435	1025.89	-2222.121	-2234.105	-2210.606	315.66	-259.622	-274.93	-244.145	642.68	130.266	129.3	131.959	871.74	0	0	0	NA	0.79	0.97	0.01
5	-2704.655	-2724.669	-2684.202	483.1	-220.813	-222.299	-219.559	990.57	-2223.58	-2235.533	-2210.86	245.65	-260.262	-274.545	-243.667	647.85	130.549	129.651	132.25	873.91	0	0	0	NA	0.74	0.95	0.01
3	-2702.237	-2722.373	-2682.513	633.39	-220.155	-221.644	-218.904	1009.4	-2221.646	-2235.27	-2209.849	307.95	-260.436	-276.182	-246.117	588.95	128.937	128.008	130.657	784.48	0	0	0	NA	0.69	0.97	0.01
12	-2704.354	-2725.547	-2683.179	217.38	-220.435	-222.225	-219.089	687.22	-2222.026	-2238.558	-2210.689	151.14	-261.893	-278.082	-247.373	375.83	129.574	128.642	131.347	800.51	0	0	0	NA	0.64	0.85	0.25
13	-2708.945	-2727.399	-2689.887	603.97	-221.145	-222.694	-219.906	897.48	-2224.482	-2238.171	-2213.181	368.02	-263.317	-277.214	-249.479	693.11	131.558	130.643	133.111	997.94	0	0	0	NA	0.77	0.95	0.01
4	-2706.974	-2727.313	-2688.417	586.71	-221.224	-222.55	-219.913	961.18	-2224.916	-2237.017	-2212.304	304.0	-260.834	-275.715	-246.92	631.49	131.724	130.735	133.518	854.43	0	0	0	NA	0.79	0.95	0.01
8	-2710.35	-2731.423	-2691.581	425.18	-221.032	-222.637	-219.755	825.09	-2227.572	-2241.173	-2216.57	386.59	-261.746	-277.479	-246.929	506.11	131.45	130.441	133.322	980.5	0	0	0	NA	0.82	0.9	0.01
9	-2698.376	-2719.22	-2679.868	520.36	-221.116	-222.809	-219.878	984.26	-2216.222	-2230.077	-2204.37	341.58	-261.038	-275.849	-247.291	622.76	131.371	130.411	133.174	1056.13	0	0	0	NA	0.74	0.95	0.01
15	-2712.418	-2734.402	-2693.758	551.74	-221.044	-222.865	-219.891	1005.2	-2227.798	-2240.47	-2215.037	276.87	-263.576	-279.16	-249.299	650.52	131.512	130.578	133.163	992.72	0	0	0	NA	0.74	0.92	0.01
11	-2708.254	-2730.265	-2689.867	591.15	-220.884	-222.636	-219.617	963.17	-2226.091	-2238.843	-2213.63	281.4	-261.279	-277.151	-247.27	720.74	130.791	129.875	132.279	1021.21	0	0	0	NA	0.74	0.97	0.01
20	-2711.342	-2730.814	-2691.179	523.09	-221.246	-223.037	-219.885	879.98	-2227.29	-2239.67	-2214.79	358.21	-262.806	-277.11	-248.967	640.63	131.588	130.614	133.4	1141.18	0	0	0	NA	0.85	0.92	0.01
19	-2713.596	-2733.789	-2695.519	438.83	-221.161	-222.791	-219.852	1052.59	-2230.195	-2241.713	-2217.835	320.28	-262.24	-276.604	-248.577	535.76	131.437	130.517	133.142	1069.58	0	0	0	NA	0.77	0.95	0.01
7	-2689.736	-2709.905	-2670.083	538.34	-219.647	-221.261	-218.551	1002.24	-2211.893	-2223.807	-2200.158	240.99	-258.197	-273.744	-244.087	754.41	128.242	127.348	129.955	1033.83	0	0	0	NA	0.79	0.95	0.01
