it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3477.276398272104	-222.28326435561615	-2275.0873190712596	-979.9058148452282	0.2592139502921682	0.2592139502921682	0.2592139502921682	0.2592139502921682	1.0	133.8119977997154	0.0	1.1	1.1	0.34079522782792143	0.628704932954554	0.26896231826474865	0.5749176969404728	0.24563827296366758	0.15561410304105952	0.12851896443280098	0.16298026483893197	0.2716833705432531	0.35851648043321427	0.20729719344079953	0.12620075512895676	0.3374280461443748	0.34407168204508204	0.36028815035874107	0.35082091985380215	0.10759094802729843	0.8277048372963617	0.10139841033340441	0.1524835743075026	0.3315646499176521	0.5917606292792544	0.39619877682092086	0.4358356320074763	0.4049016781330015	0.43059483440188606	0.5557208624944586	0.1427698383719838	0.2670213996427437	0.14649260454663662	0.19157722228770196	0.7061747657335663	0.15822718670490724	0.17763018778345574	0.11824618304621083	0.26500205769096147	0.280697178493173	0.3457362855748015	0.3433394012112345	0.1381956371362853	0.17647919464069867	0.18519952506882922	1534.3678226565594	43.39583161871143	56.22510260189664	65.70845889767521	92.45018664517568	66.80150716819442	84.76787593438242	37.52777194723663	86.03585088613706	86.41877847685046	59.55523617863336	64.17328437043214	27.42367049007253	63.30130543099293	83.74709853878038	52.19451591417762	43.60183053614272	61.14977521012109	19.774579485275314	74.64234735310558	88.94989518845942	59.23127616341542	70.43706927203372	69.85555233858035	55.13221529161646	25.273261758969642	47.39399594626938	74.81596919198132	96.01919450166774	133.8119977997154	106.40986268284907	79.44734482143932	45.12640265629642	27.249472564154885	41.032209808823225	122.86729244247287	45.21566600934773	100.95336451806364	43.655674276230485	24.314466016724907	42.94046847421952	5.378384299740093	62.01169500417974	66.74154963258782	0.0	0.0	0.0	59.14812797681933	60.948429946815615	0.0	0.0	21.790017910679786	47.745849659534066	62.058725914096314	11.268615502981636	0.0	0.0	0.0	74.41659477820922	54.84631268484104	0.0	46.190193692221406	69.8304374645526	10.004514238003118	0.0	11.144550163351933	65.88351166479539	64.51889035063115	71.4463106757651	68.22188691756082	0.0	0.0	0.0	0.0	15.184301324960238	0.0	0.0	0.0	0.0
20000	-2732.917510253007	-219.53488527258358	-2231.851663822944	-281.5309611574794	0.42181207386776726	0.5091072651274113	0.16202536985936702	0.6312710971594725	1.065194327065986	129.6857390376672	0.0	0.6642091137243379	3.6114451663087155	0.14777554277239208	0.00641408016795349	0.031973485678832944	0.14982923679484927	0.07669200887358407	0.09663445712021367	0.02890300034925799	0.03108161758320287	0.005555364692714686	0.060574016592162834	0.04592800677658362	0.0334147238471901	0.0405087207354665	0.054232483153669735	0.021877806310890622	0.003388769238918497	0.012667286762305165	0.002229290001536227	0.00036360191797549956	0.00048402100081363806	0.011540717924050634	0.0031973733669850373	0.0016941235428367149	0.1013187732510612	0.05908079540746969	0.059364584897278326	0.010299039325429254	0.0278589255298911	0.11507938177378532	0.07476559275343733	0.15572105744962825	0.016324299034959775	0.019294090377581022	0.014553432566418367	0.046193679548358686	0.021693659628398285	0.006911322285548527	0.0056960305918757415	0.010494920050480337	0.01136638760792316	0.1103150467431423	0.010092061659287112	1569.6339341005612	43.778503173396544	53.83299263764464	65.81630236430765	89.27056486047738	66.67066466027163	87.9064353986075	36.41446002503835	88.0126271118199	87.33141805052652	59.17716823022646	64.77776099985951	30.36846078378408	69.56246738425514	82.72049977049404	46.800802214908224	51.3055577523501	44.200312754451666	20.01834453267574	75.51592242366378	89.98443025228686	59.0652174950754	70.5421120473794	73.28335415574192	50.975146898507276	51.59884231039174	50.16582477218167	76.35227493899528	102.12292655190612	129.6857390376672	101.08333247213449	75.68562372695297	47.70699948345882	35.36082843583053	46.337931071873065	100.76340104700252	50.63236932262842	100.72713659894563	55.7236773660174	20.94622705536094	41.71265605315859	5.885276505320663	57.883044497203585	67.02832348358132	0.0	0.0	0.0	57.940218996028065	65.6071660374333	0.0	0.0	21.740035278653686	38.6507605546701	65.87819195863759	15.604758963580803	0.0	0.0	0.0	70.66780958531633	61.95470693616932	0.0	41.836582556573994	68.57611377836368	10.460188293728569	0.0	8.329582910482817	65.21953036006559	67.54730718029278	70.86704925370398	69.2682506134688	0.0	0.0	0.0	0.0	9.933172272101807	0.0	0.0	0.0	0.0
40000	-2701.7194131345336	-220.50249017157978	-2222.236770672712	-258.98015229024213	0.25583703128250035	0.4049716573286936	0.15137153196737643	0.4645040853863758	0.6914695191256373	130.09699403074768	0.0	1.256822629716712	4.015324842519584	0.13125683148625528	0.24425437167435768	0.1755839311383971	0.15186070268834295	0.006759939670889654	0.024048319430719667	0.04697522243662849	0.02358793572265299	0.06824683269477032	0.00675126884095336	0.06648424172403355	0.06660015201990671	0.008209285818916903	0.01608395969321979	0.01228042422796498	0.016825426862433875	0.012691534372404834	0.003756604830019514	0.00826503059675932	0.0002214859552874266	0.004289566259465987	0.01669234618950045	0.02198499662216465	0.01762312464084922	0.04014377472953933	0.04003047917199094	0.005671007332992075	0.04086253321575507	0.1316769385596149	0.1171017921869737	0.053710592526084254	0.020201357937061497	0.04092016638932219	0.00822937510512152	0.008726302851015789	0.02119269074590404	0.014428930508194462	0.00306732135431706	0.016722554010627937	0.00010502165818161851	0.03146474379060863	0.004947414889063905	1507.045212387298	45.89717685226716	49.42462705669891	66.81933957999509	89.30633040518852	68.43996562597957	84.43565023678067	34.398007286805246	87.6459012400655	85.80601948479544	60.034044036421015	63.937330675610994	28.486407141935228	62.94803863163079	84.54131307399042	48.28087958550211	49.1797876986182	45.44672941605999	21.06054511379382	75.87715418069983	85.21642895425732	60.331778983959495	70.43504091763947	71.40673591589547	52.506671611471894	52.591645066386356	53.37907064004809	74.73706881055575	95.07818535361638	130.09699403074768	94.96231099348606	75.64609461692352	52.520984133870215	26.862109129565393	46.754053182383075	95.63591546515292	47.1064714530335	100.66974531107115	45.48621478236799	26.634133641580313	41.935363016645546	7.043234283593862	62.075588801918045	65.84927116715869	0.0	0.0	0.0	66.80421602585055	65.0317482160832	0.0	0.0	16.915289725528886	50.305577493029496	64.06098766298872	15.402412004990502	0.0	0.0	0.0	69.39830885135649	61.31527758416902	0.0	47.185107621867246	68.67337509158993	9.453275800781999	0.0	7.172328691220988	64.98077990264166	71.46738737471712	70.99243718034599	67.69762305269973	0.0	0.0	0.0	0.0	9.218098380374785	0.0	0.0	0.0	0.0
60000	-2714.7820045838585	-220.9352050244248	-2222.7447053921696	-271.1020941672641	0.3398853513998094	0.6503309388960543	0.1766055271804733	0.6082313720426825	1.4552600828524849	129.98556260047974	0.0	4.10034810051898	0.7498729133874584	0.12732071002896356	0.3560544715617916	0.0011437130216390993	0.2746855098839696	0.002454798075916013	0.01444575280593936	0.05809980921920087	0.05937914937864833	0.06288407807606093	0.03580040545911643	0.05225618949791253	0.1626307323455668	0.006702957539056619	0.017994150067906507	0.030346644648018922	0.02765243247920307	0.0001248837674696698	0.02413565651829092	0.004979568233470367	0.0009734684743888738	0.022359220769648833	0.0321832076015146	0.05994996506738389	0.16304092207075807	0.02256578943093216	0.04451699025849359	0.00846715296902135	0.005251635983819341	0.12238782328191929	0.002650752521591459	0.03810661814427474	0.018289568846492573	0.16962848224507082	0.015958912282428378	0.0032915881681513564	0.040439816482963305	0.0013110532015145218	0.010711139232923557	0.0025927140938730845	0.0014939210485074032	0.048291065844229035	0.03390408707937964	1508.782647008085	46.0435144572113	49.52633469179169	68.31774461290541	89.90778335077084	67.91847685806542	85.1945646564833	31.086731542330664	86.89426339077197	86.02621492700852	60.12616584305751	63.840481920738846	31.058676650547145	65.34520477968196	86.02538325319509	48.43890532419534	48.11454125235765	46.662739933076146	18.013388647296335	75.22863274561733	88.73733559760115	58.923655974347746	70.19734545080175	70.6887898941353	50.50996744008983	39.44615480474922	47.70202011161965	74.69580500529676	95.49284482297506	129.98556260047974	97.2336504827873	80.89406993164579	45.47178487809809	32.69895947901753	48.72591282506738	96.67074585248504	47.68248587158388	101.93640130510566	45.26708617919438	33.606646572157246	41.68958330330994	8.051650202646064	60.15613483021192	66.76408059168412	0.0	0.0	0.0	70.44011885688491	65.81296571550462	0.0	0.0	21.771194020817635	47.96230838199415	66.0923214841397	15.368342834186151	0.0	0.0	0.0	71.89700382346702	57.724743963704775	0.0	47.61527159744653	69.12706762437318	4.770175199731728	0.0	7.73287900518629	65.72126308493156	69.60549321750152	68.40538666273012	66.23926353606778	0.0	0.0	0.0	0.0	8.60707897173596	0.0	0.0	0.0	0.0
80000	-2711.146335381384	-219.805378523309	-2218.09589089019	-273.2450659678848	0.42684298944879107	0.6266259939904308	0.21162638872115094	0.5782967597598895	1.5145076755897109	129.6686937267299	0.0	1.2687779348027575	1.5769457169362249	0.14988007598458414	0.5167173457870091	0.12607616297175722	0.09976235868107938	0.07965592172041859	0.10624363626099535	0.028385714311009353	0.023931081237156628	0.009352298005209779	0.03252873657349085	0.04038884880604629	0.1794236458120735	0.046955171501548314	0.0054057225360159295	0.00867262192918348	0.029718913644342534	0.01702997824620357	0.028227335900712767	0.006593891466076821	0.006324191076873288	0.012007350765422548	0.037273124581521884	0.025240685871374475	0.04165058467826245	0.017340555006336602	0.02269515069632689	0.006362161426180005	0.038858474540427956	0.16487427261253715	0.052100590201332266	0.10179431345769022	0.03117321416086193	0.014990819575346103	0.006782262298601533	0.009965859459937871	0.009523442842101904	0.021073537540407167	0.003694448933334079	0.006984539598237446	0.0371786441361046	0.005920622001081093	0.02964189024466453	1486.0711256934087	45.392131818827025	44.39722811273072	67.32156606191975	91.5802811815787	66.63106163006101	85.41012866364325	28.652392719722375	87.17217825046231	85.95722612438702	59.45013332185414	72.30476856750666	29.933922474388783	64.10430335910053	84.7207207771672	47.56993845764465	48.0827746337716	44.21463252695086	18.936904559245367	75.93692962163146	82.3522282361302	59.382195906676515	72.24927171861451	70.38460844923355	54.52436228401771	42.132881470092144	48.344581051047854	75.7899188898397	95.7654989137896	129.6686937267299	90.98444725710641	77.76394765370918	46.539533916998046	28.840426194595896	46.17543546491541	96.75442889801327	48.87333502582172	100.99129916363833	49.465953077850784	27.136167402943208	41.92283389410001	4.896543606023459	61.84941858068474	66.33971605905563	0.0	0.0	0.0	73.90331890790674	66.14226514432659	0.0	0.0	19.596901060497984	48.44262875648186	65.6672507899134	14.077385067887198	0.0	0.0	0.0	73.19181902216653	58.307873534001374	0.0	45.27986015024327	69.40405067698167	8.984749158386194	0.0	9.47547545645374	65.91416293814575	69.57578182541172	71.47590760164064	68.11304361263781	0.0	0.0	0.0	0.0	3.256326028002456	0.0	0.0	0.0	0.0
100000	-2723.862552956242	-221.22500714568315	-2229.4470509725224	-273.1904948380361	0.2667113860607027	0.4693276713342334	0.15151670230784803	0.5557539404336618	0.5418182662143965	133.71664051717434	0.0	6.931902261356825	2.2221118743236583	0.15972821310970234	0.08345109664850417	0.03927222497201603	0.1708447378147709	0.110317927332059	0.049421539082128284	0.000923238346096118	0.0719393458150164	0.043557616450817974	0.06724482362993109	0.01913477904700898	0.12899036164527403	0.020199390833339242	0.05079389381188238	0.028079020240892733	0.021109948497032544	0.0157794560943242	0.00299832799214665	0.0010992730986932296	0.0151237095416076	0.004694329541982211	0.004732451474514236	0.037531997541023106	0.008991333401393164	0.06996647844166494	0.0029887861427342517	0.006137145989017914	0.029624625646039855	0.12651928867694068	0.03826635533486624	0.06108719144162845	0.003563778801274156	0.01732606089329051	0.011131574216202561	0.006003473905365408	0.0040155850737637845	0.01372781708232766	0.007134946137328943	0.009453594994471907	0.01092164303762297	0.0048115447320133484	0.06663140713312464	1521.075305644586	45.673870938998014	46.421419927262406	76.65130566204056	89.26980225418382	68.29860390700567	85.03388877822786	27.346748513204012	85.48892778227686	86.40255162468897	59.56001084078996	64.3447178574767	29.16419432620987	65.1565255118819	83.87648319052427	51.38217323872406	48.051094914100446	46.58546106903215	20.364866771508986	76.40484051546174	82.75887559677217	59.140302173092394	70.12664959656414	69.88311091009147	55.220538145139486	48.46940824942197	49.05306206116713	80.05914223089891	96.37878249055794	133.71664051717434	90.15928810253506	78.24719419663185	45.84577897732927	31.877994380210595	41.07744113013318	96.25855712187814	45.62813345930275	100.82882306501504	46.38919354586614	25.40679069434206	42.44338588469835	2.767331247280281	61.995423827826336	66.08995081861376	0.0	0.0	0.0	62.73933458070434	64.72073644412355	0.0	0.0	21.783896168236527	41.12341987541834	65.82239762029758	7.771440824047109	0.0	0.0	0.0	74.22932136476742	62.622470548689996	0.0	46.440292548760326	69.43863595737503	8.430569520941075	0.0	8.491624792415662	65.56213330954286	62.2544397459738	66.91561849467772	68.73986469300088	0.0	0.0	0.0	0.0	10.545600355745357	0.0	0.0	0.0	0.0
120000	-2723.921907683636	-220.6521371464419	-2232.5245091471725	-270.7452613900218	0.24410027992960623	0.4514796106413577	0.18090508732505786	0.5793136066837474	1.0463561785715156	132.3635288043975	0.0	11.110398036221014	7.818666317021314	0.1783310657766706	0.012530852961453755	0.17912310080996396	0.1700503869472758	0.03369640223986058	0.0683501833237496	0.054527166745928134	0.08362047874219056	0.0742103419101895	0.00694968325699408	0.06284090585396604	0.16260864174891151	0.010178280568544503	0.0046207887225549905	0.03238520518664286	0.055771599653293306	0.007578049617333304	0.008383746836217936	0.008288457945886589	0.0065839981289766225	0.0085034593171094	0.03422857517426812	0.06629573945515464	0.0626386662045814	0.023539693327408944	0.009402382153366456	0.00438117483992143	0.1155795950980214	0.09234707333261216	0.05892012902009618	0.03905702183501113	0.0003579551636147623	0.042694869441792085	0.058793215162296686	0.0024765137846878013	0.0066920812644415415	0.004707680953213768	0.006460626615066915	0.015401106766024157	0.02359349967116196	0.031227332405692355	0.0026921444737103054	1520.1306912897094	46.118797562077084	47.98777292231477	82.4373173643738	92.44318860884097	66.74103117595347	87.13367482204356	29.93896502561921	92.10272162637845	86.44750450172972	59.38022165610856	64.05904543072302	27.881021327213443	62.28938310163929	87.66207162442704	45.231004132827344	51.85527160556878	49.18361707847138	18.036939349666277	74.62558268383884	81.65267180993878	61.45030611449209	75.96967492723937	69.89755847579848	50.19482045292012	42.901564914134184	46.539650839497156	87.77642641945374	94.8348565869053	132.3635288043975	92.4881875842208	80.80445925638602	49.23011604292829	34.3856978953401	34.68376130201025	102.5913101710408	46.25362086355685	101.99633116050884	46.69609927994991	26.65459236209976	42.75651071823803	9.356773363327932	56.43326789577235	66.76061292375843	0.0	0.0	0.0	70.69368189967493	65.31783991878159	0.0	0.0	21.6072742223071	41.209252739128026	64.1195689559524	8.133015735339514	0.0	0.0	0.0	73.61935276061303	62.40814702708384	0.0	44.298837232951996	69.55062338487423	9.420152726357756	0.0	11.293982356548149	66.08506892213441	73.37973645417485	69.52958796047572	67.79644454393282	0.0	0.0	0.0	0.0	17.01994383149677	0.0	0.0	0.0	0.0
140000	-2729.6293600196623	-219.94579125783181	-2234.799818139173	-274.8837506226573	0.2927943352508593	0.5413289910641126	0.20347821380632067	0.5806122997622397	1.18464721356945	130.72358131799928	0.0	13.216455074415235	11.395099115667593	0.17925103373710596	0.17401001523056212	0.10507478553048696	0.0464794626584842	0.0780147053268763	0.034947598414368244	0.03875642811485947	0.09707322122881151	0.011477606431868586	0.016990912872912357	0.03324519268675858	0.09912144547440092	0.002864908877549047	0.01801938166501878	0.04297520860537353	0.06149894747464771	0.0071943663307873105	0.0006173268996215299	0.00928394868039339	0.0010052232339302215	0.011605735967792024	0.02607711008247731	0.04884248328671768	0.10346486077633431	0.004706904577116345	0.03983076895023377	4.0580982895440407e-05	0.10130607446688604	0.08984665201334545	0.046863027855596436	0.05310997728584402	0.000890715028283524	0.04361254130161519	0.005131911324429611	0.0008212846333058965	0.005651771768814926	0.024350923529939634	0.027244639813911863	0.016857173991712014	0.017169398480022795	0.054287800269215626	0.012918257348982411	1505.7119841361528	51.42385795282947	46.219762703684104	81.72387933882297	90.312172660367	68.1742010174955	85.66642671476558	27.74500086327399	87.16086403473872	91.2273367359488	59.57003435170307	65.34106994853438	27.48860373144396	68.76455428345767	82.85590562392666	45.85427584523327	46.63513904735314	47.16351624171743	21.848273541237152	74.64570693194466	81.87389225837894	61.02686984548761	75.66923183797677	71.13435221724538	53.71976448423932	49.89069187936444	48.138104361674536	85.43990848605836	97.28683398428701	130.72358131799928	92.1592755374592	90.95704870231722	43.99113108676346	29.53869578531542	33.729433873451256	96.91938465673263	46.19454403698411	100.60480416944303	46.173634854002515	24.893870698985133	42.523855837859394	7.343378064654933	58.954987974515994	66.04491065112151	0.0	0.0	0.0	74.03966486241009	60.447756825577805	0.0	0.0	21.677691568013834	49.577232219332714	64.14144095950523	13.531669988645504	0.0	0.0	0.0	73.10870289700948	59.292371883903115	0.0	47.975500160818676	67.24201738802503	12.992632678066196	0.0	11.020127310579728	65.73582175154543	71.97513206229138	71.48559804238171	69.21309707812459	0.0	0.0	0.0	0.0	15.850061302107951	0.0	0.0	0.0	0.0
160000	-2714.754274156279	-219.77338909055922	-2221.187034768605	-273.79385029711466	0.27883985576546794	0.6122205229666329	0.14391253871955867	0.5318587304160585	1.2034724349058061	129.82191379543053	0.0	2.164538428603993	10.037775306186205	0.1718396212249304	0.45493276593383924	0.03535519896130892	0.10203465610763487	0.04414341069713946	0.022537707524099147	0.03642819121825643	0.007497104636126228	0.030728248741667703	0.1672566077425702	0.009892727825296686	0.10597524110645948	0.009128468086949925	0.0006480961000618601	0.011979842666343424	0.012655871113629423	0.016578099234450708	0.005032658328973364	0.009329996260678798	0.0006243856884244578	0.009025187361833015	0.029118314047444385	0.043516331322133665	0.06707771270776794	0.05984936267862278	0.014905844815257807	0.020905134763916002	0.10157538839035775	0.14870231606574538	0.03580770753563172	0.04053335351994144	0.05588091855149539	0.01701526249761056	0.0057368197840251475	0.007295762316417957	0.009378249233021354	0.030161072677552442	0.021573645148790874	0.00543025250853699	0.07674285661273451	0.015002687286415068	0.005547667332975495	1516.837477805459	46.46118986704269	48.4764121466247	70.41557603114126	92.96990193390262	70.33197405141787	86.82224642445529	26.75197717783991	85.62586236922672	89.75010974162677	59.86932654126717	64.0309203677959	31.85335602181532	62.83888624428474	82.07544560692051	55.88399191899126	46.63055981212325	49.34766198294107	18.059855921371746	74.67637637099212	83.09078242392474	58.904918791169514	70.34299753241778	74.5516157716844	54.00822453876133	60.04390365807221	47.94385293410921	76.21197956884669	97.02528552660938	129.82191379543053	90.23538570396255	90.94042530787593	48.816840772396496	26.95739181760717	46.508811585937174	97.79488716374247	45.66963052245208	101.94639680549494	54.060014011677445	27.45237437546391	37.11867702309871	10.885547700589038	61.87001948446588	66.40748891291466	0.0	0.0	0.0	72.04323563422001	65.377664316966	0.0	0.0	21.608585494932097	49.837564358659584	65.35305911208734	12.636473138347931	0.0	0.0	0.0	72.65335684190966	61.06358943902413	0.0	47.655269097734745	69.82320178760598	11.613612797487125	0.0	11.703193394808606	66.14180717879607	72.62870437457394	70.88653720528214	69.1018410558164	0.0	0.0	0.0	0.0	11.952356984637674	0.0	0.0	0.0	0.0
180000	-2705.1730340102877	-221.5125480356246	-2220.750387608763	-262.9100983659	0.31030391614981756	0.4963418330442878	0.17315121325392593	0.4970366114051388	1.1669242683896237	129.75030922073867	0.0	12.285943021956085	2.5933367963198775	0.2501431438934462	0.15764331041367363	0.009281049213623388	0.2452274655442446	0.050271211973673	0.028256998405639205	0.0256034620829443	0.035693596432018734	0.129036157556772	0.08833212794144088	0.020459967837621915	0.10151610564092985	0.0016367094206043264	0.017771369133297236	0.019744445229969126	0.019950836619451105	0.00615833488275954	0.00825557683013449	0.00861281452642603	0.0016762525428740407	0.01664007044847116	0.020342604355167344	0.012732461607449648	0.03127208060591881	0.04826150739891787	0.0025104873294533926	0.02320636855325924	0.0341532905139917	0.10179731789576496	0.0024341596646086103	0.002886162020597556	0.015511102453405281	0.05807020404723851	0.020504740034851233	0.014122709921400505	0.011773235207674817	0.0049518448492873604	0.005750849052855751	0.017179987163802153	0.03975425951051947	0.015957185259485637	0.003638920412804998	1529.3778615916506	46.58124954207594	46.489500214883364	66.37661522856479	96.00272825277808	66.32172776184376	88.54632026515829	35.21909783702053	84.93548058477873	86.2904500281052	59.6587731094984	64.6682736052796	29.4125628424231	63.0400299239224	82.76802682170397	60.81820557700916	45.04272284076248	45.3781818833796	20.218047760550373	75.81494385796448	81.85869000892315	60.07557536315477	76.05343530215305	69.87108972063375	50.07289844716081	62.985599318052586	48.212609076869256	74.8743326391697	98.42082888883317	129.75030922073867	96.76854356982211	80.97337056880824	47.3278440378549	27.340115630175582	47.35671998511665	97.07800378676836	46.50703040117847	100.79233800557346	56.80283781363756	29.385293035678195	40.99086770187269	11.479799776839922	61.406286939713496	66.7873248739602	0.0	0.0	0.0	65.95449536588819	65.83298861554744	0.0	0.0	18.063954624402946	47.64625568429398	65.57318827066142	11.988865619426011	0.0	0.0	0.0	73.75094683689976	59.53136593544663	0.0	46.81417190867991	69.29687255939041	11.058259373960126	0.0	10.435446269971267	65.6984681819084	69.51510170125131	70.85429470255976	68.78638552170109	0.0	0.0	0.0	0.0	15.247200701979143	0.0	0.0	0.0	0.0
