it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3433.4995831510723	-221.44564910540254	-2264.371361456184	-947.682572589486	0.3162601035789387	0.3162601035789387	0.3162601035789387	0.3162601035789387	1.0	131.5235610495587	0.0	1.1	1.1	0.32390471890050443	0.1592840073036648	0.11483836634841109	0.10485558821154169	0.416757921027909	0.12574839915428934	0.1135062937250275	0.11346379544453694	0.39560380371653736	0.17639707115144096	0.11396621867155983	0.16991470145403387	0.1639128689566855	0.6303285399223044	0.2408384824473327	0.2597379887592749	0.2720974687554937	0.5056007375610447	0.18375297199714236	0.18411535394211948	0.3406785535020973	0.15857655760203107	0.11890958110277379	0.11898961256136609	0.22600319230838672	0.2661062785059908	0.11985408000159249	0.5127708342670292	0.14935517530229617	0.1962701063585	0.22891280814405962	0.30312374172538914	0.26914762626638034	0.24052713657734778	0.7142770165608563	0.37488384327913493	0.10568441194736106	0.4856615245680608	0.2334117916110352	0.22534774422387682	0.10980182404087281	0.25721280187153267	1548.5023525412837	43.50664275998655	43.832045366778495	63.72229513008715	86.06883082342543	71.21008192494334	85.92873653303663	26.066971189602622	85.36325810681757	85.59061020211702	57.81701673290897	65.45794448452554	29.639777338593067	67.35260275571358	83.78700379134452	65.14663606604753	49.202462405719515	77.65525221386392	24.8355846065218	73.32742310351992	93.35873944037142	58.6370450069282	67.17539011131485	68.48931505823425	60.85800476047706	31.440824025389254	47.330090272680934	75.69679119491356	120.07575173783277	131.5235610495587	93.13983830755518	86.37355229725587	47.05723615822826	26.61178007228432	36.48601140064989	102.75133512415371	49.57593842073583	99.86440047861065	44.92066860816135	19.768393947713296	43.332589325190824	10.873362360726595	61.54382261512178	66.20211743949297	0.0	0.0	0.0	69.73205237761402	66.31933862832449	0.0	0.0	18.735843286741005	46.18267821173866	68.36557564545704	14.92271537415053	0.0	0.0	0.0	73.11391395258153	61.566087517781355	0.0	50.26413183288484	68.30165791566561	12.753570262953946	0.0	12.113541316345072	65.18908964508726	43.41054230964027	64.2711967690059	65.62444081246328	0.0	0.0	0.0	0.0	15.325222868351979	0.0	0.0	0.0	0.0
20000	-2715.5409882599542	-219.3396115819706	-2225.3131558662403	-270.8882208117434	0.3538537442582474	0.5702055856239348	0.19781427905004498	0.5188972213502453	1.2610597719168406	129.32641126782073	0.0	4.405888476023343	1.9746747732645917	0.1537649436613674	0.10716272815128054	0.010934877565179007	0.07493028522591742	0.04645804907982489	0.041601529769069535	0.012270814105472485	0.2713897088493477	0.013909772537539073	0.1086327661197125	0.02461792587889181	0.06176609129972868	0.017942114887895294	0.015370089217859373	0.007625030687467062	0.02013661110644659	0.022213525136269285	0.01593235235325489	0.002099369770905193	0.0006599119648310444	0.008714259496022222	0.0021294368793335575	0.028334212992669094	0.010648257352733354	0.001428692932185685	0.03796461602256784	0.01660865906954165	0.025930366449755517	0.1811149830451349	0.08744635333740279	0.03802487221917262	0.03398120260812523	0.029047202673238903	0.04157164089573991	0.0049026765361420525	0.022662414654846287	0.024739596689670986	0.0003399279116335144	0.02825122674713519	0.03863021043257245	0.01002509144126223	0.002204082291875606	1547.857404175725	45.39931172953199	46.22432026114144	66.65119557977538	86.15653966558132	69.30944411821706	85.60644671009672	24.79714389750734	89.2379704222834	84.52616505275452	58.25354955398238	66.1370061244166	28.879793554255727	78.26748507130344	87.28537646667397	68.86617592260004	49.07634386522031	66.1883361817298	19.66690712892862	77.73481120842395	101.05369548562933	59.25370174709462	67.3634172119714	69.80209282110184	55.70220045908463	26.073330163490883	49.6225842589068	76.40959051712409	108.17633348991134	129.32641126782073	91.32725510587099	77.71040557952088	47.67181684667953	32.0336051466236	39.477011456671576	95.48849371729361	46.532820385451934	99.87290462163242	55.598704256821996	23.03480380748739	42.49770804381034	14.301901674209732	61.42220907328529	65.81051557702452	0.0	0.0	0.0	66.42750605178428	66.36526794256297	0.0	0.0	19.689047891951528	41.47740755028927	66.6026210315444	17.136105065129485	0.0	0.0	0.0	72.80372687625571	60.336129461098196	0.0	50.68094953458668	67.85117651613777	13.431225332767017	0.0	13.528927343805226	65.30531905688656	48.45235301651953	67.79747376806336	63.6392742523767	0.0	0.0	0.0	0.0	16.381251624800036	0.0	0.0	0.0	0.0
40000	-2718.6204257315744	-220.05164131270757	-2231.5758734293368	-266.9929109895302	0.2808018951374441	0.4299601898859864	0.164885646574123	0.509716985055445	0.8695742122039875	129.80860979646516	0.0	1.1077660375122595	1.1572650495661172	0.11849544007433643	0.5940713298298064	0.09196354535410894	0.12956234400044314	0.014281360944958849	0.007280893637870059	0.0409279413434371	0.06204471288307038	0.027129549969333176	0.05814950770808502	0.13001717040590852	0.004513300326660198	0.01198411983570091	0.0612472593523448	0.013519164095949771	0.05700771192320846	0.016632033380284652	0.0010494869383625037	0.005852668873897831	0.008480376110916923	0.006401622376672985	0.004881168777314368	0.022402433595364275	0.019893709765168376	0.02137247458438528	0.0003940992675022635	0.05967944407125785	0.02428265143949714	0.04734283090807345	0.07116466264380521	0.013034162537655363	0.03644489295149055	0.0042929003880117795	0.06507733435403194	0.0042281999167531415	0.0028856315894120422	0.033745210257206	0.0008351835550074334	0.03090538308826315	0.02876547172050451	0.03853926767040668	0.001924991360658717	1581.1541051296251	43.735215367389884	51.651402145897144	64.22405322541987	87.64171202109054	69.67367344692191	89.0444638948125	26.32899682776746	85.56614128575556	86.25060623191503	57.53389339085294	66.08341159549823	28.236689059393807	70.60244389393065	85.731701469964	74.74191224025448	50.723889854397484	72.2000062044474	22.68109800408724	79.24819124333806	95.98075514665781	59.0737809471131	68.86490774502843	71.19581952963465	53.10078471643355	27.025837211227564	52.43675889955856	75.62607350456882	97.47758574643805	129.80860979646516	91.19812907701498	87.78916776658514	50.394496467184524	36.3594936911657	39.61250656517769	95.05983385871392	51.26169552782619	99.37472465917068	50.43611077287329	27.374254978891837	43.36894593685659	11.955323717986449	61.526616413795495	66.31693528122108	0.0	0.0	0.0	68.81489469697418	66.45096776927633	0.0	0.0	18.13721829291385	43.2073324639494	68.12262059485494	9.225283235867037	0.0	0.0	0.0	66.04786078647913	60.84290143314193	0.0	50.33652397491669	67.74208497645971	9.859405023918697	0.0	13.038357122925959	65.84378944992878	56.04328714057517	64.61362596936925	63.90363065961038	0.0	0.0	0.0	0.0	14.799117940217753	0.0	0.0	0.0	0.0
60000	-2715.899818681887	-219.52037260775282	-2228.0139770877504	-268.3654689863838	0.3374295337088991	0.47453536761294973	0.2199132966300362	0.4394924610572749	1.1437135919563695	129.60213851210884	0.0	12.913233204518951	1.7011877397880462	0.1459595160453836	0.31070437350998187	0.15184251828161832	0.04890163841361813	0.03528714184118693	0.031950132004336024	0.04008251747878119	0.006128558826166057	0.06449380816253066	0.068701337672701	0.061393799489700446	0.03464156256578593	0.0062786430153338	0.0033541692170129885	0.026915421019641256	0.010310794510250685	0.03293948251044024	0.002284182513650261	0.019759384916007625	0.011995741486512314	0.00513424864171242	0.0064738391474665645	0.031727399580123966	0.0824928669973055	0.04651403311254748	0.021346727027639473	0.0101225223497065	0.003406728089702906	0.10865802029812216	0.08833169078164628	0.014725114102570555	0.0004171649986290463	0.020937103072810912	0.05664710356428347	0.00270322083454278	0.014504709325144936	0.004250274699443767	0.0013563442416195581	0.002467521529019195	0.036867294573393106	0.01603037648703387	0.0024602768090666682	1520.3765783786996	43.74392928335524	50.4870004107633	63.73094428656498	86.41153344381914	70.81248852503114	86.81595555467823	25.594465040146737	84.51713335030931	85.27896653117719	57.53097678293144	64.76863166337564	27.856990455543396	64.86249542310992	89.39708534301587	73.95876243901932	44.2776513425115	50.561022680518874	24.45757583025909	78.38504633240117	94.17254281078681	58.76056850239297	68.50194145726768	68.69765559299483	57.70479383342987	22.741268180838155	48.19751083106907	75.74101571302984	97.02222130325596	129.60213851210884	90.56475190780009	88.61646679482591	46.51582017212789	32.17994326332574	30.91612076349226	95.81802270932073	46.934640522458636	100.38542936940333	46.34596934561523	24.08561876155124	38.47996582238505	11.608525166583204	60.36101678652865	65.88395477669674	0.0	0.0	0.0	67.80811127245177	66.2204735114027	0.0	0.0	14.77231471143755	44.441135914696325	67.71748167631387	12.844526239303548	0.0	0.0	0.0	60.319959889343295	61.42682890997154	0.0	49.5666271549227	67.93581791225361	12.359816536796973	0.0	11.815978954431824	65.87261323224826	48.33432477610612	67.2970792362369	67.17216451233463	0.0	0.0	0.0	0.0	14.337799694481458	0.0	0.0	0.0	0.0
80000	-2705.4476388664775	-220.02869036709814	-2235.0010643854866	-250.4178841138928	0.27570618468208336	0.45928415699190556	0.1755126748537997	0.62811730843191	1.376347328788289	130.00006634791535	0.0	8.254650866435725	2.9197505922099367	0.13212180252557645	0.22960051982354812	0.2862060772361942	0.2572331150266494	0.009654086650880765	0.02009318121427542	0.02527259195104432	0.10041895021098786	0.03782425062372103	0.048971097106166074	0.013192770522919822	0.07842928624776682	0.004058205966897343	0.0015700949498598604	0.10005619273078815	0.04247697083357647	0.0060765387935236255	0.004126879452359396	0.018640758902725065	0.011645454998093406	0.001013597447959823	0.006538807356210038	0.00985430159552574	0.03997314364541535	0.0060303437720480935	0.0018744346611455896	0.0033829137789634246	0.007507830597087642	0.10667277608532481	0.06729411297333501	0.01896072003228928	0.0015920852462299336	0.02492235815573276	0.018439311174539973	0.018842935257242174	0.0003743504459762119	0.002051718132083226	0.03125781098725221	0.0036586741098712378	0.040503553104815355	0.024641605964241142	0.006412509857101332	1562.6676236477256	52.24459994367501	49.26106993895808	63.77061369049561	87.18551882955269	69.87148978512421	85.24004853105568	32.41380758908853	85.16113352405102	85.08018589179244	57.42996342313445	69.47998410124917	29.224489671891458	67.40986343225748	86.84599541385592	85.0134836166657	45.40051604328421	48.13040919605731	27.203345466347276	73.90419857910193	87.16161894562704	59.22250007359077	67.02563874336053	69.72878191609301	55.61754949384161	31.942674238698082	47.395259829318846	75.70688177313393	94.2167590913177	130.00006634791535	92.52185734917676	89.07755700350498	45.20610477463036	30.03172483130244	31.59745589842373	98.78446000351214	47.52732290148929	99.22268973418882	48.72032962345618	23.65427815944219	37.549711634899225	11.359355063435308	61.43914784644379	63.34300572140563	0.0	0.0	0.0	65.70716272274896	64.01707003392484	0.0	0.0	13.31000136730056	40.2439692768694	68.31244095158547	10.965849818962191	0.0	0.0	0.0	68.78376610987216	64.5150854678193	0.0	47.09420771867539	66.46654684803698	12.973672047280669	0.0	8.225940322559632	64.75534223866353	42.85405381466139	66.82217567410908	68.55878618925769	0.0	0.0	0.0	0.0	14.66731288342481	0.0	0.0	0.0	0.0
100000	-2713.1184009207927	-220.0411051436276	-2222.5852906588266	-270.4920051183385	0.33282218983904466	0.457291862038028	0.18932102511204402	0.4999590886446005	1.059521834629417	131.01608639469558	0.0	13.72587839719174	1.8178519399418827	0.1478460904754064	0.020118186380356683	0.13268449805957444	0.07797156316734101	0.037908517583486956	0.050123210295334134	0.045357798322226445	0.0450958965782995	0.11725402691271557	0.054133521072828004	0.02173553607873069	0.09443093189450448	0.0021608456504809944	0.002707942981753529	0.06264328689497047	0.01803204277534931	0.019153848378373167	0.04977215861849689	0.0038338797949246067	0.02258041578680156	0.008231389225105608	0.00830874282888629	0.08277159704328921	0.016366385307877762	0.032358425169882965	0.0024031564350243608	0.036352622429756024	0.05625726388793321	0.1602061619562607	0.05741588970472592	0.03284372550439141	0.0027028434051827818	0.007934147914191817	0.026987568518885986	0.01210516265806879	0.0326843067558975	0.005111618407403905	0.01498782540381882	0.0035457431147470192	0.04861566691125896	0.011267054493881849	0.011751496507783753	1504.8386204344836	45.12768590299261	45.36713695765911	64.56836625683648	87.86416244394832	73.35634122720133	83.92514830835233	32.8410164594013	88.46903408138914	85.39335393452863	57.8851942193508	64.26461604324683	26.91509583488602	66.13922633802737	83.60489670935733	84.67117544374065	48.36288371144952	45.463734808964574	22.08259415444913	74.51470507305982	82.46805400061899	58.62131797781948	67.33304529038287	70.12974519957098	53.83335917698608	22.140865583678004	47.930656824652594	76.61546515506174	94.46091989355733	131.01608639469558	92.54976549085401	79.89017002730591	45.539592741500925	28.283451717389294	31.746442145784673	94.7913005577317	46.560234506500414	102.02724832909657	62.59381738799733	20.58486953776759	42.00686235778436	14.868037790559658	58.86536961576319	65.55671321083044	0.0	0.0	0.0	72.35628583429065	66.10395722818055	0.0	0.0	13.343660006046939	40.961788529483606	68.21951478521302	14.38026604789799	0.0	0.0	0.0	68.93114108937279	61.39607467515118	0.0	43.64343289719719	67.52371181209462	12.971832016249182	0.0	12.433387169753654	64.27705923714177	48.7941238140034	67.9755441909133	68.65888499538153	0.0	0.0	0.0	0.0	11.826508110000882	0.0	0.0	0.0	0.0
120000	-2729.087548592371	-219.74340730416014	-2236.847821212591	-272.49632007562013	0.30159050662874687	0.5252549709620978	0.17301918238375077	0.6093014898275952	1.1111423278947756	129.5655225581573	0.0	14.106662487375146	12.857196750269548	0.13576316708166083	0.4277001250168475	0.1373196378492875	0.07054211493227619	0.004534298010376554	0.08809677342843539	0.012472357082711478	0.0857128281305915	0.06428806005093422	0.07032365032605313	0.03708962173844585	0.11545965501461782	0.005119843518765568	0.03140337126866306	0.06929736543284301	0.013646713532935992	0.013477878927440103	0.011243990447901234	0.00162610059096871	0.0008120814173239341	0.052373575755868984	0.004749259190443079	0.17293755160390492	0.022016597737532145	0.009092312266550013	0.0077094823917779175	0.0003894830505318393	0.016676588795708745	0.10293057259008014	0.11362205060565748	0.0025553839136431473	0.004492602198668367	0.010305682377766594	0.008531515620723391	0.0045116974129500486	0.024939961343926998	0.008102343568791597	0.0004505765313842847	0.03933319655721552	0.03650434975943726	0.029894062888407524	0.0034440329719646417	1585.2848726003429	45.037315432970416	50.364555594378174	68.03314428917493	86.16725124682554	76.45048071251603	89.24569278954777	33.82636624701198	92.00174075722687	86.78384572003661	59.99931014825794	65.59075423405962	35.414420364441305	69.10490787411008	85.48585363737777	99.23618451143462	45.035895123338804	50.043083760698686	22.909004048788834	75.88649860696275	85.71716155124739	58.74382679340958	67.34340970600911	70.25107534614571	56.41434389088961	37.053736032297294	55.594118356244685	75.63914872450816	94.65823410422746	129.5655225581573	95.2647196764164	79.51205426823232	45.443778468401604	32.520444730525824	31.755386811014645	95.16235276556438	49.22392535022278	99.60836164931557	53.40602299562157	19.9633018832336	41.02570071487692	6.957069084896229	61.54643777610438	65.96617598305794	0.0	0.0	0.0	71.81668978605695	65.70060024944515	0.0	0.0	15.409741498025367	48.9196557493837	67.86483756996576	17.21586828710574	0.0	0.0	0.0	68.08038249970505	63.82964571789279	0.0	46.159248663537426	68.17956670307923	12.878630099935368	0.0	11.201083637142363	65.42295584551147	50.230625132882494	67.91309653070867	62.42361715936514	0.0	0.0	0.0	0.0	5.430729471822612	0.0	0.0	0.0	0.0
140000	-2710.4156506506597	-220.70744699431086	-2222.525735409557	-267.1824682467918	0.30530731358309965	0.5146383161589508	0.18162797181594958	0.5893595671061105	1.3049198854595063	130.06017424612955	0.0	15.68189007899384	0.73702130803893	0.05220625846406211	0.4318803387210265	0.21937008464338306	0.09125369541777197	0.04231763045446444	0.06476294495873466	0.025625211604653447	0.07558118848356071	0.018185433060165696	0.06278689645563604	0.06902423368898103	0.0010112428582252884	0.07788437470399728	0.004012837681885034	0.019218059620700886	0.05005252613712134	0.03225627779296625	0.007321323914440699	0.021600708996355307	0.017948410202212498	0.00030757087649315297	0.007304876069457096	0.011099645210375472	0.03247478831054626	0.0018875531081032316	0.02844052342073848	0.002824279465263357	0.0046442787376312425	0.06373672469872507	0.1678756152067554	0.00472750574535889	0.00904967237623074	0.0872150927181633	0.0367310911764093	0.0042700932796411436	0.010521018699881828	0.002773077066499085	0.009133317828607577	0.031744808711454554	0.047508499096824454	0.0025280384690700413	0.013555336538337907	1586.5609304354027	43.71444040973897	58.49379608712956	64.00335086883041	90.14291488198691	69.79846601778239	89.58945515182596	40.27438434600669	86.33287493830612	85.47076030257628	57.787818927794525	66.00254027160175	27.396063556590143	64.3436640703666	92.08551026208347	93.34398346860894	51.82364355602407	43.88038990746943	19.70825992511452	73.69968278849223	95.5103028107517	59.225943077805766	66.76771231691706	68.53668123365479	57.18524168989684	25.884582417172563	50.47575439175452	75.40365600095386	94.60139253891778	130.06017424612955	94.36327049384295	76.98783214953984	43.654902790163824	38.43584089739849	42.65984023668791	95.5217420779056	56.306357890443564	99.63040046188996	55.76081951769675	26.52530691291362	40.9001995738885	4.515930639433161	61.51263635642993	65.95683177100238	0.0	0.0	0.0	65.58734284864009	65.97675958237494	0.0	0.0	15.441157259581354	45.531104770629355	67.45888615549582	14.768387796119567	0.0	0.0	0.0	72.99894588753895	62.13343135244794	0.0	47.100776232649864	68.36488164532011	13.182159587175297	0.0	12.840878698880816	64.83780949093183	48.18631274054071	67.32150819435653	63.786364460263776	0.0	0.0	0.0	0.0	16.426518411662755	0.0	0.0	0.0	0.0
160000	-2719.348737754108	-220.21365511127817	-2222.1606544756555	-276.9744281671742	0.24308403754888977	0.40390813760396577	0.16419094641301243	0.49733314746604196	0.48004512488573176	129.53768281311284	0.0	12.843905970903837	6.109527139401276	0.03725299472446868	0.61435401610481	0.21136285540835376	0.1769395365604446	0.007853187016818863	0.049657752738062534	0.022160064239249176	0.0207433041772077	0.040420801330759204	0.025185166763827115	0.007409843142864697	0.05197124375072022	0.04226651823492797	0.0020481372187964773	0.013921817971289009	0.024175921344961018	0.02394014776061292	0.034598774156107556	0.014043592547169791	0.002195355858835295	0.0039593965133388346	0.03765003790296164	0.06537832999294849	0.020813503913389743	0.0062248205642889505	0.05268849416924637	0.020084816688049765	0.04575842262230019	0.1510314342848555	0.13229335460689773	0.0011850233770114742	0.015066851489812728	0.04474411919340295	0.028017641835086652	0.0025927163174214937	0.022341567691766866	0.001038149867376264	0.0005698695848437399	0.022453199038457966	0.06427837728796199	0.009077707721576816	0.008550513013397355	1559.4298445620136	45.13422031638101	61.92445753912963	66.34350894970015	86.24023262571878	71.08003799638725	85.25396533334185	39.10386294591369	92.50525365945299	85.47502872337144	58.686106043865166	67.67845041255886	26.935840019438537	65.89043213699371	86.06130001717914	90.51498856857535	45.217243866855775	46.85481334066639	25.149604808909206	74.53736538673783	95.80924292623186	59.375961088767035	67.03784713249755	68.56164256940016	56.81474345522938	23.75242102617755	60.22212606681987	78.10407091933699	95.26395271254223	129.53768281311284	95.31043321158344	77.10621733496053	48.49043101208118	28.006672768341218	36.0327883806986	95.16455822754419	51.29018367178173	99.22189699645419	48.616535559339844	20.230645563183714	42.19956189840278	3.9957869205043637	60.3621896764073	66.10211232852892	0.0	0.0	0.0	67.59261986360669	66.08622667992083	0.0	0.0	18.837401349831673	48.741150848799	67.44536094211446	16.821069882271654	0.0	0.0	0.0	71.73896001551824	62.09002892292226	0.0	49.114831880216535	68.31691009941612	11.3153866544088	0.0	12.223207794035856	65.60146839287597	48.294854044368364	66.9187124168418	65.8738599380839	0.0	0.0	0.0	0.0	15.435221016171376	0.0	0.0	0.0	0.0
180000	-2716.900343511893	-223.22275969919784	-2232.8669887682813	-260.81059504441373	0.2454788251744025	0.46378572954071173	0.2176950974174764	0.5483851151862178	0.9321988086199692	130.38855553639473	0.0	11.73191500126624	15.963712147844946	0.06393919265604982	0.2374266540112498	0.15399907406122454	0.05257884151754255	0.05624942732239184	0.040434846275799505	0.0004126147988031522	0.11412080029288518	0.031781484453188305	0.04646290342072036	0.029996798534785537	0.13800521679348202	0.011281681216024646	0.006777906100890435	0.028303676378212697	0.08925538845523885	0.006144348978394713	0.010905292117836902	0.0010527210984233677	0.0003403724370111542	0.01492779372036383	0.002596940085457112	0.015788469969321907	0.008497828149261121	0.03033669179101357	0.0032635066459917473	0.002491807357378021	0.06848087194865497	0.006036457233041835	0.09004301195022478	0.004524834594526659	0.051112809967331155	0.023837034208456478	0.022967235778918873	0.030940107217306046	0.0070340565312635005	0.00032132909105374964	0.0019751895322168804	0.012221476659471032	0.024634421693127042	0.022047769991375688	0.007157826828177703	1567.7752727082516	48.47557221131178	47.158577631586304	63.79722459149481	86.78894695495009	69.41606883982209	86.2518785751326	46.205091106450325	91.14376812664331	84.7828016867132	58.69165194483358	68.35043617961139	29.57302691722598	64.25060851642813	84.31442656939554	92.01794800768059	48.37641622133094	46.56771316532598	32.27815091780963	87.1345034095982	95.58818172274543	58.93187717624619	66.81261021600137	69.49337187102786	54.04609775158117	28.820817006983084	49.83705898748184	77.01055662485417	94.8198433486042	130.38855553639473	93.83907159050439	78.92909677981758	48.346321276527306	27.62369420018878	32.04480439843728	95.25004539711429	46.30413785534144	101.1630255337112	49.342486238588904	26.47280558866369	42.87551195801319	14.211192486274912	54.58444543646768	65.58704875754673	0.0	0.0	0.0	70.31310074630592	65.58102249317675	0.0	0.0	20.182656664579074	47.6165731873867	65.400320324872	13.234998101847498	0.0	0.0	0.0	72.11009496657387	61.13195316984169	0.0	50.444541561845654	68.15275550439043	9.022484766415381	0.0	11.608752955701775	65.91260422396007	52.768342167762405	67.04481134197887	62.099580478601005	0.0	0.0	0.0	0.0	12.981206672366085	0.0	0.0	0.0	0.0
