it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3482.602190104336	-224.7693768538357	-2297.1559459240534	-960.6768673264469	0.7661600626893763	0.7661600626893763	0.7661600626893763	0.7661600626893763	0.7661600626893763	0.7661600626893763	0.7661600626893763	0.7661600626893763	1.0	132.96998123271192	0.0	1.1	1.1	0.17627427307872343	0.2289641300587652	0.49323176950089	0.2833565965412401	0.1604689303380425	0.1631927909807251	0.5405661301775437	0.2273863735893377	0.30812638710023804	0.240637713407456	0.4742744372664821	0.15961530813065078	0.2895315113270147	0.1305486459934375	0.3752312562584412	0.15007635740532577	0.14447450137953355	0.2955711341855527	0.19485964722448498	0.3126646931786239	0.2702871778955276	0.2636968508767975	0.5244679140298997	0.347051141509493	0.22144845148025033	0.17296659759257677	0.10768262265192358	0.5651385419076517	0.12735590352482612	0.19617116381484612	0.39933430509314827	0.7190981702879647	0.29272798828028684	0.9044170258026473	0.351654022004645	0.12136399866758953	0.12619330018517838	0.4021415383654975	0.16402997007880527	0.2794029009950592	0.13885868712247323	0.39260007949957865	1516.5241378885223	44.02916916213597	46.52057196367732	65.05885367550046	86.99856069307143	70.4232410418996	84.50918952357357	28.52541845104389	88.53048093196446	85.0653964624588	58.26409284268553	65.62460174523859	25.42964036201931	66.10250705190552	83.3954662517275	54.30624947047305	44.42360508852396	55.60438156787538	25.659206322102868	75.17761393815601	91.56731566353255	59.38893258624596	67.10695951274242	70.67234782572336	49.67517715018861	35.639342420345805	52.133767029756285	77.65094089249433	98.14764434321327	132.96998123271192	92.30212797233564	76.74955946100025	75.62732426754106	28.390053114634014	30.078914656004006	109.17962783861279	44.187426998551175	100.51521959788157	54.69429126339743	19.760103953205515	43.56332042309264	11.720596265189467	59.57834956049059	63.74832522136282	0.0	0.0	0.0	69.87148480111259	67.53939538513276	0.0	0.0	19.1233142202662	46.85962946444403	67.09996864363275	5.852281110887812	0.0	0.0	0.0	74.9436544635029	57.591749515846466	0.0	51.26414372345923	70.53381716914289	1.0922205770628945	0.0	12.449543735639578	66.21351991416654	66.00873123261614	67.52621284027072	64.50070129021226	0.0	0.0	0.0	0.0	16.480206880097207	0.0	0.0	0.0	0.0
20000	-2709.692546517075	-223.63948470325565	-2206.299050470927	-279.7540113428922	0.4579947596413069	0.4542195641584085	0.6106815866414962	0.26014034451094115	0.20513752207715627	0.5951072662912634	1.0963916795110153	0.515139599318701	1.4588941655843508	131.71735987743023	0.0	10.96029400282039	0.2675957865835827	0.16335978797012768	0.28602435111673113	0.10472885700057288	0.06904414850825374	0.11586453675592974	0.11972877920177909	0.011212225758444494	0.23680641250115966	0.014060748131454968	0.022318746829065563	0.05885499800890177	0.2663147344012782	0.06935404948676126	0.02762902879291105	0.01370783012321556	0.0478543019968713	0.010894772578100082	0.029883250220701704	0.009147202434911015	0.003531807822767672	0.02346442142545779	0.055878094977360834	0.005031082943157718	0.2816940041444346	0.031056453210174778	0.0016026280084040002	0.018258400188244667	0.03204932845552115	0.1539188447257887	0.0238271429735983	0.021788390734478327	0.03424079414463591	0.019860767065834648	0.03142080889758467	0.03838755774689234	0.016013574874987113	0.0007443857635838633	0.0023607344438979112	0.06464796018509976	0.035610924726743494	0.02053847441500176	0.0012454192380063523	1487.1366072011351	44.49493750126997	44.576228205744734	66.31710843116448	86.47070825309555	69.93082246631792	89.61183009033296	45.33880012439515	86.08953877240185	84.04156502806686	57.94632664619141	66.94462088334588	28.32016189080511	66.39053494779134	83.28604432294898	53.039502471043036	49.29684401209047	45.069524447867195	18.47413413807368	77.02479436982514	83.06614992030866	59.411225336609185	67.63619858428	78.45490868024724	49.53629117110252	45.24822890205879	49.86193189878999	75.5568570234398	99.59195115003209	131.71735987743023	90.97623109654924	77.13173940830043	68.51146174476935	28.740124803732794	33.18196567440986	98.0914497176838	47.94067255696081	100.22911399651557	46.590282834348464	18.789717344812747	43.309830686363846	11.183134241843044	61.165577939293605	66.24180916411848	0.0	0.0	0.0	69.32234711456353	67.65726888129896	0.0	0.0	19.121499790834097	50.034877694788285	67.27915121561028	18.180852184349906	0.0	0.0	0.0	72.4603875144211	51.691191415358205	0.0	51.57092607212613	69.95756768526451	12.6604518535048	0.0	9.771810449950534	64.26895724990884	71.7730902517124	66.34232449640692	68.4186585072684	0.0	0.0	0.0	0.0	13.379567115032348	0.0	0.0	0.0	0.0
40000	-2704.6708007270668	-223.27622841089422	-2206.999763272649	-274.3948090435233	0.46559923085593136	0.3917730896801184	0.3239140126746878	0.23263976021332225	0.17895291435952115	0.4634572368990699	1.0540274148327815	0.24275447131514102	1.1478076373832045	131.77857007198693	0.0	5.172309320430872	5.389735800059668	0.1438198076021454	0.06698000461268244	0.14308758537980157	0.19356935870171763	0.16089451877508873	0.04705823527746932	0.04609341943085892	0.15044232953604175	0.01992176235014208	0.019803531654124393	0.07841701975929834	0.049161505347728944	0.06551929021337123	0.012542360845274506	0.044187199969372815	0.002211108630255431	0.0014820623235877399	0.018803786750339925	0.03538641060447119	0.006381464594789235	0.008949085807528663	0.0069682758983795	0.08127709806312812	0.14215094306920875	0.009989212530734952	0.0035912688422585935	0.06206042824146385	0.023637521813842995	0.09862420024851115	0.0448879421818985	0.010401747550079672	0.033347884700591676	0.0396427917597125	0.014237627053532804	0.008854107981397092	0.026831572049116275	0.002203658062210657	0.006308485258443459	0.021707395982312316	0.02154016382747056	0.0007150476498857876	0.004567855314148128	1495.9011632169982	43.717790485602485	45.67641235773383	66.9633526295934	87.4857747005727	69.54663228822137	86.74628064350499	36.72068771109847	89.92582205792193	84.49257947545252	58.42125176897798	67.1303719328822	31.8185938346872	67.95652189149985	84.51720252474725	54.96500104682445	48.96123841607698	51.097964200229725	18.26000814678839	77.35803421473379	82.83160960216995	59.15264024276215	67.23383730722719	71.8625705494764	48.739840703607186	42.51697521897356	47.08098289384886	75.31009512156054	96.18534459376693	131.77857007198693	92.97687706330939	77.86779323983083	61.69729408384194	30.596369687544378	36.54332913350999	100.8587026522517	44.54717870284303	99.59143179804683	46.0901313661677	18.503020622780607	43.59626785218734	10.554103667029583	61.381037122362365	66.05840389144171	0.0	0.0	0.0	73.42500797861332	67.55081286984766	0.0	0.0	16.697238329658123	48.09594311016419	66.457296042177	13.752285824726405	0.0	0.0	0.0	73.5545282442519	46.28907880157893	0.0	48.915199377349104	69.58904141654632	11.92136617736617	0.0	10.64374064014344	66.43135344410656	67.12721329292397	66.37269300169578	67.26723713675655	0.0	0.0	0.0	0.0	12.145103544730969	0.0	0.0	0.0	0.0
60000	-2697.9013051429893	-222.78285577465726	-2203.0378392377797	-272.0806101305525	0.44835102753463607	0.39816578932028035	0.6187258722199959	0.222945779448995	0.13697283023474102	0.5921855984658717	0.7183260059651507	0.15057576574429632	1.4840085080655239	130.20026576701645	0.0	19.334799319945837	7.038748667604657	0.17315500594911298	0.3062356667952963	0.1058033417271842	0.0969151738677635	0.00999869475858249	0.05012420879873889	0.04928602751300641	0.045843440258962254	0.04995012533860785	0.14461510906997407	0.01841632675355756	0.10450289600540272	0.03687821962994797	0.007183064123530605	0.041426071151862774	0.02712735720806284	0.004654373699507682	0.01730675456165376	0.00890169249494183	0.022085477646634915	0.003249867904500922	0.022351451290993807	0.009212213385011034	0.03233586179817409	0.012007190961124738	0.005747397190242637	0.013881643498685616	0.0726237209701059	0.0772149900494951	0.16169658927788813	0.013627910948410732	0.05618271954552816	0.01962361200678805	0.01415409881716736	0.013510831048828434	0.004371888050291722	0.01037934619351113	0.020465896161650867	0.06203753856333803	0.026985052677015085	0.021528104176627854	0.014549976169388244	1472.986992307823	47.338715204121726	43.92263268384472	66.96116777254346	87.46567887805993	69.79881896027176	85.01144886358283	27.49109131150591	86.16135844881123	84.75706402251973	57.97826944589948	64.67823085245361	30.70550847559986	63.23514839814463	85.47026981693267	48.934980351961215	49.784600491667646	48.5070913619769	18.090154251639028	75.21993639191321	83.55446184032044	59.30897065856293	67.20613759786086	70.55087606333036	55.95144100310858	40.922394152313686	47.15219093898643	75.33503561787631	97.36001178770644	130.20026576701645	94.2205111418182	78.56155575453766	60.29829388195267	44.092266441642245	37.249204304189554	96.9065315757055	45.567743125637875	100.14467575236453	45.309751904325736	26.991726374134288	40.300878684282814	12.993370094348416	60.09759423475953	64.85868987651563	0.0	0.0	0.0	73.58947494850631	66.59249335204827	0.0	0.0	19.93436441700046	46.40333496296877	65.10101407331555	19.556816981884765	0.0	0.0	0.0	74.32238902468525	51.920377155845166	0.0	50.54312059230049	70.01103576908696	13.087402179297055	0.0	10.14877060605445	66.07188203438439	68.24231356281118	67.52882295773121	68.36422959085608	0.0	0.0	0.0	0.0	15.740844260334658	0.0	0.0	0.0	0.0
80000	-2692.1796859000833	-222.95972234671558	-2203.7714010490618	-265.44856250430576	0.23273615040295384	0.3557286498624908	0.5633725343144577	0.1986754972646679	0.15180057180568673	0.542498890750423	0.9218417357923703	0.3279983913266373	1.171126159361184	130.740389024842	0.0	3.86680096566801	14.111973283133233	0.13924970590908328	0.16216171289249548	0.06596258951928613	0.11383793984432719	0.12095579671355117	0.06110840956749728	0.023081576485336378	0.08265946094871868	0.08689549519827686	0.034817134898310925	0.04845018157687491	0.14133817746587302	0.0730202669589722	0.018173268699272594	0.0011586409609890035	0.044612487942971096	0.038677950929616116	0.018860087702987065	0.015696970521782913	0.008890866159862626	0.010421326657198682	0.00030969748721214655	0.07204873894510187	0.13597179739063528	0.011563960308980046	0.03409463706728461	0.00582340453771423	0.020566358878541167	0.09612465162342676	0.10189754798249842	0.02503292190230035	0.03908442649478193	0.009100583513925505	0.01537620167906188	0.0026945494379490395	0.0041446603558907774	0.02327103140426272	0.005389849328899614	0.03932201865307129	0.01376669435047002	0.04928585545907545	0.0034076509765700804	1485.929624418918	45.31588171874605	45.83412787215065	64.74264560221764	87.41166451669869	69.28541371130427	83.59006279174453	38.13584291384015	87.35542425135276	85.41702922686156	58.176444769338715	64.94818018611667	27.335034089991435	65.82474883502687	84.64877026619548	47.05554136707847	48.60301598169524	45.88122549010091	18.150977669446114	75.31122935439417	82.06281035264963	60.048274186568506	67.36548035138695	72.15699683442256	61.97293118333434	45.644575698124676	47.23872909577755	82.47638826593568	96.51406200742383	130.740389024842	90.74712906930074	76.45380001505406	46.8120135659032	43.37668113839503	38.35544846270868	95.0694118799093	45.95963027231306	99.48851207692073	48.888682865668244	23.635585310178705	40.37101892458166	9.86245377407257	61.278115297545725	65.96501353064201	0.0	0.0	0.0	69.02174786821676	66.8908214824295	0.0	0.0	18.70326184321576	46.06668973681623	67.38940005933654	19.385437894387643	0.0	0.0	0.0	74.67925512696172	53.22369959094972	0.0	51.6814605846581	66.00306729221768	6.8159946597199585	0.0	8.816735518504467	63.98781027849638	68.14129879695764	67.58945321094869	68.57682591694939	0.0	0.0	0.0	0.0	17.651606464591648	0.0	0.0	0.0	0.0
100000	-2700.8626363661165	-223.43276435395168	-2207.573273107545	-269.85659890461966	0.48522615816657094	0.29675887571547177	0.3567388631263198	0.18604376743148038	0.12737703832435163	0.4341239222131313	0.8370075706084097	0.3303862741290424	0.7430766264479197	132.34005944811838	0.0	14.885597638409623	17.55201394217906	0.15112505675239432	0.29799219966901785	0.038586529120281286	0.04583817412744525	0.026853929953569642	0.08369953164622317	0.019991980723548335	0.14442468871552058	0.0319331767857238	0.04179942860848295	0.07075610797246379	0.08332275824391037	0.0827830398673589	0.046003755295543035	0.009747663168540071	0.002070979650287778	0.012550294726831146	0.007086093773587136	0.0038671143149510635	0.006634586105871583	0.010016688995298511	0.0012033431042483588	0.2146193223028	0.04814798762499425	0.07874309560837206	0.02183155964358334	0.0006644885354786026	0.027942482443495786	0.11007280204056268	0.0478115376529471	0.008111738992098395	0.030489439115976333	0.020204844487495714	0.019812777307345555	0.0034864054300246233	0.012093754519021085	0.0069997859341298495	0.021602520609498948	0.01867860480821052	0.018982488096070876	0.028353673674991343	0.016101371658710374	1499.3941119044314	44.34067027457717	50.24723212079645	67.00907415611861	86.68862505071807	69.32534565361608	87.14142705362097	58.58708648956998	87.16954392605263	84.35372724508073	58.249069080095836	66.02979457447611	30.129201549587613	69.54935899701954	84.6032229395973	45.38332750991893	45.37720669318879	43.96800436743954	19.08361699565149	75.7819398788068	82.3208560070358	59.37126293368344	68.66148898068194	71.84317581683821	49.480279392710024	40.85134493493444	47.80846009118757	77.03823164232831	95.71233576567109	132.34005944811838	91.34076315384422	80.46877510827854	43.65738031015205	45.36887908243191	38.25433866433379	95.90944443749852	45.301551453105574	99.80012489871453	45.46379825096414	21.458040428926203	40.00841209873205	12.838648517445696	60.61576203121732	66.0582876460904	0.0	0.0	0.0	69.5698043365937	66.77403148247787	0.0	0.0	19.49583135492568	49.4546934850726	65.92188998320579	11.733163603535687	0.0	0.0	0.0	68.57783661789118	49.606541182963205	0.0	51.80797747701633	69.18695021663636	13.497231350712452	0.0	9.870327655331359	66.5503554860095	64.9687275605776	65.6875461803685	68.4492903897799	0.0	0.0	0.0	0.0	15.400644796356708	0.0	0.0	0.0	0.0
120000	-2681.831313707563	-222.77966841468694	-2204.3765650429527	-254.6750802499232	0.6212543648920489	0.35106866323095687	0.49472942568357203	0.2237632021414951	0.17441619084621135	0.5605444779112492	1.089538824776805	0.354783844875284	1.4366754502981969	130.5285141454353	0.0	13.780078854165549	19.26725363113188	0.16586336146809094	0.1942438180238697	0.009430772569575488	0.13459616936854135	0.006282762095695313	0.03494422946898968	0.054404904737728015	0.07625857684900968	0.03372309279919441	0.03612477660957537	0.02644313765423935	0.23855796474240637	0.013992891241951255	0.018007027893448966	0.021893269754050006	0.007997601669566447	0.006447769129451777	0.003480304676048913	0.0029011879061502702	0.026154155972038802	0.009695458039864966	0.006662968226629752	0.013696876082870967	0.16111841017117312	0.014385868549055	0.017640703654169497	0.08817962239831904	0.00678557628161839	0.20371867898669008	0.08451824571957725	0.017485104971769694	0.03762760988924684	0.037701724585830675	0.003994899392375722	0.0016944350206263244	0.02604035916900167	0.006002482957807968	0.008476035641340675	0.022314624249009526	0.033715164871422135	0.010359864889841659	0.01321998157429892	1515.96218521643	46.10155403855084	45.86355788724214	66.8120965291323	88.29905780870318	70.14302396618274	95.21833420771364	48.208344437615104	89.68656408200782	86.26374888511832	58.31583320303815	66.98091717408603	33.2927424307971	63.85025215131793	88.0346138054122	48.14281964294041	47.81939820118825	45.582978410759786	18.074613113220458	75.37152294687371	88.07117904977281	59.24324714544909	70.43328579749898	71.47839090295868	48.925013657489345	43.498668012535084	48.3636708468054	75.2207976450887	100.087435906462	130.5285141454353	98.85586581790145	76.20352304511492	46.42165064327787	45.89940789382807	49.935576438030374	94.8597940667382	46.13472967005374	100.38681955077212	49.07922933484563	25.213502576523744	43.36323128248402	11.853265011909336	61.45221895604541	66.21743766926951	0.0	0.0	0.0	66.91209458044082	67.43217247900812	0.0	0.0	19.118472466322512	47.3433303566902	67.69299111917444	18.547622619776114	0.0	0.0	0.0	75.05887275665154	60.48958654387696	0.0	50.98399003391279	69.81923240360997	13.08155968307451	0.0	11.828879830024697	65.35483142928192	68.57770831240363	66.92676430199741	68.00902321255994	0.0	0.0	0.0	0.0	14.876804803538167	0.0	0.0	0.0	0.0
140000	-2696.065591626342	-223.2145224467585	-2203.3849088961856	-269.46616028339804	0.5159586762557571	0.3382311497392809	0.6524232647873441	0.19697381278585582	0.1404759202173413	0.502002472056243	0.9086702508647855	0.35675033376458265	1.1622641161646097	131.19563758725923	0.0	14.094780817942247	0.5308338194555955	0.1638498611834836	0.47744544374311026	0.0004110463869165697	0.06784751196467208	0.06559530236998791	0.03726109448006429	0.01445106470204059	0.06719201345022924	0.025208608570763777	0.06478898566778353	0.09575049319822913	0.25804000463640875	0.005772569632254104	0.01721549813021748	0.010674799121429759	0.014521134542177828	0.011415963206831697	0.037418469390610935	0.002559091458869834	0.006613290337977488	0.0008344607458523608	0.02699621646965972	0.009693998626532342	0.09728578196031491	0.013323172708330824	0.012045790458975676	0.005428157666191092	0.007819834184449571	0.033179615106414526	0.13399935974789878	0.006144378267016262	0.0062435489888672206	0.04987808867661398	0.02050441926870465	0.004885280745307819	0.00834100636716881	0.0016601168759976658	0.0854965004294135	0.07505228159607948	0.03887209824942412	0.03195285371423104	0.008664304149255172	1515.270255373652	45.12858101801412	47.62886122848347	68.0472527145366	86.51601843858583	72.2810471873411	97.48239854988482	48.37968742323799	86.34611571116913	84.70790078873983	58.00954115089496	64.58612526314977	31.312702576514162	64.93721169487051	84.33624653999314	49.27348082719463	48.21384964841949	46.66634184644017	19.000180392493817	75.826849680487	82.68727079630918	59.1464020782686	67.39103098561863	70.57926781671051	54.07468919915782	45.3543465145245	47.539803722733524	77.13932220279821	95.73697627674079	131.19563758725923	95.36529897012639	76.0041366156891	46.304100445298566	47.82275558145937	45.533677487211804	95.35904362779472	45.89843252691467	99.91817522159873	47.414495435392304	29.493034922983636	42.73966863341034	11.305200912203455	61.19911292567987	66.0973253753838	0.0	0.0	0.0	65.37759815324452	66.40216922707674	0.0	0.0	17.02517102423688	49.222943705066854	67.36791914057044	16.57055955086183	0.0	0.0	0.0	74.59386135182937	58.54261666812501	0.0	49.45293342910215	69.09103810966813	13.061462989600994	0.0	13.21129032561846	65.65660235421377	66.73695428725144	67.03115122265079	68.63791414783583	0.0	0.0	0.0	0.0	14.044541787758346	0.0	0.0	0.0	0.0
160000	-2689.3093124321936	-222.59095842324106	-2213.138490081635	-253.57986392731755	0.6643997296991726	0.32454901369192807	0.636027627189051	0.22547485711886686	0.20285975654705068	0.552008826639022	0.9249785614582939	0.33642155505190374	1.3096853023515156	130.2338970860214	0.0	8.5573248488842	17.64696594923042	0.15282631614851558	0.4073462104770515	0.0030225134886379804	0.09344056111532338	0.09125963346890573	0.00927754031776389	0.03955471412725573	0.07807950542642612	0.02340313372021142	0.03394065495449277	0.01423806333736608	0.21334966890774115	0.034827427302818875	0.01275609563312426	0.010503513092320626	0.005735542144253795	0.016948750548965972	0.01750486447759156	0.006260401130294786	0.00657491053663344	0.028113710477709053	0.0064481543254383674	0.1752231630653112	0.02120751838051056	0.0692333556263191	0.02494063624417103	0.011699701825571519	0.030663895421554118	0.10521596648121767	0.13697563523210543	0.008625554593287389	0.017821396444531682	0.004836564932054595	0.02888491131989795	0.006212839732922504	0.012671815977882478	0.0034660986626981146	0.005330524860410858	0.02615999917365321	0.05080024041611248	0.008473456513267195	0.0018553694913036774	1532.392250010477	46.20859191075979	46.02927756847873	66.35122416496382	86.63024259139198	69.49842992097388	95.70896294720535	41.810052012267306	86.96482037515139	83.83640001439197	59.170318450145636	66.39635409842278	25.959276615164832	70.75458893634922	83.65282679592327	48.491016317321346	45.028860991642226	45.55018552845207	18.32100018767024	80.63655198067653	83.48850504798574	60.23801431198266	67.31524766766938	71.20200026074767	48.684860805455486	46.61663697565342	47.36327319821435	81.6479523651776	96.12357044952576	130.2338970860214	95.26791225826281	75.97050858135351	46.252015340747874	45.51938976025603	46.43105214211009	100.36243162293015	49.76788298591423	99.59362262933352	49.203263686708254	35.750480817951704	40.16747186648269	11.229341676291622	61.085235009202655	65.52305455692327	0.0	0.0	0.0	65.00742204010231	66.3653066274983	0.0	0.0	19.972489807863308	46.59254018448521	67.11568734091625	19.426158425768254	0.0	0.0	0.0	69.5339454513738	58.34468427633435	0.0	50.38363330763247	68.48804235019672	11.761268956086246	0.0	9.994220437475093	66.32031801720858	65.64981310099876	65.99413928946834	68.068754053842	0.0	0.0	0.0	0.0	14.615722614726717	0.0	0.0	0.0	0.0
180000	-2718.2262919919735	-223.2248384627416	-2217.517314112809	-277.4841394164232	0.36288228160074215	0.35029653965629715	0.42069273847557226	0.1645248561820829	0.18577687512261273	0.5026739490368944	0.9912232731186247	0.5203172973382384	1.1268641160465156	130.99600334046434	0.0	12.254992059627988	14.072858585319949	0.2202843325454119	0.24444376504380186	0.11282518351038907	0.21426536326726797	0.10042059573665993	0.05674659983461927	0.03667991983021164	0.10998265838706957	0.14346125601002926	0.03325434408264293	0.0826043722209883	0.16862910894208172	0.004835196673547853	0.009314881391766531	0.012834268950228742	0.08548719290539293	0.00023199503071660228	0.02282107486613523	0.01658711744064905	0.015037229144708925	0.019910817896533352	0.06658294848174649	0.07896270294690254	0.034034940673870945	0.10894193209021182	0.024657693162153615	0.03851513998005749	0.001090680158909584	0.22427314139915444	0.08574129168976913	0.07176921686445915	0.0735387399841012	0.027193491609955465	0.007636838324583863	0.0018742493218322498	0.019615042243075868	0.00138173821658367	0.02797517835941271	0.011793458438447245	0.053115782061280925	0.0020818417653133184	0.008746225916119559	1506.7084217321026	45.94128261973628	45.532021700924155	65.19252900386088	86.98785634865564	69.4589060250261	84.57654030794487	26.81966410313819	88.82157770311717	86.23521812611128	58.79328705882916	64.30917737713379	29.4976969001684	64.55797038997636	84.98476211657996	53.231423984896544	45.21459192600904	57.17015327625275	18.503737681477986	82.48588782383814	81.77995733599712	60.199682656404605	67.3606178911982	73.23672232705998	49.50952421516407	45.00331481920885	48.70308835070483	75.0778260794326	94.63807020998227	130.99600334046434	91.3113963117844	84.06334453910134	45.31659906255701	28.059797988260634	43.08573434120462	95.86891127572837	46.69206290168857	100.45549796196443	51.18177525473633	33.80029631515545	33.66631285334453	10.828943323147312	58.62779354832205	65.27959886161835	0.0	0.0	0.0	68.90200976307214	66.00607307614997	0.0	0.0	11.415520916864251	48.03034615797586	64.07791446928931	19.328006016751356	0.0	0.0	0.0	69.71588069675646	55.91221260826421	0.0	50.82923150594278	69.73320845401757	10.138696342811985	0.0	12.161612687300291	66.21353831932063	67.13697734407995	67.21147707995615	67.07987551426598	0.0	0.0	0.0	0.0	15.650856380121189	0.0	0.0	0.0	0.0
