Taxon_name	Status	MinAge	MaxAge
Acrosqualiolus	extinct	43.151	43.88
Angoumeius	extinct	43.151	43.88
Angoumeius	extinct	38.261	41.94
Angoumeius	extinct	11.621	15.97
Centrodeania	extinct	61.601	66
Centrodeania	extinct	61.601	66
Centrodeania	extinct	61.601	66
Centrodeania	extinct	61.601	66
Centrophoroides	extinct	66.001	72.1
Centrophoroides	extinct	66.001	72.1
Centrophoroides	extinct	72.101	76.4
Centrophoroides	extinct	72.101	76.4
Centrophoroides	extinct	72.101	76.4
Centrophoroides	extinct	80.601	83.6
Centrophoroides	extinct	72.101	76.4
Centrophoroides	extinct	66.001	83.6
Centrophoroides	extinct	72.101	76.4
Centrophoroides	extinct	80.601	83.6
Centrophoroides	extinct	66.001	70.1
Centrophoroides	extinct	66.001	70.1
Centrophoroides	extinct	83.601	85.8
Centrophoroides	extinct	83.601	85.8
Centrophoroides	extinct	72.101	76.4
Centrophoroides	extinct	70.101	72.1
Centrophoroides	extinct	83.601	89.8
Centrophorus	extant	3.601	5.333
Centrophorus	extant	3.601	5.333
Centrophorus	extant	3.601	5.333
Centrophorus	extant	3.601	5.333
Centrophorus	extant	2.589	3.6
Centrophorus	extant	5.3	7.9
Centrophorus	extant	0.0118	2.588
Centrophorus	extant	2.589	5.333
Centrophorus	extant	15.971	20.44
Centrophorus	extant	15.971	20.44
Centrophorus	extant	15.971	23.03
Centrophorus	extant	66.001	72.1
Centrophorus	extant	41.001	47.8
Centrophorus	extant	13.821	15.97
Centrophorus	extant	3.601	5.333
Centrophorus	extant	43.151	43.88
Centrophorus	extant	23.031	47.8
Centrophorus	extant	23.031	33.9
Centrophorus	extant	23.031	33.9
Centrophorus	extant	2.589	11.62
Centrophorus	extant	15.971	20.44
Centrophorus	extant	15.971	20.44
Centrophorus	extant	13.821	15.97
Centrophorus	extant	13.821	15.97
Centrophorus	extant	11.631	13.82
Centrophorus	extant	11.631	13.82
Centrophorus	extant	61.601	66
Centrophorus	extant	47.801	56
Centrophorus	extant	7.247	13.82
Centrophorus	extant	2.589	11.62
Centrophorus	extant	11.621	15.97
Centrophorus	extant	33.901	38
Centrophorus	extant	20.441	23.03
Centrophorus	extant	15.971	20.44
Centrophorus	extant	51	52.5
Centrophorus	extant	7.251	11.63
Centrophorus	extant	15.971	20.44
Centrophorus	extant	16.488	17.277
Centrophorus	extant	15.155	16.556
Centrophorus	extant	11.621	15.97
Centrophorus	extant	15.971	20.44
Centrophorus	extant	15.971	20.44
Centrophorus	extant	23.031	28.1
Centrophorus	extant	41.001	47.8
Centrophorus	extant	29.621	31.35
Centrophorus	extant	15.971	20.44
Centrophorus	extant	15.971	20.44
Centrophorus	extant	15.971	20.44
Centrophorus	extant	15.971	20.44
Centrophorus	extant	13.821	15.97
Centrophorus	extant	13.821	15.97
Centrophorus	extant	15.971	20.44
Centrophorus	extant	23.031	28.1
Centrophorus	extant	15.971	23.03
Centrophorus	extant	0.0118	2.588
Centrophorus	extant	3.601	5.333
Centrophorus	extant	23.031	28.1
Centroscymnus	extant	72.101	76.4
Centroscymnus	extant	66.001	70.1
Centroscymnus	extant	61.601	66
Centroscymnus	extant	61.601	66
Centroscymnus	extant	61.601	66
Centroscymnus	extant	61.601	66
Centroscymnus	extant	72.101	76.4
Centroscymnus	extant	72.101	76.4
Centroscymnus	extant	80.601	83.6
Centroscymnus	extant	70.101	72.1
Centroscymnus	extant	80.601	83.6
Centroscymnus	extant	66.001	70.1
Centroscymnus	extant	72.101	76.4
Centroscymnus	extant	66.001	70.1
Centroscymnus	extant	13.821	15.97
Centroscymnus	extant	72.101	76.4
Centroscymnus	extant	15.971	23.03
Centroscymnus	extant	13.821	15.97
Centroscymnus	extant	11.621	15.97
Centroscymnus	extant	13.821	15.97
Centroscymnus	extant	43.151	43.88
Centroselachus	extant	3.601	5.333
Centroselachus	extant	0.0118	2.588
Centroselachus	extant	23.131	26.57
Centrosqualus	extinct	72.101	76.4
Centrosqualus	extinct	83.601	85.8
Cretascymnus	extinct	83.601	85.8
Cretascymnus	extinct	66.001	70.1
Cretascymnus	extinct	66.001	70.1
Cretascymnus	extinct	66.001	70.1
Cretascymnus	extinct	66.001	70.1
Cretascymnus	extinct	66.001	70.1
Cretascymnus	extinct	66.001	70.1
Cretascymnus	extinct	66.001	70.1
Cretascymnus	extinct	66.001	83.6
Cretascymnus	extinct	72.101	76.4
Cretascymnus	extinct	72.101	76.4
Cretascymnus	extinct	72.101	76.4
Cretascymnus	extinct	80.601	83.6
Cretascymnus	extinct	80.601	83.6
Dalatias	extant	3.601	5.333
Dalatias	extant	3.601	5.333
Dalatias	extant	2.589	3.6
Dalatias	extant	2.589	5.333
Dalatias	extant	11.631	13.82
Dalatias	extant	3.601	5.333
Dalatias	extant	15.971	23.03
Dalatias	extant	13.821	15.97
Dalatias	extant	13.821	15.97
Dalatias	extant	13.821	15.97
Dalatias	extant	11.621	15.97
Dalatias	extant	2.589	3.6
Dalatias	extant	5.3	7.9
Dalatias	extant	15.155	16.556
Dalatias	extant	15.971	23.03
Dalatias	extant	15.971	23.03
Dalatias	extant	11.621	15.97
Dalatias	extant	11.621	15.97
Dalatias	extant	11.621	15.97
Dalatias	extant	11.621	15.97
Dalatias	extant	11.621	15.97
Dalatias	extant	11.621	15.97
Dalatias	extant	11.621	15.97
Dalatias	extant	5.334	11.62
Dalatias	extant	5.334	11.62
Dalatias	extant	3.601	5.333
Dalatias	extant	2.589	3.6
Dalatias	extant	3.601	5.333
Dalatias	extant	3.601	5.333
Dalatias	extant	11.621	15.97
Dalatias	extant	56.001	61.6
Dalatias	extant	23.031	28.1
Dalatias	extant	41.001	47.8
Dalatias	extant	43.151	43.88
Dalatias	extant	46.291	47.73
Dalatias	extant	5.334	23.03
Dalatias	extant	5.334	23.03
Dalatias	extant	20.441	23.03
Dalatias	extant	16.7	17.9
Dalatias	extant	22.3	23.9
Dalatias	extant	56.001	59.2
Deania	extant	43.151	43.88
Deania	extant	7.251	11.63
Deania	extant	13.821	15.97
Deania	extant	15.971	20.44
Deania	extant	11.631	13.82
Deania	extant	2.589	5.333
Deania	extant	15.971	20.44
Deania	extant	3.601	5.333
Deania	extant	13.821	15.97
Deania	extant	11.621	15.97
Deania	extant	15.971	23.03
Deania	extant	61.601	66
Deania	extant	11.621	15.97
Deania	extant	15.971	20.44
Deania	extant	16.488	17.277
Deania	extant	15.155	16.556
Deania	extant	15.971	20.44
Deania	extant	2.589	5.333
Deania	extant	15.971	20.44
Deania	extant	15.971	20.44
Dracipinna	extinct	20.441	23.03
Dracipinna	extinct	23.031	28.1
Dracipinna	extinct	23.031	28.1
Eodalatias	extinct	49	51
Eodalatias	extinct	51	52.5
Eodalatias	extinct	56.001	59.2
Eodalatias	extinct	47.801	56
Eodalatias	extinct	61.601	66
Eoetmopterus	extinct	66.001	70.1
Eoetmopterus	extinct	66.001	70.1
Eoetmopterus	extinct	72.101	76.4
Eoetmopterus	extinct	72.101	76.4
Eoetmopterus	extinct	72.101	76.4
Eoetmopterus	extinct	72.101	76.4
Eoetmopterus	extinct	80.601	83.6
Eoetmopterus	extinct	70.101	72.1
Eoetmopterus	extinct	80.601	83.6
Eoetmopterus	extinct	80.601	83.6
Eosqualiolus	extinct	43.151	43.88
Eosqualiolus	extinct	41.001	47.8
Eosqualiolus	extinct	15.971	20.44
Etmopterus	extant	23.031	33.9
Etmopterus	extant	15.971	23.03
Etmopterus	extant	43.151	43.88
Etmopterus	extant	13.821	15.97
Etmopterus	extant	3.601	5.333
Etmopterus	extant	15.971	20.44
Etmopterus	extant	13.821	15.97
Etmopterus	extant	13.821	15.97
Etmopterus	extant	7.251	11.63
Etmopterus	extant	15.971	20.44
Etmopterus	extant	15.971	20.44
Etmopterus	extant	15.971	20.44
Etmopterus	extant	16.488	17.277
Etmopterus	extant	15.155	16.556
Etmopterus	extant	15.971	20.44
Etmopterus	extant	0.0118	2.588
Etmopterus	extant	23.131	26.57
Etmopterus	extant	15.971	20.44
Etmopterus	extant	3.601	5.333
Euprotomicroides	extant	43.151	43.88
Euprotomicrus	extant	15.971	20.44
Hessinodon	extinct	72.101	76.4
Incognitorapax	extinct	61.601	66
Incognitorapax	extinct	66.001	70.1
Incognitorapax	extinct	80.601	83.6
Isistius	extant	0.001	66
Isistius	extant	5.334	23.03
Isistius	extant	56.001	59.2
Isistius	extant	47.801	56
Isistius	extant	43.151	43.88
Isistius	extant	5.334	7.25
Isistius	extant	3.601	5.333
Isistius	extant	2.589	11.62
Isistius	extant	5.3	7.9
Isistius	extant	47.801	56
Isistius	extant	3.601	5.333
Isistius	extant	15.971	20.44
Isistius	extant	5.334	11.62
Isistius	extant	41.001	47.8
Isistius	extant	13.821	15.97
Isistius	extant	15.971	20.44
Isistius	extant	13.821	15.97
Isistius	extant	13.821	15.97
Isistius	extant	13.821	15.97
Isistius	extant	13.821	15.97
Isistius	extant	13.821	15.97
Isistius	extant	11.621	15.97
Isistius	extant	2.589	11.62
Isistius	extant	11.621	15.97
Isistius	extant	15.971	20.44
Isistius	extant	13.821	15.97
Isistius	extant	11.631	13.82
Isistius	extant	15.971	20.44
Isistius	extant	15.971	20.44
Isistius	extant	15.971	20.44
Isistius	extant	2.589	5.333
Isistius	extant	13.821	15.97
Isistius	extant	15.971	20.44
Isistius	extant	41.001	47.8
Isistius	extant	56.001	59.2
Isistius	extant	47.801	56
Isistius	extant	47.801	56
Isistius	extant	33.901	56
Isistius	extant	47.801	56
Isistius	extant	47.801	56
Isistius	extant	33.901	38
Isistius	extant	47.801	56
Isistius	extant	38.001	47.8
Isistius	extant	41.001	47.8
Isistius	extant	41.001	47.8
Isistius	extant	41.001	47.8
Isistius	extant	49.111	53.7
Megasqualus	extinct	59.201	61.6
Megasqualus	extinct	59.201	61.6
Megasqualus	extinct	59.201	61.6
Megasqualus	extinct	56.001	59.2
Megasqualus	extinct	56.001	59.2
Megasqualus	extinct	59.201	61.6
Megasqualus	extinct	56.001	59.2
Megasqualus	extinct	61.601	66
Megasqualus	extinct	47.801	56
Megasqualus	extinct	47.801	56
Megasqualus	extinct	47.801	56
Megasqualus	extinct	56.001	59.2
Megasqualus	extinct	56.001	66
Megasqualus	extinct	61.601	66
Megasqualus	extinct	66.001	70.1
Megasqualus	extinct	56.001	61.6
Microetmopterus	extinct	66.001	72.1
Oligodalatias	extinct	28.101	33.9
Oligodalatias	extinct	28.101	33.9
Oligodalatias	extinct	11.621	15.97
Oligodalatias	extinct	13.821	15.97
Oligodalatias	extinct	20.441	23.03
Oligodalatias	extinct	47.801	56
Oxynotus	extant	3.601	5.333
Oxynotus	extant	3.601	5.333
Oxynotus	extant	20.441	23.03
Paraetmopterus	extinct	15.971	20.44
Paraetmopterus	extinct	16.488	17.277
Paraetmopterus	extinct	15.155	16.556
Paraetmopterus	extinct	20.441	23.03
Paraetmopterus	extinct	15.971	20.44
Paraetmopterus	extinct	11.631	13.82
Paraetmopterus	extinct	43.151	43.88
Paraetmopterus	extinct	38.261	41.94
Paraetmopterus	extinct	46.291	47.73
Paraetmopterus	extinct	23.131	26.57
Paraetmopterus	extinct	15.971	20.44
Proetmopterus	extinct	66.001	70.1
Proetmopterus	extinct	72.101	76.4
Proetmopterus	extinct	66.001	70.1
Proetmopterus	extinct	72.101	76.4
Proetmopterus	extinct	70.101	72.1
Proetmopterus	extinct	66.001	70.1
Proetmopterus	extinct	66.001	70.1
Protocentrophorus	extinct	93.901	95.5
Protocentrophorus	extinct	66.001	83.6
Protocentrophorus	extinct	72.101	76.4
Protosqualus	extinct	126.301	130.8
Protosqualus	extinct	96.201	100.5
Protosqualus	extinct	93.901	95.5
Protosqualus	extinct	95.501	96.2
Protosqualus	extinct	93.901	100.5
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	96.201	100.5
Protosqualus	extinct	93.901	95.5
Protosqualus	extinct	93.901	95.5
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	107.601	110.2
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	110.201	113
Protosqualus	extinct	107.601	110.2
Protosqualus	extinct	107.601	110.2
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	110.201	113
Protosqualus	extinct	107.601	110.2
Protosqualus	extinct	100.501	110.2
Protosqualus	extinct	107.601	110.2
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	96.201	100.5
Protosqualus	extinct	96.201	100.5
Protosqualus	extinct	95.501	96.2
Protosqualus	extinct	86.301	89.8
Protosqualus	extinct	126.301	130.8
Protosqualus	extinct	96.201	100.5
Protosqualus	extinct	66.001	72.1
Protosqualus	extinct	70.101	72.1
Protosqualus	extinct	80.601	83.6
Protosqualus	extinct	100.501	107.6
Protosqualus	extinct	80.601	83.6
Protoxynotus	extinct	66.001	70.1
Protoxynotus	extinct	72.101	76.4
Protoxynotus	extinct	89.801	91.4
Protoxynotus	extinct	80.601	83.6
Protoxynotus	extinct	80.601	83.6
Protoxynotus	extinct	83.601	85.8
Rhinoscymnus	extant	72.101	76.4
Rhinoscymnus	extant	3.601	5.333
Rhinoscymnus	extant	56.001	61.6
Rhinoscymnus	extant	13.821	15.97
Rhinoscymnus	extant	38.001	41
Rhinoscymnus	extant	11.621	15.97
Rhinoscymnus	extant	23.031	28.1
Scymnodalatias	extant	43.151	43.88
Scymnodalatias	extant	3.601	5.333
Scymnodalatias	extant	15.6	15.8
Scymnodon	extant	3.601	5.333
Scymnodon	extant	0.0118	2.588
Scymnodon	extant	0.0118	2.588
Scymnodon	extant	2.589	5.333
Scymnodon	extant	23.031	28.1
Scymnodon	extant	11.631	13.82
Scymnodon	extant	0.0118	2.588
Scymnodon	extant	11.621	15.97
Somniosus	extant	28.101	33.9
Somniosus	extant	3.601	5.333
Somniosus	extant	5.334	23.03
Somniosus	extant	15.971	23.03
Squaliodalatias	extinct	56.001	61.6
Squaliodalatias	extinct	61.601	66
Squaliodalatias	extinct	72.101	76.4
Squaliodalatias	extinct	15.971	20.44
Squaliodalatias	extinct	61.601	66
Squaliodalatias	extinct	93.901	95.5
Squaliodalatias	extinct	41.001	47.8
Squaliodalatias	extinct	43.151	43.88
Squaliodalatias	extinct	46.291	47.73
Squaliodalatias	extinct	38.261	41.94
Squaliodalatias	extinct	61.601	66
Squaliolus	extant	43.151	43.88
Squaliolus	extant	38.261	41.94
Squaliolus	extant	15.971	23.03
Squaliolus	extant	15.971	20.44
Squaliolus	extant	13.821	15.97
Squaliolus	extant	15.971	23.03
Squaliolus	extant	11.621	15.97
Squaliolus	extant	16.488	17.277
Squaliolus	extant	15.155	16.556
Squaliolus	extant	23.031	33.9
Squaliolus	extant	41.001	47.8
Squaliolus	extant	7.251	11.63
Squaliolus	extant	15.971	20.44
Squaliolus	extant	11.631	13.82
Squaliolus	extant	15.971	20.44
Squaliolus	extant	13.821	15.97
Squaliolus	extant	13.821	15.97
Squalus	extant	3.601	5.333
Squalus	extant	11.631	13.82
Squalus	extant	66.001	70.1
Squalus	extant	72.101	76.4
Squalus	extant	66.001	72.1
Squalus	extant	72.101	76.4
Squalus	extant	3.601	5.333
Squalus	extant	3.601	5.333
Squalus	extant	61.601	66
Squalus	extant	59.201	66
Squalus	extant	47.801	56
Squalus	extant	56.001	66
Squalus	extant	61.601	66
Squalus	extant	56.001	59.2
Squalus	extant	56.001	59.2
Squalus	extant	28.101	33.9
Squalus	extant	23.031	33.9
Squalus	extant	28.101	33.9
Squalus	extant	28.101	33.9
Squalus	extant	23.031	28.1
Squalus	extant	15.971	20.44
Squalus	extant	23.031	28.1
Squalus	extant	28.101	33.9
Squalus	extant	28.101	33.9
Squalus	extant	23.031	28.1
Squalus	extant	28.101	33.9
Squalus	extant	13.821	15.97
Squalus	extant	66.001	72.1
Squalus	extant	66.001	70.1
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Squalus	extant	66.001	70.1
Squalus	extant	66.001	72.1
Squalus	extant	59.201	61.6
Squalus	extant	59.201	61.6
Squalus	extant	56.001	59.2
Squalus	extant	56.001	59.2
Squalus	extant	61.601	66
Squalus	extant	56.001	59.2
Squalus	extant	59.201	61.6
Squalus	extant	41.001	47.8
Squalus	extant	41.001	47.8
Squalus	extant	56.001	59.2
Squalus	extant	56.001	66
Squalus	extant	59.201	61.6
Squalus	extant	49.111	53.7
Squalus	extant	72.101	76.4
Squalus	extant	5.334	23.03
Squalus	extant	5.334	23.03
Squalus	extant	5.334	23.03
Squalus	extant	2.589	5.333
Squalus	extant	49.111	53.7
Squalus	extant	66.001	72.1
Squalus	extant	23.031	28.1
Squalus	extant	5.3	7.9
Squalus	extant	93.901	95.5
Squalus	extant	29.621	31.35
Squalus	extant	34	41
Squalus	extant	38.001	47.8
Squalus	extant	2.589	11.62
Squalus	extant	33.901	41.3
Squalus	extant	15.971	20.44
Squalus	extant	47.941	50.5
Squalus	extant	61.601	66
Squalus	extant	15.971	20.44
Squalus	extant	3.601	5.333
Squalus	extant	16.488	17.277
Squalus	extant	15.155	16.556
Squalus	extant	15.971	23.03
Squalus	extant	66.001	72.1
Squalus	extant	11.621	15.97
Squalus	extant	11.631	13.82
Squalus	extant	15.971	20.44
Squalus	extant	72.101	76.4
Squalus	extant	2.589	5.333
Squalus	extant	15.97	17.8
Squalus	extant	26.84	28.73
Squalus	extant	15.971	20.44
Squalus	extant	0.782	2.588
Squalus	extant	66.001	70.1
Squalus	extant	96.201	100.5
Squalus	extant	15.971	20.44
Squalus	extant	95.501	96.2
Squalus	extant	15.971	20.44
Squalus	extant	0.0119	0.126
Squalus	extant	0.0118	2.588
Squalus	extant	0.127	0.773
Squalus	extant	0.127	0.773
Squalus	extant	61.601	66
Squalus	extant	72.101	76.4
Squalus	extant	72.101	76.4
Squalus	extant	72.101	76.4
Squalus	extant	72.101	76.4
Squalus	extant	72.101	76.4
Squalus	extant	70.101	72.1
Squalus	extant	66.001	83.6
Squalus	extant	72.101	76.4
Squalus	extant	80.601	83.6
Squalus	extant	49	51
Squalus	extant	41	42.5
Squalus	extant	51	52.5
Squalus	extant	49	51
Squalus	extant	41	42.5
Squalus	extant	51	52.5
Squalus	extant	72.101	76.4
Squalus	extant	72.101	76.4
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Squalus	extant	61.601	66
Trigonognathus	extant	3.601	5.333
Trigonognathus	extant	5.3	7.9
Trigonognathus	extant	11.631	13.82
Trigonognathus	extant	43.151	43.88
Zameus	extant	15.971	23.03
Zameus	extant	3.601	5.333
Zameus	extant	3.601	5.333
