Species	Status
Acrosqualiolus	extinct
Angoumeius	extinct
Centrodeania	extinct
Centrophoroides	extinct
Centrophorus	extant
Centroscymnus	extant
Centroselachus	extant
Centrosqualus	extinct
Cretascymnus	extinct
Dalatias	extant
Deania	extant
Dracipinna	extinct
Eodalatias	extinct
Eoetmopterus	extinct
Eosqualiolus	extinct
Etmopterus	extant
Euprotomicroides	extant
Euprotomicrus	extant
Hessinodon	extinct
Incognitorapax	extinct
Isistius	extant
Megasqualus	extinct
Microetmopterus	extinct
Oligodalatias	extinct
Oxynotus	extant
Paraetmopterus	extinct
Proetmopterus	extinct
Protocentrophorus	extinct
Protosqualus	extinct
Protoxynotus	extinct
Rhinoscymnus	extant
Scymnodalatias	extant
Scymnodon	extant
Somniosus	extant
Squaliodalatias	extinct
Squaliolus	extant
Squalus	extant
Trigonognathus	extant
Zameus	extant
