Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
20	-2629.4	-2650.31	-2612.742	781.98	-219.907	-221.418	-218.6	1105.43	-2178.74	-2190.248	-2168.241	260.57	-230.753	-244.048	-216.947	609.49	128.137	127.172	129.824	1077.66	0	0	0	NA	0.79	0.94	0.01
13	-2645.322	-2663.721	-2627.526	628.84	-221.14	-223.031	-219.868	1001.85	-2190.866	-2201.398	-2180.106	296.08	-233.316	-246.828	-217.394	659.68	131.591	130.583	133.237	1047.33	0	0	0	NA	0.79	1.0	0.01
11	-2639.954	-2657.083	-2620.702	599.78	-220.472	-222.12	-219.213	869.25	-2186.941	-2197.534	-2176.59	536.59	-232.542	-247.563	-218.902	727.23	129.498	128.518	131.189	1016.39	0	0	0	NA	0.71	0.91	0.01
10	-2635.597	-2654.061	-2617.242	692.52	-221.15	-222.754	-219.82	889.34	-2180.869	-2191.769	-2169.899	512.93	-233.578	-247.246	-219.689	818.01	131.486	130.373	133.518	853.17	0	0	0	NA	0.82	0.97	0.1
6	-2645.638	-2665.743	-2626.498	482.61	-220.324	-221.961	-219.049	939.51	-2191.106	-2203.016	-2180.407	336.83	-234.208	-249.285	-219.568	779.57	129.145	128.167	131.069	1092.82	0	0	0	NA	0.68	0.97	0.01
19	-2635.106	-2653.276	-2615.868	269.99	-221.287	-223.111	-219.952	900.91	-2180.911	-2192.517	-2170.244	244.27	-232.908	-246.183	-217.927	519.5	131.781	130.785	133.722	1057.72	0	0	0	NA	0.79	0.91	0.01
12	-2625.706	-2643.135	-2605.808	674.84	-221.221	-222.901	-219.847	994.21	-2172.798	-2183.221	-2161.022	477.3	-231.687	-246.302	-217.609	740.28	131.569	130.506	133.601	973.4	0	0	0	NA	0.79	0.97	0.01
2	-2641.064	-2658.985	-2624.0	458.89	-221.181	-222.736	-219.877	938.22	-2186.045	-2197.066	-2174.923	253.32	-233.839	-246.925	-219.294	581.38	131.234	130.288	132.862	852.48	0	0	0	NA	0.79	0.97	0.05
4	-2639.917	-2659.609	-2622.159	676.99	-220.548	-222.141	-219.084	854.68	-2185.754	-2197.537	-2174.862	300.15	-233.615	-248.392	-219.617	773.91	129.727	128.805	131.526	774.16	0	0	0	NA	0.79	0.94	0.01
14	-2633.707	-2651.243	-2612.433	533.79	-220.975	-222.631	-219.695	999.76	-2181.543	-2192.212	-2169.974	398.62	-231.189	-246.407	-215.153	607.13	130.975	130.023	132.714	926.92	0	0	0	NA	0.79	0.88	0.01
1	-2626.673	-2648.202	-2609.817	541.01	-221.081	-222.671	-219.644	762.87	-2175.281	-2186.777	-2164.119	274.93	-230.312	-244.473	-216.013	757.4	131.024	130.055	132.817	1157.0	0	0	0	NA	0.79	0.91	0.01
5	-2628.568	-2645.541	-2610.833	817.5	-220.373	-221.768	-219.138	1166.05	-2177.615	-2189.588	-2167.603	542.54	-230.58	-245.227	-217.343	620.34	129.45	128.532	131.039	1031.02	0	0	0	NA	0.79	0.94	0.01
15	-2638.542	-2658.492	-2619.956	711.28	-220.669	-222.268	-219.415	1001.19	-2185.393	-2196.945	-2173.563	452.47	-232.481	-245.143	-217.502	817.38	130.258	129.265	132.249	897.47	0	0	0	NA	0.74	0.97	0.01
18	-2634.518	-2653.69	-2615.218	704.7	-220.864	-222.451	-219.495	990.71	-2181.144	-2192.047	-2169.307	320.0	-232.51	-247.006	-218.214	909.55	130.545	129.582	132.286	1012.21	0	0	0	NA	0.82	0.97	0.01
8	-2636.961	-2656.004	-2618.748	484.7	-219.771	-221.525	-218.614	1043.01	-2184.812	-2196.241	-2174.662	266.63	-232.377	-246.317	-218.166	747.6	128.124	127.27	129.675	902.15	0	0	0	NA	0.74	0.97	0.01
16	-2643.665	-2663.395	-2626.664	562.98	-220.964	-222.794	-219.785	1010.53	-2187.2	-2199.051	-2177.438	410.73	-235.501	-249.633	-221.377	843.48	131.19	130.251	132.882	978.3	0	0	0	NA	0.79	0.97	0.01
3	-2651.768	-2672.42	-2634.427	533.99	-221.018	-222.771	-219.839	1027.51	-2191.747	-2203.969	-2179.197	271.26	-239.003	-252.087	-223.84	803.34	131.613	130.607	133.292	787.58	0	0	0	NA	0.68	0.94	0.01
17	-2643.795	-2662.944	-2627.001	371.24	-220.959	-222.662	-219.622	609.23	-2187.243	-2196.177	-2175.336	216.45	-235.593	-248.373	-220.106	530.36	130.878	129.866	132.886	773.32	0	0	0	NA	0.68	0.91	0.25
7	-2630.982	-2650.351	-2612.867	589.81	-220.278	-221.786	-219.024	960.34	-2179.405	-2190.05	-2169.379	294.5	-231.3	-246.46	-216.693	568.89	129.197	128.244	131.02	1016.64	0	0	0	NA	0.85	0.91	0.01
9	-2638.889	-2657.589	-2619.785	688.5	-220.418	-222.157	-219.076	947.77	-2184.439	-2195.555	-2173.627	478.41	-234.033	-249.722	-220.632	643.45	129.405	128.543	130.907	945.45	0	0	0	NA	0.76	0.94	0.01
