it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3373.8170294627	-220.43337884479257	-2228.7678152695794	-924.6158353483279	0.48391121990632735	0.48391121990632735	0.48391121990632735	0.48391121990632735	1.0	129.02684288808834	0.0	1.1	1.1	0.2412046343095123	0.1935051729729345	0.12377790294112494	0.3761278062615384	0.6641301549012277	0.13902248992687136	0.9323357981278007	0.15166935627487016	0.3032496522789097	0.21698622169530268	0.1695726859612209	0.28296152440817945	0.5891091419422722	0.3544259191289444	0.15938277157695818	0.301222021867655	0.587804964721303	0.11770495155869506	0.23932907445702195	0.24859517117019092	0.3350306100856978	0.460676315056302	0.3223657266345893	0.6311838765793969	0.5836602233622158	0.16952591011773416	0.5877682319778538	0.20076468758853236	0.4501814162676001	0.18724594654244414	0.11787027253130482	0.5515198646242973	0.15592549940205028	0.242577105583994	0.1473485857386409	0.186368624445955	0.215068390824259	0.43159864439298923	0.1705418284248243	0.1367959066005578	0.10987257756567234	0.24514949722912124	1431.7979778287543	60.93014768190069	66.46231901969007	89.04909474870108	66.30385038174629	84.70082366267316	27.06322735848996	87.86230917274466	84.23016440575974	60.03522404615647	68.0341665878115	26.4962341076968	62.497552087935105	83.53117459050296	49.27439405320648	43.43722016677742	89.24605452276643	58.752251809931295	69.90029538835486	52.49613186702408	23.708113061789795	55.36878564685202	74.33670319816483	99.83510740159952	129.02684288808834	95.10983558739825	102.03167870564263	45.802805076097684	29.30692294599862	44.07740100673613	96.08873525934864	45.17812404921425	97.20375251062612	47.00917613550388	21.340064226539667	9.794938371112869	61.35113893444368	68.21726826020677	0.0	0.0	0.0	53.78229904455631	65.06846491809802	0.0	0.0	19.49047460276179	46.38125637028065	65.44021546225747	19.400850395066602	0.0	60.028225691772235	0.0	48.17428110867665	1.5496029028345166	0.0	3.4575400970514565	63.27732811304153	68.25261344223337	69.46338710853107	67.84230621739161	0.0	0.0	0.0	0.0	12.95651449039858	0.0	0.0	0.0	0.0
20000	-2637.305855640782	-220.73186142139073	-2179.3477580245108	-237.22623619488013	0.5383118081252283	0.9766493501227139	0.3659492140436212	0.9792428922530175	1.240687913734206	128.8903528973124	0.0	1.8934689540641139	2.134269769430896	0.03316998080715378	0.5357350888179566	0.2108572135465452	0.11176903031381426	0.038303566842386366	0.0597097379491295	0.06890375381252457	0.030642784481233094	0.05924689675049111	0.009997638968080801	0.0011921831505535936	0.11439588062943191	0.005972880520392568	0.005687815844398282	0.04825474560175958	0.034578015414920976	0.04842233277594119	0.002969936792344307	0.0029498956566224466	0.010085645672121734	0.005793601687651158	0.0831315859915572	0.14022113874418912	0.054124706048471236	0.015500819589098193	0.012981857724636453	0.0029962128733900494	0.02551021787162154	0.14325577579445892	0.07432509738966137	0.02902766049077509	0.010458337462001198	0.04583845939557177	0.024691454097371533	0.0541829094728544	0.0066016007725809645	0.004157266232169285	0.019687367100175074	0.04978016794684315	0.05747508410843036	0.06227771064072984	0.005199079350630523	1400.956528567241	51.86604609404963	66.14018451447514	90.0380681877309	66.89937449659455	88.42165525871539	31.206086218274336	86.21883548616877	87.63033870048208	60.101772052173715	61.91732677494145	26.39014980399147	63.873980311408666	86.56140525878412	47.40850177227651	46.450820585429106	85.33953772371859	61.05974729942681	73.75023196259093	62.669002653777554	28.632356230429703	47.26808173888272	73.03877687964108	95.88959306771898	128.8903528973124	92.46411164043954	92.30831412391393	49.29134331943405	28.522450758182085	48.00603681008224	95.4521886161981	47.16945151650661	97.00473370482581	45.20332821220034	24.634917551383005	13.111603321701661	61.75382203248533	67.99473312371339	0.0	0.0	0.0	64.53064536561925	65.41772103435001	0.0	0.0	17.974216222883683	42.38181851449791	66.49578122283657	19.3207225649633	0.0	63.57555845174385	0.0	47.41205975875679	11.595389493045491	0.0	10.220597944259561	66.21640627957746	69.48242554684208	66.95771964111687	68.38833050231756	0.0	0.0	0.0	0.0	13.933022634208433	0.0	0.0	0.0	0.0
40000	-2619.695508419934	-219.46277191466226	-2170.8402828611274	-229.3924536441441	0.4428433806559759	0.456642679572686	0.20872429134439216	0.5322180979664396	1.1577845327703462	128.89898744300461	0.0	11.282462045126211	0.4065777472355169	0.16078893778078338	0.21336409616858906	0.06324478494162564	0.21615587228054928	0.050037294444551586	0.012956036030045887	0.07959207736285819	0.18189259396623433	0.030763401013836657	0.06179853568942219	0.014876854919031528	0.14798675707149783	0.02609874243053991	0.011410425119382563	0.010045744929603874	0.06891505842500424	0.020800694065362828	0.0012101212129863375	0.004674734286781029	0.028314938941135803	0.0065633932022019	0.03046740905236428	0.18897201686666712	0.03923767784579166	0.03367555998558492	0.022995365508406893	0.004702376935201674	0.008996195360273688	0.09620745933002968	0.08159975604139763	0.0020800796724854786	0.0381727542327925	0.02124325655890446	0.00938922867631161	0.011057256764414922	0.01914553370678778	0.005263964401011115	0.00025079904242782347	0.016553033586958858	0.10742522821510495	0.00047860436575602035	0.01714618529515146	1364.599390253282	48.451114913364606	66.00227641619387	89.62019988185999	67.34585752920259	85.88198093254509	26.769734452009875	85.90642375306766	85.99806329720226	59.96125347406365	64.15766560653684	27.126656912985105	65.37272637216283	83.71748370606056	49.23643184352494	45.12448439265079	85.19615043125324	58.46610960634594	70.40242897939133	52.23494822497796	28.834792514210996	47.571389036091134	74.6395324037553	95.21313606669582	128.89898744300461	90.78954421946511	87.18283705996508	48.63968728242633	26.939018150402234	45.81055314094428	99.41474648949432	44.81621284909593	97.32476620165889	49.16912730706586	28.061440519574187	15.276591059092278	61.38161551045747	67.3098708481468	0.0	0.0	0.0	63.49500457252418	64.80067667994976	0.0	0.0	14.63574754096533	47.75049616010537	66.96056226048053	14.85174631269104	0.0	63.959896304531554	0.0	46.56691748872741	14.499530600388846	0.0	12.262959311431704	65.49450070490316	73.77557799907177	69.9925709384964	67.58059589925915	0.0	0.0	0.0	0.0	15.083510964744443	0.0	0.0	0.0	0.0
60000	-2624.0510083512954	-220.0389434453003	-2177.257839228111	-226.75422567788382	0.38637051336268485	0.8569119223111032	0.36052599634212623	1.0570659933940019	1.1148435822762395	128.77065552433376	0.0	14.79980798289485	6.514251914184495	0.010809339340517357	0.6102343597111833	0.05640271680663707	0.17240687297358206	0.046240708280668265	0.0015130157214476643	0.03831207586534502	0.03478965650009173	0.0416986984906893	0.008785410946438619	0.04147043020808545	0.21493296105036466	0.005412255308974581	0.009490365821424058	0.08361667190795685	0.01764318853031962	0.03541980417036744	0.019612063458157285	0.005570942886440279	0.006375909582532762	0.001748807574538813	0.01217152551497125	0.056840021081280875	0.052145928975149226	0.03652763481405858	0.006175465087824291	0.035859637452387516	0.014448568491450068	0.18044966724393321	0.09420738662985373	0.0025746939872424227	0.03221452692682438	0.04521372768722433	0.010291371213281011	0.0030325604601469636	0.005563117505647569	0.001125535607375024	0.020458952510513207	0.00481644617965832	0.039488397990627665	0.012699628851922445	0.03247492108274375	1388.8911330451176	47.01638128480048	67.51751204242855	88.11685503864918	66.2630415080466	85.68220211805429	30.062630189512426	86.44544628576959	88.01906424863122	64.84093606481731	62.64799328650795	30.272055435959366	73.37921039946366	86.58622706057075	45.9543238082056	46.97077119906665	85.15727622251389	57.773094689037684	70.8507576553301	57.59422975500922	30.181724686778153	48.41954285710286	73.81853296216144	96.99039367761912	128.77065552433376	92.22615281157493	89.19921154365318	47.759798972238755	34.50591748541219	46.622830841911004	95.45695783971146	48.011118423406685	97.46734592855454	45.45770123070446	19.778675350089213	12.003401333647954	61.061257589277616	68.4357291803917	0.0	0.0	0.0	69.93432609952656	64.47617254272541	0.0	0.0	20.373950957867027	48.0846371124119	66.21732554418045	15.629675660924468	0.0	64.30725777124627	0.0	45.85381619356574	13.884515073250446	0.0	12.19306568152095	65.99999072044984	68.74529876292897	67.9301337624067	65.3411680499776	0.0	0.0	0.0	0.0	16.45371334620934	0.0	0.0	0.0	0.0
80000	-2634.649686069662	-222.3198774516804	-2178.1191157366347	-234.21069288134686	0.46276178874373575	0.8419112743807811	0.2856376148254305	0.9432982368251118	1.0596127290980843	129.0177942367655	0.0	10.938114146714783	4.563008844127854	0.052697911180142276	0.3349074519571456	0.1305405821147843	0.22792952250266268	0.02787341993678879	0.0009104381268682573	0.0748770140391979	0.04637890068599009	0.03051516274818641	0.05561369067081769	0.05804826018052354	0.13896570147839424	0.027843482628324527	0.036022590401903504	0.013923215042318231	0.05876218543147131	0.03937295649490473	0.021868958339921193	0.024114713227649433	0.016463992107808897	0.029577188792855483	0.0047289492968669985	0.1272575978375695	0.017146243318953043	0.0011329499295924066	0.0016603847803713654	0.006778949220072375	0.019419492698019878	0.1324110295312076	0.041992036713720905	0.021105346102165082	0.05195823997120926	0.060676497905424696	0.01822289421452837	0.0005269038431865239	0.004704657869231803	0.030760880055859093	0.001880319474877766	0.03794931378497916	0.012042052162937564	0.009652454418943846	0.03641767661927977	1397.6522492642791	45.67483767709374	74.71725922292265	87.73131904564369	67.27136113304279	85.72137293456286	29.75603457406543	86.45641541991162	85.20271096252705	59.7410227860547	70.31021971895517	26.653642291080697	66.2248016006585	85.39875027632397	48.07041769991584	45.33116435000191	87.84206286647476	58.89325622202528	70.82846726887107	56.828161698889595	26.165183652530946	46.30940929472836	73.36814882958679	98.51902685945169	129.0177942367655	93.5654608820746	87.1071169122218	44.541713588764694	30.57583456466721	49.64243074681658	95.80252785604719	46.08883049974772	96.26634038099193	45.688524406064396	24.003539091496865	9.120191099639412	56.703341595348796	65.06594352193683	0.0	0.0	0.0	66.9930332213564	65.81701896303404	0.0	0.0	19.375104411771243	45.51774748066446	66.63402500423165	17.004671569488167	0.0	64.22445301421406	0.0	45.97811756681066	9.802179799761083	0.0	8.669911234703218	65.77158605550065	68.52925587060405	69.09990347508045	67.50005938082201	0.0	0.0	0.0	0.0	15.856367021730994	0.0	0.0	0.0	0.0
100000	-2608.687716215517	-219.93450456357365	-2167.349792048035	-221.40341960390833	0.48922181814284904	0.8254550982261963	0.2604022568092609	0.9662365506249453	1.19350964790954	130.12563243135435	0.0	11.508303344358573	17.59656486381716	0.14606095526786445	0.33419680959379533	0.08671054677858393	0.18154024876882435	0.07782599969693581	0.0019234789117914552	0.027429517263711026	0.05628152007670727	0.03929893494354482	0.12060233568661195	0.05980745340688029	0.027138235064760385	0.01697193580818935	0.012345205394169735	0.01849940004211429	0.0331470591031927	0.0002508014933015413	0.008422637240798536	0.01030048952292536	0.009151693729604475	0.00749969318432898	0.010574249488805712	0.1452724851504464	0.019450262829862598	0.007912114530256054	0.0028394439403607026	0.020408577142895224	0.010412859107511996	0.12346426663529259	0.04597511590115678	0.012942283926271269	0.006401648292488116	0.020400594019656052	0.02025344757651202	0.001092127743352553	0.0031260621157606465	0.01175566763102098	0.01770251647818203	0.039170443706513534	0.05203534977663229	0.014161909190867626	0.01735542186950972	1386.1905708000988	56.32062050915186	65.46282100684306	87.84019505061704	66.31266384624686	86.30651448781106	27.74636949198196	87.04865459129833	85.34039936356683	59.97207672156599	61.90184446524946	26.598097814860132	62.62868080821448	88.25975339285002	49.781569102253016	51.305870554129186	84.24958335765342	57.98313499715611	72.02664878934671	55.10106725815319	27.339250223167813	47.817012433146026	74.98123372643914	98.94600249693693	130.12563243135435	90.68568911026156	81.3788584893629	58.0204894646915	42.86758676675075	36.814053940244314	96.12992915136525	50.57648093802397	97.44043743040842	48.77083148099827	25.440114123967412	14.16708143649667	60.19724429165372	67.95055610091663	0.0	0.0	0.0	69.57135048722193	65.82251513939913	0.0	0.0	18.818266619886494	46.335199124411446	66.0927426900286	19.040904076127262	0.0	60.95335691481275	0.0	48.552032782081646	14.144886128094047	0.0	12.408804851027435	66.00542907159266	67.9622805358969	69.21036426769889	68.94131386107132	0.0	0.0	0.0	0.0	17.155268637550847	0.0	0.0	0.0	0.0
120000	-2615.6300800498507	-219.9643775833419	-2177.444133926769	-218.22156853973956	0.30043046294862374	0.5752934567179063	0.2483416503250152	0.852291100767607	1.2360997725859901	128.5553356172291	0.0	10.431637349463765	12.428105888338587	0.01659393497614023	0.5878062963603452	0.006671814248614056	0.13791031044800986	0.05129569562476348	0.04494828269479443	0.023364379528491158	0.0788221624185154	0.031288522771178544	0.09834587848284403	0.023099453439727986	0.05338807516056912	0.0019920060412580666	0.00141605772118077	0.04012262770210595	0.011798080666023595	0.02103353497766882	0.002119033025052119	0.0012711453777566677	0.0159281399318509	0.01159895398433095	0.021352179730692738	0.09071028099201409	0.016513394774287656	0.012346569034129281	0.011926837834415187	0.013728420985782861	0.003580819266263464	0.16155613925829043	0.08358354491420175	0.002755749923985648	0.02410754519422432	0.021310294302113484	0.011361699397669369	0.03316898177973721	0.0026205110637850665	0.010164079324867062	0.0039492964777220595	0.07015670857127675	0.05191444029859134	0.0005016671127426234	0.00022327346228497307	1403.3442613012444	46.54280259308496	65.54606326463986	87.8725157034848	68.10467779214527	85.46482776095509	32.275607478219165	85.07912697769444	84.5789112223715	59.66136499163746	62.170975770929694	31.536383502219973	65.15382224075441	83.87994830375544	48.25357767401132	58.737245949296856	88.82189091631861	57.82741525275127	71.73780909028832	56.933566185855085	22.082186873971985	51.689924354427376	77.52980084675154	96.05619808554262	128.5553356172291	95.1050055680919	81.55226933419796	49.36124859107893	46.110153711277206	32.861915819751026	95.56470032863015	53.36784247955506	98.31438157267617	54.422841593117965	24.173914037496537	14.048448440743583	60.50576027340984	65.94092119366124	0.0	0.0	0.0	67.29483436986483	65.84393174629162	0.0	0.0	17.663963208454803	47.43204463843634	66.76997644014975	16.761890668534964	0.0	62.75941257411019	0.0	46.43841251702712	14.628930298492408	0.0	13.107160762186917	65.99751255721544	67.68331522126327	66.0499114426958	68.62637288538737	0.0	0.0	0.0	0.0	16.029190945039034	0.0	0.0	0.0	0.0
140000	-2634.3743406963354	-220.5319746449765	-2193.432928069028	-220.40943798233093	0.31426864716820885	0.45384850092524404	0.2013727563070437	0.7708767273470253	1.6347017730568103	129.50827094928218	0.0	19.92104837755445	17.343583716993734	0.12080174507940747	0.19814746569444924	0.0005260547943247292	0.1577631989827235	0.07132478524907927	0.04252326779640193	0.02302681162922003	0.10631166894725148	0.12180301829589109	0.00029912503849974443	0.027287094015356568	0.05721728832996313	0.028132523446149076	0.009437951924628459	0.029669489973863573	0.03575614912555422	0.013495258248269191	0.004466666612159056	0.002677917673341983	0.023790398967065942	0.006413435551080671	0.006402475883177592	0.010790336019445072	0.011510371777269983	0.01651585192768767	0.0027267215260389673	0.0194991851151912	0.0029760344024478817	0.0954606292403548	0.1713337798388439	0.020657620683987413	0.012513810251687029	0.00786878945878156	0.020622108262825185	0.007061128304698862	0.0008438050782406507	0.0038502360577203506	0.011010303142169588	0.03241290945346477	0.07967686234113261	0.000862280925646893	0.008714471427240546	1447.3747016766642	48.52832349632682	66.61953288575695	87.66355451033198	67.30059803678482	86.35690016024	30.521400767395143	88.84471578466166	85.53843820891257	61.3484343065251	62.041340108723205	26.968991528137938	62.55879577245331	85.7990719449633	60.495050715343936	45.71785478790046	85.05665324965203	60.48329281807976	75.29459519705703	69.9318377976717	25.945706614702072	49.745181593837145	79.79113689548566	97.81309121685446	129.50827094928218	95.38933385767037	89.76712696421794	45.92690205302257	29.926838905574254	52.14256559869811	102.33625337588147	45.55335661352045	97.00214813934835	51.53072772971151	24.921419428830134	12.403745930056154	60.69379649418995	66.12560358480347	0.0	0.0	0.0	67.61605559526787	63.79136793826206	0.0	0.0	14.290381443286552	44.511094667021915	66.09029041951534	19.731871830294974	0.0	63.41313646934089	0.0	42.872357561916516	13.924548046856588	0.0	10.961463613173084	64.57490336272372	67.84863327516345	69.59499820635057	68.26213893363963	0.0	0.0	0.0	0.0	10.288352965027498	0.0	0.0	0.0	0.0
160000	-2647.9274561668717	-220.6055773459624	-2191.669145684601	-235.65273313630814	0.4521734786740693	0.49227718186438435	0.1852769271030336	0.6821334832714621	1.1003045826599345	130.86843408514832	0.0	11.275240287688794	17.79868540295246	0.04156978826512553	0.6130574156136263	0.00010339072965294825	0.2108259595571742	0.02407821070014718	0.01208265538613144	0.06048473083724149	0.1534639986712688	0.09279006728885703	0.3023493649742314	0.006829239638078675	0.10054307482999007	0.022082825873914243	0.020198462754069897	0.022280686360455448	0.019564869594457242	0.022631304763287226	0.009551533845325191	0.003213774248824369	0.0025993198277744294	0.0001248901250054939	0.018843196300096392	0.024973306840839708	0.047105779237221354	0.05910093067901971	0.06978633014516278	0.009169403726425869	0.012832754823681987	0.09255784017899014	0.10198887069976187	0.000863785619371863	0.058653129253518795	0.009806105160883616	0.00068239148703894	0.07211020622663519	0.003104521034988365	0.00024717339865951827	0.0006426645671160611	0.03079907158612693	0.01943194756611744	0.03799882232664242	0.005100292097760294	1452.3637462655793	57.71035139054717	69.06790118392358	88.31761824586106	66.29672635968814	86.55395529885777	26.248691245867725	86.35350106394942	87.33957826759955	59.90013002192833	67.17084971333391	30.149370998752822	62.96328509147338	85.62464423400033	55.03221342822499	49.4537519463693	86.6372428835392	57.73476019459122	70.83478151444454	55.98879304034165	26.304721767640462	47.674986442347446	85.07798980129294	97.34714062271821	130.86843408514832	95.18914301177328	87.89414716082955	44.425625367367914	33.972943667755956	44.82999308744384	98.21346819400296	46.895927717055166	97.61781631311406	48.43658919757442	26.006687694689887	9.427665256231533	61.50257640662584	64.72897722978003	0.0	0.0	0.0	69.09059059883039	63.83565644900295	0.0	0.0	19.263716954678696	39.41831758669387	65.08869823348262	8.690422978873642	0.0	63.30182892138599	0.0	37.71589400982744	12.877883761988967	0.0	12.597069541963153	66.22305238366087	68.19047198283833	67.20584239618515	67.30916058805862	0.0	0.0	0.0	0.0	11.302188708361138	0.0	0.0	0.0	0.0
180000	-2624.7059431090374	-221.06026055570808	-2176.9850878739885	-226.66059467934065	0.5255712012937092	0.5844373675781265	0.20097212387056346	0.7643044972032196	1.200647392681304	129.02155712383188	0.0	15.452745383295117	4.986553715574565	0.11986293434811024	0.8928687816290681	0.0007026298482434048	0.27725663413204554	0.012721080224266434	0.03358532620322599	0.01758890285980867	0.06132525142700264	0.031955029020869	0.08170648468023892	0.07357719260252375	0.047267207606648036	0.01350502419992546	0.0023893398252436754	0.033066487108335006	0.027225487338955613	0.012622255201531665	0.00893944437359553	0.016848469804452898	0.018263734354334753	1.3630259365201322e-05	0.05197939614803128	0.04388987649595281	0.037146699541699156	0.027286115059498448	0.009281843337908513	5.8132365728009704e-05	0.014488061969267182	0.08081720263518799	0.06564952911141379	0.0252166315832756	0.003688368891934253	0.011593132943865422	0.02080814521748706	0.0028646978092758454	0.030574409231408136	0.029976099064191717	0.020369452683546892	0.018366526702701485	0.08133920266787358	0.0008181215711844474	0.035984191929332124	1406.7427554476196	53.46913689145125	65.85760324393478	87.80272293671065	66.72136799918934	85.76906382007748	27.921597498114426	86.08195274131656	85.32394571805888	59.770660845890376	63.617217064618224	26.530336074084502	63.77541353542406	88.94899460337302	54.84000199693212	47.546557039668116	88.17034750399235	58.69565034846739	69.64043367327503	51.642611262008025	34.64989184624839	49.55020769273902	75.3853470061473	95.47500636417283	129.02155712383188	99.54171034775	85.27146982265499	46.57907505880171	30.074302315228508	53.51910886174189	95.41176224502219	45.2442344830981	96.76593544632998	51.759317522895785	21.24556558004163	14.901922952197523	59.96658532495201	66.34921553550541	0.0	0.0	0.0	69.73109070621895	64.24867788007843	0.0	0.0	13.450763283042106	43.60369416162273	66.950530282442	13.381968757101284	0.0	62.887579889577665	0.0	48.27061136896095	12.225509619959345	0.0	12.306025097615223	63.006601725533116	74.05827420080341	69.18276322693045	67.45852774384379	0.0	0.0	0.0	0.0	12.897009309286604	0.0	0.0	0.0	0.0
