it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3454.82922873352	-228.9215177144989	-2252.803501478827	-973.104209540194	0.852030426428334	0.852030426428334	0.852030426428334	0.852030426428334	0.852030426428334	0.852030426428334	0.852030426428334	0.852030426428334	1.0	132.60988956371762	0.0	1.1	1.1	0.5940696316419471	0.47211972705089866	0.1786304454294898	0.10469913586161775	0.28642976864976916	0.14105096193427372	0.21415845487837273	0.3929475724711785	0.1405809218824976	0.22159593565092883	0.32336674521168074	0.27781801280601903	0.3611203552830572	0.16683587835655217	0.1738053317856752	0.372542746434385	0.5613354732904969	0.17620871710756147	0.12792142400658582	0.4464545340117112	0.5123795409048848	0.34403121706546475	0.15563759362947116	0.10628771064939323	0.14861045107900242	0.10906466527217584	0.30679173816652755	0.21572863816640087	0.15764267179520294	0.6033168626711557	0.1600907946486594	0.23642950891377368	0.1319092441994454	0.23261791112546928	0.1778914902938813	0.5131404796135557	0.3433549939244087	1.0252349683272495	0.11581592469263434	0.4533604568727393	0.41344485385656016	0.18251710919803893	1434.5718349415652	47.53210660530229	65.48623926383641	89.44342408793526	72.38942879269254	86.88372429110457	41.13494304302958	85.39236744491825	85.47071347038508	61.063240600171156	65.69958616252788	31.037762632434927	66.50386258691228	87.2039739006414	54.254654975434285	47.27516744722572	81.74825129563715	58.471418601973674	71.99191551381645	52.235710927841865	31.774833985957734	46.97137215487869	75.73097950225281	96.35720954401498	132.60988956371762	98.2626875530212	78.27766285268794	65.85952434408074	31.328335148415782	30.041908513031352	97.38475448207295	46.33370171484066	99.15141334025161	47.28584413246726	27.312035582718952	11.11434357281732	63.74719116896407	60.25251103846979	0.0	0.0	0.0	73.22892404597408	65.65902513509052	0.0	0.0	21.836644877500234	49.23490040117111	65.8160341811053	1.8635730588900579	0.0	62.24075546936607	0.0	50.422965563428775	8.196242512031358	0.0	3.33478537374598	64.70598337035607	64.1273566761261	70.33342428568308	66.30703115102838	0.0	0.0	0.0	0.0	18.90711723491735	0.0	0.0	0.0	0.0
20000	-2638.0743245822046	-223.8175784674719	-2171.752350795922	-242.50439531881057	0.6475389036463179	0.4126376335666749	0.8513944215797775	0.23177825296229626	0.28944820093887696	0.9015318755599139	1.7566727058740679	0.4356866861331529	1.161668149996498	131.33234373463668	0.0	7.3026587993462915	9.518806983236237	0.13210960633540758	0.40879583335085146	0.023970120558919124	0.043546408389898546	0.13780306023606548	0.006758657033862733	0.019045537148931944	0.09135823462504723	0.08434038461645744	0.048797124049433524	0.09870031389877362	0.05622457397050519	0.023667527250562644	0.05731508828448019	0.017074650469596466	0.060683368185061995	0.003626174295846371	0.05415068968854316	0.020691765328782585	0.0007317259250481234	0.03317929743368811	0.007246597365628048	0.06915830374363885	0.09413306267830521	0.007260431468336598	0.026580734614806055	0.005361602451818808	0.015422551020209367	0.1480127729672072	0.04850876080359663	0.014660276283349153	0.013649455659120601	0.05406588835334489	0.0063988745457221035	0.003706989410465414	0.011665226858502718	0.020168630885086938	0.003681572876501996	0.013833273269824285	0.05849961767664008	0.00862637712453039	0.006535657263010896	1418.7897067562997	46.85970193198721	67.61715484438619	87.91091644066836	71.75399808666415	95.40995331396341	50.56581208888782	85.34195882730525	84.16932217152939	61.53451131546774	66.57727479631966	30.74060122821282	66.41609068936073	84.7735809308343	49.38054877808571	44.787543029553774	81.62784968339473	58.15872297862938	69.58068670646901	56.02861322416334	31.225208019321652	51.88859845729535	80.21079715469402	95.713940529211	131.33234373463668	98.82671259536818	73.49703690200488	52.90610935581222	27.805122790835675	40.241789389734166	95.28434009272367	52.43506745892081	96.94161807080239	52.183528149666216	26.054484059302855	14.497350104155485	62.61045985461963	65.7500988262921	0.0	0.0	0.0	71.71472542343187	66.25752868158054	0.0	0.0	19.909924479467566	46.741545703387004	66.40619016137192	15.619843919467453	0.0	59.86409853645987	0.0	46.696953858024536	12.93844869817569	0.0	10.128149936665423	67.59756503069913	67.77962768798037	68.91314300202812	65.31900702955589	0.0	0.0	0.0	0.0	18.247170136550555	0.0	0.0	0.0	0.0
40000	-2625.736259567265	-225.9823524955845	-2168.7724683749675	-230.98143869671276	0.6560985801419972	0.4246005811174643	0.7754265544287715	0.3324070938530564	0.3184612597866882	0.9217741661417849	1.7445489964265952	0.5334995690395776	1.06751946869248	130.47032466266526	0.0	3.517874462762868	13.733401718858106	0.08584347011679885	0.17621334132651423	0.18952888085610262	0.1403718720176504	0.02481432248548555	0.021159589092895652	0.08607718220295989	0.03326264641646717	0.0608874257002201	0.023732989603678676	0.023175895741099246	0.09615993509857756	0.014153834430014785	0.00549654105200787	0.023575531359642708	0.024298788067594626	0.02189613559275843	0.00042388998966210497	0.006041937840352664	0.0032357284908809104	0.006594414274108299	0.004334581890030181	0.01177846591175881	0.024028421304318096	0.017689586267345098	0.0033772906917376544	0.021171476830515065	0.04878349172163901	0.05397751724582615	0.024130488917579813	0.03723826896818085	0.06086442339787413	0.004069606676037512	0.006605104771031059	0.010283589768718394	0.03684155531243484	0.014501759766639595	0.010965021565960246	0.0036215822679317084	0.0932293412983592	0.020740743625879018	0.002780153127947811	1406.6242182513465	43.7112945065445	70.43911640935673	88.92801347428812	74.36082775900641	91.75220566486875	47.65532266906172	86.43624320537505	85.40140631576072	61.13641124050817	70.40595540332212	27.49035944139807	67.82650051638029	83.09945470577188	47.84390363686668	45.202664765961885	89.57042227383556	60.183870091079925	70.42176218575727	61.55966020623008	31.468307006223213	46.4347796688608	75.89221229526488	98.52397871412438	130.47032466266526	92.6448557492814	74.18102577795095	49.119082797512384	26.51391811995486	28.559856612769792	97.3048384599571	51.494813318590055	98.00715327709405	45.18162019192185	30.08028482140208	14.053339104926351	62.81403623741107	66.10058833270931	0.0	0.0	0.0	71.06625931908076	66.20333777956664	0.0	0.0	22.01689771861481	48.306323958809166	66.34850528969633	14.45426708305139	0.0	61.53925686356949	0.0	50.60152023040786	13.620595296341639	0.0	11.185402806035189	65.86501382933098	59.34157937179417	69.76364618148058	64.7719071138552	0.0	0.0	0.0	0.0	14.62575117691951	0.0	0.0	0.0	0.0
60000	-2636.132552387353	-224.11127983508723	-2170.2923825892517	-241.7288899630139	0.5322760157349294	0.3813618179022068	0.5657425996075014	0.3603458796506949	0.2895960433069331	0.8887732413493186	1.2406701921987102	0.41661672651752213	1.1685041932189415	133.6845095308576	0.0	5.885566964728482	6.9245679378881695	0.12461832673205242	0.3652621849044714	0.1184176622257721	0.09845886382503925	0.07141246940339437	0.08723965092350527	0.046116200051885825	0.08937250566171864	0.010405565993087097	0.007224961808100203	0.029992330437464774	0.11289804377616414	0.0007638832649686353	0.05037738412598777	0.01758842325823097	0.008752902724267247	0.01796744204725601	0.007091460918454833	0.014523781122498896	0.0024459720883505793	0.004475995120958421	0.0030657648232584205	0.3081182445524744	0.01992156102255621	0.016369119447997845	0.02304222260877823	0.014111147009218367	0.010459935347283457	0.15188140441959763	0.021893780466688263	0.020938770070213615	0.03705872950010018	0.09763623637675085	0.018654192947549577	0.03263415160202795	0.025105971554415654	8.766406166253693e-05	0.010860274620376276	0.007762105569571591	0.00982999797608184	0.07791301137526176	0.005081831196626867	1393.818002521527	48.01127194163202	67.34905966678848	87.86702954395957	71.23571943779024	86.37293127084094	45.46535070069296	88.33175470364164	85.610194733705	61.517907231989135	69.93335071769893	30.479943313691376	65.93900449878753	85.09551055731048	45.31297698917453	49.68317667135665	82.68736601272967	58.400498540533185	69.7034580056974	70.19999995952793	35.23757726268301	46.844070047545266	75.89830750492905	96.42002069657622	133.6845095308576	90.54403959561476	76.9943113546808	45.607116408509796	24.315256014133396	30.632917041412867	96.39386226578696	47.222456949498195	99.86660807495753	46.576392767975385	24.501773318164823	13.414050772774774	63.22490523805699	65.67943347062375	0.0	0.0	0.0	72.68387915496183	65.56244772811337	0.0	0.0	20.569741563674896	50.44690581739034	65.9526332545768	8.18234246553681	0.0	60.234198127047996	0.0	51.098084349806086	8.863628199420148	0.0	10.137268375995754	67.33468517801401	69.06542302345572	69.30231488567898	66.40779615783028	0.0	0.0	0.0	0.0	17.95798304638782	0.0	0.0	0.0	0.0
80000	-2623.5890353379336	-224.19893067860764	-2165.9333048813555	-233.45679977797045	0.7225956972360742	0.40307716972968777	0.6725541708870376	0.32346991377016715	0.3715188208715246	1.0325701749032252	1.4681104479830183	0.4372619200281322	0.9788694752759114	132.3866097526547	0.0	10.988136585035452	8.01487418237066	0.17891382349137297	0.37452657403263456	0.011099325383101846	0.061285350622554836	0.037445063389083814	0.034077664712909746	0.026170012957164365	0.09587741326387164	0.09072632665673776	0.0004456116821340626	0.06514033528582452	0.11569865950305579	0.01752907685776652	0.014536452183279	0.0249786995410484	0.06770202493233746	0.009989967198308702	0.00197606530626626	0.009811186171677543	0.031941386284442694	0.008370139365800314	0.007208467814136894	0.025138981980159847	0.05135049479730752	0.017121810482031895	0.009584536500389363	0.017518956831353003	0.046296262171036065	0.12902277406886095	0.04435291456455616	0.11898281398058809	0.04512544757646405	0.005456343774549371	0.007234322041100722	0.01684842354263761	0.009000004385131382	0.005222712264253207	0.007690400113939007	0.008501552572692427	0.0680539467822773	0.0005823419836479445	0.017906008068826598	1396.1561322947211	46.23939030563799	66.24192933880605	89.1564404154419	73.94504484724091	84.11422253568769	47.50313177973221	93.06487421102499	83.81581058928215	61.26800371397691	64.38479429138778	30.014673930056034	65.42722463854352	82.24191276577082	45.046830530894965	46.33142635465811	84.97070064200835	61.17650362555625	69.5644749645915	63.89912619736083	29.78449249219489	49.44856174360621	75.7731134045144	95.38733785163026	132.3866097526547	95.6996128198022	87.34852461262761	50.390740211655185	25.162654063877493	29.306345325490014	95.60263560951113	46.59361730952044	97.00294244496165	45.29635432544264	26.325522699390373	13.733949267841632	63.886011745089455	64.39830783581387	0.0	0.0	0.0	66.32832896917509	65.8816335553068	0.0	0.0	21.29421540315418	50.60956873206855	65.1915017429545	14.749741678765108	0.0	56.80761455318859	0.0	50.86324422017118	4.497916035956956	0.0	11.60647460518309	66.96390145615268	72.58523421379152	69.68447711410778	64.84696124776777	0.0	0.0	0.0	0.0	19.830365673328256	0.0	0.0	0.0	0.0
100000	-2631.704133541143	-224.19013765570958	-2169.07199000398	-238.44200588145395	0.6503747977347679	0.4926480906019998	0.7323207868630219	0.3327681782135215	0.2540224665956886	0.8467026436721212	1.5008143051704488	0.5239968521775474	1.1076562181085072	131.32269927437798	0.0	5.546080858367237	8.4299013381116	0.06411132690550417	0.7609590103719195	0.05974386103734289	0.3929406812601151	0.01696504160313456	0.03146288077902853	0.03079670056416409	0.0261979711599797	0.07379419678777924	0.056072844938994774	0.017455467135880632	0.06353230583080624	0.010677159272181788	0.030438994232778457	0.0137113436743961	0.02359213957769657	0.00044842031292836756	0.010419477530529677	0.008735338971822123	0.0013873616875484116	0.02237792016321847	0.004134356264061625	0.09356059617385984	0.01608013302489899	0.07676806641113997	0.015072360850844653	0.005968936795664541	0.02297431396151567	0.08186114667561979	0.04523939072277463	0.012560372540043697	0.018607496513959588	0.03745855003725638	0.005059688986695192	0.004687895159554037	0.010301766575905742	0.004768037945728294	0.02687233916073846	0.0704269904185044	0.018273302816433596	0.0025998059993051045	0.043735632825531695	1417.9857075524951	47.16981675587807	66.96771548857485	87.8148607835841	71.306559472039	85.35859501291333	50.13705765080894	87.10375089697523	88.11569565239986	61.86204220362687	65.75225345569254	27.710288352086692	66.78735896103142	84.17280183423706	50.47449791304472	47.68026246054602	85.51170563282773	58.28785327265502	69.60132076534595	60.03973382682327	28.613174217829098	46.675830731938454	78.06771699015133	96.29114279347719	131.32269927437798	90.75726156553085	87.65438133709046	49.39696861586876	32.07866999938211	29.692871907842605	97.43923493203181	46.824192160294814	96.81683084938987	45.36734949695149	33.333365738064714	10.507950787808845	63.877235847936404	64.610150641266	0.0	0.0	0.0	71.2086555898455	65.12295651925042	0.0	0.0	22.133118378308147	45.88586630531849	65.11134856907479	15.711175551772179	0.0	55.14731053120696	0.0	49.97826467887143	3.7532313322903725	0.0	11.513887867004321	67.17750040210893	68.41637798282676	69.2816023981572	65.12669749734825	0.0	0.0	0.0	0.0	19.636822568421948	0.0	0.0	0.0	0.0
120000	-2630.8920275673945	-225.04576598576057	-2174.407381782905	-231.43887979872898	1.4149248530957546	0.4866315622033681	0.8172279672547225	0.26216727997991984	0.34156862216801986	0.913586454771913	1.6552614276379365	0.23051873725160596	1.0476723228843519	130.55710837328238	0.0	11.006107457262901	9.262568443365277	0.045193263967887316	0.4607809502260172	0.062113281454542126	0.19377646708166946	0.05080882001857155	0.04480229912251486	0.04518864451307059	0.06133978447082366	0.05897446010314807	0.02248072147364836	0.05122800723814088	0.09596875383388417	0.029604182082583592	0.0021078997124322815	0.06153503492145324	0.03842070943321867	0.005680113263630254	0.007139725514646851	0.007567194328793526	0.02608252348631562	0.0022526523057127498	0.040078846447865815	0.013382202120313663	0.0005891782957403301	0.05783278369354237	0.022964502120323717	0.02432274626564866	0.012482043833331336	0.09738297421561591	0.02367660224461354	0.012096212664657973	0.12515138646801102	0.01439421061925014	0.010501749498075181	0.003861061556193345	0.00847806774136606	0.0377327436065872	0.01594095441632331	0.0010498557608356167	0.036087117877289326	0.04066228763143236	0.0008050489624665733	1410.4675316791702	45.62647024750239	65.39036418188884	88.49426374543681	71.62619682743214	86.93464234418313	48.01133375717949	90.43621424173489	85.49468653576581	61.93521848453272	65.61356314161434	30.20849257823619	68.43740133319878	83.1899072436426	45.36148626868544	51.28218492847303	88.8837365278391	58.87824148633749	69.62961210338115	53.13247750796021	31.279010989912237	47.297637944506995	79.14014696495023	95.51352976441368	130.55710837328238	92.23749018647703	87.32951788517792	47.058525204352584	33.983692202756615	30.34532032094419	98.43605349562507	47.67757704374366	96.46161519895371	46.03080019342585	29.77829231495226	14.262968743884517	62.77535172664813	65.67421197161826	0.0	0.0	0.0	69.44070508900722	65.68148304076573	0.0	0.0	21.808818601135595	50.34030174167256	66.70073464224309	12.231038650410909	0.0	53.01409190975444	0.0	50.76023724865416	8.918580562917043	0.0	11.079926558084646	66.36250056218572	69.56434364648197	69.6535038117465	65.67797281531327	0.0	0.0	0.0	0.0	17.278508566805048	0.0	0.0	0.0	0.0
140000	-2622.220867222856	-224.1266505845154	-2168.1508037115454	-229.9434129267952	0.5691614001942289	0.4228007207193637	0.8114799543740715	0.3221542262067779	0.33188804152639434	1.0985802440084635	1.4974336599272202	0.44094409096196874	1.0675922908293074	131.06756410220052	0.0	13.284233674464312	9.376405865197603	0.011101657611242648	0.6970539958069683	0.3014239862162644	0.0529094138343401	0.10282401689663782	0.03794934221525496	0.00837662346030068	0.04929544134821343	0.09948035581911728	0.022797623149918733	0.0634747558825469	0.05668205866302041	0.008162780941867384	0.006141509966769178	0.018113941668401117	0.027358922460340905	0.0021127322560946624	0.012333722892805926	0.0022828543382698136	0.001746422731723347	0.007604411718914089	0.008110004231401527	0.05109466273133873	0.038164323674988586	0.03658521619220763	0.011911492403582274	0.003324507366239328	0.048187076148104004	0.1584547970244369	0.04064324608984369	0.01535859502504986	0.021927035742603934	0.02518181161809654	0.005019006211917576	0.012128158395954271	0.003861676464261256	0.010979897741245376	0.012224376869999637	0.008748205324832661	0.1522849420014189	0.014814615850368813	0.015798974448115156	1408.568110532593	49.171527153009045	68.23923414091986	88.41194528624804	71.76569065574503	90.90542361192676	53.58334023764536	90.3218790986241	84.88247520247296	61.5492343808696	64.43813638708885	29.48070189762592	66.93754052848442	84.0277634791672	49.25982819855606	48.55352844789486	84.59429601582097	60.00939621230359	70.48623492807047	54.08006506156594	29.723678294092114	48.129918531268004	75.66840523264237	95.8404789622516	131.06756410220052	91.17614031291157	79.30019002684398	50.20911576036771	31.774810066756608	29.560929008427657	95.34658608369493	47.453637434621385	96.48372123565065	45.36232418168847	29.772856345278765	10.499678691311068	62.42204587543202	66.17282474278038	0.0	0.0	0.0	68.81780199389148	65.90864203609665	0.0	0.0	20.90450110134281	44.936760298756575	66.688921146134	12.898233905884045	0.0	60.62105785145857	0.0	49.955103311225876	11.824131325430454	0.0	11.27489905540823	66.22461082375985	72.19941467429635	69.43848427576782	65.28099031512716	0.0	0.0	0.0	0.0	12.932384546039085	0.0	0.0	0.0	0.0
160000	-2635.620657905896	-223.91259676674707	-2173.056787228003	-238.6512739111463	0.5195939015762874	0.4044646182842751	0.8900013039614295	0.3870871708037858	0.27697717882268136	0.9141872848981706	1.733107916610737	0.511557748710232	1.17959483266774	130.6079804146318	0.0	17.924035076315903	5.491715733371795	0.10369389944633103	0.41437990647393674	0.14072787463649733	0.24348683027753526	0.002644639741721671	0.020057676102566112	0.011917929158781891	0.059486606990901296	0.10712775481140324	0.06199725253939206	0.024163910867580053	0.1763565109365708	0.017732593768566413	0.019550028135742865	0.018043182179364275	0.03287427973531803	0.04464848990294599	0.01998803520875031	0.010082227498521433	0.01251683626565873	0.005350872905191976	0.0004782310467372676	0.0056939907753401344	0.06452087791475426	0.03807234255397349	0.0011982868458662727	0.004675130498085746	0.014894688607297396	0.04034801900270194	0.06886475600257595	0.006077390116403863	0.036073101084811036	0.01873952331921321	0.010349618330529093	0.038066457541017465	0.005130206764440624	0.0004962495414420286	0.04025856933806408	0.03714747337575422	0.04629638550900029	0.027371316288383775	0.0047954092971398115	1389.3029076924481	45.27723293333567	67.37322353332658	88.99714363606856	72.64403365243511	85.10980909844616	47.31996396341677	90.66154846745908	85.69006079356208	61.01659184703002	65.65701631039127	31.161993737352596	65.12635333128297	87.67456834269788	46.79915037450056	44.26293547372609	85.340541597598	60.456400164502625	69.82444447552024	55.24932982979902	21.174341706769955	47.675992084292744	75.56051509813248	96.26425606739915	130.6079804146318	99.69816498813357	83.14283547997579	48.62886368101069	28.745321682306322	28.88450586774488	96.8166635418636	45.56936444893302	99.16581078982738	45.3258587420344	19.280925614479628	14.253728077270445	63.889780314737834	65.48402664787882	0.0	0.0	0.0	64.72523050527437	65.40354065704905	0.0	0.0	20.098146225422674	50.03765032452219	66.47241207328425	15.939549017735562	0.0	63.06044503583647	0.0	50.33991184658785	13.44103900168716	0.0	4.116001840089945	67.59219443603753	61.043465039909215	67.11905721217477	65.09162253017338	0.0	0.0	0.0	0.0	14.773033291867067	0.0	0.0	0.0	0.0
180000	-2641.1123186383143	-224.20584118375885	-2179.250546499118	-237.65593095543727	0.7543493059485865	0.5257678675546706	0.7899978732657708	0.31758500696125946	0.27738136011655595	0.969846408018713	1.385461555646214	0.3319378877968533	0.9771515320463419	131.1279773708933	0.0	17.803000147393252	6.684331648989067	0.12278341397808053	0.24648452516746422	0.05456597464269149	0.09804077035719844	0.12056331698319164	0.10024470290101317	0.03502579679374609	0.04999179372137602	0.05395881421525955	0.07806917826158412	0.04026029427878138	0.10375761316245696	0.0022234346427540052	0.020058208160791503	0.011912379486348258	0.05398598676981112	0.026354508391369456	0.002871159788037833	0.012292002097910626	0.017717825488740662	0.009894791681242927	0.015167768251874308	0.03037950349841988	0.007002287326542142	0.01915802566337914	0.011651487773523178	0.004384763964570999	0.014327135757551918	0.17830286888222804	0.05606409802969481	0.008561156811277873	0.020351364727006088	0.03529571680492349	0.00566719511333171	0.003926948901158588	0.02371437979915343	0.006965537439734367	0.012203775085554454	0.020827835464693953	0.08087467915720332	0.02822000643720445	0.028524868081184363	1433.005273074737	46.588462065943474	67.40030518782775	88.01744812412986	71.6455835569413	84.01538885254807	47.63705123783059	87.44998360857336	86.47727995475984	63.141981659957516	65.25384036817093	28.99684688887156	65.30144202603374	82.48321773313434	48.41231539817895	45.445911086264914	82.81979228036609	59.27120547326936	75.02358883604067	52.23814245997051	25.001198939351575	46.3853998714627	76.01477113359842	97.86545042718893	131.1279773708933	93.2017400607879	91.78929047779896	46.87135566801112	26.57825155733306	30.60888926636156	100.14168605044425	48.144005687628294	96.61793940315616	50.83380564385798	37.58085910216277	7.1514823260296705	63.57635729403054	65.4606683333692	0.0	0.0	0.0	67.56986908776497	65.78289741582186	0.0	0.0	10.44807859445182	48.92611363227475	66.61321316933054	1.7149540300160773	0.0	60.15801939867224	0.0	48.98660621440255	10.854905933128887	0.0	11.241462547963792	65.42798987166427	69.40551304084111	69.98947879861868	62.10298803959485	0.0	0.0	0.0	0.0	17.966536656136835	0.0	0.0	0.0	0.0
