Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
5	-2629.061	-2646.197	-2609.637	591.15	-220.473	-221.925	-219.13	1017.24	-2177.471	-2188.397	-2166.836	405.69	-231.117	-247.011	-219.101	674.85	129.483	128.53	131.179	1015.66	0	0	0	NA	0.71	0.94	0.01
10	-2636.223	-2654.223	-2618.115	599.55	-221.149	-222.919	-219.899	910.43	-2182.836	-2193.339	-2171.827	412.61	-232.238	-247.124	-217.964	796.84	131.378	130.373	133.107	922.23	0	0	0	NA	0.76	0.94	0.01
20	-2630.136	-2649.421	-2613.668	601.92	-219.908	-221.398	-218.681	1144.19	-2179.047	-2189.387	-2168.884	384.64	-231.181	-246.464	-218.086	756.49	128.067	127.172	129.757	911.72	0	0	0	NA	0.74	0.91	0.01
11	-2639.417	-2656.212	-2620.57	786.12	-220.486	-221.906	-219.244	1020.75	-2187.22	-2198.586	-2177.066	432.11	-231.711	-245.967	-217.126	711.82	129.52	128.517	131.442	991.4	0	0	0	NA	0.79	0.91	0.01
12	-2626.266	-2646.411	-2609.123	384.57	-221.206	-222.872	-219.916	895.55	-2172.419	-2183.31	-2159.944	251.15	-232.641	-248.049	-217.497	352.9	131.477	130.509	133.228	722.07	0	0	0	NA	0.79	0.91	0.01
15	-2637.444	-2654.671	-2617.28	438.49	-220.752	-222.442	-219.356	1010.63	-2185.659	-2196.241	-2174.957	266.81	-231.033	-245.453	-215.147	861.15	130.248	129.264	131.883	795.35	0	0	0	NA	0.82	0.97	0.01
19	-2634.974	-2654.45	-2618.082	578.68	-221.33	-223.009	-219.91	985.67	-2180.738	-2191.186	-2167.831	318.31	-232.906	-246.693	-217.985	806.73	131.831	130.785	133.737	971.76	0	0	0	NA	0.76	0.97	0.01
17	-2643.966	-2663.185	-2626.209	560.63	-221.017	-222.744	-219.745	871.57	-2188.18	-2199.839	-2178.244	430.25	-234.768	-250.595	-221.629	752.69	130.806	129.863	132.558	866.14	0	0	0	NA	0.74	0.94	0.1
8	-2638.86	-2656.532	-2619.412	787.56	-219.91	-221.536	-218.705	734.82	-2185.782	-2196.82	-2174.694	446.98	-233.169	-248.589	-218.656	752.24	128.174	127.27	129.925	940.09	0	0	0	NA	0.71	0.94	0.01
3	-2649.421	-2669.243	-2631.473	467.53	-221.049	-222.71	-219.869	840.86	-2191.501	-2203.202	-2178.98	232.96	-236.871	-250.794	-223.112	716.63	131.579	130.607	133.409	857.98	0	0	0	NA	0.65	0.97	0.01
14	-2634.787	-2653.029	-2618.487	681.2	-220.993	-222.595	-219.681	1030.5	-2183.009	-2193.995	-2172.489	345.73	-230.786	-246.304	-217.051	638.47	131.02	130.023	132.889	1070.93	0	0	0	NA	0.85	0.97	0.01
1	-2625.645	-2642.139	-2605.991	557.08	-221.057	-222.579	-219.788	882.67	-2174.579	-2185.59	-2163.772	303.03	-230.009	-244.622	-216.648	609.74	131.052	130.055	133.029	868.15	0	0	0	NA	0.82	0.94	0.01
16	-2641.331	-2659.73	-2622.381	504.31	-221.107	-222.841	-219.83	1030.12	-2186.304	-2198.531	-2175.254	226.0	-233.92	-246.988	-216.474	559.17	131.175	130.251	132.787	748.53	0	0	0	NA	0.79	1.0	0.05
6	-2645.213	-2665.998	-2629.146	447.94	-220.359	-221.925	-219.153	997.58	-2191.356	-2203.713	-2180.97	159.44	-233.498	-247.493	-219.849	584.69	129.125	128.169	131.029	1031.82	0	0	0	NA	0.71	0.94	0.01
4	-2639.849	-2659.553	-2623.294	632.54	-220.553	-222.117	-219.256	886.94	-2185.443	-2195.282	-2174.145	315.09	-233.853	-246.677	-218.541	816.19	129.753	128.806	131.445	931.1	0	0	0	NA	0.76	0.94	0.01
13	-2646.536	-2666.092	-2628.054	457.91	-221.221	-223.111	-219.987	913.15	-2191.456	-2202.211	-2180.465	186.34	-233.859	-247.66	-219.036	778.19	131.556	130.583	133.405	1044.5	0	0	0	NA	0.76	0.97	0.01
18	-2635.373	-2650.915	-2615.739	732.4	-220.842	-222.401	-219.603	755.27	-2181.556	-2192.135	-2170.283	314.3	-232.976	-247.245	-218.882	824.7	130.573	129.579	132.263	901.24	0	0	0	NA	0.71	0.97	0.01
2	-2640.698	-2657.782	-2622.644	472.67	-221.148	-222.827	-219.859	953.32	-2185.732	-2196.159	-2173.874	329.28	-233.819	-248.54	-220.898	591.75	131.264	130.29	133.035	913.33	0	0	0	NA	0.76	0.97	0.01
9	-2639.724	-2658.162	-2623.103	653.55	-220.408	-222.207	-219.116	1067.85	-2185.002	-2196.225	-2174.716	288.49	-234.314	-249.333	-222.003	988.4	129.513	128.543	131.338	1011.67	0	0	0	NA	0.76	0.94	0.01
7	-2631.059	-2649.682	-2612.939	652.43	-220.305	-221.854	-219.043	794.7	-2179.411	-2189.152	-2168.881	293.09	-231.343	-246.479	-217.882	732.29	129.175	128.238	130.92	776.33	0	0	0	NA	0.76	0.97	0.05
