it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3465.3055897184126	-221.22630854210263	-2269.7158368715154	-974.3634443047945	0.8706093562858446	0.8706093562858446	0.8706093562858446	0.8706093562858446	1.0	130.61685795543775	0.0	1.1	1.1	0.1338027544628667	0.2315834386404894	0.11698855383466944	0.11345208902121126	0.1155888255151178	0.2528169789754282	0.21367722614529389	0.35003219622474435	0.5619487559879847	0.2438803794097778	0.10418816314652661	0.1412372805690963	0.1569240916399878	0.31385527897528603	0.11673177898270971	0.2078239325454198	0.7275420292428619	0.2734130630691518	0.17924890835022783	0.11459539661850586	0.20083611980508706	0.2767121479678907	0.5607898402458338	0.3421387196233411	0.18487664048417102	0.14766862293346888	0.1713397674390562	0.12301576334248908	0.21414419892988532	0.13820262055862287	0.22002210068709363	0.8622271737213646	0.5313745764837488	0.12702098543930765	0.18270593489970843	0.13948227557422477	0.22785073319928736	0.5559628632299964	0.45623303914559643	0.4478725379868018	0.5296936930760369	0.369976346926412	1544.4159984194782	63.135658517596966	66.57656232037043	86.84613297145998	72.75954817248798	94.55342794576404	25.50167915144561	93.46767095298743	86.52622289315173	60.341889615470976	66.91242355561327	26.085760562974706	64.15839906017678	85.13779033458582	61.99777797704021	44.98462530237926	89.83760873183581	60.040979943348844	70.4486616514768	82.02407719952649	30.912159448761834	49.11774228366616	81.81047092463064	104.65549700617743	130.61685795543775	92.14054366040921	78.58318440227396	72.8734177376117	27.652507700117958	44.008833739204846	100.52326604988542	46.05524719275177	103.41769897905937	75.33733845412206	21.843055694636085	5.051430312091544	61.79255769303796	61.55615784193113	0.0	0.0	0.0	74.2631839613438	65.37292526848591	0.0	0.0	22.814566705711723	48.902021685485565	62.765139608864494	16.11617468131515	0.0	59.548370558373385	0.0	52.35577776798679	5.4922849191955745	0.0	12.619879898304161	64.3121017491433	65.07625125068472	66.28293123819252	62.33436720171392	0.0	0.0	0.0	0.0	9.812597327099558	0.0	0.0	0.0	0.0
20000	-2660.724046594594	-220.62947799400223	-2183.137386057966	-256.95718254262556	0.3503955165905153	0.46141922233560884	0.19678197312332435	0.7195352749625008	1.15079590279833	131.44513049570753	0.0	1.1334267093952943	8.539713233277617	0.196835898309365	0.05784558984515003	0.13840002619863498	0.23597381529158512	0.02646178632968273	0.019470488827123014	0.03678309358999715	0.06925279911548757	0.07139108313066854	0.030689838272019758	0.07974985236141938	0.022047729724832123	0.02445447205216564	0.0320654294627408	0.0155884837998973	0.04750925364362149	0.005878897670011075	0.02405892809240148	0.012771707702431185	0.059179372487215096	0.00450582401033354	0.02396884768838371	0.06806775256985492	0.06767749810119936	0.011768947788296985	0.04051332805028547	0.07307393054041879	0.07873806224566705	0.060726004155826324	0.057078482544012175	0.00400243485600458	0.005634200502963483	0.041331422470114586	0.014082430874897816	0.009599579502316873	0.015065095580323226	0.0018648854634827994	0.0003590950178319865	0.015235257672927898	0.03571821944042715	0.010023915798762977	0.017498961229729687	1469.7998523885624	52.14961880350933	65.39939062372476	86.88767488593294	71.06937544718924	86.92941059265162	25.229214365171572	94.13560102012508	86.8176625804606	60.56458892397378	66.06977779776608	25.866820525480335	65.43945699594022	85.29826129772103	54.717574997009926	44.02756636810228	87.73587167844269	57.404154683695644	69.93686672365679	85.11694840268919	26.98821988663938	51.61817186045554	77.70750467031563	97.09206437984321	131.44513049570753	94.09426469218681	75.86975616344012	67.10497236246856	28.535128539663024	37.38896970863727	96.7943092673727	45.21064581376583	101.07778461593524	67.84217800470617	28.110532301000337	5.029072892715966	61.91641777971444	65.98994974402436	0.0	0.0	0.0	62.647975967300475	66.23032429049552	0.0	0.0	22.512879671723965	47.667177434956116	66.28609165690817	13.964306086597274	0.0	61.3142581318903	0.0	52.3173668200841	9.085496652347745	0.0	13.745311735740936	64.94113907187553	70.92529261338453	64.25466973906258	65.10243780875564	0.0	0.0	0.0	0.0	13.945448989240457	0.0	0.0	0.0	0.0
40000	-2625.219086734615	-220.32240436118389	-2180.6789208386367	-224.21776153479414	0.44446496506763455	0.7556222982783822	0.3108444591683371	0.9956595008088845	1.0474271191998576	131.0301660911372	0.0	2.3396615334095703	3.579940626593567	0.18358215757353966	0.13312585734642166	0.024939979886616778	0.06933869449436963	0.04391776985110417	0.039140330438282585	0.059824295673539446	0.009980347363692124	0.043077860821850715	0.05910837841481851	0.001929697127125782	0.052427895199487845	0.0034600886232886044	0.015258017539895885	0.07845159538747977	0.011820202666584505	0.00497299925077463	0.013417997319795268	0.006267171677799635	0.0019227162785257156	0.008578405451996243	0.017702890453843143	0.028848367666147366	0.058696428447110253	0.010170149867823445	0.03685333540028302	0.0024231454546306446	0.005911335371419545	0.04777934647472031	0.13642944273859825	0.0024673844959220877	0.06324028561387714	0.03672358226560086	0.004617178071980406	0.019937163935362386	0.0022950645308215207	0.022684874313508272	0.01461482748652806	0.033879142301708146	0.010903289082128715	0.012629281037669006	0.0009766020530630531	1439.6203441598411	45.043121443553346	65.87442555019409	88.46597262651407	70.86600451238803	83.08153994136401	28.899678940287934	85.8776738515388	85.73739448914871	60.22774232577377	71.26231942868263	30.5055777720124	64.07855252384516	85.65260960741564	55.957153734976615	45.63349517745599	85.54988084688138	58.7785823977708	70.08955109039437	76.1295568902339	31.631704561392635	48.791118644846904	75.86091563599233	95.26811141223432	131.0301660911372	96.37850388429234	80.7065394621755	56.5151254755125	31.814323404727478	32.70458437165453	95.94448369516223	45.707134289123125	100.5721685488079	57.28482607716818	30.856647589784007	6.298313931913224	61.72093937685709	66.17903298084649	0.0	0.0	0.0	64.28151548664732	65.93656359779916	0.0	0.0	22.890306507456184	48.39438329065205	66.0607875648553	16.30671310091639	0.0	63.608201579693464	0.0	52.14619852032507	8.646725051050437	0.0	8.87233381529354	65.63964710778369	64.13068121307022	65.89626611949399	62.463352649225406	0.0	0.0	0.0	0.0	19.684880240722674	0.0	0.0	0.0	0.0
60000	-2657.6490388639204	-221.92038495307145	-2194.390063603798	-241.33859030705116	0.38291666492930243	0.5313590720409807	0.225793448740173	0.6873474513699582	1.6476702588757857	130.7309267112888	0.0	3.2934424587663558	9.36428787530726	0.09066115153383401	0.1786604327025809	0.07234397400419014	0.09292760019826878	0.017908906715548543	0.01027531689174607	0.13096392051067252	0.06686019297821078	0.021442640777318143	0.10483762652260123	0.06361824260477505	0.015167409464538236	0.01555121015504284	0.04242015750671325	0.04159876060214307	0.08443823401036576	0.0018546187225416861	0.008799747073176484	0.015057658245815474	0.04284924298754759	0.05629609445563424	0.003516869379118262	0.0436412421834969	0.024885811708716905	0.00530918567743716	0.02789929253892797	0.040958763319412436	0.0031499280536834125	0.018528109874272027	0.17096988089933932	0.05922845245261334	0.03065328506907508	0.015156051864061841	0.029396196988497818	0.004286017870111282	0.017189487090475672	0.010099076372531083	0.003095870452097135	0.03098628502410537	0.03973068570855711	0.002183351316583628	0.004010588409124886	1444.584782665734	50.617084989262516	67.51899679846325	87.66752348543433	70.47672997355642	87.81916936779623	35.09154474181182	87.10400438553275	85.97435876687973	62.290480817872776	71.4873668204474	28.236779480290483	66.48673384816635	87.46517174417609	54.58880721346806	46.81970601871667	85.1320316597162	57.61532845238701	70.60162855667411	57.62310452035363	25.502882074013254	53.754495905427774	78.33309944719042	94.64034804871285	130.7309267112888	93.01819016394802	92.37406403601776	51.39541664018883	28.98056013020848	30.10561787281172	96.75809938762525	50.34287241409793	100.9329397527856	51.3056363703442	28.115403657908814	13.721183103449674	61.38521918850516	65.46654016143972	0.0	0.0	0.0	62.017621723770866	64.25874997062002	0.0	0.0	14.64905415432816	44.53932622701906	65.40965653039193	14.29336746039276	0.0	61.01733320733094	0.0	51.99896552447424	11.472259346561827	0.0	13.138258223404375	63.50325131643121	71.8968827729437	64.8798254456054	63.20929904435201	0.0	0.0	0.0	0.0	15.465528186820444	0.0	0.0	0.0	0.0
80000	-2644.0399302462024	-223.2799251680009	-2186.3480284832367	-234.41197659496493	0.45528587624418465	0.7551360898508542	0.31285359448542643	1.087659404660815	1.177655900152627	130.70508603703155	0.0	5.460181240041898	11.836538771636745	0.08637859623413816	0.16921938443646994	0.07043638818176488	0.19405999593386616	0.011532196914200151	0.01890516841626101	0.06584429307035919	0.036313461415145354	0.04602460590835311	0.08388278539381513	0.053945187460397205	0.03924054538968021	0.03850536282559398	0.006035009425999147	0.03914114877576454	0.0029371390354641894	0.0074860357312341134	0.02713914639466049	0.002556971893879605	0.003420100395565275	0.0025279003800425834	0.0012693328460069893	0.0023288141104245304	0.014181615702540642	0.002268661219325201	0.056015071944396845	0.03488052642059199	0.00740006727526907	0.055347214111242805	0.09124372309841343	0.01211624244605745	0.0058920232478818675	0.0076685516305212776	0.0065193534372953625	0.001107437628854899	0.006714884337698278	0.0011173162472093005	0.05308250374675993	0.04689875658451759	0.02345529352285736	0.01890205678603641	0.0032595386476602446	1444.9770923008944	59.71230470783791	65.44987025516942	86.94493785333935	70.98891716099142	86.4499742094995	37.6809492693907	85.6790087315982	86.23637749245124	60.57132644060152	66.6419147072356	31.359421925097323	65.16161228854716	85.23710729114832	53.53603417341473	50.06958031517063	84.49130569766025	57.60381895861706	70.93088672704555	59.504200882938164	36.384686963233776	49.41500959391926	77.28930319940355	98.17999057806637	130.70508603703155	90.69392860572871	86.55007910172603	55.807182011874616	31.028581227446306	35.53088409235231	95.31216862235532	50.030548236679415	101.72074218637732	49.04757900573973	31.333690842916756	12.083275442315141	60.5254094383149	65.63107857175639	0.0	0.0	0.0	70.18149008904565	64.70603432062151	0.0	0.0	21.623676466901316	42.98681146298013	65.84855870671102	17.08769817856833	0.0	64.18839874052482	0.0	51.89416054551519	10.858097213487317	0.0	11.63220639513824	62.25739685109539	67.42610734610884	65.39018685407267	65.82467869910364	0.0	0.0	0.0	0.0	18.156651769449955	0.0	0.0	0.0	0.0
100000	-2649.6472687265054	-220.299797486091	-2191.921714481015	-237.42575675939952	0.3226903491717969	0.4807562078501352	0.227916918857002	0.670875252831178	1.2306649396056155	131.51539614896558	0.0	17.860578739545474	11.640846819173603	0.1750147632342277	0.2973649223903827	0.01844666297309969	0.1561936214328071	0.04266738145615336	0.012830264907750565	0.005572753089425887	0.11822863080960007	0.07469241407735532	0.09311055039256938	0.030569552432485585	0.015726110289018203	0.004183040007807941	0.0022784827868357524	0.050209244452444665	0.015787571337010486	0.00015260545930998156	0.0011597164744879273	0.011970839793587436	0.037357716195531285	0.0025088848761863794	0.014603928502702089	0.20090404544838925	0.00939173801449469	0.0015614200653061453	0.030365443791143514	0.016362633759336796	0.025511355881676554	0.12974993316757275	0.1012331229204738	0.02075421245878205	0.05111264810343708	0.02890468149767653	0.027359090525488794	0.0018975801425119804	0.02513921741802323	0.002577808723169374	0.024100019531617257	0.006169858166125099	0.04557837308307355	0.0036655988093953515	0.018318247039334504	1451.1721525327007	55.60766710477481	68.54387427644659	87.69605636723001	72.0474638402724	85.7362876413987	31.211494823757835	86.28440247515269	88.16253046319322	59.95830111843847	66.39930702379856	33.09414414486509	64.66663196223763	85.88832915287206	56.1162937005099	56.74580355585854	86.57754183238349	58.248013186289384	69.8708787004601	61.873875964423306	30.990782672167366	52.965517675102944	78.61353146604753	97.6601928672879	131.51539614896558	94.31064241080604	86.49323249870125	56.008018655290776	27.936120479463113	30.068197988394527	96.39441092241725	46.117689623396295	100.94133279004869	48.76664864524498	25.345024468959252	13.804500464615252	61.19917602678788	63.93543781016973	0.0	0.0	0.0	60.85037485667384	66.07602823423234	0.0	0.0	21.91860475647179	46.2920207961499	64.77234917333774	12.886981800383227	0.0	64.39220215902645	0.0	52.63504203796836	0.7462069283331448	0.0	11.15559097893499	65.62679802864412	73.04381965051783	63.726762874815286	65.89558427566936	0.0	0.0	0.0	0.0	18.726003261224346	0.0	0.0	0.0	0.0
120000	-2652.7222062095257	-220.6554216852825	-2194.463667706003	-237.60311681824032	0.413887981465482	0.5887641649505893	0.25635282066673154	0.7563994041421351	1.1609308061817345	131.72391233610117	0.0	13.862275257408955	16.768703849072065	0.12227642617256682	0.43560877243195906	0.05435009166885541	0.09644728234976355	0.004115333837699022	0.07712467745883912	0.0631763565325889	0.03657071556321979	0.048377442014658545	0.018136663008952347	0.0027059421156639964	0.127939982352224	0.02278970526814401	0.031855883486904754	0.061185161449502326	0.028233586624834387	0.006847678185407575	0.03476521031689306	0.018433634106239362	0.009362106536461839	0.004087575404590423	0.010502847414999744	0.03441254039408179	0.019385966646621226	0.040993150524748244	0.016346806802230295	0.03017935683808586	0.023449071461822634	0.044906507101742515	0.13095643447043492	0.005583410601153687	0.028112327735188604	0.03498001323238545	0.01371189931714448	0.016681008207579444	0.05274651449216548	0.006550534782958726	0.0009079447295496939	0.044843201134194086	0.040289909298800386	0.004835931968728859	0.008385334137864596	1438.812011332381	46.774973435859714	66.5090693860502	86.9604491328781	70.58738868365799	87.83872639904865	30.6660982396956	90.63626198149203	85.61159959099382	61.186315941742095	66.71173831706733	31.81521554744965	65.63583866890289	86.9478139813595	62.908129194816574	46.07381681176898	88.67774161074689	58.77779170686145	72.57870781093453	63.00112468638288	29.93206441527814	48.11010444621457	79.50981382789313	95.19362529855543	131.72391233610117	95.98533889641438	82.18827889835535	45.225885002466526	30.250703127804023	29.475891837249456	97.91070714908055	49.35817190502785	101.83186727165182	45.597035601990115	29.691642797402142	7.167090750770614	60.769206657338096	64.9101535306487	0.0	0.0	0.0	61.62164961004341	63.32405036161349	0.0	0.0	17.88173859589363	46.407007085848534	65.26844407041432	15.076309701469803	0.0	63.868704396415446	0.0	52.899168270621146	11.079379891124935	0.0	13.46352559962611	65.7419492424447	65.4479913138309	65.72762402916295	65.35046711899909	0.0	0.0	0.0	0.0	17.067372380546768	0.0	0.0	0.0	0.0
140000	-2661.2646119437595	-221.41824526623384	-2187.996738448015	-251.84962822951047	0.2724559359130869	0.5248120717679488	0.31879977853900127	1.1196257601260722	1.052110468371923	130.9915273345018	0.0	15.292351947868488	8.901456839775147	0.07909816453363012	0.40581918461470795	0.22735960845692066	0.16493193636035644	0.024180546074527087	0.014549490617531052	0.08689344553454925	0.0418284111891527	0.08520996280436867	0.11109274504877491	0.027088704377533846	0.08519126966923778	0.05985596697391861	0.009446976352072204	0.03654475739735781	0.01884608877721887	0.028061302702223696	8.974860593409826e-05	0.02273508302909326	0.004055680204387063	0.0019497913313913018	0.07833256575063066	0.008046825068353124	0.13663784687298083	0.028908136129920752	0.038404772399571976	0.019758415636342248	0.030125663245043247	0.004709214852994456	0.16503324793358892	0.0011922772286797722	0.06992554430093771	0.0312175875720414	0.0033224265053216884	0.005658954019396494	0.04349547549743023	0.014457446921509288	0.044826124217158335	0.03311652307769666	0.04165923217850606	0.0773141209446898	0.00027158002798256976	1406.6665637084866	43.42665814141448	68.87434054006184	87.71592112920912	71.10295681359716	83.99450271763276	31.38408050674705	86.1634595979151	92.41033115797758	61.403326841557174	66.3682756218702	27.14011422035027	64.27295309768962	89.99863603887597	55.608430768710974	45.7110880814819	90.6958536938595	58.87729383126865	71.42430043415844	57.467069295955774	29.088818665906587	49.682524059315405	76.04956095781368	96.13871530965315	130.9915273345018	90.11735211845814	86.27730474272894	49.06312726031143	31.084657562297686	32.67943375593077	96.29169692634117	47.77748843178419	102.64369939759418	51.51985392683813	33.427680577854694	12.23721384420267	60.58833932258555	65.80286781623468	0.0	0.0	0.0	72.81150001839983	63.00851508963883	0.0	0.0	22.800267350693495	48.5191445086139	65.87263325674004	12.96190566500869	0.0	62.37445994111857	0.0	51.94804861412983	10.595734104793262	0.0	13.669551080048988	65.95662455243118	73.3990761281315	64.23687471382542	63.77479408076128	0.0	0.0	0.0	0.0	19.64891976181935	0.0	0.0	0.0	0.0
160000	-2641.0823848506134	-220.2099877168987	-2186.298025386721	-234.57437174699362	0.4220811196627229	0.6535918613943694	0.24201702639782843	0.8179812355855258	1.1875328895481045	130.6582754917281	0.0	17.363440049328325	10.442580574696875	0.14135437235102652	0.23024130978807164	0.029495704006922793	0.1745862052540718	0.003461587237861683	0.06353586472726049	0.005163467927377221	0.04918738937302404	0.020888532758777358	0.061642430087469634	0.03704862578833763	0.04759241277466918	0.010165704422847342	0.015989781459909744	0.11487670551804707	0.0328480303538895	0.010486120460261338	0.006159282376795213	0.0006379521633974358	0.020825651545884453	0.029552380783158277	0.013618886887453045	0.029503862113640512	0.06465294581847784	0.006741812771035133	0.01659166417894968	0.016073529181242014	0.010325775816705534	0.09424191033472533	0.051519380136140595	0.0017123591957394792	0.007333433260501463	0.039271582594558214	0.000764360623263101	0.011568035156391569	0.016349864241004545	0.009978901881393549	0.04280208079118955	0.051670751777026694	0.0463733447181303	0.003515887180990079	0.01681177061335982	1415.1713609573444	47.083644884417815	67.77883642658782	90.24411380704954	75.04208634653044	88.6075333830273	31.242325787304853	88.24676644829806	88.22287677130288	61.91247367890971	69.21723624329286	26.914357279226362	69.20989282835276	88.14525514146432	58.67764485313241	47.73822230825743	85.82000127557758	57.234018474204774	69.9601762826179	58.3551092830829	26.689386244937214	52.33890944522086	75.66718798667131	95.4518840664455	130.6582754917281	89.8735618006995	82.68899340005717	51.43947454444303	32.405075170560316	30.859017785926053	98.56605571201648	49.03464046676826	101.1190073753061	47.840401768100655	25.921823744281898	11.936010376442441	61.70975542685238	66.4027841023891	0.0	0.0	0.0	68.17073386955866	65.71166107913798	0.0	0.0	22.643553250623167	47.99240950866835	66.03744501887505	16.302784253723065	0.0	61.561800397130554	0.0	51.97504709173437	10.013273670241999	0.0	12.45932494454391	66.13116830187748	69.47550887656907	64.89897611686834	62.595610245308706	0.0	0.0	0.0	0.0	19.017059017911276	0.0	0.0	0.0	0.0
180000	-2649.8194567941855	-221.5347391918803	-2190.197723495717	-238.086994106588	0.47523613399979675	0.6231763838003084	0.25570303141827905	0.9358293442283067	1.2543872535364966	134.28546052637358	0.0	4.445093215103766	8.07295960680252	0.15558932864082042	0.07112506339972798	0.09315747905309532	0.18429212501192777	0.0453626892097105	0.03109064482175288	0.03272598010750031	0.05513931425387544	0.00010342146397031328	0.14275010348879044	0.0021658519220092913	0.11853683225666835	0.010382393315405929	0.03661667887411625	0.03965759575778851	0.03508407941336851	0.030191942219815967	0.0028795508714591135	0.015227674887965606	0.007157733959327023	0.016095307579581816	0.035925498960567556	0.0970167878462383	0.1738783753175293	0.00936226189488621	0.002986213743039205	0.007642616166053779	0.006654538794375618	0.04966607245779461	0.16293244922740954	0.0391801807852234	0.037583731716915654	0.009158233375572608	0.010934414096146535	0.031575702476382084	0.0001486980063793884	0.019670111152733264	0.05126522128431684	0.0032048333836641493	0.02149632901284458	0.02119782334640286	0.008911780063999555	1396.5122687238231	56.917407113964295	66.55895772250538	86.8960081865879	79.60697197183926	85.09739761873305	28.808146574840677	88.79131995612245	87.61012281796037	59.945963258248845	67.76408699533394	25.24681275951958	66.42844989787253	85.68496366273426	46.789813250807065	46.873740809640104	84.58635326339119	58.573524991168966	73.0559357337172	56.265852296986985	22.31266568433322	48.77477549949039	77.04517838832098	96.59005232960047	134.28546052637358	94.72378987429803	74.3416957018451	46.529023849620266	30.705352088736223	30.603444023240158	99.81332577550059	45.50466202581393	100.54190720315373	47.316224853956	28.78085613732456	5.702480812890225	60.677103917091294	66.69325195998586	0.0	0.0	0.0	64.61570911057512	64.2228980519008	0.0	0.0	21.901479813542643	47.555778032539195	64.8072467777265	13.596759202605742	0.0	63.71363898505741	0.0	52.90639619448177	10.41571492678717	0.0	10.812795218901421	65.08909822169682	71.9832459918264	64.43204096577576	63.47120337074389	0.0	0.0	0.0	0.0	20.261132565630117	0.0	0.0	0.0	0.0
