it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3666.8601487519877	-223.94416141855572	-2245.757971479456	-1197.158015853976	0.5138205667736376	0.5138205667736376	0.5138205667736376	0.5138205667736376	0.5138205667736376	0.5138205667736376	0.5138205667736376	0.5138205667736376	1.0	130.67151319555808	0.0	1.1	1.1	0.09228991493760817	0.31854241630947033	0.3959263571653221	0.12667544973043496	0.10580328552851305	0.515699286598725	0.3759533518886302	0.19670463603618835	0.11649960292132455	0.13675446766024443	0.5501875379443207	0.17869394078652745	0.2173312816147472	0.3521589443464618	0.8194893105361599	0.24216296058755182	0.3806324350186888	0.428477798761593	0.35066989529048714	0.1642263293075503	0.6909287313463266	0.19628974685771208	0.37322844894472323	0.35837163731201815	0.27038738703840764	0.1411248080277937	0.5334362209239075	0.2926485794638276	0.15686893258422532	0.1596907550103144	0.3322449918649877	0.1511352634702644	1.0919402966336715	0.657371477548514	0.5550108863544211	0.8904278468159796	0.12737515833155455	0.20857427699629513	1.1894323888397056	0.1760069901556112	0.12268324361089936	0.5844768881253268	1471.9644489202365	50.40503871639473	65.84931308702629	86.90830933780589	70.60389374346431	84.56097641757829	24.560239575948405	90.60872509673864	87.08515889215592	60.2893761419964	67.84703795786375	25.259896741345738	70.79593346737849	85.53342368089852	52.16969005793153	46.00299671134418	85.73026785153932	58.71188023975959	70.83408568210135	61.73823621455146	31.34085961730415	48.81372281601617	75.99171972364282	95.31826742387089	130.67151319555808	94.91501215708584	76.52093231409603	58.59999099385162	28.933527275618065	31.952893981155974	101.42658072392707	44.577451968258366	101.04662498013012	50.3235765411441	25.745552036238436	3.4894717553008174	60.28267324994942	65.57462135936396	0.0	0.0	0.0	68.53282324167378	63.55166218695493	0.0	0.0	22.242602176353387	39.50980362653513	64.16035863047085	6.28272237147889	0.0	55.468564117783195	0.0	52.73777069695292	8.358504211567679	0.0	8.971561212656251	64.61550743131535	58.932961755774656	64.24386137712403	61.79794121510551	0.0	0.0	0.0	0.0	0.9548458251234315	0.0	0.0	0.0	0.0
20000	-2659.9380404794765	-224.04240587117906	-2187.8347653637315	-248.06086924456577	0.454954701359433	0.43727803566159545	0.5315031465947265	0.2806088811339707	0.2687963317123812	1.0376319369506615	1.596111014281097	0.6153879135433701	1.1094582256585208	131.57736073238533	0.0	0.6206361528382948	9.609985690828989	0.19636610448122105	0.15582927050311005	0.36257046495633477	0.28350918818301785	0.03743897123440469	0.08522928375956734	0.09135629790140742	0.01987566361279437	0.03328332412675402	0.15745097380129347	0.02338101089980864	0.06245467098489727	0.012445341856025556	0.01339510513153303	0.04351768460099852	0.03117978617806918	0.008764518944737034	0.005651176271620552	0.008218932471882927	0.020067956266857402	0.00994363568006538	0.024117766456225227	0.187088188261163	0.17709935917674266	0.03765219744749673	0.03574203028776468	0.007643792075508456	0.01610751877218558	0.0019053356562599736	0.13245703313428217	0.0032931013527512194	0.013752639838353436	0.006692264388002519	0.062024549705191896	0.0054181140776739375	0.001953843426391739	0.0007372537469251849	0.0028605232466445934	0.0069792332696157885	0.019544622789183497	0.0493319259183208	0.011857613072799266	1439.722210391511	59.86496920807636	67.59280616070177	86.9003273689621	72.40246322188199	82.90523594948611	26.63135642774288	86.06315290706466	86.04937287431596	61.158448092068156	66.38596646604623	25.654867246246592	65.16293248712566	85.02234185205667	47.46593438918622	45.81781416727122	83.87558376968916	57.83877891969469	73.61021475588662	56.28400371313692	27.48449938743433	50.54961695161459	75.89706675511148	94.78275941814694	131.57736073238533	89.91679423489241	74.0826172203105	48.17483527092249	30.42657307153243	29.255665085129962	99.5920590712545	47.017655128926584	102.5692447457511	58.57210537190017	25.575063193930635	9.205078550217678	61.18639595154118	65.90198573271861	0.0	0.0	0.0	64.6721652567909	64.36523178457124	0.0	0.0	21.675641162125576	41.61632694486596	64.03764773171955	11.767449117282816	0.0	61.91756304626824	0.0	52.89712472874332	9.336596905647621	0.0	11.476494838319306	60.522532570527034	54.424069715777	62.8900552059464	63.20463868285644	0.0	0.0	0.0	0.0	1.3412772984532613	0.0	0.0	0.0	0.0
40000	-2640.869739423959	-225.44279427806921	-2178.235671485554	-237.19127366033536	0.7289960209325873	0.38333298041664843	0.7135792531930006	0.3623982718711518	0.24255301245018931	1.0855911778859126	2.241003575223681	0.5947962316991484	1.0124007094126173	131.24210609517883	0.0	0.7965674206252703	7.953899235230458	0.11371396917015174	0.36556522736899943	0.32133454419423857	0.08789565899751485	0.014365278215021194	0.047736190659558045	0.017135626692549425	0.024863648593814777	0.012101899645612634	0.06672282965708111	0.022017032022081703	0.03592697617720366	0.0759545972488715	0.01316871229031672	0.021026086085427644	0.06262332630846285	0.0042206847796425195	0.0038257098878333585	0.029619839235195733	0.00396268709625742	0.020733807647509258	0.0645836356309316	0.0628123620455514	0.017115453181473946	0.012729463470187509	0.009211589461477125	0.021653263202735654	0.01757591919038583	0.03073008320336085	0.1034185075433114	0.04737724848803616	0.02090983716417842	0.012382837927995521	0.0009677594458425296	0.01622021111406112	0.0037189452624915376	0.012576850884779505	0.006393748209470304	0.005212666078268202	0.030640292262654977	0.005199948514607072	0.003722271745757876	1443.8892802786556	55.528713907641404	66.40935011317681	86.86900114588529	70.45491213853646	86.16950724342703	28.083224250937306	91.94792863531512	86.28401124911282	59.97213005492237	79.85692967631398	27.790641468330243	66.03484015634375	85.05167612391465	46.94869978679819	44.684315045845395	101.4669574699782	57.79382368173619	76.27496125455775	55.887591708351124	25.557282236056746	50.418396524403676	76.9520872486278	95.74421740995203	131.24210609517883	92.486114436247	91.18970537008457	54.952842188904846	29.610712187992352	30.727742036741983	96.07231953910488	50.872353919013754	100.47030459791293	47.307256768555376	22.341546055391643	12.606799640934282	61.491536359168656	66.43946495219255	0.0	0.0	0.0	64.16915580970579	66.12664034257885	0.0	0.0	22.871284703398914	45.871682017142575	62.824875212285875	14.66565985996672	0.0	61.32162034531151	0.0	52.93643013918845	10.129866674832291	0.0	10.149346896130773	65.66391067637184	63.40663976752265	64.83491790399367	65.63763501907805	0.0	0.0	0.0	0.0	14.417455126833339	0.0	0.0	0.0	0.0
60000	-2644.353762368336	-223.97195381058813	-2180.4441543071653	-239.93765425058245	0.6824162115027516	0.27739536257870423	0.6959606791688144	0.3113282480797898	0.22871982826761758	0.9370005914303091	1.7035282450893408	0.6881334466724562	1.135467473679465	131.25931235077545	0.0	7.5264474153025045	6.589570321331852	0.18115236848002225	0.1177650703733176	0.10148173819389014	0.09440776508530264	0.02226133167888459	0.05996244926862681	0.06061610537414506	0.020384951634309145	0.06593914665116143	0.08875401641150107	0.03758089947738078	0.09658553061913076	0.002387175464044653	0.00017232439041159494	0.03656811221614381	0.10249673762088014	0.031266616634000106	0.0044704221755252835	0.019441716168393047	0.031037801141327946	0.012272428512013633	0.006461562284150048	0.043359086192151224	0.15356110742009346	0.02958360013118413	0.022459263982609935	0.0009871517838031865	0.0035061792074393165	0.039938251602893486	0.22933517778993623	0.0240004494920206	0.005804106135993118	0.01711462927409463	0.0016267918892608074	0.001833179937417016	0.022876009787340935	0.007949702305144326	0.014396198310331019	0.014947717243032186	0.04475475702404126	0.0024530272529778817	0.0007139356314364201	1441.8224837820476	55.65431090883317	77.53695907257523	87.708157987926	74.32298483417102	85.10561113310285	30.588294032728736	86.12782923791774	86.53232819590627	61.62287997105206	80.77087276377495	26.145518273283084	65.36767799665854	86.11255533019578	55.08402844036491	50.22427235295398	87.46662805067129	57.206338507714825	78.04585882971053	64.23713268706133	31.685497678316707	53.934525684578595	76.27412944761429	95.80888877905493	131.25931235077545	90.3777189875468	89.08145996624242	46.52312819330303	32.471836740219125	28.998920623990713	95.00836017878049	47.95482394293895	100.84635384479849	45.34418579576398	25.917355640803812	12.046954911779613	61.27188012636871	66.26868084194422	0.0	0.0	0.0	68.57264411399164	65.01273244985694	0.0	0.0	22.55263040169144	47.4022625505323	65.93646775181757	13.23309382828151	0.0	61.64051183359691	0.0	52.653732951794574	11.616178159276387	0.0	12.315122822810874	65.36335706080172	69.89656318037643	64.43999463513737	65.35282910347789	0.0	0.0	0.0	0.0	19.948615955746213	0.0	0.0	0.0	0.0
80000	-2646.3230507384787	-223.33593949966556	-2181.610602023915	-241.3765092148983	0.6056578670477846	0.35219049874495495	0.5313163616727458	0.31148567084042583	0.20318590487924215	0.7106906663747833	1.4663168189210902	0.45097074566005635	1.5298293999309476	131.49388323239674	0.0	5.741835310784963	7.531695841875778	0.16639988212402446	0.09106576369633704	0.01269885440715319	0.2036638706537957	0.08019158874989916	0.01942649010587378	0.0655310344963693	0.009082674140272005	0.05240713739088674	0.19063868632889114	0.03019209295432026	0.09520636180087051	0.029223336542889163	0.017102730737081927	0.012043449490686765	0.020013896594816696	0.010235938363222357	0.010122524809049144	0.003963994597360286	0.0005970059660766467	0.017234702621230804	0.015600215891220688	0.05355463321186353	0.00226115455391787	0.026803250244334206	0.010597137444765124	0.004211423782007088	0.06251864339209667	0.04012924340580463	0.12180303638307305	0.054061519875440334	0.04750078279195461	0.08963085019235405	0.007193294627363853	0.004354501482750382	0.002219004008562512	0.02702814943283502	0.00016505010133599228	0.01913936612511695	0.04664435944544813	0.0015287572186844876	0.0101157032696129	1404.1834750361413	53.92436651223497	65.4109157121197	87.65166684272413	71.65729686887344	84.40345163800603	26.687931885953144	92.59018481117543	87.47247087778744	60.9228890585953	73.29215586587	25.97588809714869	65.49062870956975	85.76712080937799	46.93937558432225	51.288844792181656	85.13111667129233	57.8591148633061	70.23536391160688	55.717831284295414	26.861826662534412	55.782301581023944	77.00977474977955	97.61379350860666	131.49388323239674	96.06079735502746	80.3690409125524	44.12291885912107	29.265286243765924	32.21896543672781	95.40028050500045	46.285473826428586	101.46167208362682	47.670189482623115	29.254271817618474	11.203355197059794	61.55999850122323	65.24261951330207	0.0	0.0	0.0	74.51506712190806	66.13079767823199	0.0	0.0	18.389835233490672	47.297370419015216	63.19501526192549	17.945581483456543	0.0	63.24445748783569	0.0	52.578820852049624	10.649894925359245	0.0	13.577721571749052	60.36254477968757	68.7722896452814	63.45613676408802	63.193562700194335	0.0	0.0	0.0	0.0	13.790546881274501	0.0	0.0	0.0	0.0
100000	-2641.594007357242	-224.03248461632467	-2181.7823534347367	-235.7791693061804	0.18392371965495125	0.2317966830655874	0.5381148860867144	0.20726113228994986	0.1548320709653472	0.6070430450347847	1.228270010510902	0.4645985060127607	0.99786363653971	132.13336283420196	0.0	14.582145824633914	7.519280185085819	0.1932033152054014	0.32586956358277264	0.002933759017563918	0.11692224823681487	0.031238656643452024	0.0021370929977062754	0.0748909125704808	0.011264481786368056	0.07404992855551552	0.09806489602041484	0.05832915415105106	0.04846804265691834	0.0035457832598372405	0.004848004224102088	0.0009578676095690532	0.035928578419004265	0.027584579316423732	0.0034159152924533383	0.02430532325107637	0.0007636091593592355	0.006079266836788472	0.0319717242711788	0.13370051631853583	0.03532261123027282	0.025075927684396065	0.013332246138978134	0.021937298569642133	0.00949203714916382	0.12081359851368012	0.10492317003479819	0.025267735231208434	0.02497847982192054	0.022062558524701955	0.0396656085286594	0.0073785519704945065	0.007893824336406962	0.008549070438773117	0.0033024188938542147	0.031015692386783013	0.05948197807310569	0.05020070181959125	0.043632557218538315	1401.4965470024456	45.608055520872476	65.61463482193257	87.05959149505216	74.41731016653951	87.43445106303295	28.292598579717417	86.55633401250746	86.99037925967247	59.964739291597915	69.30947742182647	26.533509175568902	64.13782712451169	88.14561820698502	47.46163749616726	47.8071957472645	86.54777240928289	57.76657818567816	70.03171715519672	55.43450542872373	24.703708444091017	50.843923209369294	76.25222292880616	95.00925990662134	132.13336283420196	95.53456899016703	74.1785605148683	46.14902511599254	28.337384626045935	47.9501360120599	96.88872088641159	54.195735921412854	100.492753422797	46.37659785026331	24.133566013077786	9.051523278158127	61.861787564507644	64.7869339408133	0.0	0.0	0.0	65.14570997624824	65.58875233537707	0.0	0.0	14.539932745383616	45.739308585049585	65.35995151711315	13.865995412359352	0.0	63.41168786070798	0.0	51.769006372381085	9.820452426288934	0.0	13.431567209587026	65.80307462167059	73.19259980218996	66.09570113991768	65.55421213205373	0.0	0.0	0.0	0.0	11.778715316063629	0.0	0.0	0.0	0.0
120000	-2635.987997132986	-223.2483605874905	-2175.427554779919	-237.31208176557675	0.4994165325973811	0.35828586526239764	0.7045423325943367	0.2772604824402349	0.17555254704500567	0.7531043392057163	1.3581756563114593	0.47026303608255604	1.3372458089396024	130.91334835077208	0.0	3.9846299726551786	15.686014855564345	0.19219978477728505	0.12338943507958201	0.16076616991923715	0.09117547230037702	0.0336380016752607	0.013862591409713047	0.13919746566542263	0.014985071501690286	0.011943353283426342	0.07110107554815309	0.03983602544368029	0.15360798568045295	0.003851127023545191	0.003310855161436078	0.0638365257498622	0.029669491458044584	0.0058586880751322614	0.007994994560674032	0.012294800528744227	0.014015880464405626	0.0045469480919998854	0.04920422289239634	0.42101268696137334	0.007322383426062061	0.005855802925235028	0.0038014246579331514	0.0360035627127246	0.05915123581928935	0.0123340084234692	0.11366389693280639	0.030458403584654025	0.030516758242904552	0.06994309125838462	0.0006710190006439486	0.010424641957122912	0.022571026508678958	0.004009294677749726	0.01547878329232607	0.029987266166264518	0.06272670205034155	0.0035536687424863986	0.009174987178385483	1416.4186979576914	48.78662347677541	70.89902934228678	88.1686677024306	71.97866008268865	87.74835528147324	31.199647844826615	89.57984634239799	85.47844269121642	60.69114128823548	70.9712186745712	29.006904769851158	65.44297463565962	86.42636719817223	47.38966231070721	46.30651453469657	81.67605105941155	57.59652166955516	70.887766182527	63.7619442939407	29.357386304802137	48.165099934778446	75.92367202114467	94.7081379070161	130.91334835077208	92.19574162615055	79.4356603571533	46.83838946072801	33.47837986896612	49.50382440847019	96.32728076440529	47.500498946216226	101.92847599033435	49.36006366884691	27.785550734448584	12.989546526006766	61.132479584028	65.31060399105583	0.0	0.0	0.0	74.62251500111451	65.57016981520664	0.0	0.0	22.77297614276614	46.29118219396305	65.69939418638577	13.630583973166493	0.0	62.263333160323256	0.0	51.394848913051824	11.138244682140511	0.0	10.31472623170349	65.76396426816255	65.97949108237687	63.484058307800375	62.81282023914831	0.0	0.0	0.0	0.0	19.828213469564638	0.0	0.0	0.0	0.0
140000	-2651.1950058676643	-224.1330630797661	-2184.363114303346	-242.69882848455245	0.49512839526831187	0.4835742496416697	0.9177514121069205	0.29509356481161153	0.29366958381283176	0.8386054023337681	1.8220562560269637	0.614112825005993	1.0814894794029546	132.43818206946779	0.0	11.461389042181809	4.4687921669283055	0.152299358830138	0.21793058399025883	0.3492854949182548	0.24720739549080328	0.05349001985722739	0.03252127221681407	0.029986649324539212	0.012449498064483791	0.021069948029863346	0.06043813382667655	0.031030602423996564	0.09871041447979768	0.05464590425052979	0.015405463643188162	0.038978164983805894	0.011608303213956577	0.02060339410175606	0.01451565136098287	0.005543335133868929	0.028921410912761486	0.008933353800103492	0.015310720221574448	0.044298013114628894	0.05140567866042381	0.05220067267887623	0.026976969402984646	0.007915754799159107	0.05661319087025157	0.02208765018184113	0.19279812626926487	0.017851811960796306	0.0646819401185042	0.019103334619623977	0.0055281224592388135	0.0031328131442123573	0.0029918614251521437	0.0035319401777062893	0.03535132544122422	0.009206168527157265	0.07304202692860383	0.002296710271783282	0.011810757537410703	1407.0529367132049	46.372786758458574	68.83856119030338	89.7573537872743	75.76887732684379	85.04003673244968	27.077507712622378	86.61949323993072	86.65134391352927	59.98795137582575	68.79508346938809	28.516675874787754	65.0058521793359	86.54117777230384	47.69038779198741	45.43439665465443	86.06223080653926	57.35354054416001	73.22758614768773	58.50406344655856	32.74479125292583	47.608835367347154	78.53090436327436	99.17548205679462	132.43818206946779	94.91196387753192	76.69973204244357	44.2284074119381	39.170632908872506	30.68021639041585	95.6491159027167	45.88871363958138	102.56936810565209	47.33960385067491	27.970710148642883	12.759946557811826	61.716786260713064	65.87402471912138	0.0	0.0	0.0	74.1570476215075	64.89842298602368	0.0	0.0	22.79414441596898	41.778230483756346	64.47665217947683	11.958671433713521	0.0	63.17470002482422	0.0	52.47728013811757	11.172238263736688	0.0	13.656613849313276	63.54115517601456	68.12376414178786	65.54987344872744	62.034044635914256	0.0	0.0	0.0	0.0	11.655033063186764	0.0	0.0	0.0	0.0
160000	-2643.656131016272	-223.3630501553402	-2178.528446686605	-241.7646341743266	0.41003694853870337	0.36680401735953355	0.5644355689263065	0.3257625745507478	0.23951961167679864	0.9976488594185025	1.6757336444286717	0.6940412510824597	0.9992609038657375	130.675542048312	0.0	18.461173115098013	4.120391009486594	0.150531389965361	0.10871283303628067	0.08649406149890447	0.16002190140686037	0.03990501361533554	0.07925164003461943	0.03071522193833616	0.056915433391986174	0.0638915122762241	0.04839406442655882	0.08935800183790002	0.010559993290335357	0.009739014205050646	0.005145997170298883	0.027022640608340184	0.021957342803685154	0.017575204936045176	0.03826164218240415	0.019742298172770477	0.0037190751899582658	0.006905785732771065	0.011297715224827982	0.009402977403099423	0.10420666113855356	0.03220116233796397	0.014455514825898519	0.00827065233430427	0.038228124286886274	0.10196390942898563	0.16543065971603138	0.009009871933404542	0.0105695205801884	0.01420073611473399	0.02666989606842451	0.0061624837258616285	0.001909830669831928	0.0021881798237429577	0.0210995740923776	0.01810214624334549	0.07291864624412424	0.007914798042540786	0.000543607458065077	1441.6882770101397	51.717905141528995	65.74151323101239	88.02958750379344	71.07184071578551	83.81129349206708	37.4258118740541	96.30047040511803	85.77020594754393	59.96191247453731	67.03032528779524	25.718400933418337	64.15494992678823	83.86033856387361	52.180867912322796	50.19595773535872	85.30536853768668	57.44570485952852	69.88106276913058	60.164972270012555	31.55963207597781	51.13086136135814	79.39633197456311	103.96994452686953	130.675542048312	99.8734190925065	78.6436781968314	51.48182188062414	27.280917756496635	33.32298913071576	97.21723986645061	56.92995681105282	103.51847004022763	48.62833991722884	30.847297771205984	10.203234455236482	61.923616956553325	64.53277054922602	0.0	0.0	0.0	69.08796525646628	66.29523894289844	0.0	0.0	22.293569047448603	42.831357462842426	63.89777302014183	18.464098616567746	0.0	64.32238799643227	0.0	51.2280990137784	11.934261433654642	0.0	10.247822120202613	62.54549410726746	71.51991249857448	65.57623445332466	62.03047619175011	0.0	0.0	0.0	0.0	19.622342899271665	0.0	0.0	0.0	0.0
180000	-2636.51348047457	-223.62093370325758	-2171.6317367298907	-241.2608100414218	0.457510326158381	0.38589189675324076	0.4570171224394167	0.25931755417597363	0.19682049749013691	0.645366907239868	1.4155310507075245	0.42632892172018627	1.4119409058526136	132.19251945435494	0.0	1.5913013252854848	3.842135815849938	0.1842617317369321	0.07265384162132177	0.060748983115060246	0.08798915892889501	0.029384697289722494	0.03351056254810117	0.04401566611750711	0.037556009418060005	0.045098581450941165	0.08777244356905593	0.02574734807697678	0.09922683283233114	0.01039755104095044	0.008026854713546784	0.15110380867062537	0.035433701230603944	0.01884120629713254	0.03433309438751577	0.003599287732179401	0.020987510573347305	0.020584650091961205	0.04089806741561644	0.024814798266845794	0.016065574200196893	0.018159504980967727	0.015785499007380886	0.02014824324677673	0.013801688939350939	0.0005108939349061602	0.10664290689528716	0.004604255126893931	0.06436478120271548	0.017700604751324497	0.007408579480741511	0.029677565882441838	0.00589635422227482	0.010415486808882097	0.041548089322396335	0.010374890147820788	0.038266339855936825	0.013559182552259007	0.003303789590445969	1377.5925095698683	46.743427193252366	65.73538293121527	87.16710376521499	71.53667585234025	84.67520429914917	27.00618189160874	96.53506395410517	85.48822480130401	60.29311304989277	67.25915231689505	25.561180659709944	66.02651704479732	85.27708773708773	49.83521381861386	58.571655628730674	81.89409601920217	57.36910782576004	69.99590004187488	56.22318917286746	26.03882440944006	49.672926039040576	81.2146177394172	100.65326433697616	132.19251945435494	90.49021903375159	74.82136004683015	46.966337564703515	28.922235451674634	29.91669247971472	96.58660690412452	46.122868754084294	102.45498081025703	45.44780909126766	24.114271994138345	13.23145967398501	61.11492321265784	65.81458975085657	0.0	0.0	0.0	71.93697988613475	65.36202214773424	0.0	0.0	22.584257716295525	47.88948549809615	64.93162628899641	14.716524317854052	0.0	63.15663039856571	0.0	52.26028183035046	8.216508650345087	0.0	13.194620707725491	63.61604946257308	72.19815340912659	64.871071673324	65.07564869821051	0.0	0.0	0.0	0.0	11.045669220697489	0.0	0.0	0.0	0.0
