Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
9	-1684.663	-1721.279	-1649.036	566.14	-222.315	-223.824	-221.011	1011.61	-951.29	-978.75	-922.834	285.98	-511.059	-530.277	-494.73	623.53	127.661	127.116	128.959	826.82	0	0	0	NA	0.99	0.99	0.01
13	-1697.753	-1735.29	-1662.621	478.4	-222.066	-223.471	-220.823	919.23	-956.144	-979.121	-928.026	422.34	-519.543	-536.988	-501.532	620.6	127.482	126.876	128.856	993.58	0	0	0	NA	1.0	0.97	0.01
10	-1693.489	-1729.303	-1656.592	518.76	-223.272	-224.719	-222.127	865.23	-949.609	-976.855	-920.22	373.24	-520.609	-537.975	-504.26	798.4	131.206	130.601	132.484	784.07	0	0	0	NA	0.99	0.98	0.01
5	-1698.18	-1730.292	-1654.948	615.79	-222.294	-223.777	-221.096	977.9	-954.65	-983.494	-926.15	476.2	-521.236	-537.354	-503.583	721.15	128.092	127.579	129.224	902.46	0	0	0	NA	0.98	0.99	0.01
18	-1723.686	-1756.431	-1689.009	512.44	-222.325	-223.958	-220.979	979.31	-976.84	-1005.089	-950.007	266.61	-524.521	-543.166	-504.336	568.47	127.902	127.286	129.293	1067.93	0	0	0	NA	1.0	0.97	0.01
17	-1698.566	-1731.447	-1661.387	648.75	-221.866	-223.264	-220.621	987.45	-959.835	-988.949	-932.796	416.78	-516.866	-534.383	-495.283	514.43	127.121	126.521	128.437	924.39	0	0	0	NA	1.0	1.0	0.01
19	-1708.589	-1745.34	-1673.808	360.8	-222.411	-223.859	-221.12	797.73	-964.783	-991.868	-937.898	261.17	-521.395	-536.14	-499.737	698.25	128.334	127.736	129.665	925.66	0	0	0	NA	1.0	0.98	0.01
11	-1702.251	-1737.006	-1662.513	512.68	-222.485	-223.825	-221.376	929.38	-955.978	-982.775	-929.222	436.13	-523.788	-541.545	-507.778	571.79	129.015	128.465	130.269	897.49	0	0	0	NA	1.0	0.99	0.01
2	-1722.82	-1759.391	-1689.932	507.63	-222.093	-223.618	-220.872	980.78	-971.185	-996.99	-944.109	365.53	-529.543	-547.662	-510.616	420.77	127.872	127.232	129.436	1080.58	0	0	0	NA	0.98	1.0	0.01
6	-1706.862	-1741.289	-1673.269	523.87	-223.44	-225.144	-221.933	955.23	-965.727	-989.881	-938.269	348.12	-517.694	-538.295	-498.572	494.76	130.35	129.736	131.703	904.41	0	0	0	NA	0.98	0.98	0.01
20	-1711.933	-1746.275	-1677.508	587.51	-223.029	-224.506	-221.839	1048.21	-964.379	-990.432	-939.586	367.56	-524.526	-541.806	-506.506	618.28	130.533	129.905	131.857	1022.24	0	0	0	NA	1.0	1.0	0.01
16	-1714.38	-1751.258	-1683.371	556.53	-222.689	-224.051	-221.412	905.66	-970.589	-997.774	-946.322	466.4	-521.101	-540.06	-503.949	407.51	129.02	128.412	130.473	741.33	0	0	0	NA	0.99	1.0	0.01
8	-1739.594	-1772.114	-1706.277	645.55	-222.35	-223.983	-221.098	908.59	-985.851	-1013.092	-959.66	423.22	-531.393	-549.176	-515.048	531.01	128.37	127.69	129.849	1018.98	0	0	0	NA	1.0	0.99	0.01
14	-1726.722	-1762.519	-1692.275	640.98	-222.086	-223.744	-220.907	1049.0	-971.146	-998.087	-942.911	447.31	-533.489	-551.497	-513.67	382.26	127.991	127.344	129.353	942.37	0	0	0	NA	1.0	0.99	0.01
15	-1704.868	-1740.116	-1668.549	753.24	-223.385	-224.9	-222.077	1046.01	-967.112	-995.488	-939.851	419.23	-514.372	-533.751	-493.565	379.37	131.015	130.415	132.238	919.69	0	0	0	NA	1.0	0.96	0.01
1	-1693.981	-1725.381	-1658.886	557.31	-221.946	-223.242	-220.829	877.67	-957.347	-984.655	-930.949	350.58	-514.688	-533.917	-495.405	376.84	127.569	126.953	129.025	1052.95	0	0	0	NA	1.0	0.97	0.01
12	-1670.476	-1701.667	-1632.154	427.82	-222.043	-223.386	-220.806	1017.21	-946.128	-972.901	-921.181	295.51	-502.305	-524.142	-484.152	614.6	126.87	126.35	127.933	976.05	0	0	0	NA	1.0	0.99	0.05
4	-1728.786	-1765.996	-1689.665	387.89	-223.343	-224.766	-221.97	934.21	-978.102	-1007.405	-949.683	276.31	-527.341	-547.132	-509.51	577.4	130.549	129.926	131.921	994.23	0	0	0	NA	0.99	0.97	0.01
3	-1693.479	-1730.154	-1659.788	470.99	-223.47	-225.263	-221.959	937.02	-957.117	-983.881	-930.275	354.03	-512.893	-530.468	-495.971	725.55	130.525	129.946	131.859	956.66	0	0	0	NA	1.0	0.98	0.05
7	-1716.769	-1749.214	-1678.621	631.95	-223.08	-224.618	-221.756	966.18	-964.481	-989.841	-935.666	446.97	-529.208	-543.795	-512.961	770.13	130.17	129.548	131.487	1001.65	0	0	0	NA	0.99	1.0	0.01
