Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
9	-1681.547	-1717.812	-1645.184	552.69	-225.132	-226.809	-223.675	1042.8	-943.615	-970.974	-917.095	355.77	-512.8	-531.277	-497.185	767.55	127.603	127.116	128.586	1053.76	0	0	0	NA	0.97	0.97	0.01
13	-1698.987	-1735.422	-1661.942	468.82	-224.824	-226.245	-223.534	634.97	-952.653	-980.835	-925.899	267.32	-521.509	-539.394	-503.249	629.44	127.374	126.876	128.521	909.72	0	0	0	NA	0.98	0.97	0.01
10	-1691.212	-1729.925	-1654.971	543.82	-226.074	-227.608	-224.785	1000.87	-943.136	-972.626	-918.211	459.04	-522.003	-540.376	-505.938	662.67	131.212	130.601	132.524	809.47	0	0	0	NA	1.0	1.0	0.01
5	-1695.861	-1731.977	-1657.955	491.82	-225.227	-226.619	-223.848	1017.23	-946.734	-974.115	-918.721	420.45	-523.899	-540.286	-508.551	726.9	128.001	127.579	128.901	988.21	0	0	0	NA	0.99	0.98	0.01
18	-1723.682	-1757.449	-1687.228	635.97	-225.002	-226.335	-223.659	966.03	-973.089	-1002.754	-946.99	353.45	-525.591	-544.795	-505.624	377.72	127.759	127.287	128.849	900.3	0	0	0	NA	1.0	0.96	0.01
17	-1699.287	-1732.446	-1660.626	554.1	-224.637	-226.331	-223.461	1134.11	-956.301	-985.799	-927.225	310.1	-518.349	-536.829	-496.378	463.35	127.041	126.521	128.157	931.47	0	0	0	NA	0.98	0.97	0.01
19	-1706.969	-1744.395	-1673.596	434.05	-225.206	-226.566	-223.93	945.26	-959.447	-987.691	-932.699	336.34	-522.316	-540.937	-505.771	525.97	128.288	127.735	129.558	1129.22	0	0	0	NA	1.0	0.98	0.01
11	-1701.069	-1738.275	-1662.847	476.27	-225.316	-226.733	-224.137	978.19	-950.25	-978.791	-920.077	340.65	-525.504	-542.81	-508.759	685.43	128.959	128.466	130.072	1019.9	0	0	0	NA	0.99	0.98	0.01
2	-1722.175	-1757.997	-1684.542	443.42	-224.841	-226.234	-223.583	1020.21	-966.556	-995.041	-937.842	302.05	-530.778	-551.371	-511.695	620.84	127.77	127.232	128.992	1008.14	0	0	0	NA	0.99	0.97	0.01
6	-1704.38	-1739.823	-1669.344	652.88	-226.238	-227.72	-224.681	1043.46	-958.597	-985.849	-931.801	455.71	-519.544	-539.34	-497.693	549.17	130.308	129.736	131.549	904.81	0	0	0	NA	0.99	0.98	0.01
20	-1712.165	-1747.682	-1675.214	537.78	-225.821	-227.196	-224.662	973.73	-959.564	-987.127	-931.126	391.97	-526.78	-545.616	-508.966	501.43	130.417	129.905	131.489	816.45	0	0	0	NA	1.0	0.99	0.01
16	-1715.802	-1753.593	-1681.826	466.76	-225.468	-226.826	-224.152	916.33	-967.482	-993.476	-937.292	356.07	-522.852	-541.628	-501.559	414.98	128.919	128.412	130.045	913.08	0	0	0	NA	0.99	0.99	0.01
8	-1737.212	-1771.228	-1700.102	554.53	-225.087	-226.455	-223.797	825.6	-978.754	-1005.497	-950.201	408.63	-533.372	-552.064	-516.821	592.31	128.341	127.69	129.697	896.32	0	0	0	NA	1.0	0.97	0.01
14	-1727.439	-1768.026	-1694.331	610.97	-224.86	-226.413	-223.717	966.39	-965.997	-994.966	-937.661	403.85	-536.582	-553.588	-517.797	544.78	127.856	127.344	129.012	808.97	0	0	0	NA	0.98	0.98	0.01
15	-1704.546	-1737.922	-1666.404	432.73	-226.171	-227.738	-224.733	1023.1	-962.108	-991.512	-935.847	380.81	-516.267	-535.95	-495.317	434.04	130.918	130.415	132.052	910.3	0	0	0	NA	0.99	0.98	0.01
1	-1692.415	-1726.267	-1657.505	621.5	-224.762	-226.208	-223.59	926.62	-951.368	-979.809	-923.371	393.45	-516.286	-535.379	-497.491	579.29	127.474	126.953	128.607	949.13	0	0	0	NA	0.99	0.99	0.01
12	-1669.845	-1706.127	-1634.48	695.46	-224.955	-226.279	-223.559	1033.42	-939.9	-965.687	-911.334	313.75	-504.991	-524.62	-484.323	555.13	126.774	126.35	127.787	754.35	0	0	0	NA	0.99	0.96	0.01
4	-1727.763	-1764.343	-1691.707	316.15	-226.136	-227.714	-224.688	926.58	-972.514	-1000.249	-945.948	269.68	-529.114	-546.174	-512.081	643.86	130.507	129.926	131.826	886.36	0	0	0	NA	1.0	0.98	0.01
3	-1691.879	-1729.138	-1656.883	500.69	-226.239	-227.909	-224.81	909.48	-950.152	-975.812	-921.154	413.31	-515.487	-532.583	-496.22	706.02	130.464	129.947	131.664	857.07	0	0	0	NA	0.98	0.98	0.01
7	-1717.465	-1750.199	-1684.918	547.24	-225.795	-227.265	-224.554	1037.58	-961.287	-989.004	-933.872	370.17	-530.383	-548.531	-514.407	669.11	130.091	129.548	131.299	962.36	0	0	0	NA	1.0	0.98	0.01
