Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
9	-1681.583	-1719.067	-1646.208	551.23	-225.196	-227.085	-223.699	907.39	-942.275	-968.745	-916.425	410.87	-514.112	-531.5	-498.24	870.91	127.565	127.115	128.602	936.84	0	0	0	NA	0.99	0.97	0.01
13	-1701.218	-1737.998	-1663.718	555.08	-224.915	-226.391	-223.654	885.99	-953.225	-981.637	-926.874	397.65	-523.079	-541.854	-505.199	740.62	127.405	126.876	128.583	1043.55	0	0	0	NA	1.0	0.95	0.01
10	-1692.645	-1728.481	-1657.927	488.36	-226.084	-227.46	-224.805	957.54	-944.051	-969.375	-916.904	338.86	-522.51	-539.86	-505.562	552.71	131.169	130.601	132.451	971.31	0	0	0	NA	0.99	0.99	0.01
5	-1693.427	-1733.138	-1660.13	597.59	-225.325	-226.737	-224.071	1003.06	-946.958	-974.973	-919.194	469.77	-521.144	-538.803	-504.074	732.89	128.003	127.579	128.902	994.31	0	0	0	NA	0.98	0.98	0.01
18	-1724.821	-1760.405	-1694.492	441.11	-225.06	-226.589	-223.782	1041.18	-971.39	-998.043	-943.836	373.05	-528.371	-547.611	-512.723	535.61	127.771	127.287	128.896	1056.75	0	0	0	NA	1.0	0.97	0.01
17	-1703.296	-1739.835	-1668.889	558.16	-224.677	-226.146	-223.435	976.13	-956.704	-983.716	-927.759	421.07	-521.915	-542.435	-502.905	500.07	127.094	126.521	128.425	869.69	0	0	0	NA	0.99	1.0	0.01
19	-1709.948	-1746.144	-1674.476	442.62	-225.227	-226.627	-223.923	1023.22	-960.61	-990.157	-933.825	340.03	-524.111	-541.315	-504.546	474.57	128.286	127.735	129.479	1042.46	0	0	0	NA	1.0	0.97	0.01
11	-1701.426	-1737.784	-1662.336	526.29	-225.409	-226.836	-224.263	1040.87	-951.315	-978.998	-922.732	411.74	-524.702	-541.626	-507.029	680.14	128.931	128.466	130.024	1104.67	0	0	0	NA	1.0	0.98	0.01
2	-1724.762	-1756.948	-1687.29	523.7	-224.902	-226.149	-223.661	970.2	-966.181	-992.878	-938.957	368.74	-533.679	-553.553	-516.709	575.92	127.845	127.233	129.28	672.32	0	0	0	NA	0.98	0.97	0.01
6	-1702.949	-1738.195	-1666.191	511.43	-226.337	-227.938	-224.778	951.49	-960.468	-988.472	-935.091	370.68	-516.145	-534.703	-493.731	450.63	130.314	129.736	131.594	1012.97	0	0	0	NA	0.99	0.97	0.01
20	-1717.847	-1754.323	-1680.25	488.44	-225.871	-227.352	-224.641	723.22	-960.028	-985.632	-930.284	271.5	-531.948	-549.3	-514.199	756.08	130.434	129.905	131.645	1052.67	0	0	0	NA	1.0	0.99	0.01
16	-1718.187	-1750.838	-1681.656	546.8	-225.529	-226.751	-224.245	966.08	-967.986	-996.304	-941.52	354.89	-524.672	-544.602	-505.6	580.43	128.927	128.412	130.096	1092.4	0	0	0	NA	0.98	0.97	0.01
8	-1743.435	-1778.808	-1709.629	457.21	-225.195	-226.71	-223.881	907.52	-980.229	-1008.453	-954.268	396.98	-538.011	-555.547	-519.476	564.16	128.272	127.69	129.733	1023.97	0	0	0	NA	0.99	0.98	0.01
14	-1725.622	-1761.49	-1693.073	543.51	-224.911	-226.285	-223.739	1024.53	-964.014	-990.076	-936.489	401.16	-536.696	-554.129	-518.851	603.45	127.892	127.344	129.102	983.78	0	0	0	NA	0.98	0.97	0.01
15	-1705.308	-1738.732	-1670.597	772.54	-226.225	-227.962	-224.885	983.99	-963.624	-990.826	-936.558	388.89	-515.459	-535.209	-494.977	474.47	130.959	130.415	132.168	835.9	0	0	0	NA	0.99	0.97	0.01
1	-1693.111	-1730.353	-1660.323	529.89	-224.789	-226.197	-223.589	956.97	-951.712	-980.494	-926.653	321.54	-516.61	-534.936	-497.459	429.64	127.456	126.953	128.639	781.77	0	0	0	NA	0.99	0.95	0.01
12	-1670.722	-1703.653	-1635.783	542.33	-225.038	-226.407	-223.586	975.95	-940.459	-965.199	-913.008	444.99	-505.225	-524.519	-486.951	590.27	126.786	126.35	127.831	915.32	0	0	0	NA	1.0	0.98	0.01
4	-1730.316	-1767.389	-1694.875	376.3	-226.192	-227.728	-224.792	922.62	-974.601	-1000.035	-943.863	334.09	-529.522	-547.607	-510.731	579.54	130.498	129.926	131.7	1012.83	0	0	0	NA	0.99	1.0	0.01
3	-1692.386	-1727.712	-1656.134	374.75	-226.284	-227.818	-224.741	870.82	-949.975	-976.693	-922.971	211.31	-516.127	-535.17	-499.173	556.47	130.456	129.946	131.649	1031.01	0	0	0	NA	0.97	0.97	0.01
7	-1715.209	-1747.424	-1678.505	597.32	-225.918	-227.47	-224.596	789.21	-959.074	-988.549	-933.505	487.29	-530.218	-546.321	-513.585	612.18	130.176	129.548	131.582	880.54	0	0	0	NA	1.0	0.98	0.01
