Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
16	-1477.586	-1498.09	-1451.15	783.18	-220.368	-221.883	-219.194	871.33	-924.505	-940.565	-908.453	601.92	-332.713	-349.273	-319.274	885.19	113.71	112.992	115.056	877.05	0	0	0	NA	1.0	0.98	0.01
20	-1495.037	-1518.786	-1471.996	727.7	-219.88	-221.281	-218.801	1061.18	-935.368	-951.231	-920.941	648.93	-339.789	-356.663	-323.257	816.59	111.879	111.064	113.297	822.75	0	0	0	NA	0.98	1.0	0.01
19	-1480.922	-1505.338	-1458.207	700.41	-220.53	-221.963	-219.234	968.59	-930.191	-944.359	-914.875	458.57	-330.201	-348.68	-315.213	707.58	113.651	112.878	115.023	865.36	0	0	0	NA	0.95	0.98	0.01
11	-1476.675	-1500.442	-1454.397	737.84	-219.793	-221.43	-218.693	911.5	-930.934	-945.881	-915.361	516.19	-325.948	-342.131	-308.513	828.55	111.629	110.675	113.18	1061.86	0	0	0	NA	0.96	1.0	0.01
10	-1500.749	-1523.922	-1476.249	746.79	-220.284	-221.723	-219.158	757.97	-942.895	-961.528	-928.185	474.49	-337.571	-354.912	-322.684	751.83	113.532	112.699	115.104	863.38	0	0	0	NA	1.0	0.93	0.01
8	-1495.186	-1519.101	-1470.415	527.01	-220.324	-222.029	-219.198	928.89	-942.795	-958.428	-927.445	481.06	-332.067	-349.679	-315.667	792.46	113.267	112.291	115.196	1015.9	0	0	0	NA	0.96	0.93	0.01
1	-1480.451	-1505.528	-1456.821	518.07	-220.098	-221.652	-218.987	986.83	-926.307	-941.193	-908.604	418.71	-334.045	-351.579	-318.358	789.35	112.137	111.15	113.824	777.7	0	0	0	NA	0.98	0.91	0.01
15	-1499.392	-1522.971	-1476.377	647.81	-219.941	-221.584	-218.615	972.25	-942.842	-959.072	-927.929	481.33	-336.609	-353.156	-316.266	651.52	111.904	111.034	113.386	854.74	0	0	0	NA	0.98	0.93	0.01
17	-1485.497	-1509.634	-1461.986	664.12	-220.148	-221.44	-218.873	821.57	-940.878	-956.451	-925.879	368.37	-324.471	-340.337	-306.564	778.47	113.218	112.498	114.562	930.17	0	0	0	NA	0.93	0.93	0.01
5	-1463.542	-1485.71	-1437.654	646.78	-220.315	-221.904	-219.142	1015.82	-923.596	-938.554	-908.62	522.66	-319.632	-336.295	-304.125	593.37	113.1	112.202	114.717	1130.67	0	0	0	NA	0.96	0.93	0.01
14	-1486.726	-1510.474	-1465.135	561.75	-220.267	-221.846	-219.089	927.38	-930.519	-948.899	-914.379	384.03	-335.94	-349.871	-320.925	680.63	112.983	112.163	114.379	770.65	0	0	0	NA	0.95	0.98	0.05
6	-1480.906	-1502.526	-1458.125	556.81	-220.304	-221.747	-219.36	967.48	-928.848	-945.35	-911.2	360.14	-331.755	-346.637	-317.346	724.2	113.545	112.663	115.241	879.92	0	0	0	NA	0.98	0.98	0.01
4	-1491.15	-1516.56	-1468.312	626.02	-220.141	-221.585	-219.097	763.13	-942.597	-958.188	-927.223	589.97	-328.412	-345.413	-312.343	697.88	113.016	112.184	114.561	834.95	0	0	0	NA	1.0	0.96	0.01
9	-1476.432	-1499.868	-1452.813	739.08	-220.464	-221.893	-219.406	790.65	-926.021	-941.864	-910.451	519.29	-329.947	-348.588	-315.338	705.74	113.496	112.632	115.161	787.32	0	0	0	NA	0.95	0.95	0.01
7	-1476.744	-1497.254	-1451.752	643.41	-219.849	-221.48	-218.728	988.72	-927.476	-943.626	-911.576	528.08	-329.419	-345.484	-314.162	795.83	111.728	110.983	113.097	884.99	0	0	0	NA	1.0	0.93	0.01
3	-1486.115	-1508.165	-1463.013	691.36	-219.954	-221.346	-218.658	936.79	-932.076	-947.492	-916.856	565.34	-334.085	-350.523	-317.621	721.04	112.241	111.513	113.615	888.05	0	0	0	NA	0.98	0.96	0.01
18	-1480.996	-1505.529	-1455.404	727.07	-220.014	-221.425	-218.828	968.79	-936.014	-951.497	-921.043	492.1	-324.967	-343.41	-309.65	788.47	112.507	111.944	113.485	1078.54	0	0	0	NA	0.96	0.98	0.01
13	-1494.494	-1518.966	-1470.686	679.07	-220.312	-221.779	-219.166	995.24	-941.83	-957.633	-925.622	513.57	-332.353	-350.209	-315.222	784.06	113.227	112.323	114.839	1004.34	0	0	0	NA	0.98	0.93	0.01
2	-1484.718	-1506.373	-1460.835	776.75	-220.3	-221.657	-219.131	1058.5	-936.678	-951.955	-921.773	529.6	-327.74	-344.341	-311.744	780.06	113.687	112.94	115.143	951.42	0	0	0	NA	0.96	0.96	0.01
12	-1485.248	-1508.828	-1460.27	636.45	-220.505	-222.022	-219.273	996.24	-930.032	-945.745	-915.277	540.94	-334.711	-351.681	-317.844	633.9	113.748	112.921	115.295	996.81	0	0	0	NA	0.95	1.0	0.01
