Species	Status
Angoumeius_paradoxus	extinct
Centrodeania_annae	extinct
Centrodeania_rugosa	extinct
Centrophoroides_appendiculatus	extinct
Centrophoroides_latidens	extinct
Centrophorus_granulosus	extant
Centrophorus_sp.-nov.	extinct
Centrophorus_squamosus	extant
Centroscymnus_praecursor	extinct
Centroscymnus_schmidi	extinct
Centroselachus_crepidater	extant
Cretascymnus_beauryi	extinct
Cretascymnus_westfalicus	extinct
Dalatias_licha	extant
Deania_calcea	extant
Dracipinna_bracheri	extinct
Eodalatias_austrinalis	extinct
Eodalatias_crenulatus	extinct
Eoetmopterus_davidi	extinct
Eoetmopterus_supracretaceus	extinct
Eosqualiolus_aturensis	extinct
Etmopterus_acutidens	extinct
Incognitorapax_fernsebneri	extinct
Isistius_triangulus	extinct
Isistius_trituratus	extinct
Megasqualus_orpiensis	extinct
Oligodalatias_jordani	extinct
Oxynotus_centrina	extant
Paraetmopterus_horvathi	extinct
Paraetmopterus_nolfi	extinct
Proetmopterus_hemmooriensis	extinct
Proetmopterus_lukasi	extinct
Protocentrophorus_steviae	extinct
Protosqualus_barringtonensis	extinct
Protosqualus_glickmani	extinct
Protosqualus_pachyrhiza	extinct
Protosqualus_sigei	extinct
Protoxynotus_misburgensis	extinct
Scymnodon_ringens	extant
Squaliodalatias_goordi	extinct
Squaliodalatias_weltoni	extinct
Squaliolus_gasconensis	extinct
Squaliolus_schaubi	extinct
Squalus_ballingsloevensis	extinct
Squalus_blainvillei	extant
Squalus_crenatidens	extinct
Squalus_depauwi	extinct
Squalus_gabrielsoni	extinct
Squalus_huntensis	extinct
Squalus_minor	extinct
Squalus_occidentalis	extinct
Squalus_suckleyi	extant
Squalus_vondermarcki	extinct
Squalus_weltoni	extinct
Squalus_woodburnei	extinct
Squalus_worlandensis	extinct
Zameus_squamulosus	extant
