it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3666.539778079833	-220.74904854781823	-2259.561255351482	-1186.2294741805326	0.3533908122744952	0.3533908122744952	0.3533908122744952	0.3533908122744952	1.0	130.89956791439155	0.0	1.1	1.1	0.2000004845531115	0.3473761593490794	0.44380929582506845	0.1582814829128833	0.18654953645945604	0.3821048688343278	0.15961708204709601	0.17400820553361984	0.3367143426897877	0.5778925264427908	0.19750429493208965	0.2585459880283023	0.17938230730017218	0.22973107850495617	0.55405103295318	0.727845547088087	0.13465715042839718	0.2129815749566563	0.29658642135498026	0.18539700795561487	0.2642131041902695	0.11732500509821336	0.36164736709823153	0.21222494571056297	0.16270695478798855	0.2498121506281852	0.5900976848569839	0.41709640770345147	0.6593699593853042	0.4199334300615869	1.1049184634222988	0.12279868636065742	0.9601584834757747	0.41610039562331735	0.5149814898889126	0.5857409548647671	0.45604278863082515	0.32961654959683	0.27374608033049025	0.17402869871528925	0.19642962528641122	0.5810958890732675	1533.8351017548464	43.664106239218995	50.73098815191895	64.93564648664828	88.97359229205239	66.52325285880428	86.03133703532019	26.15514127596719	85.21265984839356	85.77746260614147	60.95075061177613	69.84688947346572	27.87809682503368	64.06404427468044	84.48601560398832	54.76317197482683	45.46769071580192	57.55432529071683	28.993565961234765	75.77971000120067	81.79478774302757	59.34819119661002	67.85551524224908	70.85582053076975	81.1149569423552	22.031751981292814	46.8531977606053	74.45841081916939	97.71101338078319	130.89956791439155	92.04174859000123	93.45766961400243	69.61186795384862	26.39754105705767	34.962788294618186	104.65962477145236	44.217636330314626	101.66618169600964	55.95241835323034	22.922686563691478	43.354210229944826	2.800590734038457	61.85890148273416	65.1022477676969	0.0	0.0	0.0	67.39818021331045	65.89565500692592	0.0	0.0	22.67050410077383	48.132174237567654	68.0013370511015	16.55290829849763	0.0	0.0	0.0	75.43554124250511	48.27819516532591	0.0	49.54367533341098	70.55316315373732	12.122221567233877	0.0	11.636389086984995	65.85746716943243	70.24280419611806	67.88180005266055	63.72149379722947	0.0	0.0	0.0	0.0	15.72726262059475	0.0	0.0	0.0	0.0
20000	-2718.968919027687	-220.22584205327792	-2225.3992923024166	-273.3437846719926	0.2779884891064498	0.5545633155044098	0.19106979185204168	0.6865592498467321	0.9523018207787607	131.36049275692062	0.0	8.245796552179096	0.5418139613465798	0.16958296468639109	0.15781672467193716	0.11374553958710555	0.13133108973176297	0.061916257266965084	0.09401270921788986	0.08414121076345867	0.061830296638652846	0.1260533004502202	0.013746415721456361	0.026629392565231096	0.08880278350737016	0.02389235874988031	0.0024296607747748607	0.0258172601488523	0.032143429285469274	0.013068723889461419	0.02914529161212424	0.0009791474278907485	0.0015320532575803373	0.0008741577081646669	0.01761029613711135	0.04368886382745588	0.02565678508579773	0.022740162781700286	0.027292792368009695	0.007812737784434424	0.010358594024020099	0.17888069164174453	0.06800384291600359	0.05003294113058574	0.052048192183710484	0.031147643009726236	0.02304542099091319	0.012040697492636997	0.016069499541695807	0.0033934950649085567	0.01657404007391513	0.018069209528918866	0.00997119952800494	0.019806528133119138	0.010161600342743791	1509.6807993390637	46.685634891016605	48.13889937748573	65.9749829265652	91.01297478484005	67.49185363370691	84.24687933475673	25.508686678283247	91.25844232667357	87.49151101642003	60.29402045178766	64.30344176975231	28.51536865896693	67.5006080903017	84.93117759092371	49.357909767865564	47.76249279487992	46.00208093929281	19.59626364714548	77.35890921176913	85.44217377034163	61.25752886577168	67.80582994335396	72.22324245051011	77.61853631632549	23.242558505160794	48.37491702534107	76.0299040067993	102.28420318457106	131.36049275692062	91.77427045495818	74.22708393521152	61.49392138455472	27.121054407269796	31.710610451543197	108.54294012552968	48.210037938452665	100.35836043361718	45.64674542038807	38.467560224607276	40.420134579969975	12.448452081490249	61.43625661693553	65.45859070128044	0.0	0.0	0.0	67.18891262559185	66.6222637451466	0.0	0.0	22.487743808785595	49.55823309358022	68.7893224663752	16.23959696998949	0.0	0.0	0.0	72.90903077926234	49.24110492165785	0.0	48.711994229693325	69.46168360285039	9.524238516708767	0.0	13.483600831547262	66.46641967571084	67.83295900478936	65.96100021866694	65.606623897952	0.0	0.0	0.0	0.0	17.095147786613598	0.0	0.0	0.0	0.0
40000	-2713.1223397655094	-221.80980874565444	-2219.5914456906658	-271.72108532918946	0.3825948383098693	0.503265421598279	0.19375242408060117	0.6408570685206197	1.1679046455426878	131.00139355389155	0.0	8.057993933886884	0.2290914712694116	0.114440392520755	0.16855586269559128	0.08631317246452498	0.09806972875764128	0.00011863754802679544	0.019846652693738764	0.053994946085565695	0.06283626214144632	0.11546276107675474	0.004532658885477766	0.013008268834887149	0.09562054463820067	0.022960581908496692	0.00816806669104231	0.04119948669828298	0.06413155302466028	0.005723986944670571	0.018086750846317265	0.02402141300903885	0.016018280585432237	0.021879724081130186	0.018560713074667456	0.02970891720621379	0.0675518172625045	0.06659294457954901	0.006035455972670165	0.006207856227445404	0.012867374340856696	0.08619294910563988	0.08748908840964133	0.009185833165014775	0.0193208981961921	0.06629327475746484	0.01582682996553557	0.031142045716287845	0.021779994285612413	0.013906547933694042	0.020728328409417743	0.025333836045673457	0.067935946262022	0.004316282012339298	0.014443833657158775	1537.662519606962	43.96460449759498	48.705908253082455	64.42983624841345	91.52447799382523	66.37900938158957	89.47050374799275	25.780354230849426	86.6760694873921	85.37102393210975	61.72103044779822	64.99746894310927	28.1348683730157	63.986954774163706	85.39958369795762	48.07772674437723	44.12000582296338	45.071202273989876	26.172894267134147	78.66954282578641	86.25571311837905	60.461087952928324	67.23950032706645	71.33367518478772	75.60888310757562	30.933494480421412	47.21502133421411	74.06286385021953	110.37937627229361	131.00139355389155	90.76383600940808	88.584861158249	61.942144251376874	34.30472884598428	31.695905910131614	95.39003613097127	46.22463191100614	101.3231554318581	49.79190936305085	43.99286353463966	43.33831231903748	7.574976909753819	61.77871623480975	65.7764470403572	0.0	0.0	0.0	69.098509310493	63.14969913305068	0.0	0.0	22.55203153005965	50.41802743137131	68.17011635720594	17.14305720625448	0.0	0.0	0.0	69.58174792316748	44.36106239278507	0.0	49.39287105221351	69.3082637090473	12.262253077510895	0.0	12.536714707129391	64.88144935109116	66.12615762212319	69.21627195067128	65.45287112637402	0.0	0.0	0.0	0.0	17.37607168012968	0.0	0.0	0.0	0.0
60000	-2697.17785968684	-222.15541158917918	-2219.330304039189	-255.69214405847197	0.26364838254813044	0.4457332451624789	0.15659499247875228	0.4826030832977079	0.6576837100988907	130.93499675948135	0.0	3.8386631349030633	1.7145132144639332	0.15349515751020892	0.1160420608149699	0.028553707185422824	0.19244259831863966	0.022771891414941237	0.05888471713073698	0.011242328062094463	0.10742959882571211	0.059754309757224504	0.002807173713999624	0.0009291422120993279	0.08228676871598828	0.07055104893549766	0.00024377158032754814	0.022581512247452175	0.014073338431345181	0.017699585883033154	0.0021799998585752016	0.004998170350584797	0.034924468572709956	0.032863025203272625	0.06911261998658784	0.04554228810691416	0.030950908088855703	0.0006443908297482398	0.026952552433544545	0.015569692565298714	0.025327107856317855	0.11486517913003558	0.03339548418574337	0.02037073017339963	0.07850852452416489	0.02332959524127874	0.02369501993523974	0.01608992813760813	0.007585292445110478	4.059358249162339e-05	0.005756786072499133	0.02509768981100837	0.02506099025380712	0.016503728910018577	0.0061916251146663095	1488.582648268605	44.43931469172883	46.98198204959777	66.63141170909104	88.89679510299712	68.07062832143333	85.92115928458787	31.11914508200884	88.31265183442453	85.33570281914245	60.71594519137896	65.47246741854748	31.038531560292963	67.9507981149756	85.18037370773534	47.69303868524402	43.87451930163711	44.1525833455377	23.806080070395286	77.25988433978853	85.16681970078616	60.282860616654816	67.31111784017834	75.87755607188495	63.40839095951225	24.621697575833984	48.24956926631942	76.66022877116775	100.21175907493156	130.93499675948135	90.30415356007737	75.55050110909995	44.811035539127374	27.38366293723971	32.83564082200817	95.78625267207222	43.96549529917798	101.23160926860302	48.31543567491089	42.89637708682081	38.82347987255702	13.349884646873377	60.1601848490039	65.22512755183561	0.0	0.0	0.0	69.22862189768951	66.28132357125287	0.0	0.0	14.623567959369963	50.25912366667999	68.17206858733904	7.2280717223865985	0.0	0.0	0.0	73.03387918424056	45.84551650449674	0.0	49.468885141077386	70.45674988670653	13.315536895402307	0.0	13.583171316173518	66.43968915193108	69.2626208631726	69.50128346902875	65.43498163697583	0.0	0.0	0.0	0.0	10.381756593634769	0.0	0.0	0.0	0.0
80000	-2688.361714914832	-222.37181227916358	-2214.4120531952312	-251.5778494404376	0.4013952946330621	0.41876285460484886	0.17316721602683816	0.4765719962059988	1.1079116368504294	132.25424427106785	0.0	1.3562007673876681	11.387585806623623	0.06394709578423603	0.42279421669133926	0.06531992057221957	0.21955214976745097	0.03080159782069965	0.027909110622964833	0.008236641876314513	0.036365506407886855	0.19804794992887534	0.0011876739983799948	0.00706560074185278	0.12484780682228637	0.03671358975124426	0.05480918507449978	0.031279851956658944	0.026446599049253634	0.00956682441883747	0.00829198381309225	0.005811169964380278	0.012392789280206979	0.016724728058067087	0.003209127164437507	0.12168013757319537	0.016651664908155586	0.0029168264532370854	0.0036902151347735623	0.02408132804034104	0.007818508227797854	0.09938934155130227	0.04725126804092852	0.011263646919691481	0.05328637240184222	0.016558060934549305	0.013970781971115512	0.027693827272716593	0.01310951184241808	0.01937007606684612	0.0006605242637236031	0.020284600116622104	0.035613178480169275	0.004227159396485247	0.0008181216269613895	1484.4716525505082	46.21492471237426	48.98452139210681	64.3413013517627	89.18976799904091	66.59447391407754	86.8558782009229	23.775856215007035	85.63803771908752	85.79882283584863	60.18454365986487	64.9389848747338	32.857579148994375	63.711599972997625	86.41304545679748	45.80716668295028	44.69064635178991	47.51172903078203	20.783138324744037	77.47215013561546	86.56469096896569	60.934483079193235	68.40455488002837	72.34900717320643	63.352496087415446	29.998735070083274	46.77830668629661	74.33539079219841	95.44349873629746	132.25424427106785	91.33195483635761	86.11156619498095	49.155691315311934	37.92062843318689	34.27084367592348	96.47698783309178	46.87146123371069	100.11876315545153	43.839443250866054	48.72377639540847	40.43544124547492	11.844176676056113	61.34208169423735	66.00819048841126	0.0	0.0	0.0	68.41035454077249	65.45700938407403	0.0	0.0	19.269104705403453	50.20256163139797	66.20814004006077	17.18387594233846	0.0	0.0	0.0	75.3660274359377	52.40053399963463	0.0	49.739530587229375	69.95883584545284	10.434442345235553	0.0	12.10589473638958	66.3369611662155	68.16218186620571	68.75052883459001	65.16088164981632	0.0	0.0	0.0	0.0	17.752284683098196	0.0	0.0	0.0	0.0
100000	-2698.622543075119	-221.9375686126887	-2203.912014635359	-272.77295982707165	0.41997323340020704	0.6006579877590298	0.20053647873041872	0.6181200377100874	1.1132244414784211	132.5928712322786	0.0	1.5757069682816747	2.128759779247715	0.0643189848267537	0.6325750612104858	0.20795199290047076	0.1517754480725155	0.07187788095494595	0.009447093842451912	0.013553467150955397	0.07519916678572808	0.03374990779873812	0.07892983335304783	0.005521615137415829	0.08600616441625127	0.009992206436134972	0.006233859041104583	0.004898212295203036	0.04314758982258939	0.022005667052117605	0.02732636870208127	0.052600171408121364	0.005893224596431552	0.008035073390322067	0.02111586884831654	0.2961524336576545	0.020102221190232108	0.0010229479572888814	0.0033948959797830813	0.020007590144720762	0.011234465519063193	0.21344982489371553	0.04830603244501363	0.048793249013320536	0.08144912673944917	0.0021837097853429754	0.04440722136557319	0.0199616148465519	0.008311520477140965	0.020658439102183197	0.013674806435096876	0.00636269889380777	0.06186855445173195	0.008845077621773868	0.007721790230219049	1470.2350190550003	47.893244927966634	45.54292365369191	65.83313346260616	89.53534147019921	67.3883481064406	84.49268376408035	26.25136494382295	86.17550816611651	85.96021915580025	60.12392031560081	64.2271027476835	27.35680256170038	65.00881549236558	82.74309539259608	47.99452948821512	48.87764251055287	48.85032400863881	20.889066538783876	75.83306734629065	89.28537814465105	59.167980015490706	67.20056787162643	70.69611011290223	56.38068472328717	25.644478515090743	49.75843997765578	74.44083892876854	94.69238156261373	132.5928712322786	94.60531656453647	89.06815347769289	44.370338624347006	24.099016035181823	42.24722684772278	95.57356669019312	45.96333387030864	99.9395714153406	50.99930083196785	45.39479593343937	40.260593206660744	13.066649968078812	61.3437898765114	66.04237197898324	0.0	0.0	0.0	67.93429964316367	66.16146696615536	0.0	0.0	22.865997508506847	50.214473972987406	68.1263610512183	17.42258056558062	0.0	0.0	0.0	75.48715787077647	54.01808397134368	0.0	47.69369394165564	68.66637022307827	12.770331783513056	0.0	13.513713194077749	66.44954664044708	67.72600261731701	68.50282000490863	59.74662364157029	0.0	0.0	0.0	0.0	14.849537746713327	0.0	0.0	0.0	0.0
120000	-2698.499435199501	-220.48610569000596	-2215.9547429289255	-262.0585865805697	0.3805652659363955	0.4974930851345534	0.17409826212103025	0.46919989546056123	1.0532149745536439	130.72960201562168	0.0	1.5650714045016758	9.832212122335816	0.08552612614329234	0.6292565870116188	0.09064288577982414	0.14228370809356808	0.1406243293388322	0.008751090253315805	0.02204454085212658	0.01062552521396402	0.18819221439816938	0.05930089180746187	0.015105105639221784	0.08926778018071564	0.007626497485495824	0.0030998067170066057	0.01749871315583567	0.04759036807981866	0.009521877190892354	0.00351316331924617	0.014115798458829237	0.010426123267076117	0.01490283304962828	0.015385507391299088	0.04706517794701773	0.10278595703401129	0.007295552081071518	0.008255508156104258	0.028370182060640087	0.011114435611295152	0.2940526577225083	0.12279552635296688	0.001111934579592679	0.024400709064767497	0.05316081001697648	0.030824753327335995	0.02293523052183636	0.011881909254490649	0.008117043268453786	0.007296638148868836	0.00012897113767183164	0.015059215690794235	0.015272518951476086	0.07660220164788203	1492.5136644647937	46.643551264173624	46.44437197776185	64.63864631583813	90.12810789819234	67.04161816408563	85.11051262802225	27.448984981041228	85.19469216924355	85.31135096035693	60.78281259726528	64.03078725057189	30.78900940831809	63.837947015193755	84.49279820239322	47.64540086104696	46.24529153938613	46.50024979180273	22.099206798494407	76.60272470376934	82.53930328189092	60.12784122462992	70.49144896748692	71.21719970631322	56.102749154353525	24.56520786576063	47.54384837274047	74.55462838317415	98.83159826342686	130.72960201562168	90.9209581304503	84.89159814455927	46.41010370367017	26.730908101230447	32.56074795664277	96.35554155660633	45.62426600680304	99.95249649495904	59.70641283058019	45.123185127356514	40.01731991378584	0.7351454918393543	61.78351335124674	66.16266190343127	0.0	0.0	0.0	65.53305615885657	66.32389351140397	0.0	0.0	21.987367209587344	46.312973940120315	68.8858496102691	11.163138747523938	0.0	0.0	0.0	69.07643555213731	61.36547181476186	0.0	47.33321436798882	69.5300231709342	4.957178017233334	0.0	12.479243127617345	66.24818209956838	69.38026696436117	68.56194061605741	66.20454580524819	0.0	0.0	0.0	0.0	9.412623976447266	0.0	0.0	0.0	0.0
140000	-2702.792847618009	-221.98106412281518	-2221.650809191047	-259.1609743041472	0.25378571773032793	0.49227508308292484	0.15796713819728023	0.6458109632378027	1.1533967269981422	135.64512779964488	0.0	1.8613235605525968	15.17023118198834	0.1472413391834683	0.24211214893545724	0.0488450082732301	0.18780100028554023	0.015827010710392837	0.027270416047036446	0.010073978185266555	0.09110192318968796	0.06534278500891906	0.04003062689957131	0.0375624180659058	0.10530401640299136	0.019804170108670853	0.00742314840228309	0.01073966742663548	0.11932997220121638	0.00819847807322689	0.011136666652249409	0.01534376965541995	0.01962552471494542	0.012316885171774466	0.029168351918818097	0.06909083246806044	0.01995895185157183	0.051472731486806075	0.054801343276240866	0.009090421548953079	0.06023011986238487	0.20065710743745316	0.08760903635264522	0.0024635056650192826	0.002580212716458771	0.03013500692373483	0.018244570311154996	0.015013179164656838	0.006960513029395221	0.01252487769577234	0.0057318760774469155	0.0022372522290287173	0.024163017225750615	0.003939622059248765	0.01660116766933068	1511.8986395086247	44.29468573565609	47.16343289946983	64.29960808375343	89.33026442980506	69.58184427240603	86.2223605767849	26.698431756216785	86.36187434624395	85.33618745576196	60.10582460630539	64.54410010997522	28.8726838765224	66.06124385142722	86.09368745424132	48.235466833235904	45.82547100275664	46.16343401007996	25.308581174989804	75.69327592358195	85.76274614741666	59.78152348793409	68.05853876429653	71.7140611763598	58.435093162536	29.98186276261034	49.48482104922059	74.06028119667192	97.74310784889317	135.64512779964488	92.72830563909189	85.00574219924265	45.054613378176604	26.587945424263633	39.389758852489194	95.45229186875882	48.66033595569259	101.80360160914373	66.65681948205975	48.0899735653085	37.21578901360413	11.347007446995876	61.94965570010727	65.83090901415545	0.0	0.0	0.0	66.05961153051808	66.38174040120217	0.0	0.0	22.725860581092146	48.826028818754416	68.73174623380484	13.692603362199318	0.0	0.0	0.0	71.1314265889559	61.114258540653076	0.0	48.03853554760873	69.04072412492977	2.469319984824823	0.0	12.881408061664057	66.31695486711956	70.92389630544592	69.68893399869997	65.95929480418279	0.0	0.0	0.0	0.0	14.064665333882008	0.0	0.0	0.0	0.0
160000	-2705.6553648922195	-222.61501499014486	-2223.4314694545133	-259.6088804475612	0.3837936261988519	0.471236569073933	0.17651218625322423	0.5994127359723337	1.3875789401523442	131.30349249875357	0.0	14.522319329610022	14.38479451479706	0.03444597826787524	0.5485572803506603	0.04676882985363709	0.14538581949561563	0.023048728451729925	0.022259852864229383	0.04881576166138739	0.10215814410743623	0.11581504298392295	0.01425227535720724	0.06233026961000339	0.08407643831530026	0.021712689982725138	0.027871945892300725	0.03316438815956442	0.03768881414821829	0.008436631297084028	0.0011779430765246877	0.005421972990736198	0.0068730399125657045	0.0011169518213126862	0.0029090116633982144	0.27067832376174605	0.015198660795872565	0.009477379086556022	0.009118065619473611	0.009197876581900468	0.08724175076642127	0.10157202605302276	0.04521667984628897	0.023258791963861703	0.008895168580304738	0.05973167024177385	0.04614557112030156	0.003668327517716163	0.021232283875023388	0.013045187126840156	0.016319683735759226	0.003078793762223166	0.06220365749693321	0.02237274942572345	0.009995630372337696	1562.6532417076044	46.93955184977492	47.50947578198567	64.75435906544797	88.77890936492575	68.61591811449159	88.58263338951654	34.08156581523615	87.41305261078357	85.61946620964457	60.20946444704946	65.18619510688771	29.468353103390463	64.78211674577429	87.54511519487681	47.87496837731264	47.208360758790135	53.870295522592706	26.72899883830583	76.94706862284636	87.35772682147281	60.356003398749046	67.87516236210047	71.5622194816942	62.55225966221626	31.470588630507024	50.66957243723727	77.09227931643773	96.1044738308164	131.30349249875357	93.90484987415921	96.83331419704417	45.725360556518716	31.580142459626092	49.376253495085166	95.22357876818573	45.235754849501916	99.92098282718042	65.61434192852303	49.27387021339331	40.74432312239529	12.566790165038292	61.28613326554057	65.28741593996249	0.0	0.0	0.0	71.07715972737074	66.60116470063119	0.0	0.0	22.88817524169865	46.432547106954466	68.41114943941572	13.08992482990913	0.0	0.0	0.0	73.90539236212037	63.13619596874245	0.0	49.68683191064226	68.06753835130745	12.181223248606187	0.0	12.726827913829663	66.37118934616238	66.40632331224298	70.03363693188284	61.19291807532168	0.0	0.0	0.0	0.0	6.401993861456768	0.0	0.0	0.0	0.0
180000	-2727.6758159236624	-221.5247661853962	-2228.5664974410024	-277.5845522972636	0.37105035275684217	0.5971207260044569	0.1681571976803621	0.5894307808743946	1.2714975910158377	131.56790248917275	0.0	18.069813553218005	15.367015216836238	0.05531647594296422	0.2732461653291438	0.42247649840495655	0.16864059913669477	0.04261913557089176	0.030306866703329067	0.0031359347056995287	0.05725240859329629	0.11043307328227527	0.028441113967973237	0.020642156041683544	0.06349045283904424	0.019426914497321916	0.004730282965279386	0.05408583139498679	0.00805123872590517	0.006970343744634604	0.003084324796361175	0.00054142475669377	0.0019506705709573502	0.04549882831870513	0.033815702947866025	0.1871266351272011	0.10729119683589093	0.005538605176778966	0.02333687935509627	0.00030649064326746775	0.10075574340508336	0.029884915214410408	0.16660391514399706	0.005641442505935746	0.009822143823298895	0.020819248566158247	0.018879999198826897	0.005223907988745604	0.001086308265031494	0.030552521578647834	0.020494721436220862	0.011431741066873762	0.010863849465674322	0.012963547170179366	0.027205929233448077	1575.016385555624	47.01425717329316	46.35927295073191	64.58409335397906	88.81868669145778	67.29050742629492	86.515557060646	29.895418679535428	96.51404469415374	85.20245622899868	60.43088620382482	64.71104654020326	32.5864980949235	69.60569162575817	83.05975638266163	47.26437075112058	45.101160397186725	57.178762515256466	34.578049902296755	77.96184289940975	88.31876408143377	59.17823397173743	66.80755063222617	73.30792061689064	63.57642368483657	32.697696580792204	54.78454285904581	76.76891761140595	98.72679947082726	131.56790248917275	91.45908154415577	90.56568135994443	48.37934329859211	31.29121081406485	45.09426192430403	95.13466584119676	46.60495007275888	99.91175750241351	57.34786327334805	47.05748648615389	39.74353310679843	8.975121485306486	61.61824633833982	66.01954442551491	0.0	0.0	0.0	71.94727316924666	65.81073296346575	0.0	0.0	21.197392877798535	48.72656710269932	63.93029501219769	11.663236929526866	0.0	0.0	0.0	74.37724239234929	60.80671592019698	0.0	48.84845753075168	66.01763278877965	8.757026204428216	0.0	11.764222194252076	66.19276195310638	71.58966826402941	70.16098696062326	65.5278392458649	0.0	0.0	0.0	0.0	4.562531266133005	0.0	0.0	0.0	0.0
