it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3521.168390533057	-226.06855604739835	-2309.2722621497755	-985.8275723358829	0.8508111970888367	0.8508111970888367	0.8508111970888367	0.8508111970888367	0.8508111970888367	0.8508111970888367	0.8508111970888367	0.8508111970888367	1.0	131.11694714483795	0.0	1.1	1.1	0.5915428105230699	0.31853195898497316	0.5988616326235227	0.3322205353011336	0.25060337636248076	0.11798735215917153	0.36291791775838467	0.8192957981347846	0.1963959485981765	0.5310453147194213	0.32021704740528645	0.37195463471087653	0.23020415719650258	0.2139171753021058	0.19625740897017346	0.3173063473722813	0.5642460159992766	0.14264825354615257	0.1043420927688415	0.1829708120063309	0.5052850173679803	0.41084991209904376	0.18736690716600385	0.35344536939474935	0.13857279644111964	0.1478133299113578	0.8039576164833874	0.11039193710475287	0.458396926286359	0.3959704530680518	0.5241559180204074	0.47429590490177675	0.48065952408000545	0.19280189202890613	0.16471395517277654	0.28084096294232064	0.31391752152234487	0.13937916333809902	0.28900996100043264	0.19426391241579744	0.2983055695008606	0.12072075832589524	1499.8786759969828	43.590237347891396	47.43494407749067	67.47128454531607	89.13491839224285	67.0947459632309	89.09165622158842	24.367337691672372	88.57744781737884	85.56420969998372	66.75525439918533	65.61758895494312	32.88151527991733	67.78203345871133	85.87211485363622	45.87378948361947	44.531384684372455	44.57574942873346	23.988852581442455	74.00021403694406	91.37542750448232	61.144786071506	69.77056212952589	66.37803236072384	76.55627084873592	29.79886841448779	48.003437564782665	73.6817148985798	96.76418297347439	131.11694714483795	92.09354058151266	83.85897509584373	47.66588629854631	30.43260599629243	33.93646505273595	96.37227951148888	45.44502107959688	98.28978174943661	45.29402944859566	19.103835809596934	43.27724835099709	6.23642144819128	62.69533584982885	64.41749452334929	0.0	0.0	0.0	71.50313812687428	66.3295191504254	0.0	0.0	19.593967934386995	47.52496898397076	64.50615523903629	12.771395947025495	0.0	0.0	0.0	73.50807856306987	57.98896162993439	0.0	43.53396297605853	65.81794732144088	9.024131320850207	0.0	12.170034852215476	65.7753036291267	66.6152073898946	67.29042116348633	67.30250390578684	0.0	0.0	0.0	0.0	3.527055150150506	0.0	0.0	0.0	0.0
20000	-2719.8914198042908	-224.32106641887188	-2220.425213695632	-275.1451396897869	0.5670842700155099	0.3155424349892704	0.5047142531750869	0.2037193468181211	0.1811390897980741	0.5076633093449957	1.0268729926575473	0.34789988668497906	1.5162309262958324	131.7368601892874	0.0	1.4419383782341781	0.37376279487293934	0.10361564108986407	0.5421018362035691	0.13018211060242485	0.08030925290962543	0.010512088265570804	0.02238751018524613	0.13698008008376755	0.0382305834284242	0.04275400375150305	0.11343350645983755	0.01185382656035561	0.09119600239017402	0.0025023857272943673	0.011383887534881785	0.08268072064006105	0.04224668168291072	0.004264621325743827	0.014144145770719745	0.034030135829683866	0.0046219786590031295	0.0013732156292945456	0.05838941376368791	0.13895010724272128	0.07013954706876185	0.007350922325655347	0.03913692035850611	0.03824777861435425	0.07679640105499104	0.0739806977009738	0.11991077908345478	0.00539118223016885	0.053115965460009226	0.0698817687792411	0.028157710924544683	0.009195828999436008	0.029171762487375855	0.0077375277362066	0.021239028980843146	0.02768298607795182	0.03686240651405925	0.03422664048235381	0.005006648226129321	1493.803054172553	50.25362878927709	45.01995843276771	66.3911002545835	90.81269552442743	67.87530450554003	87.33378817582656	33.291420526551896	90.31084293728419	86.33139630806926	60.9444315954702	65.21886712749077	30.207416172759448	72.9475551453482	87.0528400896162	47.65502679847815	47.014040835022435	45.72620510442428	21.310107978068903	73.59027022836995	85.37306498195578	59.35469976909203	72.41028820682897	67.84895075448105	67.68103911955511	25.891793011971416	47.892326526290525	74.28695853879813	95.52379164211435	131.7368601892874	91.69710110821664	79.00209703409828	47.27115585853164	31.538710594350285	32.50750638637932	95.42785113467507	49.36278207057397	98.57429618829812	46.71717242476947	27.49504615538667	43.37713132957778	13.216355150908454	62.74239274932084	63.09950624023295	0.0	0.0	0.0	73.76729478540258	66.50683830300181	0.0	0.0	9.827619124946922	50.48023445674047	66.49747434034491	8.818137932053078	0.0	0.0	0.0	73.50131347436277	60.01543493140552	0.0	48.15629413946034	65.45139837790587	6.663293603810236	0.0	8.760856792526626	63.79388922453778	73.42438787985043	66.07412321103074	64.58428858771126	0.0	0.0	0.0	0.0	14.31906941734628	0.0	0.0	0.0	0.0
40000	-2711.1777387137968	-224.57781939840368	-2210.524917348359	-276.07500196703404	0.5438836872341438	0.4017391993345768	0.48946915999951623	0.1838769355668018	0.16760698266364646	0.5562762647555379	1.0137521950899122	0.42299820804492394	1.3295832397872387	130.96217054335668	0.0	0.10354134127040615	0.8555478270234478	0.13322759550373814	0.36202679105898794	0.06585994190272046	0.1833787018250452	0.019664137294996272	0.04922298716734249	0.005799438015301811	0.03714501011755369	0.040327854254132274	0.03538253713242465	0.011386053488839261	0.15552279594409069	0.018223229158403156	0.03870753020073861	0.07500042296000725	0.007074683856479946	0.01747816096492647	0.01816383185021416	0.0017671117790439817	0.017018081802880447	0.021455786875566128	0.05420700307320636	0.07479649371864118	0.042371654566895955	0.05393385018116294	0.008298918146701683	0.021260584908171606	0.048697485117477075	0.12077445137133724	0.057941942204149666	0.03565907446617925	0.004961271944435399	0.06933640772428759	0.01194280104661369	0.04830974872983224	0.018500654305079682	0.06266903609998256	0.0028493770147401667	0.014908654464757554	0.07578232877995103	0.015450286105505974	0.027780571297123295	1477.8450015322846	45.21554157508212	45.195954399308555	67.28826617161366	90.13930054486953	68.33668095561174	87.15186209767371	37.35454253007052	87.87826536502375	85.2350076130764	59.74259373561973	65.361581808994	33.76867780708012	66.00491755930314	83.35408250407491	49.56818616875513	45.40885578012259	45.24912351226577	20.428987732170075	75.63020069683769	82.696799524559	61.71064875466674	68.80801902230837	73.98656790086098	64.01627364496032	23.573329506727234	49.27256825755169	75.34553620894361	96.17947232045704	130.96217054335668	92.76666914300206	78.3453842151265	47.241956390981244	34.27790157182427	34.10869273926271	96.78931971963736	45.09364334504711	98.26099943538952	48.62146158080453	37.89974533811004	42.46694578496216	8.820061218284884	62.85384669389439	65.5636787824887	0.0	0.0	0.0	71.2436089369912	66.28768937037324	0.0	0.0	10.646611029074464	48.350422651860924	66.52035109032856	14.599985620036364	0.0	0.0	0.0	73.27826918496702	61.313416780021704	0.0	48.549161982276495	66.04617588247933	10.066749716965543	0.0	11.915734493105113	65.30765499635507	74.24739616212266	65.04491572862912	67.31596722243705	0.0	0.0	0.0	0.0	19.98614286119202	0.0	0.0	0.0	0.0
60000	-2717.150486541579	-226.59891765856872	-2220.194404240094	-270.35716464291636	0.25578327210403456	0.36740496364383723	0.3916023572618132	0.20633857591993904	0.18557068388908524	0.44095373372495544	0.9627610677046913	0.3495736340503129	1.035254561775808	131.07701494123046	0.0	0.10034946701462928	0.9217286027668335	0.036487604449004084	0.14500052037349295	0.2563189038235112	0.3070517051405444	0.005205126014477921	0.03901622836368319	0.033307667566119394	0.14649688928555213	0.01435657917070291	0.004810011803027684	0.02681132392724709	0.07374616435042072	0.03302131554298251	0.04740823330556777	0.020446029275940462	0.00011328624792907038	0.013455529004835782	0.0033109351402018108	0.004196312646362192	0.006957268228387855	0.0136389852067491	0.002806245996755748	0.022757651542389037	0.06027616456965624	0.001397857746194223	0.019368619034826385	0.008227178872663141	0.13669637873261242	0.11608695755597646	0.08711137928833125	0.009388755814367804	0.003377315212938755	0.025447647941983915	0.037222228508332074	0.01177721614664185	0.014001008273242688	0.011732683530215915	0.03333197651692846	0.013055456104706568	0.02092646107815547	0.026211152374417918	0.04502820270030626	1505.0442332184698	48.313790202214726	43.99440490958345	67.53018143384993	89.72153307629196	68.86298004215854	85.15378052487294	38.06080200769349	87.81032289197094	85.98617610505941	60.283684908323806	65.22327439402298	33.65019349695828	66.37750637564874	85.23561877554145	45.67111882580125	46.23592252402236	45.959301874309034	21.15925530524103	73.80217766185618	86.8199644756394	59.194871600433366	68.66918907376794	66.39232318100004	54.444598776231956	24.904073521953666	49.605794868068315	75.6167306971523	97.40966145325719	131.07701494123046	99.67247181179324	76.20459524952395	48.311114986851244	34.70389129816764	33.87212439980542	98.60704562223974	48.51487414370516	99.55133442291606	49.41729868898892	39.92244994484144	32.529657135304184	7.854809544225974	62.16868542072043	65.68977065303002	0.0	0.0	0.0	73.85836350110984	66.27021488899908	0.0	0.0	17.244959073091398	44.97664462472871	66.55995106773092	14.89496317595421	0.0	0.0	0.0	71.27094707025196	61.44294428428564	0.0	48.02868084792642	65.78166392618428	6.909270726966672	0.0	11.32113664833583	65.43411238201632	67.01024348278519	63.64883527197159	65.72812810702463	0.0	0.0	0.0	0.0	18.27523344187499	0.0	0.0	0.0	0.0
80000	-2703.976887734663	-226.16366056619577	-2216.2768282476454	-261.53639892082174	0.6612320326382838	0.4066853543790889	0.6710223016702055	0.19997546763709884	0.18100730325643885	0.570677248745831	0.6087789830179047	0.41851436895632754	1.2033530755233	131.4857782396371	0.0	0.04417501605228316	0.6186051907096739	0.035950752498786744	0.45476829677567754	0.03515821263999828	0.06799122095046567	0.024422536881824383	0.06847239809110364	0.02140760654404363	0.10873100311482052	0.06824207787569934	0.03639516002124471	0.04527338298140579	0.14613786859064476	0.031133717657646352	0.017585983625422495	0.03558604712286975	0.0028280362417174745	0.014085860215166994	0.001824417097698012	0.014108422706645578	0.00980835514988355	0.0016843583321679866	0.050523323767079575	0.1799888105581407	0.02142904089293922	0.034427465428878125	0.005821227195878225	0.004303743703543401	0.04949858977170043	0.0646281756467402	0.07049472387123429	0.0022212140207823225	0.030650942418869044	0.03422469801887424	0.002960025562660652	0.014297390999904567	0.003815816564930326	0.020274092248045876	0.04353846170323336	0.0041844995572415606	0.029784407479834456	0.004791621005231802	0.00880239484628193	1492.4814804799496	45.019044982913776	57.32888034294595	67.31023361219975	89.6770984613316	67.10500378910716	86.56777839154063	31.486987075328006	87.07073240124024	85.87888996541083	60.78591024608872	65.30773847849282	32.74794050519811	69.39109256083563	84.72321339457825	49.5032284731867	44.274929418714315	46.855886384020806	21.004839421563315	73.91905882170353	83.3747287479309	59.511152465655485	69.73947760953993	66.64480006982397	48.89744881417868	23.079846092543644	48.46669508300542	73.47519392976999	95.08632279182243	131.4857782396371	95.11383621744532	77.8178667431622	48.24481801478061	33.97694799262336	38.24228153360529	97.13485219515431	49.282090010134034	99.54183088560079	44.31017299221733	30.583752637724043	23.364225774198086	10.896105826703373	62.14901555431567	64.89654286047266	0.0	0.0	0.0	65.89887551606805	66.3886790569181	0.0	0.0	21.233686934699975	49.746477419954054	66.38482616171675	12.82471571182146	0.0	0.0	0.0	73.46931333959002	57.466420175289386	0.0	47.680549679477565	65.36125522014504	11.098677549676866	0.0	12.282728487617193	65.95982487078116	65.08588021012126	66.14815954118964	65.2836981214974	0.0	0.0	0.0	0.0	13.867241300551532	0.0	0.0	0.0	0.0
100000	-2713.880230118773	-225.48076841654026	-2219.667021293738	-268.73244040849477	0.6313205556774157	0.5417197357569591	0.6012340185685376	0.20808463726894086	0.24933161552457989	0.5148901355071317	0.8128768839523765	0.3178309922099155	1.491136989633614	131.1131575799226	0.0	0.3745611688400769	8.411022956907601	0.017239854078804774	0.15216324929480557	0.28825730567960506	0.19782358472170614	0.000532226759851745	0.148000148108549	0.03486204638311844	0.12535050286554883	0.05026834679621804	0.08300513182548609	0.07135374591168521	0.11328657708739856	0.05845190656253787	0.007032791240453705	0.01407119902006702	0.02612087569271311	0.017254192914126592	0.02740574425028198	0.002348748032326351	0.030204302222853436	0.013745101109722862	0.04856886033902019	0.03794987252305458	0.0147840286556857	0.006808747245915288	0.051806438354663066	0.007874579031320897	0.08585786034319305	0.14502270417124916	0.05157345582165813	0.0035540775531183125	0.017799034199824277	0.05987162595310253	0.027993479182348086	8.395146015116067e-05	0.021166249982178115	0.0007770329780535933	0.028028986005777638	0.006559536235194669	0.024876783177980814	0.05060899899568815	0.01842942420395463	1490.8268867905217	47.16291659924159	49.131894682227035	66.6589718433841	89.38668966213982	68.35632834414304	89.12001727020407	29.17492211140445	86.7865614238568	87.40388800634905	61.162227875893926	65.32169259367068	28.29439204079923	67.78521326266265	85.31529513075077	46.390332279905145	45.563507833075604	46.25100155042842	28.62887395996117	75.01273019486038	91.54159608830606	60.739212318405144	68.93708104654984	66.6091587180876	54.60779578486975	21.730654433419193	47.667340207395796	75.79616824018574	95.73516356759798	131.1131575799226	91.61367052556929	78.33501537830423	48.838381083715504	41.41931485708823	42.72024533631513	95.84982923681727	46.36155546067198	98.14665600491033	48.50642753372236	22.71890180421134	34.38478947050673	7.144051667028059	62.83374047944605	66.22989205966061	0.0	0.0	0.0	71.18031737043152	65.85543620885056	0.0	0.0	20.319930282251853	45.55105897955691	65.49046536966686	7.433770557401016	0.0	0.0	0.0	72.77658077853013	60.54951260474586	0.0	45.775971815601515	66.01553559781075	10.43584670163072	0.0	10.713130120430387	65.75652583695641	74.5703138348219	67.41539952500126	66.44594924146736	0.0	0.0	0.0	0.0	14.189676578705125	0.0	0.0	0.0	0.0
120000	-2706.960293839521	-222.8401919201829	-2221.265977530119	-262.8541243892191	0.4945493339472399	0.31691430691298733	0.5097668616208846	0.22545118850820378	0.21622677126047354	0.49188320214329984	1.0258951807680592	0.38255014005143256	1.3782563882019945	130.9822059805317	0.0	6.318385130995047	11.61030448020296	0.15883254278762277	0.45295592924867534	0.07144868122953892	0.04582920955972626	0.006241935236038757	0.06780087651313574	0.019129156236576683	0.04799230399387967	0.08753031286180983	0.0058948706456610645	0.030841229992603657	0.11861033743296831	0.0031930928301940765	0.028214331805082905	0.06628800007721491	0.019285636774893387	0.025744763798577652	0.0030701283281620593	0.00427447270141972	0.006897501216839835	0.013974984978009026	0.011419188198388849	0.047880810985407855	0.005280218215895157	0.010133002403867603	0.039165148500596735	0.019795379166239076	0.03654600393743374	0.04977814706614641	0.059445281259504865	0.0046532941229490265	0.01692713052046503	0.012847852242460094	0.018734061758820236	0.00791747416906477	0.012892265273828729	0.009282451167582723	0.003199428048811364	0.04829490190449807	0.021774774978940516	0.0007855171673206636	0.01959212567577818	1492.8557421483158	51.410878159564554	46.41288783321249	66.88474405915787	89.72317005083616	68.25458843491606	95.3187537857701	24.97923709904129	89.32095001950172	85.65141524837364	61.08043015065661	65.097778519037	30.51524151743666	68.09626310118476	85.90537887640346	47.046622599771936	46.38986071603158	54.849225752248486	22.631729444370702	74.63445223122692	85.58446250401836	61.22805919474687	68.63313056513931	66.12072224428226	53.56554589130532	23.32221004746135	53.902368706285195	76.64623120011873	95.48763467986291	130.9822059805317	99.50982542471684	76.92032182275778	49.61520708545482	31.93778890745327	38.91534498615851	97.38660132471641	46.79101949328874	99.36538441829762	45.826685545148656	20.263911496820803	41.24475034188132	11.797774639357549	61.45852407088371	66.1221850515547	0.0	0.0	0.0	75.05829988376772	66.51267273470641	0.0	0.0	17.409135614230472	47.11560387982844	64.1834023532348	15.441905760956613	0.0	0.0	0.0	73.31205890138608	60.84754455136378	0.0	46.663788863327326	65.79082176699823	3.8379026142076764	0.0	13.06974409727504	65.82029024091328	63.38047619242483	66.93042666751815	60.0661771845603	0.0	0.0	0.0	0.0	17.289041558615324	0.0	0.0	0.0	0.0
140000	-2682.9391198491	-225.4187600666799	-2209.8626979132487	-247.65766186917108	0.6205387121793662	0.3648793461284779	0.5578602843992391	0.21133039837058415	0.20323619242574892	0.5701380576460467	1.021571940822109	0.2570254976588569	1.2147704381129512	132.30667585693186	0.0	4.08232180716172	17.606063402698066	0.06923513030750507	0.34470594946261474	0.04004896710612653	0.16337309256062665	0.026144673517005262	0.03005797003952293	0.07752816997369982	0.13075347456780687	0.015334514246057036	0.04216551395830259	0.009706604407220126	0.15230822171866693	0.008602934014729724	0.02399933164013422	0.09030492428132487	0.007814179548594055	0.01401026838668337	0.01125267009656611	0.01621509528777123	0.005995566425948227	0.023227784230582495	0.006645051706767831	0.000759926957492368	0.02668254154321537	0.002570020511409232	0.00011493500343649784	0.0005338546331651215	0.040821062249711736	0.08321028860742166	0.154346486030377	0.0006588631475881177	0.0069451934731948875	0.04866343714356179	0.014784645491456921	0.006921897761059345	0.0009752503253678739	0.00276093231121467	0.005365869733518913	0.038204276462003854	0.034327012278423025	0.025535568581421277	0.0019878517595274545	1445.5016728828368	44.88724300550987	45.7949154779146	67.57028514111099	89.5046303371529	69.34843601338096	94.35005732800377	30.457248456373442	85.76578667866302	85.12840444769793	60.14162031373931	64.93926707693029	33.73441599830966	66.77506772459533	88.41994078827464	49.56023443520569	45.74518081808594	45.67719921198993	20.93344467136725	73.58548004007919	86.17162351097733	59.74463584682601	69.5338398159756	66.87753577946643	49.26602721060277	22.37741422497945	47.87395629111911	74.76323925948131	95.1618116151624	132.30667585693186	95.3174058413225	76.80987743663015	46.778150203766785	31.555832503863698	32.93141277647307	97.1388278206464	46.14996940328807	98.1442719235354	46.18061476013503	23.842367843497257	42.22190912136525	12.588278552092131	61.344908536548616	64.08266087681028	0.0	0.0	0.0	73.68371028051673	66.15662202059809	0.0	0.0	15.35064463554453	47.679954238641955	65.33473443199166	17.325630621771126	0.0	0.0	0.0	72.27077322288102	61.40281417330885	0.0	48.65685825796199	63.644797544853	12.226847452918102	0.0	13.05221460683935	64.90747237996942	63.06885519584054	64.12332126378118	67.66197197325359	0.0	0.0	0.0	0.0	18.957695618741052	0.0	0.0	0.0	0.0
160000	-2686.7440437241216	-224.04834947172688	-2208.6618430965673	-254.0338511558275	0.46534871236489306	0.4687992864821568	0.5193194823158018	0.16838657778465405	0.18276388801498072	0.5921833658404896	1.1763336525700243	0.24724400945022212	1.3687723853295042	133.47638718824905	0.0	11.00110772710067	3.41008433675413	0.1668553132920938	0.19912675988505085	0.004167525239767976	0.11126211802062544	0.08866015131927457	0.02253614650194107	0.043629694257687084	0.08675008658218265	0.003464760453595117	0.08139846529502684	0.04516596278506302	0.12862261935661154	0.00570036478112029	0.03562457638010228	0.005896431913402113	0.04148239502311737	0.06839928184108326	0.004915560305309993	0.0013931326904445434	8.4817978322633e-05	0.0023745645167862796	0.028475114082465194	0.009221137687183209	0.007683492364690296	0.047835048623015526	0.02123730257563487	0.004481216500101289	0.06003879875014665	0.1926484588614404	0.023691040230194114	0.04704784392456535	0.037364991774555656	0.03882300880164596	0.0364780092217066	9.385718235031573e-05	0.010745415242656469	0.0023143890805433177	0.023244289623144877	0.010355972507361168	0.02984425877423773	0.00504353349533712	0.016065890053665762	1442.4096876873284	45.65417806979956	47.35088127857994	65.98293563411184	89.40265685686123	68.78753703562514	84.26803585310488	28.534415163823848	85.9024816975179	88.43451634684736	59.84522034511312	66.95245025092301	27.917264601093375	71.6544622473866	84.58925194936172	49.02512993962767	48.548219082212775	47.47652456712758	20.41592202381912	78.27984500902909	83.46998486992548	59.29868392072871	68.79484879524203	66.30864604720387	49.851402130490406	22.404497399455312	48.09292450401647	74.9720781432029	98.74387066157502	133.47638718824905	95.93801008034168	76.754040256605	48.12920463012283	26.155185274464397	37.52609809692805	95.74110854310271	47.37785884101042	101.22713430674432	47.65447495374064	20.217606077309913	43.11737991331161	13.083936448210615	62.627621195082824	65.50968014175719	0.0	0.0	0.0	68.07071855979756	66.47409868436888	0.0	0.0	21.030646470085856	45.20557302605428	65.2179861060234	17.085255359913372	0.0	0.0	0.0	71.70677990428915	59.645651693899296	0.0	48.94889508038412	65.89758542950105	12.047002270621801	0.0	12.492838686446373	65.69972105789716	67.8434788675948	67.76752289723103	67.64849952097164	0.0	0.0	0.0	0.0	11.625413671654712	0.0	0.0	0.0	0.0
180000	-2710.2596241125234	-223.6483663287722	-2232.054303063412	-254.55695472033904	0.8667992471039678	0.3990216279285185	0.6832087992545013	0.18336542572127051	0.16654842053592223	0.5792403375281807	1.0049644852954958	0.28445226375945254	1.4382397695085656	131.18933245038133	0.0	8.33450887882817	7.276546311058299	0.09947819166383721	0.5606972041143884	0.04641487573626173	0.1478732176114879	0.0009071076286535125	0.07893332779718952	0.02558441926546109	0.09033821809711923	0.06486286222222351	0.015092747923310071	0.010602765734939377	0.10634545786496566	0.007044809089151981	0.011622851683559752	0.02203006140749421	0.03196336611856198	0.03252537104258528	0.00208410273197314	0.00478929861526296	0.006269624693258811	0.00312117974589395	0.003559138233776258	0.04388561509655016	0.021780650137320945	0.004494591968847797	0.011523986040724387	0.004214176593461189	0.03832048738817951	0.1840716424695446	0.003861126107830782	0.03999336466769196	0.013755416241263339	0.028385965927453006	0.007822896616541057	0.00021840272817146537	0.003604199664056911	0.0027603543603622687	0.008738541320802219	0.04908105620516926	0.07341234354989003	0.018261514629891392	0.003035951673181095	1525.4844839184796	46.076859097569844	44.68117549800481	69.83715565960242	89.41664805976869	67.46246656816992	88.35223491721678	30.409602030013435	85.73029762553028	87.28238972482323	60.068050366840126	65.32369160967227	28.32933943162508	67.02394108491177	86.95231419324716	49.240428999792144	48.03033708265952	45.714101662308	22.52505547686493	88.04993865028457	85.2916711442539	61.76744408981203	69.65035651346605	66.1343774224555	56.45398773821377	23.624191107279547	47.95329214571342	74.81430413611842	95.14058139431873	131.18933245038133	96.01191797985115	79.4685336086991	57.43470428139407	27.809089276011825	60.135336562034524	95.63651054814325	48.49944295467294	98.76328174809046	46.18980359892859	20.04800065354821	43.15974688302725	6.62360289727121	55.89104273222482	65.13193591475422	0.0	0.0	0.0	63.110274825610965	66.14772429320362	0.0	0.0	14.057268111596745	49.99534112531131	65.83122641541236	13.943362108673586	0.0	0.0	0.0	71.98938411845079	58.717313139702924	0.0	48.75486758135652	65.55190763022767	5.170286873765109	0.0	8.733691858518894	65.63636096269141	71.01128938559732	66.97968983487262	68.11695661616211	0.0	0.0	0.0	0.0	12.484429865380825	0.0	0.0	0.0	0.0
