Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
1	-2713.59	-2733.279	-2694.148	825.38	-220.504	-222.253	-219.42	837.83	-2226.98	-2240.117	-2213.587	241.15	-266.105	-281.83	-252.723	874.08	130.316	129.428	131.999	955.41	0	0	0	NA	0.79	0.97	0.01
2	-2705.424	-2724.524	-2684.427	534.56	-220.391	-222.078	-219.125	912.03	-2224.092	-2235.992	-2212.034	507.14	-260.942	-276.92	-246.81	479.11	129.422	128.522	131.035	848.69	0	0	0	NA	0.77	1.0	0.01
10	-2700.743	-2719.718	-2681.158	367.5	-220.103	-221.795	-218.851	926.06	-2219.148	-2232.61	-2208.624	257.46	-261.492	-276.174	-245.383	605.69	128.605	127.693	130.165	903.13	0	0	0	NA	0.77	0.95	0.01
18	-2712.108	-2731.568	-2690.942	555.69	-221.255	-222.883	-219.929	999.28	-2230.878	-2243.498	-2218.913	445.68	-259.975	-275.793	-244.131	556.44	131.72	130.662	133.686	936.72	0	0	0	NA	0.79	1.0	0.01
14	-2705.534	-2726.328	-2688.081	425.95	-221.163	-222.916	-219.894	932.5	-2221.347	-2232.462	-2207.667	295.61	-263.024	-276.825	-247.057	536.83	131.576	130.696	133.307	1007.82	0	0	0	NA	0.77	0.92	0.01
16	-2702.528	-2724.221	-2683.111	426.16	-220.974	-222.784	-219.616	945.59	-2220.779	-2234.017	-2208.888	268.26	-260.774	-277.006	-246.134	562.33	131.103	130.086	132.83	912.95	0	0	0	NA	0.69	0.97	0.01
17	-2712.46	-2733.56	-2693.611	322.47	-219.725	-221.424	-218.656	913.46	-2228.932	-2241.234	-2215.845	407.12	-263.802	-278.012	-248.537	449.55	128.179	127.334	129.756	1068.51	0	0	0	NA	0.79	0.9	0.01
6	-2703.386	-2723.955	-2683.371	526.56	-220.706	-222.557	-219.395	930.13	-2223.21	-2234.876	-2211.275	369.67	-259.47	-273.885	-244.234	713.02	130.207	129.303	131.842	796.86	0	0	0	NA	0.82	0.95	0.01
5	-2705.19	-2723.428	-2684.72	469.75	-220.857	-222.431	-219.632	820.49	-2223.83	-2236.376	-2211.288	279.66	-260.504	-274.925	-246.332	482.43	130.555	129.651	132.095	850.1	0	0	0	NA	0.67	0.95	0.01
3	-2702.59	-2724.667	-2685.916	591.19	-220.25	-221.861	-218.968	1032.02	-2223.209	-2234.783	-2211.33	281.66	-259.132	-276.721	-245.344	615.66	128.995	128.009	130.809	807.05	0	0	0	NA	0.77	0.97	0.01
12	-2701.115	-2721.609	-2680.915	677.17	-220.409	-222.268	-219.201	955.45	-2220.656	-2233.021	-2209.348	404.74	-260.05	-275.831	-244.795	781.87	129.504	128.643	131.08	1097.26	0	0	0	NA	0.72	0.95	0.01
13	-2709.315	-2730.965	-2690.763	541.92	-221.216	-222.64	-219.92	925.67	-2224.36	-2237.46	-2213.337	398.44	-263.739	-277.34	-248.268	689.19	131.516	130.643	133.063	809.25	0	0	0	NA	0.77	1.0	0.01
4	-2707.7	-2729.094	-2690.189	544.79	-221.25	-222.815	-219.955	1007.5	-2225.28	-2238.412	-2213.447	227.39	-261.17	-275.466	-244.978	737.81	131.715	130.735	133.443	828.5	0	0	0	NA	0.74	0.95	0.01
8	-2709.369	-2729.826	-2689.793	704.67	-221.114	-222.818	-219.851	1052.92	-2227.173	-2239.094	-2215.18	557.27	-261.082	-275.318	-244.603	682.52	131.45	130.441	133.246	887.83	0	0	0	NA	0.72	0.92	0.01
9	-2698.57	-2719.207	-2680.295	628.08	-221.12	-222.517	-219.855	963.76	-2217.35	-2231.457	-2206.015	486.41	-260.1	-276.039	-246.199	769.8	131.363	130.413	133.076	900.16	0	0	0	NA	0.79	0.92	0.01
15	-2712.565	-2732.618	-2694.162	386.56	-221.154	-222.96	-219.91	953.65	-2228.502	-2240.559	-2215.407	383.76	-262.909	-277.177	-246.577	520.0	131.579	130.578	133.45	1067.54	0	0	0	NA	0.72	0.97	0.01
11	-2707.661	-2726.376	-2687.88	549.65	-220.924	-222.633	-219.633	898.37	-2224.979	-2237.288	-2213.599	377.44	-261.757	-277.131	-247.536	465.06	130.781	129.875	132.304	869.28	0	0	0	NA	0.72	0.95	0.01
20	-2712.076	-2730.48	-2691.624	681.31	-221.205	-222.841	-219.962	941.61	-2227.999	-2240.059	-2216.029	449.27	-262.872	-277.869	-248.254	623.8	131.63	130.613	133.672	921.36	0	0	0	NA	0.79	0.95	0.01
19	-2714.573	-2734.214	-2694.461	459.3	-221.192	-222.897	-219.89	897.66	-2230.682	-2243.995	-2218.76	320.56	-262.699	-278.562	-248.129	556.97	131.449	130.515	133.25	1097.55	0	0	0	NA	0.77	0.97	0.01
7	-2690.136	-2711.568	-2666.762	548.57	-219.929	-221.798	-218.647	978.0	-2212.298	-2226.216	-2200.05	266.35	-257.91	-273.709	-241.728	582.19	128.301	127.351	130.072	1002.34	0	0	0	NA	0.82	0.92	0.01
