it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3687.263196092267	-232.7549617413866	-2349.923110502597	-1104.5851238482837	0.9513387122136507	0.9513387122136507	0.9513387122136507	0.9513387122136507	1.0	129.32940679137934	0.0	1.1	1.1	0.9731415086830414	0.1389517891775895	0.11519822819831636	0.2811970119986075	0.2789733289567443	0.12764773030244356	0.499477797831536	0.360847988442371	0.15067716843312	0.757824164212078	0.11725988152297226	0.12226293310417959	0.19365063242318434	0.3806104262692896	0.19006727924722597	0.4611481895690126	0.27189247678967	0.11256586957203177	0.1780666944442883	0.1974453018609822	0.16147181394103644	0.4505724543122336	0.1689465890059935	0.1671686107944441	0.22006703706579486	0.2929803783393765	0.4887224133100655	0.13952175208970752	0.39084833754197074	1.1570074691857892	0.20340122376195652	0.4627592338767238	0.34734049691931534	0.6779450852567528	0.3103615310589865	0.30625931052063804	0.23032205982651102	0.18842966672667816	0.7153621307460553	0.3139578125964334	0.18511050440929827	0.29510291729916244	1571.534744603549	44.06649091343417	46.871979377334355	65.78702387506212	86.82324793406335	70.46048941417408	82.18988161710503	41.40765933177383	84.96286712181414	85.5986897508221	61.10529649953547	64.63074565583798	27.603452570606464	67.71509341288747	84.15670178823721	52.089976951503964	45.98613311339044	76.58247242431679	26.00858828222634	75.00747892449304	99.05550287040438	58.94472916146142	68.69802106296459	69.757251811239	55.331410331393315	27.56652289031543	48.95213766736913	75.7136121423947	104.10193054836977	129.32940679137934	97.54692990130864	82.9764994873317	55.75121623344485	26.378323481151916	57.415848416095834	95.67851842564687	49.20834440418909	100.94983825764163	44.89301365425921	24.121360785402782	43.71546080975903	8.224191742678862	59.65756384278468	65.69383036231845	0.0	0.0	0.0	59.86295321009732	66.22235025011324	0.0	0.0	20.88892097939672	44.42703191949592	66.23577084035823	19.06579579764757	0.0	0.0	0.0	74.3595162367305	53.99233906252422	0.0	49.98851117993488	69.60282565982091	8.80772658768433	0.0	9.994084530239771	67.12172455765119	57.09759453708877	67.13107588220136	63.17466061380176	0.0	0.0	0.0	0.0	14.626014076505463	0.0	0.0	0.0	0.0
20000	-2703.9081558505636	-218.99013354552895	-2220.749569304942	-264.168453000093	0.31213979320008955	0.48338683010907957	0.1641435193767773	0.5141144752666925	1.1410271458220962	128.0393591333489	0.0	0.30813689050542137	1.724004486345111	0.15276217987078028	0.3114769187977197	0.09592755842288082	0.16586705356440476	0.01889076452393252	0.009959111624608054	0.0005241014241419193	0.09035838255088736	0.025820864979451495	0.14071722900582972	0.015778124573412357	0.04387600215069777	0.019190328643437504	0.03773266338739769	0.006537892843861203	0.06715796689483315	0.0058704052956521325	0.0019244099086643662	0.0010624392436042256	0.004420145106101433	0.006399338693997692	0.0029032607270360836	0.015965686856851975	0.02570277166256316	0.04444181288170475	0.026982565099005512	0.011660430027345608	0.04349984970400756	0.059802012087840306	0.053425113651934135	0.017373229609514693	0.018712722022420587	0.03577272496064346	0.09697386474692483	0.0045713731367885944	0.01332717829523452	0.006031233185703679	0.02056598896990035	0.016530309517097174	0.049809127014178216	0.0003151910937123277	0.015478856942416309	1519.3819354610298	44.9134761356697	47.541227493553414	67.34427616448599	88.78175568598242	69.13025851428694	82.87570881453235	35.90745691330935	87.71150041369236	89.31577798279034	58.3735119313513	64.52823881960718	29.391282202058235	64.75693516271433	85.40344368570733	46.80109733128054	45.780315426159746	56.313327669118024	23.00085915979166	76.46445012352056	95.31164650009367	59.61895245251692	69.08518767512821	69.64354221438272	56.1964171438792	28.115909995079264	48.33987602077205	75.70787991046369	96.23910622813315	128.0393591333489	95.44800233161315	88.91907729667624	55.73756307214543	28.002338641261936	46.37092822527902	95.64931014785587	51.02562849407586	102.61735101086654	46.22854561504183	26.333482009607387	41.229665669051606	11.728506085352205	60.83660873592221	66.05125142419303	0.0	0.0	0.0	68.33976109537167	65.83985655427688	0.0	0.0	21.017495621382686	40.321064395583875	66.22920722063812	10.615641327642301	0.0	0.0	0.0	74.13618737730233	60.22709952354782	0.0	50.01329792440174	69.3572020352782	13.040067654670171	0.0	12.11413929746488	63.52283364926695	64.6637351976325	65.98912317859198	65.1624906256186	0.0	0.0	0.0	0.0	17.147833693613382	0.0	0.0	0.0	0.0
40000	-2710.3031753029145	-219.93143938620986	-2230.3582614449647	-260.01347447173976	0.3922445881543598	0.6672160831812988	0.1693652389389494	0.5500534920212425	1.4249397706354685	128.3060209435715	0.0	0.16523252368070834	5.828078592188912	0.056512516997127414	0.6057901530350518	0.030310771132390606	0.17782284987265423	0.07136622620302445	0.02841440207283808	0.06218552826291356	0.07063792919364928	0.0657829024332325	0.056314828582888346	0.005872907780889152	0.0835849053310275	0.008703539051057958	0.004105590177718989	0.0944455438844591	0.019192337793524857	0.008643522037175718	0.001280683786906433	0.025223304705750654	0.015464652193168957	0.016390109948864563	0.041525674635989426	0.18211154470821556	0.05728752323557791	0.0006030993246200081	0.0353781968236405	0.037268119654198247	0.026689169469525452	0.07372011249230895	0.14295727623381563	0.003196956808360416	0.003059537107308889	0.03595345130010105	0.055562442055386324	0.010591880327429635	0.01615536706166443	0.003469791425981347	0.009261016600549263	0.0015292235005232887	0.05541107675117978	0.016403601854356464	0.0044124982051288175	1534.877134174947	46.8724663406051	55.939223358822716	65.82633863254604	87.44794405513494	71.71426316313652	82.98287150961897	33.42728080543301	85.22237703357133	86.77005480617782	59.05326624060228	65.00069555820713	30.601178275883697	63.248964333525514	83.68899088209128	49.27422804837211	45.42608126999113	56.264586446450046	22.014689943842814	75.095044274832	96.97097377861355	59.51402679994194	68.88332015346026	70.07793267338249	56.73855690507876	23.988705124706076	57.887083335485805	75.8480777539819	96.40910453354194	128.3060209435715	95.22060758276967	82.10654891440123	47.37492457356522	32.94371535387655	47.12003726181171	95.98707160828555	45.381161075189006	100.44086541127774	48.34605411020979	30.9001423995184	33.590722638139034	10.97430043758514	60.26469950569012	65.12232482541276	0.0	0.0	0.0	65.38305689009783	66.25121942735338	0.0	0.0	13.979923135509479	48.71148699713556	64.33578329597378	14.756925643364234	0.0	0.0	0.0	73.80967405721871	61.66265997926719	0.0	44.46084407152783	65.98007127521949	13.769702601218285	0.0	9.869556941585222	66.30595862301257	65.88264022580518	68.06431115438119	64.84377191810486	0.0	0.0	0.0	0.0	13.418707452964322	0.0	0.0	0.0	0.0
60000	-2716.642764127044	-219.84742715602334	-2232.964415177913	-263.83092179310734	0.4064971968940736	0.5100555752536272	0.19541715542913557	0.5231723689498456	1.603330167833786	130.11106051190885	0.0	0.19279677803702985	3.4977016252659707	0.14028464963907197	0.16626988829414588	0.02038456087926402	0.3084212110632666	0.010977491741697513	0.19493201211708844	0.008804736926036803	0.041708994441999506	0.09166879757997953	0.11765877046914495	0.06508064461270989	0.09574957481525975	0.007053072922906111	0.005559584218212521	0.046841518936878594	0.014874907754263356	0.021570681934761447	0.008861920234640486	0.015233689182943736	0.00012242904328950072	0.012384852150593522	0.007069415679806884	0.053131014271138866	0.0265095766469734	0.034837125807740725	0.06940429760477086	0.013014782755458662	0.0026474617946751567	0.033116279917723826	0.13826374340557485	0.0008170485836370689	0.0036518307774061464	0.06514856603617725	0.019815976167486142	0.034244690600499415	0.0007265505841897588	0.00458305147814469	0.0029403352079087424	0.01060918050588835	0.052180799807279334	0.027150753964310714	0.007040691003692789	1529.6362724173352	45.025252404178815	58.83469580046921	66.00013426697183	87.42906575019516	69.77371746880698	82.29372355479109	28.973791173796716	86.90468557185804	86.76064753995877	58.46078585638897	64.41103356102427	30.417750571710485	64.58377184841932	86.22130601747433	48.3113170526177	46.244568127479965	52.33805982361678	20.94713449653174	75.59643125370557	96.22977143429917	58.27865156880311	68.55745481171088	75.30791685888235	55.504260375748814	23.583240872064067	55.628573855001775	76.2636036335068	104.17329323278804	130.11106051190885	96.73818760448543	75.30346434571162	48.98549134423866	30.36042455383037	45.07211920718405	99.34654437233695	45.256132603280626	100.50970319336936	47.04950203901649	32.914372935935845	41.2184225384652	14.376844919269884	61.099705308046914	65.6043586995531	0.0	0.0	0.0	62.929496397164144	63.84096479923639	0.0	0.0	15.641412527179376	45.22159009873711	63.85170438234715	16.35351616022562	0.0	0.0	0.0	69.29921406553275	61.7691484119766	0.0	49.348175354391564	69.18489642196172	13.491560351804788	0.0	10.599625455404263	64.73489222359669	66.62248068305372	60.97892646238497	64.41871338115122	0.0	0.0	0.0	0.0	14.479720435280656	0.0	0.0	0.0	0.0
80000	-2692.7985111729404	-219.45428043361915	-2218.781897502858	-254.56233323646302	0.357459323550568	0.6231288926077603	0.18498959405653437	0.5491641453316852	1.3968305313463019	127.45840888605662	0.0	0.09093854187709156	2.975101403039006	0.12256370043281807	0.3930180651658451	0.06942791657654801	0.20585869318155545	0.009357177001311586	0.08837742377537863	0.05630013345238938	0.021985945254043737	0.05330080015860402	0.06907772437686571	0.05794797013940521	0.15101482328241844	0.005461275117940211	6.289559036023318e-05	0.08105497528609237	0.018896443994297817	0.010396125466011081	0.01073792899138903	0.001534466254676703	0.002986186497320158	7.81439397586323e-05	0.011734421724424071	0.04149285234621297	0.03403954848940808	0.0030035009512071422	0.026341208961865144	0.0056240323011161435	0.03597913572742463	0.04871340926984175	0.09555944466843239	0.0498941637942682	0.01393056186612697	0.00909219067863736	0.02693132588766104	0.008343700202736682	0.02109771016152681	0.0011085537381859412	0.003284220308240133	0.004970469506806414	0.016230010017633512	0.020225012024156216	0.010972872863094998	1506.948842161113	45.11192903634867	46.60083675910893	67.00244550133961	87.21723446587814	70.13485693063957	88.49975723102283	30.611421391477375	85.02154421037935	85.80421667392429	58.53473366310908	63.16822072522991	31.414922353700323	64.30651098340383	85.07803902413964	49.09932231396329	45.630584073404854	47.09066495332246	19.491221139588472	75.40626516561652	96.49874050534075	58.40947739367537	70.9118347966597	70.86572227523786	58.637091070377906	29.106852076322227	54.93223778182916	76.14096096094963	97.4231685144105	127.45840888605662	92.62178346988902	77.60002828487224	51.484384655829956	25.398640760783735	48.00801184480942	97.03489827191473	46.01184465815376	100.628405778005	45.95213085177157	30.678613445260734	40.585343923573724	8.73701466981072	61.23640018644379	65.76403999602248	0.0	0.0	0.0	67.04171969300103	65.82101943026059	0.0	0.0	17.40277584959521	46.46490459937027	65.56470171790457	6.786742877238795	0.0	0.0	0.0	70.83563484804202	60.75096732115063	0.0	50.13018266476244	69.48588859270221	11.168168341518328	0.0	11.419028427299056	66.2290388680391	65.71614555756656	67.73472300336093	61.42232598001315	0.0	0.0	0.0	0.0	13.782354168958465	0.0	0.0	0.0	0.0
100000	-2704.20046572192	-219.32816973012044	-2225.119147428848	-259.75314856295154	0.3584012787244868	0.46654053534873713	0.17709983377832061	0.5293391909117443	1.0459097691196164	127.54181152031954	0.0	0.3103226614495366	3.3976226197853836	0.10833245738626689	0.6391476445718274	0.07101131058691194	0.22853257087296291	0.006867121590699364	0.020446953281130362	0.06898027324331604	0.013837302169905998	0.03733184732434246	0.08502661349014179	0.012668838069872302	0.08477135501241109	0.009707215170555405	0.004772242333107756	0.011063564377024878	0.05939514776639099	0.03675179031222629	0.008575781662904357	0.006117177299388684	0.0008095145479895009	1.0149734671617323e-05	0.02719857404616516	0.05038657355866687	0.061470334861922146	0.028171011968864346	0.00029208692824342315	0.017919031942357406	0.0419730722203527	0.029023587120051524	0.21360229515583198	0.048024152326294756	0.0007617442239043963	0.0007573042662545488	0.04061062491292244	0.01060755136128859	0.0059562193730617885	0.00763748257431331	0.0004895690369646786	0.048580128837708556	0.04700159181189688	0.0012605701082873033	0.01789327401803147	1504.3558860697885	45.01881303594075	49.23670035902101	67.01989870169784	86.81277257043003	69.50624872180147	85.28062809120159	26.77263748024877	89.9783633710731	86.17493462093366	58.61138530565406	64.8446721416792	28.68764140285207	66.97881405644314	85.82544417448095	48.16235553718704	45.43129948074094	51.88743268723011	24.807471133129724	74.9153472417191	86.53029746347786	59.017407571251624	70.59506605422473	72.00197066345615	56.35229640111249	24.00435200722663	49.702249426881984	78.38709894116073	98.88012753610884	127.54181152031954	91.37789478459699	88.28647488163051	46.1837025510971	25.903094281126403	45.74533195796158	97.59903263010112	45.75401972629116	100.4103720789884	47.04710235203933	22.094425098109486	42.31053017613677	13.975635388655224	60.17258054866304	65.91865509666034	0.0	0.0	0.0	71.1366562214242	64.68834262208273	0.0	0.0	18.382156166524357	43.95734360806957	65.5469556696737	0.18449438219771752	0.0	0.0	0.0	74.71560005294404	57.4154141119223	0.0	45.25180796773041	68.98738686435215	10.846246847177781	0.0	10.046742194498247	62.98042878547167	64.32937486389241	65.26382114069027	65.75451123403687	0.0	0.0	0.0	0.0	13.146418028034422	0.0	0.0	0.0	0.0
120000	-2696.3499882567767	-222.2992558987571	-2219.023975937847	-255.02675642017266	0.295651325847926	0.47559731004719424	0.1690022371761308	0.4723011637290457	0.8759278165376616	128.40771136122487	0.0	1.6951795857969636	7.542732956226855	0.008422348458540861	0.30460748013102806	0.08459568030486737	0.17537051464469233	0.009323398723089711	0.05857453813081125	0.05140177916255953	0.23186539218699842	0.007335681234804241	0.15732340480164753	0.009862715201191473	0.13478070907586942	0.026727386436138367	0.005782353200180131	0.03113071081541002	0.02151672157890797	0.007907453197996192	0.003198127696915018	0.007271479492874662	0.022114656415552457	0.0011482923391587707	0.037839800045548995	0.016231266603951505	0.06748348527110841	0.004004943058795267	0.0015230142914993382	0.022479282609755034	0.019145246454518414	0.07311034143813165	0.06616089793503631	0.052665051758026445	0.01528324006559426	0.041863323865830526	0.021879697614832116	0.014735981080785833	0.02075646223489309	0.002351679994087993	0.0033887562249206183	0.028925635737079246	0.012009792499364371	0.007472280651529639	0.011931821365526946	1490.0160006115125	45.91981737926057	45.87275895042935	67.48641440263889	88.78769319947716	69.51784377581457	85.5010264268873	29.69849207160926	89.36784834178823	85.50803634134715	58.477396309512436	69.08296209440137	27.512005771196822	66.79812049324407	85.12178499540707	47.01276947849922	46.706207271383995	49.50558494387291	25.525011914283514	77.33755710605269	86.95161493190007	58.29766960313234	68.56859072323216	70.32113808997444	56.82323314595084	26.85873620870937	49.959106424736895	78.51854683686126	96.93002943307246	128.40771136122487	96.1891206977115	85.98767920021966	55.95578591436083	27.699220890885847	49.418196079895196	96.85066230946016	45.92921628905886	100.42058592332695	47.30673070039333	22.425852316453653	43.01026587622805	7.898429302492115	60.488710836909455	65.53580145011776	0.0	0.0	0.0	69.69492345818419	65.88470986180225	0.0	0.0	19.705084910143267	46.5677516699347	64.91024196863313	17.896164381794502	0.0	0.0	0.0	73.09867457664389	60.97222870848913	0.0	50.22180931345404	69.38202822379094	13.279740841558427	0.0	11.914459691495143	64.19373892530373	66.69215322702527	67.25839192994391	64.77225062578894	0.0	0.0	0.0	0.0	17.16519795642187	0.0	0.0	0.0	0.0
140000	-2704.457143536422	-219.0868102012448	-2228.3005246106604	-257.06980872451686	0.49910209990094734	0.40134013451397593	0.19919300894455436	0.5525610136822979	1.2623096979478021	128.14444627529397	0.0	1.3816074766679782	12.584323495586899	0.1891684273955278	0.17202903968390004	0.02180303236201552	0.17415944941558162	0.033444342506321896	0.014217959233235577	0.027349945071799785	0.1007892785957287	0.048940169870013026	0.023631012783508976	0.020972961993354057	0.0968085630005404	0.0003477418019933849	0.010571355720338361	0.031743499797145906	0.01766413584530809	0.022445727740355532	0.000805450132193416	0.011143415820751588	0.0034614467589559705	0.012166845002767851	0.004887761564328751	0.07106399848961845	0.09124918561097109	0.02230457642736165	0.01803812113337619	0.026631464692213273	0.07649773029304394	0.0036506950761572487	0.19878792352947197	0.05057987355117579	0.018670019368670205	0.015108263755407494	0.020578774755945686	0.00807855500069726	0.047251857038044784	0.004051349739105212	0.007265277033073468	0.033715344414404526	0.029443725254101594	0.010528888719737513	0.0011291999408081668	1504.0452406737925	46.717262551765046	45.021255137009085	65.89545255107369	87.62680772019043	69.15297617449528	82.0318352727917	26.901001893472	85.22331437329512	87.01517865513459	58.61523797426021	66.74954076768795	32.78024748109508	63.521962247527796	84.07705932864549	46.539558851725566	45.229648709716116	47.513057795354904	21.142176799824675	74.90576364914922	85.17613031231083	61.66279367215063	68.77711142704561	69.99165183884317	62.64978095550195	22.803925207020157	48.86275279890859	87.21812566879534	96.0657631473394	128.14444627529397	98.930018697741	75.27607581944241	58.40100825381687	29.110841417450327	49.688192471487966	97.07129699318641	45.6868561027249	100.54194079205068	45.981522354733926	26.332587381529724	42.60931049978755	12.770642035679748	61.17774268933575	65.4022734465773	0.0	0.0	0.0	71.7991777428187	65.17711363054839	0.0	0.0	18.01753422123831	40.97622116823465	63.38269689293928	15.63298035870538	0.0	0.0	0.0	74.7531084258014	60.690135041794655	0.0	45.2582512561419	65.8046674764668	12.928274455903912	0.0	11.952058616817654	65.69176065772015	62.165436879851356	65.95885080135737	58.531810065172074	0.0	0.0	0.0	0.0	10.30687248490274	0.0	0.0	0.0	0.0
160000	-2697.013688572547	-220.10297018272098	-2225.316925283444	-251.59379310638178	0.2756256179523155	0.46610243336083185	0.18003722647508624	0.507030113185108	1.0946346029321714	128.39006013812838	0.0	9.457827335092333	13.307706616236915	0.18213778632140262	0.07267347928218447	0.051310085069477804	0.14199835068228156	0.05180233340349476	0.03430100950467194	0.00957221140306561	0.027755413902312672	0.0664844340269825	0.11385082853251705	0.010702974460840349	0.0678861603800964	0.0015334074260950133	0.0004193969026219368	0.0019685259196818715	0.030570640411651008	0.002468397674755771	0.02397860280807521	0.007712981084241241	0.0020438167978937636	0.003044495756015126	0.06830755733797048	0.016524961397583724	0.007313285887906367	0.010789334523217016	0.007017048407555654	0.025640903054248907	0.011156518902827022	0.29800777220538	0.026627315348434294	0.005215052896964232	0.022969862718327738	0.006284028301384548	0.04961618586485702	0.004001385285152564	0.024553405591290507	0.016068123971262324	0.020182298152632786	0.02718778866930087	0.031959872963260985	0.004304384602129316	0.00046977083006299436	1512.4336367987887	45.77385994678173	45.878397474076785	68.08914665670483	88.73793227348682	69.53650777250014	91.84953074178944	25.715610534758888	89.98257287234816	86.73431605937718	58.91226674796028	63.28665349088026	28.505808159146984	67.57421486989563	87.70447597948869	49.250725965372055	57.6914554983603	47.6403270590614	19.138715392802364	79.84714082702392	88.77526320047085	59.0736066121965	69.46748936636268	72.2465656770892	57.10099377309532	27.29451168561793	48.067904931372894	79.68794668889025	96.91356950186848	128.39006013812838	91.32581728512656	83.52910425644836	45.85384391508528	25.3242783314313	49.544563872432484	96.848161279505	48.451781488812074	100.53592525705255	46.59269509672727	27.46899663975288	40.65217747922034	10.4995104895629	61.459932645920446	66.22503903546253	0.0	0.0	0.0	67.04418316892688	66.25485939446541	0.0	0.0	19.21948487412406	39.09724372648222	66.03609443373277	16.829729087561965	0.0	0.0	0.0	69.16651473891213	61.43296391949733	0.0	44.41491394779173	69.29651049205548	11.661490418671022	0.0	11.719082890151137	67.37025757166144	66.25610074295473	68.59545794744669	66.03255055739352	0.0	0.0	0.0	0.0	12.645002958498504	0.0	0.0	0.0	0.0
180000	-2711.0132459817632	-220.54135767643942	-2233.7205473005465	-256.75134100477726	0.2865698113374994	0.6284277895022743	0.2049784234635195	0.5230680135859997	1.2968326630960656	127.49818406058752	0.0	14.267866725910899	16.97046316857622	0.12474155175662639	0.05485321186880905	0.1253392754348663	0.16262022593657505	0.02894835987260279	0.037117979699874966	0.026065922188037126	0.04673209173192482	0.05333309051784293	0.04729757329131478	0.04633942080599681	0.10280443260102207	0.004282713015617081	0.0026239545614655663	0.0031571400128244495	0.11636478456377236	0.00481449731512291	0.0046996889133385945	0.006981841774500559	0.0117375265077723	0.0031164697679199127	0.012420601495451416	0.03343830463781122	0.08483852181546862	0.00842886169349419	0.012610883721996013	0.07404567007143467	0.006623178330315112	0.1180490825027524	0.13987537728051927	0.0016175081388154192	0.01950772036756283	0.04705996836145422	0.01657642970113467	0.0165362809835645	0.0012239235909666398	0.009965215994513336	0.002634438321920651	0.004433038527721109	0.040375452861322096	0.00488663937896151	0.022491987911507322	1532.9258607588781	47.98363140333709	47.05396534434704	68.72803472779951	86.95392604605635	72.11779849352027	85.01787640540468	25.56581421166778	87.11455530988914	85.77730301403493	59.2828914003796	63.903048676919944	28.288094482325313	64.66001728007821	86.35215957298225	47.38392700072172	57.59128115224373	47.279591576257104	23.408559369624758	74.96413288425654	85.58691962723174	58.50403139712981	69.08157797398859	70.94179578750041	57.20709096973108	26.96534538471169	47.62958216301626	83.81417041889989	103.49870303732953	127.49818406058752	91.67276256950777	89.67612124214834	48.52081287702114	25.985228584411892	46.285286943628016	99.61323836888057	45.48893638472719	102.00822079998329	46.84132801942622	25.1949008035826	42.27997534929982	14.1131775975065	60.003504389627174	66.10674455823923	0.0	0.0	0.0	67.28342379990714	65.86084055875298	0.0	0.0	10.895323282693862	38.62756232518034	66.28501089035046	3.384393631689183	0.0	0.0	0.0	74.33937143931064	60.22114731224328	0.0	46.4658537270111	68.79601906386085	14.261883812826792	0.0	10.26397666019598	64.63217382295862	65.37345298904582	65.69864007548436	64.0680646249575	0.0	0.0	0.0	0.0	9.554445095269786	0.0	0.0	0.0	0.0
