Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
2	-2699.676	-2718.543	-2679.837	651.7	-223.324	-224.736	-222.05	956.78	-2215.386	-2227.955	-2202.186	429.19	-260.966	-276.132	-246.298	655.08	129.349	128.523	130.974	1034.88	0	0	0	NA	0.79	0.97	0.01
20	-2705.953	-2724.086	-2685.602	649.87	-224.161	-225.704	-222.821	1014.92	-2218.958	-2232.622	-2207.278	442.56	-262.834	-277.599	-246.734	842.4	131.552	130.614	133.301	1014.54	0	0	0	NA	0.79	0.97	0.01
16	-2694.389	-2712.941	-2673.273	558.76	-223.992	-225.725	-222.62	974.29	-2210.054	-2221.722	-2198.34	440.51	-260.342	-275.18	-244.703	652.51	130.975	130.088	132.554	1005.45	0	0	0	NA	0.79	0.97	0.01
13	-2703.234	-2723.019	-2682.857	486.38	-224.262	-226.054	-222.819	816.76	-2215.256	-2228.51	-2203.412	342.33	-263.715	-280.048	-248.769	548.75	131.608	130.645	133.305	788.03	0	0	0	NA	0.69	0.95	0.01
10	-2694.532	-2713.162	-2674.308	496.45	-222.993	-224.439	-221.709	1055.11	-2210.553	-2222.256	-2197.448	541.27	-260.986	-275.418	-247.04	657.66	128.586	127.694	130.216	1055.04	0	0	0	NA	0.82	0.97	0.01
8	-2702.971	-2721.766	-2681.265	624.3	-224.066	-225.687	-222.73	955.81	-2218.658	-2231.201	-2206.614	465.27	-260.246	-276.059	-245.258	760.36	131.399	130.441	133.134	944.53	0	0	0	NA	0.77	0.95	0.01
9	-2692.747	-2711.86	-2674.469	637.37	-224.06	-225.584	-222.82	1040.72	-2207.328	-2220.082	-2195.757	412.55	-261.36	-276.907	-247.097	635.1	131.283	130.412	132.864	943.44	0	0	0	NA	0.79	0.97	0.01
18	-2704.981	-2725.931	-2683.561	542.14	-224.182	-225.87	-222.801	1043.12	-2221.595	-2234.363	-2209.616	486.85	-259.204	-276.114	-243.697	538.08	131.565	130.662	133.276	965.35	0	0	0	NA	0.79	0.95	0.01
1	-2708.331	-2728.74	-2689.224	635.84	-223.526	-225.287	-222.274	967.8	-2218.827	-2232.026	-2205.069	513.86	-265.978	-280.642	-251.624	516.25	130.326	129.425	132.047	834.1	0	0	0	NA	0.79	1.0	0.01
15	-2707.065	-2726.687	-2686.988	501.23	-224.065	-225.87	-222.755	940.68	-2219.822	-2233.984	-2207.15	437.97	-263.178	-276.57	-247.255	571.64	131.42	130.577	132.889	863.37	0	0	0	NA	0.77	0.95	0.01
12	-2695.354	-2716.851	-2674.54	558.57	-223.408	-225.182	-222.046	968.1	-2212.026	-2224.45	-2199.134	251.58	-259.92	-273.581	-242.605	677.49	129.535	128.642	131.229	1013.87	0	0	0	NA	0.77	0.95	0.01
14	-2699.303	-2718.938	-2679.877	740.63	-224.143	-225.773	-222.788	875.23	-2212.218	-2226.933	-2200.265	488.73	-262.943	-277.324	-247.246	806.17	131.572	130.695	133.23	1047.97	0	0	0	NA	0.74	0.97	0.01
7	-2683.817	-2705.558	-2664.259	378.07	-222.856	-224.671	-221.58	994.81	-2202.223	-2215.335	-2190.292	341.89	-258.738	-274.482	-244.666	636.55	128.194	127.348	129.754	803.3	0	0	0	NA	0.85	0.92	0.01
6	-2697.398	-2714.797	-2678.032	764.24	-223.702	-225.359	-222.323	988.17	-2213.504	-2225.335	-2201.702	523.5	-260.192	-272.827	-243.394	835.56	130.201	129.301	131.827	942.61	0	0	0	NA	0.79	0.97	0.01
4	-2701.165	-2721.45	-2682.307	559.36	-224.273	-225.811	-222.994	1083.02	-2215.499	-2228.706	-2204.119	347.92	-261.393	-278.098	-246.866	666.23	131.663	130.735	133.376	966.17	0	0	0	NA	0.74	0.97	0.01
19	-2708.196	-2730.435	-2689.143	464.49	-224.083	-225.709	-222.797	998.89	-2221.145	-2232.986	-2207.151	391.81	-262.968	-278.643	-247.506	521.64	131.4	130.516	133.166	1098.75	0	0	0	NA	0.79	0.9	0.01
17	-2703.289	-2723.767	-2681.825	227.07	-222.791	-224.5	-221.602	942.06	-2217.446	-2230.478	-2205.086	308.55	-263.051	-277.582	-247.817	641.77	128.194	127.334	129.663	1066.19	0	0	0	NA	0.82	0.92	0.01
5	-2698.903	-2718.274	-2678.27	511.21	-223.85	-225.599	-222.561	984.08	-2214.015	-2227.164	-2201.927	354.03	-261.038	-276.186	-245.486	563.98	130.545	129.652	132.163	1014.58	0	0	0	NA	0.77	0.97	0.05
3	-2696.908	-2717.41	-2676.575	461.7	-223.156	-224.567	-221.808	987.34	-2213.681	-2225.061	-2200.378	445.9	-260.071	-274.844	-245.54	507.91	128.842	128.01	130.407	1031.44	0	0	0	NA	0.74	0.95	0.01
11	-2702.211	-2720.689	-2682.054	640.67	-223.872	-225.709	-222.499	915.57	-2216.223	-2229.559	-2203.075	472.24	-262.116	-276.679	-248.635	605.04	130.757	129.876	132.303	1022.97	0	0	0	NA	0.69	0.97	0.01
