it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3555.9650249122815	-227.60962290080954	-2320.045150326576	-1008.3102516848962	0.8405067246211892	0.8405067246211892	0.8405067246211892	0.8405067246211892	0.8405067246211892	0.8405067246211892	0.8405067246211892	0.8405067246211892	1.0	139.336079863744	0.0	1.1	1.1	0.12728483026421106	0.40791981074651773	0.2531876972085369	0.14008411201553211	0.11803264027409922	0.27971933248330483	0.31265929184762037	0.1613460740776953	0.37562837027403073	0.09708116313813263	0.15794014765120123	0.235218221203133	0.19543232499661298	0.24425402273031874	0.10429072098626391	0.25250983748423705	0.26734036828640995	0.5752132878265702	0.7641474948421315	0.23738569117861147	0.2842755564076809	0.35529230964069136	0.2246474870546063	0.29388694037552965	0.1472936614808895	0.18340962373794598	0.1817838979370189	0.5238993451369208	0.10859353187355489	0.10378053219827958	0.09110188532128595	0.376063526648673	0.3378398866557186	0.6326530663978598	0.5323409355458821	0.1514835168550181	0.47030805329638886	0.294015017745304	0.19532068066869193	0.18648892645381954	0.17410206186745697	0.14355760223261013	1580.019602672754	43.4329483751393	48.66033580377569	62.674727060800876	89.60454255777539	69.5214449140841	85.78477035456761	34.05947307217235	86.1637460342429	85.19490885934967	57.67989425997895	65.07088701795088	28.20934997457356	65.67295052484013	83.56466936432379	47.49387829625732	47.46207541574762	48.59910721484903	38.64373510510964	76.11758517533404	98.09560867692872	60.49713173600662	72.07810483127308	66.38768416021726	53.53160206514964	25.91322539785473	47.948662418654976	74.79168671206976	111.65418703686925	139.336079863744	103.70679208047184	76.4844624133976	73.02871164461897	26.699639879504208	45.23305373601091	95.03565280939694	56.39334393942659	98.24744594988096	54.25343664226201	22.481362196720614	43.30461113078029	9.156091365318662	61.93679639318892	65.69879105916527	0.0	0.0	0.0	74.6580546580498	65.45127393841032	0.0	0.0	16.7741278180469	49.18925769731891	66.26370347852199	4.057182233892551	0.0	0.0	0.0	75.96093798737206	62.938639369220326	0.0	49.015868963461976	66.28651101891288	8.361307392011021	0.0	8.853191805908985	66.0710877961935	67.64122073138041	69.69579652382497	49.65946731014442	0.0	0.0	0.0	0.0	4.4153822274535095	0.0	0.0	0.0	0.0
20000	-2701.1267991155573	-223.16361060900996	-2220.994295015543	-256.96889349100456	0.454721606121558	0.3904132964384067	0.6334253256068136	0.21524605188462376	0.23093310005503695	0.6011950720768436	0.9625935590453866	0.3059180022996868	1.2508271900872123	131.11817830665888	0.0	1.0465386412803124	3.941550817109815	0.1520343588375583	0.13644861874570588	0.08601182841485074	0.07720345943330696	0.03061789340642224	0.02420615957812524	0.027276362973027587	0.0669019276174235	0.06740898954984934	0.030210472159354285	0.03252661207956303	0.07946721522724418	0.0048989589110467	0.00013060206019430406	0.0616600537072319	0.022194793618992317	0.021471535692607274	0.003566994701751527	0.005743293126311255	0.0025880577372863994	0.008461552388236215	0.025240665139977615	0.006791266466229874	0.010244975680148158	0.018836457872238886	0.03897552081439906	0.011885911529025277	0.039655593721389354	0.0008769161646034142	0.1322334598988947	0.02544547887294217	0.004874421969302117	0.04353804252550933	0.005943749009448033	0.00898795822984618	0.013165740005610178	0.0008994696540535101	0.036464509436637586	0.025121863310675525	0.02102201826886286	0.035464971250925105	0.007178233257542987	1535.846856091382	48.624211450377246	46.58788339519447	63.7470306647249	89.6148506989285	69.54857770526081	92.46075396676702	28.133529613645482	90.1925402980211	85.35348909152377	57.480206733438656	65.68844595706825	28.07818011003728	65.31478927722186	85.19573286717772	55.02238094169451	48.02490146409353	48.45382191380644	21.59390648584558	85.00828948347073	95.31779039742375	59.58326454418983	71.01199052190407	67.43862467077922	54.94698620373826	22.89253720773763	46.55320115978424	73.73315698154803	97.37561526062156	131.11817830665888	96.55943166967263	81.48661667098274	59.593295022213766	30.630815936715972	46.63160575229926	103.2630969312004	50.010857995194364	98.3612844125848	48.35626182975929	24.658549543466115	40.16367649002885	5.729642774710138	61.84749684180029	62.29061233100635	0.0	0.0	0.0	73.30798318221754	64.36236536673368	0.0	0.0	19.330662652539196	49.840322076643965	65.36592134717998	9.203011501748719	0.0	0.0	0.0	73.96987045438675	63.84709791649458	0.0	49.48021061719406	65.46374449678854	9.79679691835461	0.0	11.511734612677232	65.97606107072403	65.88573416280447	70.04329085192776	63.97636771275958	0.0	0.0	0.0	0.0	6.407223666669976	0.0	0.0	0.0	0.0
40000	-2695.2304025436265	-222.47929920314132	-2201.799408932725	-270.95169440776044	0.7893997344760681	0.37349289173746103	0.594118806710469	0.21334295167150677	0.18221650432242883	0.5624851813475833	1.0262778428019872	0.4414300886901114	1.2857385727845851	128.53488629271573	0.0	1.0503076525606978	10.926844169142385	0.1323652031797357	0.4615129432971743	0.09351313146334035	0.055098931931430895	0.03341863430472929	0.04084620131456422	0.020769358536677968	0.04672783664591446	0.125929917037346	0.04837309888466268	0.060570727661370054	0.051935530638368706	0.016859473446907327	0.0016604680268101544	0.0519507767540481	0.09079757112238279	0.004168235154385925	0.005534722850516884	0.01558981685408547	0.003565162659457712	0.007316707960911603	0.00833762681675813	0.13680474159309863	0.011932829545045109	0.011526150244541537	0.03540156275434422	0.006528192045810876	0.07564581805192165	0.08071585260123466	0.2626616743047888	0.018201239282842365	8.423199202276625e-05	0.018311501329460782	0.03754449681754869	0.0062406527987512025	0.005178321671788997	0.0036236991408503763	0.03641239675577458	0.003220192375118592	0.061276678487355865	0.001510863113055588	0.030618156080957894	1502.8556580490797	48.67190733074057	46.96191793408888	62.7100704063064	89.40001496870615	69.83670128675418	88.37060704095934	28.89393862819885	95.16519407467682	85.64922326201199	57.85933756536161	66.34852985089081	28.911446431577005	64.69338256364348	83.85992083704436	52.509970134369766	50.328405426674976	49.67996562353035	19.552138825138304	76.21886645148166	83.69125159369962	58.89660668484954	70.3165817476753	66.92998484881824	50.518400311559624	25.205411872410696	51.713859354191015	75.61092175432684	96.98909219471238	128.53488629271573	93.03823406498931	82.03326181000052	58.3879002938386	26.54457019405824	58.73908926447879	95.55851945540365	47.54692749658262	97.47805612362353	55.64691299510435	26.541233725020984	34.44334244150885	13.973622481171084	61.38390555831897	66.16379595616206	0.0	0.0	0.0	63.804749428705776	65.81577696050886	0.0	0.0	20.180990543516046	45.381809662813176	66.09321445613071	16.55489025953473	0.0	0.0	0.0	75.43468558801185	64.77472251935194	0.0	48.55134154073244	65.36640718124316	11.747939332430299	0.0	10.142810898685502	65.35136130454818	70.75304851901035	67.84806020112872	65.88301969797577	0.0	0.0	0.0	0.0	13.038088139646778	0.0	0.0	0.0	0.0
60000	-2712.584134993174	-223.07583290737102	-2221.803703158683	-267.7045989271196	0.2522338516390195	0.36722566869605255	0.6055083330453049	0.18268853274198463	0.1900317491141808	0.4959526094624493	1.2303261006898591	0.31515274574151625	1.2821597086127199	128.57920702891863	0.0	12.347539680849819	17.692604691482398	0.0779407994706017	0.7211032559043798	0.13109187586941454	0.17785297271715947	0.0811520343357327	0.03391518625452705	0.018358814248407403	0.0685213248635266	0.07335999295435418	0.05914951602030822	0.008170976233465636	0.09626615856502832	0.0032732886561241924	0.00998862570477215	0.004059215922499655	0.06491922788060589	0.008201875198177479	0.0023985895328744265	0.004501561957524436	0.019685421121344714	0.028604119486915613	0.023362999242715614	0.10135012055004364	0.024745468485925973	0.08102266089572391	0.01504192133183201	0.0020284825667629502	0.06779737027736361	0.01878027459886192	0.09542564965518127	0.02029564017429697	0.0005420616877645956	0.04516500485931884	0.02885332737903547	0.003213578248218757	0.03908901170562623	0.010069854549397015	0.015069083063569884	0.03209659569486433	0.0020197760909858725	0.0842243889108006	0.011740109126533227	1550.7945102401313	57.2952564254299	49.36559706107382	62.96102444563001	89.530986356943	69.78897453406675	85.59771642921845	27.06054814839715	85.52255276567423	89.47733821662355	57.5785109267697	68.49147816816883	29.72492709311591	68.3804407420061	85.48828046316908	48.73030024198509	43.74028300803067	47.309678631298674	38.6159214039563	85.80612183977675	85.45293258682513	59.05744236236638	69.5233654195927	66.76525200433134	49.493979557448014	25.342387996542325	48.38361436542783	75.8313315932781	95.67207245425136	128.57920702891863	94.95122108221419	96.15404116383392	57.82112565331186	29.768720207069777	49.65473869506288	98.60709161080402	52.3389900024039	97.43158166778498	55.22346336475306	28.700916099594796	40.233842926984956	14.425233024638773	61.58310241355435	64.01410935955778	0.0	0.0	0.0	62.434494457198824	65.56900695265857	0.0	0.0	21.708276964187007	46.97182222653602	65.12600093856821	5.212196010821153	0.0	0.0	0.0	74.24511442995329	61.77406030873769	0.0	48.98362309585584	65.96605326218923	6.435547465100442	0.0	8.64988370870106	64.52638430198546	74.14907052511919	70.93774564404114	65.35954179442219	0.0	0.0	0.0	0.0	16.11979176620698	0.0	0.0	0.0	0.0
80000	-2692.467080761337	-222.74968666998964	-2208.651604992301	-261.065789099046	0.45629102050287695	0.34509444107863557	0.5549027866365168	0.20332851202484212	0.14251426650860458	0.555274463060044	0.9952108302841951	0.2973231019154092	1.2641988421965171	129.30655508092616	0.0	11.887976616058488	7.766607929214399	0.14831438382559425	0.6286189372981745	0.21898046611291141	0.05794144894133469	0.0921782859335452	0.008894676436202464	0.06408028845131644	0.12180242805140314	0.017075913587673696	0.05699512102318762	0.006583616687699091	0.18039756386266548	0.009381479940554424	0.004153336524226985	0.001678564641854236	0.08897891751365497	0.017580085816114362	0.0026637913257434483	0.007975511788470297	0.02262592252656717	0.023724160069736846	0.00909726812330821	0.07507918320683757	0.014604845048550488	0.011099748131774272	0.006504696455042425	0.0118760590838819	0.029329355264683603	0.03275543700408719	0.11448564207670812	0.025087498946397703	0.004626040639871485	0.04744373964706255	0.01456282495622986	0.03518856623737774	0.007841995809553774	0.0007840134071503637	0.005576486205818137	0.029255310538338034	0.013362408174906188	0.059237113121657525	0.010573202236614435	1489.0436888932163	59.966391473751045	45.44824502201532	62.85778083427893	90.68063722277975	70.11113321647044	84.94699885257623	25.930189647376036	84.28495122908129	85.45157778774492	58.33738328073613	66.69292651821493	29.306070608341976	68.55549402708228	83.64715961454121	49.110012188135684	48.865180291280154	45.327940577972875	29.836920472489748	80.66920449071345	83.53514077585113	59.20601401873596	69.33948925688367	67.13985284764011	49.920477636264586	26.451423976645284	47.75776856439699	73.7295914674156	95.456385203123	129.30655508092616	97.52814339298811	86.68963963487383	55.26240174963162	27.869902920904053	44.673958117894394	95.08675494729815	48.553727233304954	97.89389094844239	54.02929674130045	27.509652389685282	42.10866129680566	13.115129749382557	61.707587525213626	66.01717104903368	0.0	0.0	0.0	68.99703533872466	65.78715337711837	0.0	0.0	19.729103725553898	49.636899420794364	66.46627375449403	8.731468153114664	0.0	0.0	0.0	74.87966951339335	64.38745271380611	0.0	48.495608817258926	65.67457563491905	5.601902958021979	0.0	9.76520792563943	64.81946868238971	73.28976159031144	68.48121047996074	65.26370780110236	0.0	0.0	0.0	0.0	14.967525859533303	0.0	0.0	0.0	0.0
100000	-2706.0691181382954	-222.70107347948195	-2213.155437597991	-270.2126070608224	0.49596752285966716	0.344877563733648	0.5842645708019806	0.18896949310059566	0.16389750658334742	0.5026987739521047	0.8152862682408205	0.4685730829664288	1.2460153933043354	129.96237049849256	0.0	14.063766649729498	9.23623711998752	0.1859393359524571	0.024339060391077135	0.08843263267790108	0.06567707385797636	0.02402543123595674	0.014351560926179965	0.0216412919930922	0.053776857703941174	0.08587624406674764	0.12275690167257043	0.0367119380532238	0.046523261160206386	0.016436715874692996	0.000829020926594177	0.04075995665649102	0.01561816127468697	0.07331290826994821	0.009139183752411068	0.005272399495576297	0.012921917764461789	0.004941938726238477	0.007697714140976523	0.004508529743754584	0.05133818633510857	0.00781512070547413	0.05193084538390285	0.02233366784898106	0.136574796458644	0.07714698814684168	0.05803402865781319	0.005598543867847244	0.015366122417249503	0.02369201585256834	0.006722036346229273	0.018777443784085492	0.003643475034022328	0.0041914824519523565	0.03978726547324143	0.009335780749652854	0.04561834463852405	0.007069584520399975	0.00701434009405281	1536.0818286138758	43.89557274277166	46.317597238205494	62.6127071710589	92.60545675143983	70.72888612708824	90.31580329406415	32.59868239333635	86.57819834475731	86.41409569510843	57.291640205333366	65.05570844311029	30.756345803905262	66.374098777246	84.30418563943024	47.50004136688254	50.38428012739247	48.395952761862546	22.695499502462365	91.05439546311415	86.41743522435819	59.463622554733874	68.93397322208119	66.43422281508165	48.5123914301351	29.42322815121612	49.39346969106667	73.83613019977952	101.85312656297063	129.96237049849256	91.92135355984233	86.9150237564029	56.69453773120423	31.49266910571664	59.922352982342986	94.60960159281996	48.863542965110554	98.04886635519203	55.97547263240186	28.778132576908753	40.83294104429726	14.72416487727588	60.97422889404562	64.9288173482941	0.0	0.0	0.0	71.24586296195339	65.82822915824663	0.0	0.0	21.919761715574086	37.26919241051316	66.25174116475971	10.064452446400262	0.0	0.0	0.0	73.84185284097471	64.92012099294561	0.0	48.40787295794187	65.79646726854443	4.747747782936022	0.0	11.468246202142618	65.83076315945921	71.43205427994327	70.76132941155092	63.393194236568	0.0	0.0	0.0	0.0	12.609801688184675	0.0	0.0	0.0	0.0
120000	-2701.3902767072577	-222.39412396806986	-2221.279372333338	-257.71678040584993	0.698565247885281	0.3523100016916718	0.5620687491306323	0.22704815723851732	0.1788609699301185	0.5851136310460676	0.7880782963706595	0.4173199030122354	1.3988699277818921	129.15196396141582	0.0	6.7925965080654676	10.668791973783556	0.19441468507941484	0.31477527686516327	0.16569336074519456	0.046173726285860715	0.06677794603931426	0.01445103571464408	0.021765256161481675	0.06147294523633838	0.010351233634072065	0.0491536658947793	0.05239220400165007	0.09223038507975499	0.005198614375375076	0.038911068841913095	0.03955931295636528	0.007670398590750888	0.02420564687298472	0.0009124773601668942	0.004266640581943479	0.004818218499551165	0.0018231460687002697	0.06542631827679213	0.074926116966628	0.0067497322357289394	0.022454449010363513	0.02983315509424442	0.019269949270351645	0.05647534183813058	0.04334344189043357	0.15688780289839951	0.0005242979824112969	0.022102863826402624	0.012163752607365554	0.00092085420387182	0.031770972185720524	0.020587076481531307	0.00504374252643043	0.011489598624179942	0.0012142262191832092	0.0544934354411154	0.044592984426564196	0.010820659591167271	1565.5955081587965	45.95521352712667	45.44983490136293	63.07080424297295	91.15193844296915	69.75717339380708	93.53850624221657	25.687871414973557	90.07323676777047	85.30672071154619	57.36424874183341	68.24809084766682	32.56587895962561	66.07195214514576	83.99351787351893	52.33616096859528	53.06677089546836	48.10561621136585	20.766095193096273	85.46670868226673	90.96055719434322	59.23980515122488	68.82318925221826	66.99624074621482	51.09751162443436	31.7398404183595	48.18964688294424	75.65814841745299	96.03907833016042	129.15196396141582	91.63137677439308	83.11828037490564	46.416762701516376	37.47655393347223	45.720173315993435	95.46628892158003	54.7695907889123	97.48701855198641	51.592312817691166	38.747718868986965	34.694455324508155	14.38173073519705	61.517456125748836	65.53672050345723	0.0	0.0	0.0	68.23333529161502	65.27950722610248	0.0	0.0	20.288671564179964	9.421677714454015	64.50971054706721	11.931982754146574	0.0	0.0	0.0	74.36528402560745	63.93419067415899	0.0	47.745451786616464	65.71361066327525	9.063693400030093	0.0	11.689829077792307	65.36296164242752	73.85484299523621	67.43694882571319	65.98184536261904	0.0	0.0	0.0	0.0	11.758984792785306	0.0	0.0	0.0	0.0
140000	-2717.149598290751	-223.45782923811586	-2227.4897187343086	-266.20205031832666	0.8150970079636166	0.3603635276006407	0.5630914161159718	0.1883994176650462	0.1463623950079694	0.45182869910693235	1.1406583515707018	0.40037807902372474	1.0270809247894053	129.21268631612813	0.0	1.6753226851951974	19.717827197383205	0.03624139215165153	0.6892758740421823	0.06332237610750119	0.40271218531952263	0.01664624751709627	0.009009351350547123	0.0232045158601098	0.07796068054356418	0.05467358189277285	0.07689705448171869	0.16927358294503106	0.03649171128369955	0.014243283231113376	0.024098783885368562	0.030371677277915978	0.011542421578790648	0.00257122225628077	0.0126096477095658	0.009081461593123808	0.0010575512868212877	0.006054850582177962	0.024503514370446566	0.022512356327467745	0.020083491670702145	0.01113298434800132	0.01761193078187655	0.019749717312139595	0.09637201255544138	0.03356433200849082	0.14833764613679876	0.004409539444390373	0.012259185766026859	0.016701011545743098	0.028438807281079993	0.013991166580685239	0.006937358653023326	0.0089330315679031	0.0077191731268604164	0.001232061399608735	0.03822264505545504	0.020111813962856297	0.005753702780743356	1600.0970196453807	48.471455123867784	51.2062985523328	63.327867271108445	89.64240838738412	69.45994555886755	85.02636187983471	29.84698371284277	85.38779465537924	87.33425903102685	57.42237649095211	65.48288410079205	29.493408346612675	67.10455230616085	83.4666183000025	50.818118394049584	47.41945812286237	52.914409329728194	19.888053617245845	83.1244936565887	91.19531681562397	61.59974602456521	68.61267916303784	66.48508103437429	50.03577546559174	33.521488406557495	47.460072470058904	73.72059276395463	95.43275814831118	129.21268631612813	91.52592621844315	89.41069361685791	50.4085290236506	37.80745104237848	50.90445878870051	96.60292315033647	59.204141271241056	97.80731111071343	60.82512838604925	28.93520222186635	24.566459356438806	11.683568427659445	61.644709182288416	64.21707871113249	0.0	0.0	0.0	74.03611866423718	65.42380536319214	0.0	0.0	18.319698745482917	5.518631621345246	65.04868684572037	10.858583857659688	0.0	0.0	0.0	74.96761552512245	62.71579100149423	0.0	41.75279491466302	66.18518028044144	10.609972940030405	0.0	11.098189667561664	64.24251550730759	72.22802222909432	70.24945405827144	64.90686177931347	0.0	0.0	0.0	0.0	7.174949952242535	0.0	0.0	0.0	0.0
160000	-2703.6731101549344	-226.87919160637145	-2214.8633553923682	-261.9305631561947	0.7440006224869329	0.43827942839111345	0.7139909826884918	0.2371303359193251	0.168305311593049	0.559873883363693	1.4011474552409116	0.336123058878982	1.340556885093804	131.10453356585947	0.0	1.0073881052363696	14.937352525217868	0.026493568384132266	0.279329482342786	0.02400619157134183	0.12177076557414857	0.07445653704485093	0.001695608940839466	0.019890225063782976	0.1303158814597664	0.018462532517011326	0.10181907758580494	0.10805384430898575	0.25584494634476773	5.14532006034022e-05	0.01046374964106426	0.017715197233071404	0.06415303681294117	0.007385683844037294	0.005437610744686981	0.01628710334267424	0.006013482477835842	0.002545093521638066	0.004400796912631903	0.015786786554273905	0.024475621214979912	0.0072840101617409675	0.009337661659651244	0.03978964882092808	0.04672759303454051	0.027247285411995066	0.1473969796515458	0.023598752168122003	0.06835340276810317	0.0166608153683275	0.015509942167061253	0.001280389485755011	0.006876892672457241	0.008109611307532483	0.01221155178806884	0.02349449961445527	0.01886617393861717	0.026200598973486148	0.008158658032325147	1516.1732225850346	49.28570411066637	47.63018908878282	63.0410630376934	89.67429504022915	69.95408832396998	86.21363180110232	26.857711725533505	87.5085920844764	85.90863158719237	57.52497347666659	65.90943426721958	28.78196418042807	72.36185955763536	83.5838107461245	48.66821640937585	47.400714078754184	49.97526254655856	19.584024618059665	82.45400920174126	84.70509541383412	58.88218960457835	68.97309726340899	67.2329640182394	48.6126837921097	27.356847048997718	50.047867467666144	74.81859945504253	96.21950409791839	131.10453356585947	99.12657575372337	86.34698119534191	46.578139038990955	28.53286779957919	45.64589285191627	97.03445554156826	55.37063321920675	97.72103364639723	55.04039010393993	28.367718347117638	40.825544437661485	7.401267928824677	61.005902229622876	65.06480999823327	0.0	0.0	0.0	71.04485481413492	64.39471139561908	0.0	0.0	18.586460090250096	26.488841057633092	65.8057418369468	12.816471553056488	0.0	0.0	0.0	74.63495434165173	63.10914469342725	0.0	50.00866835546006	66.26218717885929	7.785177691813445	0.0	10.75074004493074	66.0163017099476	70.97787521421255	70.82105543078241	63.91371708916929	0.0	0.0	0.0	0.0	16.148595430374513	0.0	0.0	0.0	0.0
180000	-2701.737304373239	-224.4976680601284	-2218.105781285416	-259.1338550276946	0.30567500130239367	0.28569911413327853	0.3187307469433128	0.1635523645254302	0.11390928203702781	0.44599878537181753	0.8835328944787405	0.32866634216417323	0.7472975195743767	129.27662329981987	0.0	0.855245619621974	10.669718706603165	0.017250432882186972	0.35086467145065287	0.1990766903561049	0.24508412852106787	0.10821902592375833	0.015108793019879805	0.015590453897124844	0.12598456455083304	0.05173115717046379	0.07328890122290416	0.01593247089365203	0.1243103408557022	0.001606479753348671	0.020491066881973666	0.04553183665711789	0.0605151469026729	0.018867237143908352	0.00042204849399621254	0.0018279391733310132	0.0009015244664972384	0.0005095461291921569	0.014600422789745817	0.026198864396923222	0.010072214462230084	0.007712301035776231	0.006133768525476552	0.01603608293295074	0.08205966588986335	0.02260849418543452	0.20430719017359097	0.0019971757762066895	0.0356114137874905	0.013787507045239566	0.00890037408319788	0.004330987322833198	0.04125189200961708	0.011602942649460391	0.030930514894709847	0.007955243452174621	0.026075323377978583	0.041427849377694816	0.0027330587917344753	1520.9503996786918	45.14914925147799	45.1367013998894	62.75894024667801	90.32736010926588	70.00907532964158	83.82982298256584	25.599566590206894	88.68840134263276	86.94626115590195	57.75568125153673	65.2902283024243	29.8750917756078	66.1508505466604	85.30767918683729	49.39558392044455	48.70999280267529	48.762757397220355	21.87207980534935	83.4477893543381	86.73791959136346	59.8556814611311	68.75107018096392	67.50898970166199	57.082153392281135	25.878130031747485	54.21793992748481	75.78984033173474	98.21866564305226	129.27662329981987	91.8438781953577	86.43494710284604	45.516706537601685	28.236980711210293	44.917337675805996	95.38636180971429	49.248467261459155	97.63660831040019	55.05040181821441	31.772145009333205	43.31344106619989	7.254355858350031	60.24944845631762	65.41648014134708	0.0	0.0	0.0	72.13647539258714	64.84345637801533	0.0	0.0	21.89926565434468	20.606304280737156	65.5442986331244	12.868671910581801	0.0	0.0	0.0	72.49521205156323	63.262911211516816	0.0	50.230027971040485	65.94197452733364	7.53602871105725	0.0	7.658312471519873	62.725272918107045	70.90075706592157	70.57611947678312	63.872476352560035	0.0	0.0	0.0	0.0	14.09217053683802	0.0	0.0	0.0	0.0
