it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3586.1598706100685	-221.56265391837067	-2240.5344616400744	-1124.0627550516233	0.4273838652622791	0.4273838652622791	0.4273838652622791	0.4273838652622791	1.0	132.97195491016672	0.0	1.1	1.1	0.25613549578496003	0.52890128735917	0.39259280887940506	0.24592253538870368	0.48654437597167355	0.13658672523462165	0.16218779505579484	0.7386519491816338	0.239154284423994	0.3498554787637234	0.11205343894652942	0.19402882079148603	0.17279399182407812	0.5827783605418579	0.6654672881559194	0.3252721035876629	0.3389639890752284	0.41772267134425933	0.22671230356179173	0.16876109173309384	0.1754358235343255	0.19168076969227624	0.1559640861717632	1.0924151360168812	0.4346899328742063	0.2687051875391122	0.3499590987402817	0.26818481046170306	0.27947267709070756	0.5510216080207041	0.27760531338159156	0.11898256472115126	0.3067980839788089	0.40219203218683475	0.8999076816738834	0.18747774264305778	0.49254000545200827	0.19128560884388962	0.1819556703855784	0.27119740490534106	0.1665840739700591	0.9860459585245188	1515.3804995803189	52.31349242650726	63.46830032287378	87.27475762803215	68.76598006849792	89.46418344516685	37.977553691381914	88.78651388817849	91.63416324037408	61.099436555775824	65.18206108286944	24.466409286840285	62.79562105827294	88.31405864017702	72.0529016620159	44.775944584703645	102.39021277854096	59.62113025314686	73.63428761532391	52.73766133115535	28.57202159692224	48.49824375545866	76.19508480440804	97.99430967264051	132.97195491016672	91.96640286525462	81.10097034341035	70.5022176975986	24.53271181325027	32.61740009234373	119.53255351448139	44.2473667639064	98.58600233423212	47.963002317537885	17.039820009321602	8.828809774163112	61.054423167370615	65.04430426463716	0.0	0.0	0.0	68.77904962188792	65.9328030447657	0.0	0.0	21.464004906625068	49.49820687772283	66.97714352714559	14.168393058446899	0.0	61.74018710121459	0.0	51.05168681093375	6.022014048819486	0.0	12.303603607123543	64.70170063718595	29.136045212835363	66.09624585117818	63.30552605040785	0.0	0.0	0.0	0.0	7.590084907985245	0.0	0.0	0.0	0.0
20000	-2650.2584512755784	-221.15573847856916	-2180.9156190744848	-248.18709372252442	0.3565558545551798	0.5819434840135836	0.2298193195644003	0.7053939938310203	1.2007609631309286	132.9823724929818	0.0	5.891914096467177	8.047188810474838	0.18223633650705703	0.23406598592161384	0.23740676004144	0.10393058247217125	0.036820847984986596	0.00890169185128082	0.023080199095094397	0.09495148905529599	0.022638489431250207	0.16149892449997993	0.006075476561041689	0.04506782972058354	0.0016165853501730592	0.0023599017599708946	0.03886058229540916	0.04193176874107153	0.011914089960168017	0.016872122307716113	0.024079740839736127	0.006113893399958861	0.00382871585307252	0.015719665525677502	0.042776274207678044	0.0009624396327175279	0.033095248582342425	0.014415053945550652	0.017091762483701603	0.08381928737354497	0.07642816945586312	0.04830402710481897	0.0010500765021387655	0.014595667479357618	0.04994303566481194	0.0031969594050134014	0.032400104076791156	0.02276692866892343	0.0027006570246853254	0.009544625150883734	0.0056350646937552915	0.07306589766991324	0.016496328816658412	0.015138318607625842	1473.50262814931	55.2562179124331	66.10575910745204	87.58536734216449	69.28876486898227	89.16623748782979	49.2408733640257	84.73837751369136	84.0531477761304	58.91360018608752	63.15465293823193	26.57002722488484	62.08711705682365	86.228101136968	57.395764406632324	49.66993616190191	86.86034185679942	58.122734306144686	69.83222568862676	59.40960520607116	24.739628687900804	48.01982318587552	75.9760647128934	97.7002723837142	132.9823724929818	91.56203691675137	83.31945273827444	55.96184929156454	28.412722300120834	30.847334043328573	112.842146984171	45.87584358920641	102.04538961483759	49.27621059644072	19.857289725663474	2.1431759131322465	61.14567297895028	65.71649784296004	0.0	0.0	0.0	70.53785112796095	66.66774789727401	0.0	0.0	21.865349121262092	48.43456180785414	65.73680057262479	8.57389532327958	0.0	54.54995871773835	0.0	50.66396235205698	11.83808072470939	0.0	13.219507565507154	66.18483841695067	36.75998048734282	65.05641909631917	66.58414317239549	0.0	0.0	0.0	0.0	13.91621753797786	0.0	0.0	0.0	0.0
40000	-2642.9661074049027	-220.64418275347728	-2183.2353033517898	-239.08662129963568	0.3841029599730965	0.4918819653209746	0.225597217638069	0.6165978381731178	1.386547158084225	130.71184538408735	0.0	7.932455421595462	19.304354827623783	0.09162767329248248	0.6812103804951253	0.007617810455952508	0.22929579207316636	0.01674418217298689	0.045191287466359524	0.05684870124873698	0.0040335415046435655	0.0907346695819128	0.04727009898328145	0.06422441141744817	0.052534955379824125	0.010822946741667488	0.004637077353437941	0.005555313206628324	0.07730516404377417	0.017077405651447216	0.007584324903371148	0.004192304837613412	0.0009834385806142126	0.00022880985782245745	0.07731191373753793	0.19878894048122706	0.04508016271404229	0.05827777863116665	0.00530316251284191	0.0006228880301944831	0.05129776861960436	0.04900072787768244	0.015086707161627565	0.0010545647113561166	0.06848330865307221	0.031724356092034604	0.019417332989315313	0.006601200072376252	0.008326059526016937	0.00891659763525864	0.01792472378419429	0.009607871633409289	0.04615294899899246	0.03935434500849983	0.00967734187097877	1444.4610306312509	45.460286743680726	63.31097522806376	87.97578916537172	71.6639898072122	96.4834060473693	37.88317889369184	86.48217586815424	86.82123204164573	58.5933718860506	64.4264510199919	26.03783782833541	62.32833957852965	87.1470211188328	61.43955258516137	58.55960766575774	85.4465995675179	57.969487242575454	69.7689559736365	54.342152264766575	29.934104920478724	51.31523567782729	76.27843158910247	95.06320314028368	130.71184538408735	95.22722953495492	79.06410586158022	51.86545759917004	26.9778406505313	34.20952503788334	95.05456005387616	48.17872237242745	98.56934335171569	45.49322623093217	19.639855393415104	5.68316313309433	61.542546487494505	65.24955056787059	0.0	0.0	0.0	71.56796183032071	64.96829736163338	0.0	0.0	22.403192351602705	50.17581979701911	66.64824761119542	17.56094415112151	0.0	50.69806989769643	0.0	51.6482727830391	5.221653216280307	0.0	10.985010024383923	65.72015597977493	44.04630884319155	65.42236494966058	67.54417250591591	0.0	0.0	0.0	0.0	8.17633520206539	0.0	0.0	0.0	0.0
60000	-2647.1392393922724	-221.46222157155282	-2181.9713925461656	-243.70562527455422	0.4355193665591783	0.916196831344267	0.30496951850651555	0.8849192688081249	1.0679849104411594	130.5853971783777	0.0	18.70775401962106	8.700039975618433	0.00785519535410621	0.8090024029284255	0.015297626733263722	0.08943079486557645	0.12275280485253352	0.04843114943465512	0.02082240812316742	0.01582775424468889	0.06264037186289688	0.033111198852478214	0.034780157277987646	0.10608842887614903	0.022474097916465877	0.02110863287075458	0.05669940862709699	0.03341441629741132	0.014929747747352423	0.051653996861861055	0.003356257853028973	0.004270947853152158	0.0028393596591103462	0.0011425677885831885	0.001220819632202062	0.014549600827646938	0.037225188252129865	0.0003905637858743145	0.015681726446041468	0.008171016995225513	0.16540000003507085	0.03145451151948447	0.01747706764565357	0.03184032331502169	0.23493208141642488	0.00819892987883161	0.020814835788198836	0.020155587083994404	0.017778181641978617	0.10048284693850566	0.002035519524413559	0.024481854297058202	0.06968876905383985	0.0047153218252614145	1411.7233454685584	46.0769467461768	63.295677879666805	87.49786443575574	70.82033387289141	95.76203166127995	26.19609168193412	85.24216721628761	87.30303115378446	59.034837864973625	65.72776741090499	29.14127340428857	62.10827057850796	86.9780083426014	46.453183193747776	46.45092622231332	84.94175648400326	57.640636551927535	70.44913081862552	57.607519549217265	30.028028159857968	48.57730596032716	79.61840265137859	97.33109007041955	130.5853971783777	95.68480138583931	80.32285785675634	45.685129082225444	28.287155324133682	33.73181530010852	95.73738657560484	48.78336567629442	99.86881251573855	46.35469944646081	18.192587559529308	9.253318064221233	61.22778625122456	65.70656967862531	0.0	0.0	0.0	66.8060557026381	67.18327343989785	0.0	0.0	20.84221304220967	49.568063249177975	65.80944799503882	7.586954263089095	0.0	48.59934363676263	0.0	49.616289096715334	8.831584045418062	0.0	11.987622795338705	66.25860466202094	49.59617564580969	66.18760077447752	69.735381152706	0.0	0.0	0.0	0.0	10.996660848010572	0.0	0.0	0.0	0.0
80000	-2636.8952522331506	-220.69257884163642	-2182.7579388636195	-233.44473452789452	0.3976036875556102	0.5982644233441815	0.20575446392126728	0.7475367157287311	1.2885407926973698	130.8676483663856	0.0	13.761306419473167	2.2217635336931925	0.11215434535811748	0.3991816596340721	0.3953745482179235	0.16859183186879625	0.0436450091843043	0.018000855947984017	0.03269590406570908	0.06043560347973963	0.04514069461500363	0.046638883998791736	0.036036279720128725	0.06185466699790227	0.0026106920907057202	0.019223275065895735	0.005201435714343046	0.04043681170057989	0.007596350135137734	0.003576272993883861	0.005806689728391587	0.014845919494581474	0.028243080954762946	0.019651648901586785	0.19056413145095558	0.09370449348881593	0.011409716088438191	0.022279267564354995	0.018497605488661	0.005598301514519673	0.13504251991598878	0.06894793836478384	0.035870937144816525	0.011259773513558339	0.013567573094215782	0.033071705478083406	0.008244660147407074	0.0064449719275694985	0.004101842590534619	0.011638292015804717	0.0003091454296645445	0.033494651414389544	0.03340311943938089	0.012330075694127049	1434.4357716174636	53.808870901979006	64.28140676982761	88.16944903067036	68.63526461945389	87.66584528561457	27.181475702930314	86.79827937212151	86.94041399072498	60.62540477597487	66.13188508623347	27.052986667697546	64.23614280625391	84.34546371628313	49.684932572505666	48.162249213729815	86.75686683545055	57.468534901295605	69.85923883052142	52.802370931561505	28.117899610676798	48.31621158648325	81.20218754238583	94.97712279256027	130.8676483663856	91.52957620933928	90.99989197019902	57.41985644533184	25.489574221448663	46.37974486879019	95.15878952892936	45.57607749773251	99.27868464839625	45.11776963828051	28.77639028546921	9.5596418975556	61.5588553536085	64.77093476284527	0.0	0.0	0.0	65.55754514268398	66.24837897931306	0.0	0.0	22.824537014223274	50.67554385205027	66.83596573967556	11.066707613703496	0.0	60.097420370999046	0.0	43.31105852016429	11.73555701223492	0.0	12.88555666410205	66.38137528560794	50.679908815525756	60.46889200047981	68.14206021187705	0.0	0.0	0.0	0.0	12.578796369125113	0.0	0.0	0.0	0.0
100000	-2639.368512846757	-221.1713769061288	-2184.235876051946	-233.96125988868198	0.4110456302924635	0.6285177652821025	0.3077283826554113	0.9186219471699703	1.0979821707356052	131.03292485019486	0.0	13.037896071537444	1.9838105906388959	0.2117235397048696	0.14788556629819444	0.08693374698996492	0.3057712823714727	0.001900901291979888	0.10148319754759273	0.0075334403704497	0.02823396235186383	0.051561434414168675	0.08645754435543665	0.06961876115550296	0.08892358400918647	0.005568357446573432	0.01724353346562102	0.002301050955952813	0.04087125739276458	0.027682937794409942	0.014705619079795404	0.0001636056363014071	0.009462922875078826	0.00759638177039696	0.011692041448850254	0.045315838519480976	0.06065106942507751	0.03726409757836542	0.009725248064852116	0.013965136651372523	0.0010355466977942113	0.11745059727266624	0.02668903527385774	0.02724714297927854	0.004662983776642296	0.07750196508187737	0.01707524466951022	0.007125644823476222	0.006488298024881573	0.0028106189171816605	0.015643278379870767	0.011045497788949876	0.09672140900208535	0.0211442851494789	0.011804462439118871	1443.7788493546748	59.05974480603728	65.3363604663353	89.00130874232538	68.4481668813381	85.91341173903872	28.920490042363955	86.3537961466458	85.35252762013724	62.88371854398871	65.28984764953182	27.573483537606286	64.34449878913432	86.08026457927517	45.64773704211185	45.61784197759573	89.73333482599402	59.6876192552934	70.60965466903995	55.32507091493753	25.94933676535117	48.17903981157317	76.94216706972679	99.94481536457967	131.03292485019486	94.2202452431185	77.3606992330698	60.00410901767571	28.15084407640256	45.79124435949358	104.16030604919708	45.03439797907609	98.7563931183903	49.012273720253866	27.45926643803279	5.510256273478644	59.73715605931207	65.94267774110776	0.0	0.0	0.0	69.26905421976569	66.09951473617679	0.0	0.0	22.779148898269305	47.60868598988451	66.9258008907842	13.83846287916081	0.0	56.61577772486674	0.0	48.676351249563524	13.13797556474408	0.0	10.8450116395794	65.76810568494987	47.310599160103216	65.2531771196848	69.75202821773532	0.0	0.0	0.0	0.0	14.32830792102493	0.0	0.0	0.0	0.0
120000	-2632.2227536119203	-221.42839605173666	-2178.01090180295	-232.7834557572337	0.34549205970439684	0.5540666739970861	0.25330490035669817	0.6474607386659663	1.41053536456638	130.8950732406185	0.0	7.975526820007562	6.312967442042961	0.11112399604210252	0.032433218639972596	0.04977513123358181	0.07737413998063147	0.11418141928235877	0.034214743802810095	0.020813388068209576	0.05679125941258756	0.054243787881205714	0.06656151055345788	0.02899613558652051	0.11656098012447946	0.005810120959381054	0.005734490369173356	0.004384641343282764	0.06496258873089307	0.043902569919931286	0.006109885656355846	0.006382611182013095	0.0004555418164218116	0.04703448429603949	0.009671273149273815	0.03151293625032741	0.012052440558153257	0.0006844813624990112	0.032260794491035596	0.010594175343922988	0.0068979581064739625	0.08545246280010704	0.12016183568509173	0.009954164861442924	0.033353731877461074	0.0010445658783503095	0.0013698781062146076	0.023539255512024692	0.0036067101463756906	0.04315963114371344	0.013388778369247145	0.0015729081787786735	0.07076821419443027	0.02715008700146692	0.010243979938725561	1429.9196261554284	60.848690115250754	63.68669743658003	87.15214490150144	69.04715523562322	84.0404863490573	24.70184917342447	88.06409363202316	84.0948477832029	59.723187649322014	63.43661718412409	27.217350396997535	65.83215007437127	84.88921476434193	47.141275961991845	45.37182683627125	83.32547659788547	58.80572806071807	71.17142825817854	55.086916954757825	21.893176593059454	47.29552104591411	77.68862106090538	109.96401995436449	130.8950732406185	92.14455320775336	81.15229695490221	61.24401517959809	26.574103777994395	55.28829526843999	99.54535674935745	49.30904838549481	98.57674482468624	47.24790049185589	29.48625056759243	12.206401745490957	61.019772644401094	63.78109677599283	0.0	0.0	0.0	68.21879105647227	67.27666723103239	0.0	0.0	20.60661695297155	50.15553801810252	66.36010268383201	10.147362365868434	0.0	60.34206551462085	0.0	51.05484700464785	13.072068501408397	0.0	11.540569008942123	65.85443706999146	51.80674476204687	66.07638844493081	69.02169903158988	0.0	0.0	0.0	0.0	13.48131970038941	0.0	0.0	0.0	0.0
140000	-2630.8120234703515	-220.20564341651746	-2183.777378200652	-226.82900185318204	0.4248301139522258	0.5230772025733873	0.2916611524888641	0.8836720136699343	1.3825225568334096	131.59512349300772	0.0	15.552894193398183	15.36488579593172	0.1581382630141267	0.0077681762964193135	0.15537396293161437	0.0496449101361443	0.028230374774976304	0.029460876444634767	0.06477678858827658	0.006040991737793338	0.09790606147145763	0.09885544092656565	0.000439164614971264	0.09786722206930606	0.004860211396305523	0.007558043073592859	0.0037820159352798155	0.04703663184660702	0.02568990420817107	0.0031973303038457866	0.01910503289472057	0.014949697773648234	0.0015115608015993972	0.0003380464589435009	0.004361359761516898	0.06492352065610327	0.01394536813835903	0.011700003808459147	0.013761562872624195	0.021008024861903337	0.12341695669631224	0.037467993533674394	0.020024636583342737	0.010302964024762775	0.02647446080029433	1.4947871777263476e-05	0.0305614748541952	0.0028544188154575744	0.014286207172776254	0.011472560146106418	0.0005518197679099429	0.11624041371461455	0.0033955969172619854	0.004822339868322194	1446.1015382206006	55.507714677577596	64.16539709857337	90.83649234373432	71.13255586865756	87.0655460914543	28.616648150155566	89.0232527514004	84.26955606307607	59.523679577541664	66.29888062244227	25.785716742871237	62.81812975000909	87.2180299824832	49.839251092366894	47.36323518719681	82.30432230175688	57.46082064125757	70.77566675774113	56.90071175728796	22.470776766917222	55.34788640263084	76.11655931653712	112.90774292892047	131.59512349300772	91.36400716033214	86.34184679667074	48.32312026132629	26.96004840883663	48.26359157792043	100.89378452703053	46.21502693205806	100.46715012985354	48.76942514002047	26.721931696171225	10.290965527015315	61.43214700868502	66.00819549787548	0.0	0.0	0.0	68.33860308630089	66.3166343161609	0.0	0.0	22.235481617251757	49.80897355163662	65.73910519163428	14.099061565953765	0.0	48.45539466533331	0.0	51.42747266996443	11.768022302163631	0.0	11.87858014976171	65.50930349768169	51.70251315691567	65.78226248062187	68.78511321542635	0.0	0.0	0.0	0.0	13.98426127483405	0.0	0.0	0.0	0.0
160000	-2631.3503295777073	-222.1267597084283	-2180.436715930974	-228.78685393830483	0.3476810603956948	0.6756631437302193	0.23265147401764136	0.7043592842027314	1.1783291656761743	133.57540756807083	0.0	16.21993759612862	10.698241873268401	0.08683931614679101	0.4901434117949478	0.0035609576721878137	0.338276107143483	0.006037250629071262	0.04985813274536773	0.04136228984741703	0.07102644417162791	0.13858358505675974	0.036841893494012144	0.006210246807599367	0.06116929786219304	0.0211024200984115	0.010618805758865861	0.004080364548113787	0.048839799151038775	0.023222599775651283	0.008315654179547799	0.033921155943292855	0.0030540378835144247	0.016664873904085394	0.0032348358504939033	0.1530345527220686	0.01723771126916998	0.041424030833665304	0.01505074828112703	0.001459030266786792	0.004326879753499561	0.05467188746595076	0.037513204150598355	0.025142884582028777	0.14900129161120443	0.009812877379585042	0.0016407739871150174	0.008058138259997615	0.027028796339347766	0.00509153796065255	0.031107234514804828	0.020025230748846008	0.04449182884318188	0.0020866251534828553	0.02899570736025848	1408.5851348024073	62.05701986887142	65.45595169258159	87.68450320560069	68.3348817495461	85.15148577900865	28.347287167051203	87.08543887192654	88.45673198539991	66.4313110135846	65.22916508025399	26.82248182987548	62.25031312273873	85.71736825905862	45.417621336802945	44.44143515613235	87.07758606927803	57.30840115453648	69.82088161356685	57.9282865358269	28.679780904175054	48.02164777247914	76.45782732809475	97.93609212652993	133.57540756807083	95.43052803783513	85.64103080430047	45.24576663225514	25.30930685669304	48.81708140685701	95.06926083885996	45.06897139180161	98.60263015391791	48.20688238435945	28.11963491898776	10.940079524080824	61.38157810725042	66.14672899948319	0.0	0.0	0.0	68.54073942979484	65.0645700012873	0.0	0.0	22.473336866866475	50.141250448458266	66.91568884322636	17.98784025377197	0.0	61.12395088359343	0.0	50.33397775770635	12.538994394600858	0.0	13.163697259914507	65.89285905443714	53.941590028269715	63.07136733449593	67.2578922293716	0.0	0.0	0.0	0.0	15.698724397841882	0.0	0.0	0.0	0.0
180000	-2653.5335192723714	-221.4655217228957	-2181.62755510016	-250.44044244931592	0.5871916424207033	0.7003486192467627	0.3132301597968578	0.9357848141694715	1.3077930781991582	130.4638395566978	0.0	18.228943184140945	11.11054355445445	0.005041178530748844	0.4536441052365959	0.024356222035168625	0.037852328104661964	0.0558407705359229	0.024562424096646447	0.02630869485297418	0.0070601589882182065	0.27564275439230773	0.007136559772522738	0.09062851616073304	0.03418240204794579	0.03291361066535853	0.01599221385738588	0.07687694330027217	0.037444204198716934	0.030355493841869603	0.011809998668923015	0.019461969377264278	0.01957840172123916	0.00544389634741904	0.01113526599809033	0.05374856120534017	0.06905429546434007	0.03668918485984559	0.005717696724273885	0.018628435871937486	0.023131558758615577	0.1212082778124887	0.2325139066644997	0.07563981929609369	0.03581808112111961	0.054714847085605936	0.01273007900865125	0.01302042265406459	0.0017796201692884942	0.030847073750860154	0.010552245981259329	0.006874203593102244	0.024526825104949246	0.024441398593672867	0.035025942200565194	1412.0880400610247	54.14075173626042	63.889082216358126	89.2004941607916	73.87286855349602	83.8018166561191	26.9463954011487	84.9015672025265	85.13098971693394	60.55662375332946	63.93912457712831	24.682239884182025	62.92088189557803	83.58638431440525	51.401763849209445	51.9573553156337	84.2685825992867	57.221112126787084	72.43419258947445	61.8237735193879	24.875568682698347	48.80196458867057	76.48343223192704	98.71781855613948	130.4638395566978	96.35480936890178	84.76624512255624	45.54535892920383	30.314358876149452	50.43556915184185	96.89993557905682	44.086903116818085	98.5283050421349	54.392794449735895	18.631411260225878	4.1176051329115175	60.6042411780619	64.69011532326041	0.0	0.0	0.0	68.21572002377302	67.09582208303834	0.0	0.0	21.51770632589358	50.49774471716871	65.54444381382856	10.12749950832521	0.0	60.5877451722543	0.0	51.279697223589935	13.007488830373559	0.0	11.9445882133541	66.42966929675543	63.7803095967591	65.49728374698041	69.4883258060674	0.0	0.0	0.0	0.0	9.460268527374524	0.0	0.0	0.0	0.0
