Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
20	-2624.009	-2643.516	-2607.245	442.26	-223.165	-224.722	-221.637	726.4	-2169.632	-2180.146	-2159.187	312.51	-231.213	-245.154	-217.85	857.44	127.965	127.171	129.334	1083.54	0	0	0	NA	0.82	0.94	0.01
13	-2640.339	-2657.999	-2621.921	428.68	-224.525	-226.459	-223.058	958.69	-2182.197	-2193.24	-2171.726	415.76	-233.617	-247.847	-219.654	583.88	131.511	130.581	133.288	1045.46	0	0	0	NA	0.76	0.97	0.01
11	-2634.253	-2652.249	-2615.543	810.55	-223.856	-225.548	-222.482	819.24	-2178.196	-2190.112	-2167.34	563.76	-232.2	-246.412	-217.513	666.84	129.357	128.516	130.91	1141.68	0	0	0	NA	0.68	0.97	0.01
10	-2629.618	-2646.319	-2609.45	612.64	-224.411	-226.361	-223.046	1013.77	-2172.608	-2183.493	-2159.698	400.51	-232.599	-246.785	-218.133	634.49	131.287	130.374	132.818	1048.18	0	0	0	NA	0.76	1.0	0.01
6	-2638.998	-2660.186	-2621.931	510.64	-223.747	-225.53	-222.338	969.9	-2181.323	-2192.197	-2170.218	326.78	-233.928	-249.453	-220.046	707.46	129.022	128.168	130.686	828.02	0	0	0	NA	0.74	0.91	0.01
19	-2628.809	-2651.263	-2610.728	528.52	-224.501	-226.482	-222.952	855.25	-2171.937	-2185.204	-2161.583	294.1	-232.371	-249.192	-219.986	757.46	131.661	130.786	133.367	917.61	0	0	0	NA	0.76	0.97	0.01
12	-2620.619	-2641.672	-2603.185	450.26	-224.389	-226.012	-222.789	925.71	-2164.882	-2175.114	-2153.117	239.61	-231.348	-245.687	-216.091	393.38	131.448	130.506	133.187	879.69	0	0	0	NA	0.76	0.97	0.01
2	-2636.179	-2655.798	-2618.01	544.36	-224.452	-226.235	-223.096	869.72	-2177.153	-2188.63	-2166.616	411.38	-234.574	-249.257	-220.965	627.09	131.216	130.292	133.064	929.81	0	0	0	NA	0.76	0.91	0.01
4	-2635.898	-2656.115	-2618.474	394.11	-223.707	-225.419	-222.199	853.0	-2178.382	-2190.559	-2167.596	222.37	-233.808	-247.751	-219.806	661.97	129.613	128.807	131.257	968.91	0	0	0	NA	0.71	0.91	0.01
14	-2629.6	-2648.119	-2609.614	494.54	-224.189	-225.995	-222.819	669.07	-2174.301	-2186.096	-2162.639	299.69	-231.109	-245.383	-216.571	589.91	130.925	130.024	132.557	865.15	0	0	0	NA	0.82	0.94	0.01
1	-2621.652	-2640.691	-2601.384	453.38	-224.394	-226.219	-222.997	883.16	-2166.449	-2178.132	-2155.318	382.7	-230.81	-246.394	-216.985	630.47	130.959	130.054	132.521	884.99	0	0	0	NA	0.71	0.94	0.01
5	-2623.432	-2641.833	-2605.288	650.14	-223.525	-225.131	-222.237	943.33	-2169.462	-2180.075	-2158.313	365.32	-230.445	-245.052	-215.606	681.83	129.373	128.529	130.958	970.44	0	0	0	NA	0.79	1.0	0.01
15	-2634.143	-2652.071	-2614.79	486.23	-223.812	-225.408	-222.302	876.01	-2177.773	-2189.998	-2167.163	318.69	-232.558	-246.563	-218.504	706.41	130.051	129.264	131.435	936.45	0	0	0	NA	0.76	0.94	0.01
18	-2630.225	-2648.218	-2610.016	642.16	-223.99	-225.73	-222.688	955.28	-2173.382	-2185.173	-2161.659	385.37	-232.853	-247.998	-219.14	784.22	130.42	129.58	131.865	998.24	0	0	0	NA	0.82	0.94	0.01
8	-2630.855	-2648.093	-2611.409	659.83	-223.13	-225.066	-221.706	860.51	-2175.916	-2187.688	-2165.836	303.73	-231.809	-247.142	-217.666	841.8	128.095	127.27	129.659	995.91	0	0	0	NA	0.76	1.0	0.01
16	-2637.566	-2655.758	-2619.037	390.92	-224.25	-226.014	-222.752	893.46	-2177.682	-2189.207	-2166.209	200.83	-235.634	-248.839	-220.472	738.38	131.078	130.25	132.632	805.57	0	0	0	NA	0.74	0.97	0.05
3	-2645.674	-2662.489	-2626.982	657.47	-224.25	-226.095	-222.893	944.11	-2182.325	-2193.585	-2170.313	519.28	-239.099	-253.134	-226.258	790.81	131.534	130.607	133.254	908.11	0	0	0	NA	0.76	1.0	0.01
17	-2638.332	-2659.937	-2621.133	371.7	-224.291	-226.012	-222.837	846.7	-2178.399	-2189.64	-2166.584	288.4	-235.642	-251.018	-221.892	675.26	130.76	129.863	132.368	946.4	0	0	0	NA	0.76	0.91	0.01
7	-2626.453	-2646.215	-2608.626	573.19	-223.452	-225.117	-222.04	817.13	-2172.011	-2183.079	-2161.044	324.78	-230.99	-245.335	-217.017	806.7	129.123	128.238	130.799	881.95	0	0	0	NA	0.76	0.97	0.01
9	-2633.964	-2652.329	-2617.153	515.39	-223.72	-225.358	-222.125	926.12	-2175.955	-2186.251	-2164.245	355.13	-234.289	-247.271	-219.168	716.09	129.419	128.542	131.133	973.1	0	0	0	NA	0.71	0.91	0.01
