it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3530.7764173458904	-226.2778819382166	-2245.478083108146	-1059.0204522995277	0.8796860244041284	0.8796860244041284	0.8796860244041284	0.8796860244041284	0.8796860244041284	0.8796860244041284	0.8796860244041284	0.8796860244041284	1.0	132.87209332741153	0.0	1.1	1.1	0.2991762117346217	0.15560742514661793	0.15241042536973784	0.2944904610005684	0.3614480809583521	0.18406101922695658	0.11774763424338971	0.45026187002495577	0.16433572293524007	0.186697377735689	0.270922497512016	0.1905196059270974	0.2494205078718783	0.1958982668329085	0.5341377572763499	0.4539835680454597	0.9473256723265164	0.14805664462698614	0.17123870267005664	0.30860966199967904	0.1768219938513893	0.4750869386370433	0.11940959691713852	0.121505954284839	0.33920342011449656	0.22474025292428526	0.9483242135147979	0.3055224524755747	1.0893326275764739	0.3367852674275639	0.6555986219136397	0.45611543922830255	1.1865723619196402	0.36598986646198506	0.28841277707564017	0.14753916325446137	0.30397855815836117	0.11299504890101235	0.1087969146849692	0.22442773283758644	0.5178663730775792	0.23133687019656016	1406.9904009817615	45.7865622147076	67.18753290217894	89.9511270791838	72.42118356206569	94.24002804911501	31.032798406875767	84.91763016934877	87.20450804214427	62.81241512607895	66.73260899012288	24.734569430698972	65.72225566655428	82.26910327361436	47.41806140299441	46.21190530228178	85.30893332230438	56.92419419287774	71.05716004277751	52.69303742558383	23.056341480808697	47.43535268493219	77.77038666600298	99.45748755424918	132.87209332741153	92.87466516407385	82.4086967321917	56.92206883125763	24.637495614135364	47.85633152265832	96.37442459295039	49.81840054334974	99.90053110752324	48.215301443344245	32.23397056269331	1.343630764731474	61.53127036973784	65.74310590184474	0.0	0.0	0.0	71.41388735279163	68.15635789849313	0.0	0.0	20.347405004262548	44.67316951225783	68.9008595382773	16.38765390726435	0.0	62.280014748936175	0.0	51.07817227888893	14.15630218453037	0.0	8.636206508459306	64.63197636426608	70.6125974475756	69.65629445440722	62.632542635154216	0.0	0.0	0.0	0.0	17.287314575451088	0.0	0.0	0.0	0.0
20000	-2655.447550323917	-225.38943830615625	-2181.8225592476106	-248.2355527701502	1.2063577842690394	0.5778722861791277	1.1634629450579153	0.3784076633602989	0.464336013268329	1.128167802437005	2.535913210301354	0.5893119752724004	0.8108199201552845	130.77723800432366	0.0	1.3735596159639702	9.09338142386623	0.20646127306421724	0.337014075579565	0.056009539948563274	0.1394447878460661	0.03415259586007503	0.003642680207454259	0.08083426663292279	0.04983789809123312	0.02794315607114321	0.13127128025551227	0.005368007699697742	0.07766043385916202	0.019898241761668413	0.009240529295892771	0.025495511614855866	0.010836482470789267	0.022315592561770962	0.009023325398587804	0.0072748227164786995	0.023388127303020343	0.005943360498630454	0.020154392698742047	0.02403474963922438	0.027820460294335596	0.014797438711825997	0.025754220659101257	0.016559685818615676	0.026836374556783987	0.05106665476530011	0.13248596619558395	0.1044125819455755	0.023961304582513634	0.03580513919211522	0.023913864494856784	0.0055675344425515005	0.0006879440703145378	0.015929676311755903	0.01495841125056338	0.0188196785900724	0.027780711818011	0.0164256305350517	0.01794319933891917	1409.677286856043	46.640706340937655	65.92837659140781	90.7849530012535	71.72447880575199	86.52918554435009	37.182913605398944	85.27931689920806	91.60875177591464	59.39027325738443	68.36401992709948	25.715321069984395	62.110919156694	81.96278417372226	55.9763827654811	45.04113039560921	83.37904697216669	59.569222640186766	71.82992005369098	55.46984064703975	26.94319426415925	47.05729102518049	75.67580009013555	97.10294981798462	130.77723800432366	91.43569777751082	88.88659975715986	48.200560926310125	28.730043821627703	45.043583695641786	94.99079827798394	49.522700345598395	100.2942759528058	45.44062614300454	22.06129062246622	12.503014484400232	60.852210012342645	65.90510621723291	0.0	0.0	0.0	70.7712256789068	68.30036392850855	0.0	0.0	20.555758175619225	45.43392102508284	68.6100952847157	16.47845790258563	0.0	61.1965709349083	0.0	49.94027094612138	11.791900212162275	0.0	11.839447888804239	65.93041257416888	45.38059524776826	69.29276600208648	68.27971571045191	0.0	0.0	0.0	0.0	13.9110750632651	0.0	0.0	0.0	0.0
40000	-2630.932188488945	-223.32340820872878	-2179.8894163111645	-227.71936396905176	0.7210620254041564	0.3849878090835581	0.60009544675242	0.22911822979390337	0.21168310399060072	0.6872348721497293	1.2195890759755856	0.5589113883703981	1.3679488270010158	131.01807974485303	0.0	9.211261515473957	18.05321684721857	0.13758634447699936	0.0660737880483866	0.13235554749105108	0.09554142406467797	0.13936790965680165	0.025319913277308363	0.07741614478582884	0.04437937683344554	0.09322219808402928	0.039768440491922435	0.019326926466214266	0.08064804976834376	0.006491396971158245	0.040504141756041244	0.026174885316075407	0.02119956878077121	0.0005193885326756621	0.0012235006094133314	0.0038108987166567297	0.0009328894553185779	0.001305883811119712	0.01178889043308155	0.04932052797265698	0.013264874763930882	0.0003767433863978263	0.017724093596849157	0.004779868573312385	0.008837276061746918	0.20755303914665973	0.05299313126859608	0.010921617547587586	0.02555160865350157	0.05407843014194085	0.02454649617079045	0.009114878772206856	0.012841901849869981	0.0018847520533583318	0.007273295080164793	0.00604105365445473	0.03764943736932758	0.049187879453599564	0.009336254627705267	1444.349953770764	45.34285327082383	71.53705486847227	90.20551091138526	72.76553802444873	91.64131456685892	29.942997942336508	92.19748357052691	86.6585116951484	60.41329442305582	64.3201557156002	33.26754574278011	62.5356018042374	82.85737470123152	58.75138917721993	46.197231360792976	85.49384866381187	57.073899562020245	70.52421993568196	62.752079968882725	32.6007515297307	47.40162995147701	76.07634707321495	94.67007632578358	131.01807974485303	91.72421184618906	86.9024955624819	45.613393199057484	28.909398313923884	45.20350969058107	102.88521242701727	45.142424176450746	100.81591568303942	48.568365233862195	25.317459446201628	5.373039637033582	60.87480734417986	64.84462791945812	0.0	0.0	0.0	68.15542370154171	67.75817428077076	0.0	0.0	20.00704710596339	49.13895560726766	66.53534676627365	9.475227983874234	0.0	60.093055342485904	0.0	48.508397792766395	14.758719267199808	0.0	9.308283445771615	65.85061113271166	68.32023354350872	65.74157038943548	68.06364418666492	0.0	0.0	0.0	0.0	10.170056891508203	0.0	0.0	0.0	0.0
60000	-2643.3916520063035	-223.3624101271668	-2178.574667889565	-241.45457398957205	0.7833159666835541	0.38643940988848385	0.8912856792200863	0.3617007303029328	0.346383445807228	0.8952416445245227	1.6866359860002107	0.6109897920366959	1.0521449337041626	130.91039365035485	0.0	16.021961475998438	3.1553534969927584	0.14562366713794792	0.22298142778393445	0.052298859259563624	0.1651394151846877	0.07288759134376109	0.031110492346799395	0.05260671413520202	0.022583455669158318	0.04420382000119312	0.045510257789011486	0.006967907138161288	0.04969656817969492	0.008992398579278806	0.04313543382106386	0.0023888168154539728	0.053255842698818855	0.01590668931650199	0.0005632859561509516	0.0019033372898774703	0.02047847813324971	0.027086265470418685	0.0003472214015183151	0.021762888570562893	0.0997293592210237	0.0001849202675770532	0.0029600595743225844	0.0008764893958448204	0.010526199895655406	0.09369826817227134	0.07001707836307358	0.004882219095351128	0.019911526586351484	0.04028152268754043	0.00626120366130498	0.020138054493483146	0.009446368616244212	0.0119052665757022	0.007079508374844644	0.005349652416004632	0.1068959646223305	0.07850933537500437	0.005035808122004121	1472.05166385113	46.72528718764007	69.96850330376186	89.76912242321539	74.75360821347284	84.07519661560362	29.044116960995627	86.43704969990434	88.72410841446953	60.08554631262132	69.00258502924196	27.335449286157775	62.74886786748066	82.41423653397898	53.658450792251934	49.34721870867225	96.23317901134486	57.989265914458805	70.12402227722642	66.44535621499783	25.961279093795106	55.56623447755043	76.10404772658443	98.7428185441532	130.91039365035485	96.58527935422727	88.05795423696335	61.92218919062892	50.84213550839876	35.83154820111739	103.99094283356234	44.80725373593065	100.21221266628062	48.57972713444967	27.99797409910355	6.901347766460777	61.4562826838778	65.82347933911726	0.0	0.0	0.0	69.3010989118636	68.0630033944081	0.0	0.0	21.11789588172415	49.72241835596009	68.73238970611591	14.719028978569838	0.0	60.558911775828875	0.0	49.01718602988375	10.936009478609815	0.0	7.064306607809508	66.43026492779963	66.80396351401373	69.72293359722381	68.96584568666006	0.0	0.0	0.0	0.0	13.605130733540289	0.0	0.0	0.0	0.0
80000	-2626.184908266393	-224.44729439381499	-2178.2802176669506	-223.45739620562745	0.6579921462487821	0.404337265548223	0.8898387073428938	0.37917237482505267	0.2551108973812163	1.0649989912318678	2.2068330173851924	0.571124573711236	0.9034144254734093	132.21299669839476	0.0	6.887786229012245	2.257737380668889	0.1612452137965943	0.2378699362601069	0.1148834508204927	0.06523024454135279	0.003753564997751986	0.02246186160772853	0.008256086048136928	0.026001144114376963	0.16718427793515248	0.053467117095120247	0.009162637908191522	0.10355741974348012	0.03684666949435425	0.005980798820336936	0.005378565678186105	0.018881903750643747	0.019498664980231648	0.006996032668144758	0.001266754366734203	0.004024074172635214	0.024533925642602615	0.021661516177261343	0.08629125332700305	0.022238332373240143	0.0012452035572198341	0.0014038057175771077	0.014917327694113828	0.016374986337900764	0.09496994818329615	0.07442309152584212	0.004821754833695209	0.013899363870695902	0.006901086501576392	0.012634606092365119	0.003954575978414133	0.00876765774787237	0.006592081693083508	0.0031774426778073328	0.042647040905757994	0.023411839752905696	0.02322250653005797	0.008263721245139235	1446.2521617340076	47.97493523367912	66.91011680394938	91.19952071039195	75.66678059438786	95.29587865519821	25.873223191122474	90.83273612821343	85.22428687548283	60.05802609326425	64.13036338323914	26.419960819994195	62.94086792194244	85.97542959027216	45.0258143128348	44.26469247287804	91.88338647184186	59.55825994393219	71.09124476639403	55.25200985365715	20.722879416267997	47.55747122736346	76.5121478079447	102.8478091891759	132.21299669839476	91.87120497638622	87.66133964417892	62.209717461585726	60.62622687300582	41.53756674795829	97.83107158485305	47.867967052400694	99.88928571178474	47.09519078798806	28.21139513778856	11.848010358288699	61.25821674378365	66.12615126977244	0.0	0.0	0.0	68.62994687619957	67.8678611295574	0.0	0.0	19.259255188182273	44.778940751290435	67.38367004238299	8.763202003628967	0.0	62.10509363910832	0.0	50.90434526497523	12.238268993945308	0.0	11.786237855440248	66.60744441790754	71.7493580887902	67.8743486769053	67.66416667568072	0.0	0.0	0.0	0.0	17.13512442990546	0.0	0.0	0.0	0.0
100000	-2649.8979819084457	-223.27571127107203	-2187.428224584044	-239.19404605332966	0.5243465020306048	0.33848464190286537	0.8422153076099111	0.3278704622444471	0.30447468398105637	0.8667594537566197	1.459503866752865	0.42851407296144434	0.9741557455573764	130.60761234922893	0.0	9.366635236716876	3.798744184225533	0.134931490161407	0.35280109268369325	0.01090862026743189	0.1842263124359921	0.06738645286046403	0.014016845466109795	0.0024735979862576464	0.037034373289634354	0.025256909201760786	0.024150741313696544	0.013796304989745326	0.05325513523162385	0.02453682560452628	0.023954970436143724	0.012170737075530754	0.04531175346716825	0.07258243694358646	0.01452667392820379	0.006861398621944355	0.010559837251125512	0.001916133069240866	0.008682389619877617	0.007201453088530646	0.05021267879498544	0.01953520811484096	0.0035373923160702658	0.007448832729184869	0.02904300927885055	0.09338533992230307	0.11727997495184887	0.014434585499188154	0.07580030129029011	0.025626500872230114	0.007988121188637926	0.006532990898526345	0.02558002774336956	0.0025249781129131456	0.020219054975613954	0.009398636926757086	0.04929488242568474	0.045461562604257405	0.06600824235441446	1473.806155651563	55.97956460964594	67.17202473832522	89.4808231563978	80.47853519504899	96.10736561457382	29.785646118310293	96.29100040929309	85.37873112233984	60.76959055534553	64.45030088989601	29.613353151034246	67.02308963552036	85.68502508056493	48.57903572176439	46.694386861900675	84.13374738113244	58.386162577297185	77.58056022966262	59.315960241096576	25.024120428684764	48.430611509553266	76.04219631706736	96.16478129900624	130.60761234922893	97.45252145017639	85.25329631053752	45.54163756477118	56.132196061774394	39.42555662450734	96.38434481599836	49.23518091051237	99.9046924100633	48.59511134979568	22.32952051909878	12.467948929708136	61.07075050650741	66.09094426096819	0.0	0.0	0.0	72.59042104073416	67.81172586349146	0.0	0.0	4.628120492072814	47.40882045978079	67.49282046368991	13.53780992933313	0.0	60.39750013703568	0.0	50.693227191126894	11.173872210462985	0.0	11.871088425602894	66.43676431509039	62.20461125770633	67.8113604886022	68.21225288022563	0.0	0.0	0.0	0.0	13.722088706224067	0.0	0.0	0.0	0.0
120000	-2642.3429302412337	-224.51837953015098	-2180.139934369843	-237.6846163412397	0.5706650155931028	0.37384659176518253	0.5946209420737998	0.33137529998571885	0.2110728461047535	1.010923763378501	1.8581430417792673	0.9050062259308828	1.0557379805839198	130.94799367663825	0.0	3.5682138197104036	13.739905941683778	0.16513803653491022	0.06617543467604463	0.06499398316136812	0.06260583475813804	0.14883987171422491	0.04759603676827711	0.027275331619786496	0.017374966526662396	0.12121180088258508	0.07464934218333873	0.07144024489800138	0.06952615696616107	0.030428653310283747	0.011807206563153157	0.0006264890915709242	0.07264978790603424	0.019599633463935277	0.005154028007654088	0.0007428714693093474	8.060504433492312e-06	0.031241443566314274	0.05989497126822874	0.02268213132268789	0.02739472113668278	0.04310667690293235	0.008663889492748985	0.05294357816835233	0.008482481344787919	0.10674673173501827	0.10478431087017506	0.045506806456502055	0.00956833551067144	0.07363232073115819	0.0031319148155703586	0.00035604690901039777	0.01254765241500443	0.0037348946646811754	0.007269108098517805	0.015575853847568422	0.03365564015217151	0.02850101326788654	0.013819451621621605	1438.6423562324162	60.502252421171725	70.7204186099716	89.54312817052885	75.09858274636898	84.07063449409435	29.877349822043858	91.61683581694206	87.29431192954677	60.75893305390307	63.96898306398843	25.315479151249555	64.58035108610352	82.35901722138053	55.45216610938913	45.84284718084189	83.77809138597857	60.17668424317652	70.39101855572444	62.75419680739161	28.79667897149803	47.756069220592785	76.25114649584971	97.14345267752515	130.94799367663825	92.3904941639181	79.797961584952	44.87015721473529	60.096711741876746	36.70203922223619	100.30301326456267	48.74081527534085	101.52625244384376	45.177199781826054	27.377928262579275	11.405031362376734	61.499549091463095	65.94224183782339	0.0	0.0	0.0	68.36328574706695	67.2535703079086	0.0	0.0	20.50334317453096	49.79840842666031	68.576310556428	10.484236620500804	0.0	62.26134293328495	0.0	49.324840283066116	14.145111618925542	0.0	10.89666820309729	64.59933677222908	69.10675870583367	68.92130147610172	68.29626457840963	0.0	0.0	0.0	0.0	11.959237939647215	0.0	0.0	0.0	0.0
140000	-2641.586401425843	-224.82917562458337	-2174.944227966423	-241.81299783483655	0.5968674124346747	0.4706697990155933	0.8612407665652476	0.39402657984698086	0.24886800465219588	0.9168833809931134	1.5563890022125442	0.46273653611908805	1.066816864404476	134.9162694560121	0.0	10.73539898147986	15.82788035624734	0.16072309050371486	0.10937831941237325	0.09032193585418503	0.11943123453280215	0.05886804132817211	0.05033722566526484	0.04016529527365619	0.07998854937011834	0.1020981253517355	0.17772085092960846	0.0029145819242799367	0.04970504073038736	0.0007390963292189678	0.007578558959148081	0.05220194833727466	0.024009371049568094	0.004723312167342288	0.01854355411354307	0.030572219168604177	4.961722865662557e-05	0.00705055250663401	0.02017696921087364	0.02880382608220938	0.001346921965616902	0.009757769809348515	0.003394788459866387	0.008460650171538889	0.03564490136273349	0.14090628003965275	0.04867138273994289	0.0005501780134947765	0.04221780607658202	0.012639789603920015	0.009216985081120515	0.007221908912325961	0.010590992691872907	0.002912888594984262	0.007408796107531084	0.0294369782093687	0.027856979243385555	0.0033701103555911303	0.0015946129618219188	1446.2783694638686	63.65567275891972	66.46459781914571	90.06703593453472	71.74250443758928	82.65726072420631	30.542719512301712	89.98675655139893	85.16464447177883	61.178200555042764	68.68954325456035	25.139235043999527	61.95124503715592	85.07351259406421	54.61994317699183	49.0762708092777	84.76292828398974	57.73073519943187	70.37427827244966	56.20199969523771	35.98574458774985	47.28785558409911	76.23985373552156	97.30974736308337	134.9162694560121	96.07686848939059	81.4406524942863	48.53951014585197	46.61095010883738	33.84929869306546	109.60534877065054	47.465475744447424	99.85791844100734	48.42731870632377	36.6644440818832	12.90833904554069	61.49794779692129	65.94154986934441	0.0	0.0	0.0	65.15234040187583	66.61022470624718	0.0	0.0	18.93188872855456	49.709962268312815	69.45157890534847	16.183471195193764	0.0	62.36808536291765	0.0	50.4491661664736	8.042764030179224	0.0	11.21451839436823	65.38905227424391	72.1317376915546	70.34599752580488	66.86898176042801	0.0	0.0	0.0	0.0	15.880364947108788	0.0	0.0	0.0	0.0
160000	-2633.5335611968276	-223.52007905251125	-2175.729486348428	-234.28399579588813	0.6974942257174486	0.34610299033338654	0.579259527843065	0.2996392185524687	0.29516153008692214	0.8546856232772017	1.739441843490171	0.5544144864738695	0.9205522996307075	131.4312911572052	0.0	17.974192384642127	11.322242787100564	0.16156428049870522	0.22907351641757037	0.06660020368954775	0.11661326798769654	0.07137235221978196	0.0054962511364702125	0.028934419693245	0.01578284538625947	0.14262347742142764	0.04670926612739003	0.09452999104778977	0.056258123787985045	0.004383112738585684	0.01505387702325861	0.008197377572062117	0.017582810399083725	0.016531504002627196	0.004636287998138842	0.00674664734475593	0.030626785897122963	0.00019295929359928655	0.014636888416069764	0.04103619914817716	0.029321795564568817	0.026318891350821258	0.006582518347819084	0.029569188612346742	0.043687980371570366	0.2942347841895638	0.0633324984769333	0.030240817511041636	0.0005779931688055491	0.049388859899569565	5.50694929153906e-06	0.012345437838069441	0.0025047358150767736	0.03501096261281552	0.0068386841329239985	0.026321314970397216	0.004311683981944031	0.05982035674469509	0.006562500722508669	1432.3573362453214	53.15957091186207	65.44812545757071	89.23341585853176	72.45159218932214	89.86567797364356	35.71802310806403	88.83403372723124	85.22086487143382	59.34260923388377	64.57989444963052	26.30524817738329	64.9474588426531	82.75664476637361	47.49207363324291	46.67541662926937	82.22131477473769	59.171364785158	71.67517870077096	54.61196141841627	29.274936857749825	50.90485980871105	80.20251610251309	97.65741523455661	131.4312911572052	97.9944955864607	85.63166007346285	47.73839156816027	51.82696682470561	33.89900633177474	98.19140394911147	46.75703680115872	100.46746377164553	47.34059780529691	35.4794325858708	9.87362895615083	61.512926121500456	65.00785407360031	0.0	0.0	0.0	69.09397702212489	66.51554748059118	0.0	0.0	20.887375783481477	48.95600371718038	69.35809446998218	15.208730929500947	0.0	62.412234285798135	0.0	48.16124033691951	6.064659675055692	0.0	9.602972175963188	66.70159026917571	69.5978425408284	70.34356577867702	67.63170837697005	0.0	0.0	0.0	0.0	15.220655728740665	0.0	0.0	0.0	0.0
180000	-2642.305227405149	-224.43174681697954	-2181.3475133888546	-236.52596719931444	0.24403720589182806	0.40418767742446887	0.8506626424786579	0.40553079574782813	0.32412547167018196	1.1584988353221901	2.3439746514256443	0.44146956611731814	1.1197304485616721	130.6307696485682	0.0	7.313202420946377	2.4985725966666634	0.12440457759916054	0.1617839607640167	0.02736672469222908	0.08689851474350517	0.04435070184681562	0.04315027247368761	0.045554783146771576	0.059716635265522164	0.134215573171252	0.1163861205890294	0.05188412984343483	0.06127307272280772	0.034831550728692234	0.02983674469051224	0.03641310701061368	0.016383964686769868	0.003657679567653556	0.0008110072770953078	0.035158399294407325	0.0012703280154292155	0.0255856886394906	0.002246154074619592	0.011995962020349565	0.04607745542241725	0.021777873344339577	0.004138046735783502	0.024560460749554074	0.0045665772203259975	0.15704083173720496	0.03201092059850817	0.08990071603220519	0.004553101346445792	0.013927058563315544	0.0021547027652700657	0.026433494453365677	0.02879502814467236	0.008426533663245776	0.011679855323003375	0.007827368389017871	0.040473277573674964	0.01908905940173901	0.005619221762411568	1452.8763409606745	54.77099358268689	66.42074483729694	90.30735584979428	76.01277562426668	85.73182849942616	32.136581359916185	89.31555199449262	85.97490472701209	61.233684424417454	64.32228797946699	34.17748623640288	63.903757849079	82.04628966693383	51.52794705085585	48.23933332101952	85.51398733341972	57.05733011868647	71.08566485432222	55.48610370569968	34.51302606205706	50.55734702017759	76.16911563234964	101.05857258137436	130.6307696485682	95.46732262007531	97.49261330452411	46.25335362706844	49.526374003296034	34.904681224060454	96.14012009801783	44.899064451374585	102.93475376133941	45.21940613040507	39.124992621203816	12.560903302076085	61.498786793194185	65.90764144356922	0.0	0.0	0.0	69.24374246435768	66.57210280373165	0.0	0.0	20.595345341999963	48.24697298565877	68.45073199049091	14.560591636293271	0.0	62.355629902514096	0.0	49.011805870135845	14.562193377259574	0.0	11.858663659780813	66.91091157450875	67.45158759299693	67.62083549564156	66.76814959992004	0.0	0.0	0.0	0.0	13.103185006283638	0.0	0.0	0.0	0.0
