it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3490.8529251500886	-222.36614096432376	-2246.8524926037217	-1021.6342915820433	0.7818324435946273	0.7818324435946273	0.7818324435946273	0.7818324435946273	1.0	133.55307584119856	0.0	1.1	1.1	0.22018875117571957	0.11497212877065371	0.2506904666227079	0.20874283787016568	0.18620219787635905	0.23475053831901735	0.275603345390636	0.5360311603426912	0.1554104317333681	0.14341574815098856	0.1812661370634196	0.18688571934981285	0.1289114996838315	0.11728470222276137	0.24087061601336285	0.30531298587849204	0.3199649050491205	0.7082205477850345	0.12198455066138342	0.35174360469222055	0.6978966813694584	0.7047652501128324	0.11382172576111085	0.41944582499342975	0.16013730240169516	0.8709143701032023	0.3191625979078839	0.15140350105575492	0.17256808736030926	0.36858175205401167	0.1849252757871367	0.21702542503896738	0.13897986038490834	0.15908777266736465	0.36695250732760165	0.4214248254365014	0.12223055612322209	0.295362892838162	0.7735817496482574	0.30628378129334677	0.24942077524400752	0.5087395934836819	1499.6037284929378	76.66068358033326	65.28053706301434	86.68903146921379	73.09000283801541	83.55332470423764	28.755847160964873	85.90630757697785	84.04588540691009	60.35112372561221	63.98452690143307	29.232661355806272	65.46399730217591	85.06556009930277	58.5428569246779	44.27415915722567	96.52435329265562	63.3121321516471	66.78026160918391	53.28884088269847	25.804664246131768	48.04094716514202	76.70594839362285	133.55307584119856	129.00464602377912	93.55057404072191	83.93372570952667	47.199660396032606	28.93138369747566	32.86481318947735	107.72990326533451	46.808224949707	97.41635167488164	57.52841413653276	22.831113513847395	2.5072770608775596	63.44069732372258	65.32836196840695	0.0	0.0	0.0	73.3435488288479	66.18931862840267	0.0	0.0	18.94914390040786	47.5066646382012	66.99764616618037	9.017524780597947	0.0	55.915982471253834	0.0	48.345557592459805	10.058342818121655	0.0	10.195765010034284	66.26743649890604	49.66023478263926	66.86617719776343	63.95612038039516	0.0	0.0	0.0	0.0	18.556010905341633	0.0	0.0	0.0	0.0
20000	-2655.259549002652	-222.17028211574956	-2195.872389900659	-237.21687698624328	0.2939020265411213	0.6985996119261262	0.3274017238078101	1.07332402775951	1.0257521871502995	133.44958101127227	0.0	7.757276817660709	16.05983097601797	0.12219198893455924	0.09450934295782865	0.12338574503787583	0.18800965277920106	0.022063790703427264	0.02821006439157353	0.017322130434351428	0.03327440120587462	0.13392713354146246	0.055669677970184815	0.03753033635641095	0.09180675086560079	0.011817760157843676	0.022837161370270604	0.012934656848606556	0.04658391402126714	0.002972565553354557	0.003771111848768726	0.008552911559091768	0.008117661243628789	0.00350166057305172	0.017820880635826358	0.026968863641093587	0.012680010451179885	0.005537458873936831	0.009145433586602289	0.014387748782177738	0.06446246260389696	0.1330024413345962	0.10254219821583797	0.05061428865629422	0.010181263805078122	0.016658918136811904	0.05435074927793983	2.5934684349366847e-05	0.011418307874208711	0.0026729040746450573	0.008150974064507273	0.012403748183010611	0.06234846175947712	0.0065304357761258505	0.013717706512963456	1493.6418721358173	85.38202906187	66.51331267233051	86.0784253640108	71.68286996633141	85.53464099980881	25.06479684654762	85.03157449852604	86.5187744065087	60.01756014624209	63.97990144201519	29.480288691895495	63.38967121425674	85.2431832986431	46.974869120308895	47.38316576156803	88.72351127614938	62.50247144306219	67.00675293320106	55.448370743686276	27.472774476761877	64.48101224653175	75.11039771680844	131.38822732040475	133.44958101127227	92.13581382406882	85.62993948073486	45.45379498422354	29.38241754962753	41.15352201014856	104.56420434004806	51.46848698642173	97.22173540215748	43.98694889029374	25.301213196951505	2.756337511845568	60.781546757869485	65.64100801031717	0.0	0.0	0.0	71.72399158934539	64.63100646261245	0.0	0.0	18.0508093249385	48.26267432138701	67.07552851742773	14.104519790387386	0.0	60.69762566016643	0.0	43.75610149760941	13.95528704578976	0.0	11.849241591388974	66.1741254465816	61.06713565990663	65.86274038553977	68.62299928199148	0.0	0.0	0.0	0.0	11.501688332495164	0.0	0.0	0.0	0.0
40000	-2662.3169027526496	-222.00308833042203	-2191.6358633471173	-248.6779510751103	0.3096662232807227	0.6659239534307425	0.36426610789448627	1.0643291537866435	0.9554687664726297	129.84938973775948	0.0	18.244178701170632	5.039298969761169	0.044873943137066684	0.4032858627323487	0.21314726244431131	0.05961942498055927	0.03201808298481504	0.028822446623060684	0.031359267724239935	0.05805585871765049	0.013350045474274447	0.03829394574130935	0.0470628484905445	0.12853709370179467	0.057960053853296646	0.027009791710945627	0.028596389291775985	0.024050146681275524	0.008650052413351103	0.0002698206219727237	0.001063185027450257	0.03427328002764531	0.0030592639394838744	0.05768173711839957	0.10914488259918903	0.06470689452901601	0.008382982106996477	0.008814798819983363	0.00015766925067408637	0.016546814299279868	0.018885267984798858	0.1740866749132237	0.037257643080095576	0.04434777429183108	0.017734781182330503	0.011156733324366105	0.0018516993819846699	0.02314863387594515	0.004170737534876995	0.007116590897887246	0.029209448147592465	0.018240120291465763	0.00847358153765109	0.03600123960591078	1510.2071983784278	90.07627769617989	66.86958450603872	88.26363741599398	74.81053383280135	84.94689645316258	30.274385405397148	94.21328920232085	85.79615317442429	60.54187319541293	64.11280409687346	29.720730095793275	63.36422937005695	87.20379019792593	47.13651023424427	54.08707507187426	93.14953730314807	63.45753092166121	66.8273809491906	52.93214050000502	39.01928982100234	46.82086831734163	75.7304960197247	115.05289529742757	129.84938973775948	93.22904218588523	95.41073336591305	44.85628379803146	31.138570824921935	41.3222032428782	98.05015987426276	47.42808360944724	96.95050055329425	49.110640679163524	27.124428498422056	0.07069083998128889	63.66846197314671	65.25412827557587	0.0	0.0	0.0	65.91994753911807	64.1392018327974	0.0	0.0	18.402612958927307	46.23788877887646	65.72504672864306	16.68755302832987	0.0	63.41718132273526	0.0	47.47600455772484	2.799076834105498	0.0	12.324554072400648	66.36477712287623	65.41507158095816	67.79142150062458	67.7725789623497	0.0	0.0	0.0	0.0	19.204549160381234	0.0	0.0	0.0	0.0
60000	-2660.9316392477867	-221.9980251000181	-2193.260844040082	-245.67277010768703	0.5756151011740102	0.5500598457987343	0.3365845807671119	0.9178957353142582	0.9622895505217132	129.09927593558476	0.0	11.759325670383939	6.1731318409430305	0.10189976156275608	0.09832396180483494	0.07766789397025949	0.03441853396820068	0.01868505409014063	0.03552156780543442	0.03729680829008518	0.05487534294558772	0.05577297940941843	0.0013244433667852736	0.021892590101304503	0.16492268863692874	0.009350956897875363	0.0031863680576326883	0.05537354523711839	0.052134749757412925	0.028355414720751485	0.006362498473120205	0.05954539694841355	0.009502022527077469	0.01803339863955228	0.005693842251089204	0.01639796876933171	0.025762991247406847	0.005397907235777303	0.01398650923694252	0.012693398939087521	0.004295436113301594	0.05058393456940757	0.09196514583113688	0.02301115201289971	0.0117668446408363	0.007632521810455269	0.04963908053772225	0.003900348617574213	0.02926339484098006	0.0009877389913859746	0.024938906369372436	0.045753723953072756	0.0014126019165138	0.01250113236934179	0.04599681128883892	1481.8856112137441	91.52253782252022	66.45530030677028	87.1662746535257	71.94349881785092	86.22889144279878	32.067001311460615	98.49666326397757	84.92894230290996	61.26582450676258	64.17446488295839	35.47894734943616	63.37777437217733	88.25248094767282	45.41172784648016	44.61719055035272	87.04029000738832	63.76665304044221	66.95465607633123	53.90141533431705	29.8311435398967	47.000937021749195	76.10198084569726	110.04748082747642	129.09927593558476	91.05099891299994	93.26337676486646	47.64930224049539	27.413709345923902	47.67816325723058	96.64546732002968	46.95311807150849	97.11869158140219	47.52861471120579	20.48354927686236	7.436530604399945	62.80888680829371	65.18142367940548	0.0	0.0	0.0	64.79793343491488	63.2446383286554	0.0	0.0	20.226957060261217	43.9314373546882	66.87618094922277	16.253606803904244	0.0	61.00015047714956	0.0	43.08212588801792	8.460598129021303	0.0	8.484176978239622	65.71892437723264	66.82673212179601	68.39675974600188	68.19152456149784	0.0	0.0	0.0	0.0	18.112145972615284	0.0	0.0	0.0	0.0
80000	-2641.1532558840377	-220.37809749129312	-2183.215292641602	-237.55986575114275	0.43038569895430884	0.7569053804334753	0.315282836619625	1.0961990449196166	0.9077576870821344	131.35769662774928	0.0	17.801171134751844	5.8022102575919945	0.1728601633546109	0.09462251160986047	0.06516406093218098	0.004035763777008157	0.06403054092932246	0.04079223186529575	0.06410452029856577	0.027797465596740827	0.0509304842366479	0.02648061192914414	0.01354610698622731	0.08629717537507264	0.002868270189112014	0.007508831348629229	0.0011440800556801163	0.05128819529467237	0.009671214122446216	0.002901372457894034	0.02111676672736615	0.010003924527725038	0.016500812033430394	0.018845986627142153	0.09248817063649147	0.06626472853601072	0.02918171545018531	0.04208159298082591	0.011241180775058602	0.009153698326220672	0.167897471878931	0.11071100395255354	0.03141412662048237	0.05632105623020814	0.05742877134395385	0.015513615780934268	0.008556169316417036	0.00617525454220679	0.02420569618782399	0.0055439270926449956	0.05862181793343187	0.03458898167412717	0.004095625214893089	0.028237144893749313	1452.7079440257971	90.96512465854087	65.58254012850512	87.18366791571404	73.06320454133115	90.36429534951257	28.83738569783304	91.35309455623072	83.77947685982566	59.62179552206449	63.48824591340266	28.815548594192453	64.8480699079614	84.99524861362417	49.90404758011434	47.301740719350406	83.66456100729367	64.12257944072442	72.94184208719791	64.16519296560499	22.181789259323523	47.1554435570832	79.064351039143	95.57338440562836	131.35769662774928	96.77097192271522	83.65975329139667	45.0776765899853	28.76426760970426	46.43103188275599	101.602339631227	47.72505862411144	96.63966978369267	46.48848020830865	27.204575457876377	10.243971290052613	63.33774280593507	65.803738894305	0.0	0.0	0.0	69.16866561762362	66.31687441987853	0.0	0.0	19.444122112360944	46.201721685999544	66.40329226276188	19.140629405400055	0.0	61.43368992616963	0.0	47.23758326500134	3.573421879670761	0.0	11.48541653915932	66.15164469965826	66.60943829515462	67.60875499665653	68.44480697617408	0.0	0.0	0.0	0.0	19.38069285196622	0.0	0.0	0.0	0.0
100000	-2651.5005188405667	-220.74949072128243	-2185.7615173395097	-244.98951077977472	0.5482884616548725	0.7159146087399927	0.3330132307590014	1.104268400678728	1.1660205815719735	132.50643401357163	0.0	8.938132705183769	8.212714074819932	0.14413850891827887	0.49238910511706313	0.14531686439362881	0.07951521739112784	0.030486075250827468	0.04816116357616638	0.03642731916275529	0.06785024951783793	0.05460988944222518	0.044070800395585016	0.015262928597292643	0.10850671944811653	0.0424886112948963	0.010748730779735148	0.0708178287047553	0.01714064703528725	0.0316454906332196	0.015491302141731299	0.013181160482922345	0.00019488755831265363	0.0033735071929412463	0.004447121274969252	0.43130279152697976	0.03580428195561362	0.0059996240253217615	0.005103414785764606	0.012430015547441785	0.0109098945967836	0.12294332481920577	0.08962918695359497	0.058659991203611206	0.016891572616954797	0.05764031982446505	0.007669618416624751	0.004630153838419734	0.00786738438593024	0.006332136075129112	0.005759103607119662	0.06070620451498341	0.023517421851972666	0.004727609382419912	0.04530263025305226	1432.1683641388545	76.2639798297731	65.71290687571444	86.76219246027647	73.50205992646534	85.07544795748882	30.44686296212339	95.88782412858423	84.38035376240451	59.39562088849879	69.37897220162529	31.205700199064967	64.07312169431705	84.08755360293382	43.649499960751974	45.13718650805059	91.56344111885751	63.429184245406894	67.72851894094728	53.98082511340917	25.839750142101316	48.83240454910632	75.98680071025375	95.74490417338437	132.50643401357163	90.28152201691648	82.57488165395694	48.132686559900556	32.90404231237211	43.81353920076737	97.38020126596726	48.50305897886481	96.83040169628562	44.60687989240922	22.106944584760353	10.229081786818401	63.21517273014588	65.4660711028517	0.0	0.0	0.0	74.44684905191677	65.65986369953522	0.0	0.0	16.71331327173916	47.50486849659162	65.94254825656722	16.850627917327785	0.0	61.72822276357651	0.0	47.62489400129012	2.7699244337283417	0.0	11.79135081183101	64.87443134671402	59.503417918856925	66.74269940956037	67.7716866892619	0.0	0.0	0.0	0.0	16.702316300144457	0.0	0.0	0.0	0.0
120000	-2655.4095598403405	-220.2391121219812	-2192.9636171627412	-242.20683055561813	0.4837067789984827	0.5093654126491349	0.3157351080763834	0.953660792336821	1.1677107611813127	128.5698673898192	0.0	16.429348364107298	6.409767138656194	0.22501830807764867	0.13829183433344355	0.01802359364154893	0.15521123843316065	0.058066225032138125	0.07006709970170442	0.023686699122363788	0.050712042188266915	0.07635620498412353	0.01765331735003529	0.02729199790826661	0.08321740093823309	0.031214945433704455	0.026733511647742896	0.03341051078580356	0.05704034789013295	0.012648003674331587	0.0074509318448136245	0.007195059092917332	0.014171307730477159	0.009184278104143913	0.008004083324026107	0.021015838091748496	0.08741409763261401	0.02177512971288059	0.004600477845317188	0.026806061203867755	0.0025298804897138966	0.005015668249636781	0.2425248591586835	0.028719609562482287	0.010150023673291026	0.041702284211577144	0.03704681317259929	0.005681774605283821	0.0038225005413566153	0.0009658485550464812	0.005517423197108651	0.026561944220151675	0.11481481064724422	0.039470193507883375	0.0008318463256160427	1484.9349581478652	79.12001060680221	65.15388125706464	86.48464194483854	75.58829997936839	85.9038672867662	45.08961223429907	97.07259535542639	85.61340396909344	61.40488350522072	64.43643053385244	30.77787207038851	68.5936668359954	85.80384249677284	49.04256167141618	47.52528599791693	88.21008638749237	62.74774723570948	66.8261077887349	62.86678375000187	30.346636668311845	52.75307929312928	77.88479415215002	97.55132465836995	128.5698673898192	98.51383292861934	76.37503632043921	49.06668968361076	26.151726241703926	45.95827901930869	96.36948043981884	47.51446573022902	97.36843072218181	50.24700557482078	19.5916785397615	9.701759396469328	62.61016238472283	65.80197521536421	0.0	0.0	0.0	65.08247599450883	65.5467490305216	0.0	0.0	14.3318967244179	44.7033992711097	63.99180498275787	15.976247829376623	0.0	63.70164982900763	0.0	47.806741234149705	6.84583530539237	0.0	11.63564746083958	65.81867251538915	62.68831638323247	65.44672494152243	67.86743006686879	0.0	0.0	0.0	0.0	18.031461555918483	0.0	0.0	0.0	0.0
140000	-2628.349577024438	-220.5318462190287	-2185.8719256415807	-221.94580516382894	0.386745140386825	0.905296939757851	0.30166401142620886	1.016558428331875	0.9846905389383162	129.77558453457127	0.0	15.016540589954307	6.651240772579593	0.05648078313556861	0.6307572950610805	0.0662631797973419	0.22111926410214813	0.029863338938367484	0.06009487767912095	0.005003305955205155	0.04174679136660427	0.08214068980336989	0.021631845453864654	0.0486452414039906	0.04916501455146636	0.02100323442121057	0.007847704856408507	0.02883820448823514	0.004995846132962938	3.476337595453587e-05	0.0016050554602813135	0.0011939195031433645	0.0023634858595501726	0.00424743795242626	0.05090226954005171	0.15529744994828515	0.0071544015577635406	0.012116014366135946	0.04481153750916795	0.016134343798297396	0.015619899300851505	0.1637428985093365	0.08219882767565193	0.006670052267730731	0.017067642290257517	0.046478167919171635	0.0069927123559003525	0.0017878886205365096	0.03979865618336895	0.011156877219144061	0.0026163371249723266	0.018045361089788943	0.006897596596151472	0.04538284203990041	0.005080724822191285	1460.8646821637167	77.19393763267858	65.44684700513531	88.81640357867063	75.95573683541078	85.85405271677732	45.12631243048533	88.78218716752497	84.24357002626277	60.204595210540425	63.71746965474059	33.48131172187713	63.36832350433241	87.2510113024965	47.53409828619403	46.23380937809936	87.41658021225486	62.81374884116867	68.33461997541414	60.91929819833632	33.42120128887352	47.194385834878474	75.65245506810062	96.49584959621895	129.77558453457127	95.46295886769948	77.76726692288446	46.70307387888712	33.65776425185819	45.78877345578324	96.82261794771645	47.303075768160014	97.16654682483264	47.19830769299794	32.18275819794263	11.12202011252516	63.6616082519312	66.01241392522458	0.0	0.0	0.0	69.89811409029627	65.92779812405733	0.0	0.0	16.950074611906786	46.06493224605401	66.12968983869811	18.487829071336087	0.0	62.69364779731681	0.0	47.079484490264456	10.507361956589158	0.0	7.566182029001515	64.91965873745261	64.95129929345504	66.38258933426245	67.79837105324076	0.0	0.0	0.0	0.0	18.268776682475952	0.0	0.0	0.0	0.0
160000	-2640.6103880390083	-223.2849672354257	-2184.6436569371995	-232.68176386638288	0.3485693877515491	0.653202865109793	0.2918571728007816	0.916802846426981	1.2002335683125769	128.69293097196442	0.0	8.470824966795748	15.676916117509796	0.05044316441494738	0.2299997110143166	0.15504089347131758	0.17208840419581906	0.007681083193629024	0.037705617346203056	0.0001555161396700534	0.03911638805260819	0.15622487642748525	0.09123058926389598	0.02120613353435312	0.19292414185015244	0.006895980516592782	0.04414896852899822	0.01074838146402801	0.008212227215977561	0.003803601424374674	0.0018821466644189946	0.009192505989954747	0.002643415694328581	0.021446510004415997	0.026495385853823866	0.09566799055089786	0.029115184355298692	0.0174128552806768	0.014385537621646374	0.008911454154318989	0.025055442471576417	0.11267132433016595	0.1110830076318903	0.01314036121537281	0.009891140187570266	0.021173499072853652	0.028464379180894225	0.003962131292729768	0.0039051959448485555	0.006352071581031526	0.014058971598463152	0.01710075565374335	0.022398162365944257	0.03877175170426389	0.023989725489280855	1486.4882952742703	75.03833757187579	65.19252306161941	85.88963870757516	75.18804601665812	87.90405799652069	45.547378398723474	93.3475071854102	85.21702772642716	59.454037712002055	64.09695680373794	36.47683841779744	67.82910960844579	85.21594122843312	54.2980828314255	46.98823897883762	95.2466101684349	63.70865554385797	69.46209292060999	56.88752419790589	30.20625603801123	47.71291857835478	75.53483781564739	96.07563526601999	128.69293097196442	91.17117795426515	85.07471708671419	46.04678337106254	46.12119529396254	47.543549879896986	97.10823913217976	48.598666693925175	97.82203329182688	45.39673193417976	24.105605141238737	8.381379281332162	62.981177243006904	66.13809051446809	0.0	0.0	0.0	67.07283656939303	65.81153013770928	0.0	0.0	20.0445603132664	47.42497359951198	64.9066262328927	19.15586227157577	0.0	63.095046477094286	0.0	46.70424589990827	9.69642319756704	0.0	12.850518446313481	65.88273568083146	60.2917747847051	68.29694770624921	65.27774454689116	0.0	0.0	0.0	0.0	19.69911534856129	0.0	0.0	0.0	0.0
180000	-2647.103182578298	-220.22245187668028	-2189.131261549266	-237.7494691523516	0.5411756031678187	0.6149730608001243	0.29107367807117	0.973004458164053	1.11159446753098	129.56245433787723	0.0	11.926690487309298	4.352992044951734	0.05451885391927032	0.5458192644217768	0.028013309222977397	0.17897077284909238	0.033280768803405844	0.014690707924354557	0.01975427077506738	0.033002178954023256	0.06941228836534331	0.03432044110663159	0.026391492184560942	0.04884017592280078	0.01994533971496027	0.0654929358732244	0.009088764679189438	0.017307777770016415	0.005747567597336291	0.007482235017823765	0.009315307839774729	0.002478369270168143	0.041321989098812684	0.0805673209720844	0.023843378050994356	0.022171084584920574	0.09989369823126615	0.043312310857757	0.006615869684894139	0.010162146644551125	0.20205561728943439	0.037270656572365765	0.01897125085818113	0.025003357701827444	0.06430389768045239	0.008588668985644983	0.0029360752559699404	0.020598904097399763	0.004965947943472232	0.002475643869704953	0.03969161750352217	0.060156800114524095	0.013016567307992843	0.007054833988303025	1482.008611805253	80.69970418690181	65.43203993726627	87.75825713432356	73.84770157605733	89.04938825545847	32.64057160845801	89.21112212627065	84.56376601366561	60.543205408336995	63.909969238112545	37.88406532398598	63.542629865515764	85.30932330963255	62.60721854474441	46.192065035577166	95.33694493979911	63.55236802293722	67.50770354887739	59.79321700717468	26.222211832373027	47.41813214556771	75.32143028568437	95.06876747306192	129.56245433787723	94.18745646285512	85.86480632277664	47.33898879334844	53.978999743376235	36.05477435519229	95.44306962152983	48.91602548152873	98.05330934134015	48.95336957219447	23.738688709731786	11.493997187559938	63.09327978610282	66.11013639100915	0.0	0.0	0.0	68.83706426286255	64.4117294789808	0.0	0.0	17.828990901864575	47.23429583650671	66.87013656505378	16.59218955352264	0.0	61.232935864924166	0.0	46.877634547356976	12.947024680296574	0.0	12.039713169172588	64.13474566404393	66.64864730408785	67.28432653113585	67.16791073351332	0.0	0.0	0.0	0.0	12.690375298286646	0.0	0.0	0.0	0.0
