Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
5	-2623.99	-2643.305	-2605.46	610.03	-223.625	-225.253	-222.228	835.56	-2169.6	-2183.218	-2159.694	289.38	-230.765	-244.607	-215.6	700.1	129.376	128.531	130.831	1005.21	0	0	0	NA	0.79	1.0	0.01
10	-2630.005	-2650.247	-2611.649	329.13	-224.411	-226.178	-222.82	779.29	-2173.14	-2184.958	-2161.412	344.18	-232.455	-246.936	-218.246	594.39	131.247	130.372	132.987	1048.74	0	0	0	NA	0.74	0.94	0.01
20	-2622.977	-2641.851	-2605.524	728.95	-223.14	-224.945	-221.925	563.22	-2169.421	-2179.75	-2158.093	434.22	-230.416	-243.748	-215.872	808.86	127.974	127.171	129.463	930.3	0	0	0	NA	0.76	0.94	0.01
11	-2634.671	-2652.277	-2616.615	627.44	-223.866	-225.332	-222.437	914.52	-2178.551	-2190.17	-2167.718	480.16	-232.255	-245.386	-218.583	744.58	129.447	128.517	131.072	807.68	0	0	0	NA	0.71	0.97	0.05
12	-2621.421	-2639.607	-2599.639	319.4	-224.346	-225.901	-222.906	931.1	-2164.777	-2175.918	-2152.891	271.53	-232.297	-247.158	-218.422	394.38	131.393	130.506	132.985	943.18	0	0	0	NA	0.76	0.97	0.05
15	-2633.809	-2653.224	-2616.08	471.91	-223.826	-225.36	-222.332	759.32	-2178.837	-2190.729	-2167.152	397.96	-231.145	-244.841	-214.956	562.07	130.125	129.263	131.642	765.16	0	0	0	NA	0.76	0.91	0.01
19	-2629.483	-2648.957	-2611.312	490.82	-224.519	-226.213	-222.98	851.77	-2172.332	-2184.762	-2160.746	266.14	-232.632	-245.494	-217.763	819.92	131.705	130.786	133.435	723.62	0	0	0	NA	0.74	0.94	0.01
17	-2637.533	-2655.994	-2620.348	460.35	-224.374	-226.212	-222.868	984.99	-2178.373	-2190.36	-2167.775	320.24	-234.786	-248.675	-221.135	802.0	130.793	129.863	132.438	791.61	0	0	0	NA	0.79	0.91	0.01
8	-2632.184	-2651.911	-2614.128	602.25	-223.215	-224.845	-221.843	958.56	-2176.226	-2187.698	-2165.523	459.93	-232.743	-247.203	-217.45	780.34	128.119	127.27	129.687	1015.19	0	0	0	NA	0.76	0.94	0.01
3	-2643.22	-2662.841	-2625.968	486.13	-224.377	-226.175	-222.998	959.36	-2182.55	-2193.612	-2171.319	384.34	-236.293	-250.84	-222.22	664.9	131.591	130.609	133.263	1154.28	0	0	0	NA	0.71	0.97	0.01
14	-2629.749	-2650.392	-2613.134	392.42	-224.161	-225.876	-222.706	767.85	-2174.612	-2184.504	-2163.367	396.89	-230.975	-244.636	-214.731	543.45	130.855	130.024	132.405	967.15	0	0	0	NA	0.82	0.94	0.01
1	-2621.204	-2640.006	-2601.816	662.09	-224.405	-225.905	-222.959	882.91	-2166.537	-2178.568	-2155.614	300.16	-230.261	-246.782	-216.351	807.72	130.962	130.06	132.575	1086.14	0	0	0	NA	0.74	0.94	0.01
16	-2636.237	-2656.412	-2618.411	464.83	-224.444	-226.176	-222.962	897.97	-2177.702	-2189.057	-2166.585	237.25	-234.091	-247.102	-219.91	872.26	131.177	130.25	132.805	985.75	0	0	0	NA	0.79	0.91	0.01
6	-2638.971	-2657.834	-2618.611	326.45	-223.734	-225.386	-222.234	898.21	-2181.793	-2193.247	-2169.657	250.86	-233.444	-248.108	-220.549	561.15	129.034	128.171	130.586	1071.71	0	0	0	NA	0.74	0.94	0.01
4	-2635.983	-2655.884	-2619.495	393.55	-223.772	-225.709	-222.345	1030.32	-2178.542	-2190.596	-2166.819	325.46	-233.668	-246.429	-219.784	889.23	129.667	128.805	131.283	947.31	0	0	0	NA	0.71	0.97	0.01
13	-2640.162	-2658.775	-2622.604	570.65	-224.55	-226.288	-223.096	820.07	-2181.865	-2191.622	-2170.263	391.8	-233.747	-247.425	-218.375	728.94	131.476	130.581	133.041	849.85	0	0	0	NA	0.79	0.94	0.05
18	-2630.38	-2649.115	-2612.597	816.53	-224.083	-225.783	-222.523	997.54	-2173.897	-2184.425	-2161.949	458.39	-232.401	-245.757	-217.774	767.96	130.484	129.579	132.185	815.68	0	0	0	NA	0.74	1.0	0.01
2	-2635.257	-2652.48	-2618.047	829.98	-224.508	-226.204	-223.139	1006.73	-2177.607	-2188.869	-2166.219	305.7	-233.142	-247.868	-219.919	751.53	131.242	130.289	133.034	1091.05	0	0	0	NA	0.79	0.97	0.01
9	-2634.006	-2651.424	-2615.637	591.7	-223.778	-225.64	-222.316	1032.11	-2176.377	-2189.534	-2166.297	339.87	-233.851	-248.655	-220.768	875.73	129.397	128.542	130.933	961.66	0	0	0	NA	0.74	0.94	0.01
7	-2627.591	-2646.658	-2609.674	551.71	-223.506	-225.069	-222.112	811.06	-2172.782	-2183.899	-2162.118	335.21	-231.303	-246.694	-217.986	781.09	129.096	128.238	130.817	892.74	0	0	0	NA	0.76	0.94	0.01
