it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3483.487829090821	-225.69781564520682	-2245.9531824365367	-1011.8368310090773	0.3628098520280385	0.3628098520280385	0.3628098520280385	0.3628098520280385	0.3628098520280385	0.3628098520280385	0.3628098520280385	0.3628098520280385	1.0	132.29049990822494	0.0	1.1	1.1	0.22445701846233432	0.18841296793843787	0.1536405049785507	0.1550865038023537	0.23900377446653853	0.7053692018579157	0.15617039945269867	0.22712152389139706	0.13571615667927006	0.20516965543651902	0.8810180741532536	0.32694353342200844	0.20761983472553114	0.11315206207523884	0.2453641591230064	0.8304643442063805	0.25789068994953823	0.10499663745223875	0.16058871762724708	0.2535107434165983	0.7156458200240436	0.8304201595523951	0.39402201780617596	0.16725108782599152	0.11697751023676937	0.14299980250561234	0.1858226941574664	0.12753803202537622	0.672485783546955	0.12155069822096419	0.40753162667039333	0.6925475446918469	0.14092557490715973	0.5583533776895823	0.2902400832106613	0.3744390644000962	0.7392435164536026	0.2632642718437437	0.2668702903068017	0.12103724059687768	0.20876637268727594	0.18145680969357084	1451.7171664389493	47.96519867842277	66.60931770491918	88.10848772900597	73.03131067131257	87.60993708018938	47.29542439219	86.23192834063931	83.95510764911609	59.50975993937476	64.05651035227798	31.90254576170439	65.0883878735852	85.27682405146955	62.68726546782482	44.09208316259176	83.30720143185656	62.624494203306746	66.79975117067114	63.116927853428884	24.22568632357882	47.25256378481129	77.03305776613749	103.50518649333115	132.29049990822494	90.74328109299309	75.9596656275145	46.103947303113706	26.37917402656589	37.30825282098452	109.7082401489155	51.10592077152813	96.7846838555012	45.78919439265079	22.98644942722668	6.581187721805667	62.76429324998849	63.10008875010792	0.0	0.0	0.0	75.2986771872041	62.16865819671486	0.0	0.0	20.186264266249687	46.09140742002991	64.80917956719625	10.935426495111175	0.0	59.994181930924	0.0	46.43711793966062	6.968694221079775	0.0	3.0804770734018714	63.70026185263555	57.764562072779896	67.81912758207919	69.14054750953079	0.0	0.0	0.0	0.0	17.886947781515758	0.0	0.0	0.0	0.0
20000	-2633.7678439258098	-224.29398032562557	-2170.0897345520393	-239.38412904814504	0.5514491794424579	0.5688020812205776	0.8313814262176169	0.2942965230544641	0.3028568708440692	0.8624291810073564	1.6762613977833793	0.4558764968553378	0.9969651427633967	128.6100293572582	0.0	1.3806083194813876	11.520124696633545	0.0648322216541804	0.3599651383811698	0.1459530405998197	0.23652591450470356	0.010063653938920192	0.04551537121144585	0.006521532154895172	0.1937845673865724	0.12496105835215783	0.019089074206324372	0.0022558906738693826	0.0610756418942558	0.0021788021804005726	0.07333059129820817	0.039662874910646205	0.0330443982379652	0.01612620293147651	0.020911870665794138	2.8138120395621672e-05	0.007531245951210306	0.0065740974604159485	0.036012642082289395	0.004809329175877887	0.04612489058971701	0.026632153026768246	0.008376080958540663	0.019620279679068132	0.020031520277732803	0.1437965320679246	0.07428595446246235	0.003848963346619044	0.031797397534284275	0.06779530441102934	0.010804640655289344	0.008741730907898837	0.01923532758496806	5.197048311582446e-05	0.024448557241106846	0.03663463114911174	0.054927806032362456	0.016524523565108924	0.008986392220618292	1416.1769861958753	45.539596040046916	65.14665303282058	87.44792462627439	72.38481067163683	86.58572457131986	47.887366971114304	85.67720557941531	86.73533335653782	60.217042290558126	63.501610231189595	28.069427297903214	64.72013031728578	85.04667417504251	57.02711549179682	45.033977715582466	87.31795046858525	63.92337010099229	68.82799122659188	63.63061633124648	26.700535271854637	49.2951291359413	76.62454209160154	96.132900175851	128.6100293572582	90.41152732191424	75.30782800688839	46.619323799745445	32.87532311758708	37.669196113831205	95.81909675731445	47.947284390300425	97.38415317508851	47.63688356562989	19.619194232902405	10.513823091583061	63.15507566506321	65.825913124985	0.0	0.0	0.0	74.75587643907977	64.97208847838493	0.0	0.0	20.498099304224866	47.53287024260398	66.91427051246515	14.170991597024951	0.0	61.83645181277785	0.0	47.56153990291205	9.558349407336966	0.0	9.526311352822548	66.24944731330598	41.344836851291085	67.77375736078872	69.10318227500674	0.0	0.0	0.0	0.0	15.90359608211703	0.0	0.0	0.0	0.0
40000	-2625.843632229758	-223.4495226862033	-2169.465248726181	-232.9288608173738	0.6892605362482588	0.40976493739349445	0.5936512232328913	0.28673524583801685	0.3646981406623846	0.9502041358106705	1.4759231880367951	0.3198128264629675	1.2467702487235004	129.93144441899932	0.0	13.566431196359261	15.857066393937728	0.1288111534008533	0.545543840699858	0.07355373511903983	0.197040944349438	0.03879382813000444	0.01669936671232387	0.015701370723514765	0.009792592171136575	0.12174077592989584	0.013701388061275152	0.03953714761918313	0.08373462143245654	0.0043094618039536585	0.012670532942454129	0.09342917709556833	0.054982964217587096	0.003710588082521978	0.009443671370158595	0.0323391242114313	0.005560398090304368	0.005298137291271595	0.022992260503053613	0.22297345591013665	0.014354735442536577	0.03328990283335496	0.006085658451077915	0.003071411877499604	0.0049278321076696545	0.08312852471012015	0.0477592584253369	0.01891681728931139	0.006262384449121763	0.019123616370293507	0.0035726685399444587	0.025620650777453968	0.00999113902723087	0.008205004439987952	0.012667648077628874	0.010053798566072063	0.03219597817662938	0.024082778579175637	0.012035589365488037	1444.63665005158	48.43207349022392	65.80672262508858	86.59362101532808	73.43974914967308	86.26370321813445	48.75121382488093	89.24747608388084	83.84641039686966	60.22973631875726	64.12515006140535	31.009322229340206	65.82958707321414	85.02109573986534	49.30300702481333	46.99992074446269	83.08064251375944	63.36912397086943	66.75188537090622	60.671994246634206	28.964755989604804	53.092338770792196	75.12689574527609	95.50157724191763	129.93144441899932	91.53676555910815	84.88901031412988	46.66214717394539	34.61516411061735	33.39957452574966	95.69191226954182	48.716158105735445	97.0336169758615	48.901919217859636	26.253806148918773	10.079863176133768	63.340722966968926	66.13299621466092	0.0	0.0	0.0	68.76669004290363	65.94679141748595	0.0	0.0	20.206472651424363	46.41974787480207	66.07669270528203	17.262521907889994	0.0	58.63592316026599	0.0	45.8676239488274	12.37182181353986	0.0	11.787255070266651	66.04835260716432	30.09429763619544	68.11409613730517	69.26614947404116	0.0	0.0	0.0	0.0	18.034852809426905	0.0	0.0	0.0	0.0
60000	-2634.21985926646	-224.0829137261502	-2174.1399479624083	-235.9969975779013	0.7403425978218875	0.5418346700283085	0.6744470541482043	0.306554276570445	0.2858335435360553	0.9475510123217523	2.139003042031386	0.6295650188208769	1.1738062741994013	129.17055778911427	0.0	9.961274758561535	18.93544650881294	0.06886485947608943	0.4932179218871622	0.1281338340489972	0.34945265114827573	0.060497509327512265	0.0316667288612445	0.05047996669437689	0.007493528689527223	0.06418228218781433	0.083778530142549	0.01090735926457565	0.2200690817610335	0.003568162723720565	0.01066630660126865	0.056272641280413115	0.008328955439786782	0.01397262077446541	0.0059564045237016135	0.028949667184281797	0.005747486195169575	0.0003890695574328528	0.010620558863802039	0.0791625489928063	0.004628957070499266	0.0036106635049102435	0.032312732415627356	0.0010573100962787494	0.07404222825827798	0.043308095053032535	0.19392929330479997	0.04954937872723927	0.01328174585014562	0.0317549986857241	0.007783233043849868	0.023330178074229907	0.00599503651585289	0.000504088380960822	0.009464247271913449	0.03151518729633868	0.05326482405374236	0.005885856260955653	0.0049603155821412595	1414.1847947749206	45.40474143391234	65.98467466746524	86.33708606168148	73.00503475198374	83.74423379761834	45.321317878533804	85.77146434373098	86.2172725811953	60.37501012352001	71.78213667389105	29.525026615927253	65.5613269577147	83.72499242913	45.946383412465636	46.58279972086347	89.0378613524639	62.72261861425473	71.50159526953101	59.20582129400794	25.495640373030678	46.811514482038405	77.28371460723093	99.01777067080093	129.17055778911427	90.5019639732829	84.99874826642623	47.58353725217977	28.770947572865943	32.9187679012998	98.53618999094185	48.08195432175592	96.46961472836526	45.32351238870732	31.86936950460414	10.517418256590163	62.399249361467064	65.13062137727398	0.0	0.0	0.0	74.39210560176099	64.62594844606018	0.0	0.0	18.33610539391566	48.66724913402365	65.14719701812318	14.708137502258564	0.0	62.60529238769613	0.0	47.7422025558508	13.656024051101943	0.0	12.266035579237949	65.45803426376287	47.24194332530329	67.30034020042967	67.68640993078448	0.0	0.0	0.0	0.0	18.520092641973996	0.0	0.0	0.0	0.0
80000	-2627.8701660508436	-223.09432144617824	-2180.771798865091	-224.0040457395744	0.661923427668263	0.4483755594034215	0.7548016161782285	0.3250214443196976	0.3073382011181711	1.002985893044925	1.9166366959057561	0.3562527551400394	0.8638693999452912	129.10442316499098	0.0	8.311539597287686	15.78084958262147	0.1944516861752827	0.4349143533589516	0.03208273332694057	0.1334607396072441	0.011959738375624302	0.03584667746299733	0.01767147158778962	0.02139464780647125	0.13554537629158556	0.05367113436194716	0.007183199611331545	0.05656689359923525	0.0006335908631305437	0.034222422759764955	0.01959506732617944	0.023626551539699003	0.0017294504687063073	0.00026238967705760467	0.010730699756877845	0.003168365403743478	0.0030321376015495457	0.02483863967438033	0.2434871432532947	0.11456402828450278	0.07495986756898346	0.008145871563717795	0.031139811740122796	0.0019224886342065221	0.013385620567268094	0.13885657881711472	0.030530980003342065	0.002724763732343909	0.016027848444330924	0.003988346972387266	0.01217422040683165	0.02981113424880505	0.004235964676923571	0.017848685531277213	0.011018966956646448	0.007833391155855388	0.009385792957304805	0.0076117299036344175	1452.5281932317716	45.36391400403383	65.20671542376886	86.96838089055011	75.60075720012625	83.03482952654993	47.19551269888967	87.11658372013983	86.48701003311731	60.233760935958784	64.97688916654162	35.10931918691477	63.36769079099559	88.22824179617365	45.8077928261744	49.97692865023423	85.37540405852647	62.62911918877442	75.51591515562622	55.74406020701915	28.48055876209396	51.769504966888604	76.50562890289685	96.5266636361966	129.10442316499098	95.20003869337417	87.94245169338666	46.953626707512896	34.056083089808936	35.32210416941093	95.30072701473934	49.15203551830516	97.45889368471225	56.02392721993292	25.527529045448244	3.8489322837368776	63.37616001579306	65.83947090879016	0.0	0.0	0.0	64.91771799392531	65.58467341180312	0.0	0.0	17.256388854950288	46.712070622968156	65.05230463844131	17.456890593312586	0.0	60.965871208457735	0.0	46.2022093654344	13.71337471969952	0.0	10.992200180030832	64.37161770499978	62.694351991970784	65.98608636758404	62.306057017315936	0.0	0.0	0.0	0.0	19.458450618827957	0.0	0.0	0.0	0.0
100000	-2627.2488905914847	-223.76819495053851	-2175.6302909787605	-227.8504046621856	0.6492190407162615	0.37781354418483015	0.6466538911368696	0.3028307710877335	0.2527333054202452	0.9334662217275189	1.8316632363841336	0.5845540693010056	1.0007857803384357	128.5829049814329	0.0	19.277615205716938	17.03914903156199	0.04712467743787331	0.4587220804191231	0.06252211504690729	0.22937699766344913	0.006241662269053636	0.05881538975726011	0.06698204136270164	0.06439248843896833	0.11115416543158425	0.054127588035558144	0.045721475043283194	0.08434702281806059	0.010775295542092039	0.04424499008623037	0.015268791892203244	0.010906407200650371	0.009925705351427193	0.006995192129188091	0.012447755329233388	0.006156139415064292	0.04315506985457351	0.020006053154900363	0.061222276411677067	0.015874075333613628	0.017749177956993996	0.0041073243089124484	0.02727611140031325	0.018588036595056392	0.04403579325580953	0.11243278858090544	0.022895785035960174	0.0024157425060246374	0.040123777251563505	0.0034352319273171076	0.008646330170938276	0.003010497728733881	0.02007616328196248	0.022218189983864788	0.003040090599698882	0.07105103269334159	0.023255369452373817	0.002226308458178927	1441.5713010068098	45.96010107733058	66.79317029682798	87.94140257123307	73.73773022309105	85.71167958278379	45.75375264714436	88.04142548229355	85.34363635008586	61.29097833850606	63.459393529716735	37.60411367162341	64.73414288665603	85.82938668844454	46.43073337092787	51.07868831824737	85.03462926363468	69.51597062438745	66.85047370419043	53.75099952605807	38.19384345887563	47.254733883260386	78.16198637486384	95.97632660913845	128.5829049814329	91.6507397279387	85.11005352334381	47.76307157644173	38.15568738756677	37.19148837073123	97.16981422326259	47.99707857694961	96.51905094814438	49.991591174415916	21.456738159120285	8.123182316453239	63.238384855564284	64.21355935363574	0.0	0.0	0.0	63.347479205729584	66.3869884922006	0.0	0.0	11.625591362383735	45.377353819006174	66.6190693874937	14.750569179591386	0.0	61.69044363019436	0.0	48.222385107858734	12.495263967883671	0.0	11.527934306848117	65.11572871518413	66.20161511347699	68.57146543567018	69.14242589959927	0.0	0.0	0.0	0.0	17.81677597308524	0.0	0.0	0.0	0.0
120000	-2625.671668155513	-223.69889716066987	-2174.6745887626475	-227.2981822321958	0.5508849198599258	0.49298462994610026	0.507003018620665	0.23447070934027908	0.25507945653167147	0.9670609847924617	1.8681377710092304	0.40521870771713425	1.048147247440652	130.66748457456873	0.0	16.712300986923758	5.7198527518034465	0.15755356990444677	0.38263816546817014	0.09941847934499834	0.27558878512010115	0.031204633425893302	0.08979999988137345	0.022530268419310263	0.09992817770357118	0.05965353625012208	0.06242000720911257	0.0024349754556001087	0.13859737313607556	0.06045660457602119	0.025744257836241118	0.006487740468629395	0.00536783704191603	0.0003213496459109679	0.000123978946511597	0.0034490988851858767	0.004019095693632064	0.0005086344681499675	0.03317549557011644	0.04738546036114017	0.025625675289898214	0.06904635176931637	0.012124407520926783	0.008668642323314685	0.0006584686752029816	0.13324433710708822	0.1129626353278295	0.020286420893569312	0.04646171298315499	0.03279631505259541	0.010508784353836132	0.008475521265349988	0.02022472814820183	0.006008059175816712	0.0016183735474696573	0.05713375851128456	0.050320915778718465	0.0351553578220411	0.0024658436966639398	1444.8748068933278	45.16616718158678	66.4585912045736	85.81615751839384	73.10193717477587	87.63281527993826	39.790552027707264	85.03908116919789	85.15975870301025	63.1957010964102	65.90453050192312	35.95844081781271	65.99112910604677	84.702966914365	44.67787965604991	45.1602168791977	83.75500866783115	62.99608591333739	66.70928554672746	60.98519036467944	43.17834634983189	48.632495691481175	75.54362763952398	95.25510261464939	130.66748457456873	92.0421982358901	85.9064397396112	45.17501934141672	39.54159755724012	45.109779606041165	97.17889976517114	49.767577240206855	96.67514134238363	47.04231019978411	36.811233258660316	6.71907851146079	62.993997722149174	65.87065720804056	0.0	0.0	0.0	68.06440268888504	65.17407530389632	0.0	0.0	15.980426716008381	47.83005323318182	66.71578859358988	17.24851425403669	0.0	61.080010336831236	0.0	48.0455057251261	12.959948059630081	0.0	12.81775090135401	66.27043179564122	65.52120766790689	67.08791928208073	69.37064448709327	0.0	0.0	0.0	0.0	12.103529499785278	0.0	0.0	0.0	0.0
140000	-2633.467144945471	-222.6799213844544	-2174.3814647978334	-236.40575876318326	0.7235984527393113	0.3495982771553614	0.7822098805135806	0.28032571592505723	0.2763000764598926	1.0640508286799264	1.3384002907910502	0.39584203114871086	0.9537199813207379	129.20052665742276	0.0	19.036193545944517	15.619891675700512	0.17505543830657447	0.06862368582683956	0.16043567732306668	0.11814473611693657	0.013191506984947558	0.0202688860787913	0.07663467368241708	0.038377263695162596	0.12347285407708565	0.027818055907222663	0.001052608518146134	0.11535137620460378	0.09354962109995571	0.014036917332096659	0.03983155053614201	0.03313619722914024	3.518187525462214e-05	0.01445634582213624	0.00325152031921385	0.01555532125695074	0.0049971414100311	0.0069425993072005955	0.13101230037658784	0.012139951716669869	0.026178751247915407	0.0008713508483609107	0.028640823398801817	0.026722159598148602	0.10040873934447915	0.23055135763153928	0.014919046250217005	0.004480612496309919	0.052605667072543674	0.01709831127256848	0.009098438344223476	0.038846530269300905	0.024278482622053	0.00899357116320062	0.029196957154359524	0.033912132229233775	0.011802077871372387	0.03506142838876298	1445.8625007858125	44.91979441038211	65.11306477368446	86.1084573967882	74.91549686470192	87.48709004703714	41.47494094549589	84.85238639975668	85.6198617704638	59.247987701670056	63.72122132231053	33.23116039811192	63.57668046987362	85.43860638315269	46.301637524544894	46.85135773023855	85.20005746076659	64.05843297858232	66.8187650910022	56.990772802030534	41.151724938515855	48.095091896892725	75.66911234212104	94.98656894730479	129.20052665742276	90.86031389337863	85.00767550273905	49.81014882772926	47.261952855907076	48.981520640709476	102.4150020562471	48.02492783574062	99.75974626008954	45.078223216625446	30.688506245025543	10.930957530610799	63.314382183146975	65.87056529292926	0.0	0.0	0.0	64.11185908514727	64.63803770648583	0.0	0.0	18.957978790188026	45.53154289731805	65.91176642383179	17.74901213563727	0.0	63.449692108585424	0.0	45.82238967711297	11.920228939735837	0.0	12.09357743611824	65.50859075893588	66.36841764259128	66.50980096915517	64.75040058872158	0.0	0.0	0.0	0.0	19.617113634978814	0.0	0.0	0.0	0.0
160000	-2629.012978274755	-223.6471286640754	-2177.632331685254	-227.73351792542553	0.5241368920386248	0.3273974579064613	0.6339658851824673	0.32720683987375787	0.33620150638015367	1.0074964959636425	1.5925985211240425	0.3626718474527495	1.0589056932929588	128.52078872000442	0.0	5.1500793786943575	3.0795472035107223	0.15297373470856487	0.36492423682657865	0.045543277084437846	0.07295158007099539	0.06048319097293965	0.0876396051344854	0.007693356467182375	0.0650783255712735	0.07790140945260197	0.08237332743596497	0.09365440794622149	0.0027716824628456834	0.007978191854829132	0.044806209559128916	0.005356140831858505	0.0018141861721602793	0.0011468503904272323	0.004763612068204158	0.020021382904245544	0.02512500662605768	0.02910912782097122	0.06078593476340658	0.1015223338727226	0.007179740601515627	0.02011375557729167	0.0017212951270652362	0.030625720019064752	0.01758634290277258	0.0329619571456018	0.2015875984683331	0.012342819048763505	0.03316504656205074	0.030484787971571788	0.0240926241865845	0.010542727675797777	0.006848249320024792	0.003685968341448581	0.013712492469870172	0.02645869400017237	0.03524813592073877	0.030746628274095973	0.001665621296119704	1487.8385276141835	54.426902276306286	69.00400134640628	86.05114705548758	76.93591834159669	86.26200478474105	36.83635735605269	86.17157203730109	85.3743757362287	60.11527614310069	66.13478388953452	34.47047267745811	63.35701659924399	86.70636096051251	56.963195190841176	52.480032670221824	85.19722622645064	64.0541957488071	66.84001431501068	56.08443997042433	34.87547237636151	50.38325608226712	75.92598139267129	95.20402754829827	128.52078872000442	90.432951354324	77.91282001870646	52.745343318154404	37.32400098978589	55.52515721559373	95.0294522095752	53.3141630884773	99.37365844298975	59.989082409885626	40.36258408196547	10.92778755785496	63.51590793265261	65.9063056542388	0.0	0.0	0.0	64.11144691939705	65.96667078736056	0.0	0.0	19.029319035766953	46.77250494258081	65.77429447186812	13.589468242443315	0.0	61.266078624477	0.0	47.27077172774981	11.896553345519745	0.0	12.063026961647518	65.36873426603304	65.64670650073349	68.23881335032786	65.79002818016602	0.0	0.0	0.0	0.0	19.411086459785167	0.0	0.0	0.0	0.0
180000	-2640.291604731639	-224.90042642389133	-2181.326493529728	-234.06468477801945	0.7793738308178786	0.45315170554194695	0.6611033059579777	0.3498466139391861	0.37744321197619557	0.96207011735123	1.5332698562657483	0.6927655873035977	1.1243588045320712	129.46116718012127	0.0	18.6816980973386	15.232883647724902	0.12479754656145946	0.4370599294523473	0.05592792496429959	0.2201350681138952	0.044611756938769585	0.01998821852445765	0.010181781986050978	0.09329600475365553	0.10104123152872618	0.018142263460252862	0.02639542541177061	0.2051586308886106	0.02186549741348365	0.026481164622334383	0.026358193536692935	0.014087440635855125	0.015096325046922179	0.00048212858961050014	0.035980419237441025	0.006785200842688236	0.004488821541130973	0.09968822906517806	0.1401116953689981	0.0020224674513920353	0.04473427207512326	0.008210096715681636	0.06318051144625333	0.0006329279956289983	0.1361716772285911	0.06778020799025071	0.05902993599558548	0.0031575487922957685	0.04672657567821704	0.0019410562254496171	0.00709241702948542	0.01969619620043878	0.010050815694333625	0.0002955247121856846	0.01667340716547783	0.047507173823024836	0.003033854521795575	0.025686865017437263	1473.2063544990483	45.16629861653903	65.06847970653929	85.99714955863882	83.49496310332873	87.19684027032264	33.646831313909416	89.84638252211154	85.72894761103285	60.377773528513714	63.171062886175804	28.44305481165191	63.65813392441429	88.75811699416735	45.12599934335294	49.287218228101864	83.61991909758828	63.57207326484126	67.98568828968095	58.96576400073702	33.64139558671131	49.57228968521279	75.95985186509998	95.44976793154682	129.46116718012127	92.25647234241757	86.95493629097223	45.13758516032137	45.16809750625965	45.9531425373411	95.95175183392949	47.74770116354872	98.32270548982889	64.90382110489286	39.61672427448353	10.919226784537974	63.65479079600632	65.55420960307434	0.0	0.0	0.0	62.369649126915846	66.01002241893266	0.0	0.0	9.07794378301821	48.94667300026195	64.94589911091228	17.126708001193467	0.0	63.6041724192106	0.0	47.21945761634211	12.59126750797066	0.0	12.217689390799933	66.2628169967452	65.78498616527891	68.46271275522942	66.29011042399158	0.0	0.0	0.0	0.0	10.963416624865387	0.0	0.0	0.0	0.0
