Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
9	-1683.068	-1719.215	-1647.748	664.89	-222.457	-224.224	-220.969	895.63	-948.257	-977.737	-924.219	542.95	-512.354	-530.172	-495.706	800.29	127.65	127.116	128.855	1018.55	0	0	0	NA	1.0	0.99	0.01
13	-1700.4	-1735.685	-1664.828	503.47	-222.174	-223.745	-220.857	860.18	-957.213	-983.72	-933.714	529.42	-521.014	-539.163	-505.55	566.33	127.439	126.876	128.674	836.12	0	0	0	NA	0.98	0.98	0.05
10	-1691.642	-1732.6	-1658.309	522.23	-223.327	-224.846	-222.15	976.87	-947.505	-974.408	-921.376	406.0	-520.81	-539.313	-503.842	673.38	131.207	130.601	132.539	1052.67	0	0	0	NA	0.99	0.98	0.01
5	-1697.475	-1735.461	-1663.566	586.51	-222.364	-223.714	-221.189	947.71	-955.95	-984.984	-930.082	470.1	-519.161	-535.343	-500.572	720.82	128.077	127.579	129.179	941.49	0	0	0	NA	1.0	0.99	0.01
18	-1721.073	-1755.725	-1684.565	495.57	-222.362	-224.108	-220.944	929.41	-972.707	-1000.224	-945.871	340.7	-526.005	-544.388	-505.658	578.38	127.881	127.287	129.138	830.01	0	0	0	NA	1.0	1.0	0.01
17	-1702.506	-1735.971	-1667.561	355.98	-221.915	-223.366	-220.747	790.19	-960.495	-987.228	-932.957	274.18	-520.095	-540.61	-503.105	535.56	127.117	126.521	128.393	1006.19	0	0	0	NA	0.98	0.99	0.05
19	-1710.982	-1746.874	-1673.398	587.22	-222.491	-223.955	-221.169	939.45	-966.229	-993.413	-936.872	436.36	-522.262	-539.649	-503.852	581.26	128.311	127.735	129.655	904.91	0	0	0	NA	1.0	0.97	0.01
11	-1702.427	-1738.691	-1666.254	550.96	-222.674	-224.137	-221.372	1077.82	-957.014	-985.614	-928.544	401.09	-522.739	-540.18	-506.171	599.36	129.051	128.466	130.345	863.83	0	0	0	NA	1.0	0.97	0.01
2	-1725.449	-1762.904	-1690.969	467.25	-222.148	-223.579	-220.981	962.22	-970.144	-999.755	-942.934	282.79	-533.157	-551.06	-514.561	594.61	127.888	127.232	129.347	797.68	0	0	0	NA	1.0	1.0	0.01
6	-1703.548	-1737.493	-1669.166	683.12	-223.518	-225.3	-222.05	773.79	-965.544	-992.997	-937.043	329.37	-514.486	-533.648	-496.063	485.77	130.303	129.736	131.545	719.14	0	0	0	NA	1.0	0.95	0.01
20	-1718.482	-1753.992	-1680.48	710.25	-222.975	-224.369	-221.849	1038.37	-965.863	-992.119	-938.18	617.85	-529.644	-548.48	-513.164	671.36	130.517	129.906	131.919	973.13	0	0	0	NA	1.0	0.99	0.01
16	-1719.476	-1752.68	-1682.071	658.29	-222.733	-224.047	-221.436	907.78	-973.645	-1002.035	-947.016	489.89	-523.097	-541.226	-503.728	511.5	129.001	128.412	130.363	918.87	0	0	0	NA	1.0	1.0	0.01
8	-1744.473	-1779.421	-1707.031	587.14	-222.365	-223.733	-221.086	897.92	-985.587	-1017.197	-960.153	374.54	-536.521	-553.572	-519.105	751.39	128.317	127.69	129.74	900.89	0	0	0	NA	0.98	0.98	0.01
14	-1727.584	-1761.812	-1696.928	676.1	-222.134	-223.708	-220.978	1040.4	-971.082	-1000.775	-946.477	440.29	-534.368	-553.017	-516.798	526.76	127.917	127.345	129.204	809.8	0	0	0	NA	1.0	0.96	0.01
15	-1705.094	-1739.96	-1668.785	700.24	-223.496	-225.035	-222.224	966.22	-967.999	-995.91	-943.343	504.86	-513.598	-531.828	-492.208	483.37	131.017	130.414	132.406	921.63	0	0	0	NA	1.0	0.96	0.01
1	-1692.94	-1725.382	-1659.253	728.32	-222.024	-223.466	-220.885	1036.12	-957.539	-984.742	-929.804	341.66	-513.378	-532.803	-495.346	518.29	127.542	126.953	128.908	1020.87	0	0	0	NA	0.99	0.97	0.01
12	-1673.578	-1707.183	-1636.174	445.79	-222.179	-223.557	-220.804	955.97	-947.635	-975.113	-921.379	352.47	-503.764	-521.932	-483.257	422.87	126.874	126.35	128.06	1027.73	0	0	0	NA	0.98	0.96	0.01
4	-1730.081	-1767.98	-1693.983	566.48	-223.347	-224.781	-222.004	850.45	-979.463	-1005.608	-952.139	402.48	-527.271	-545.394	-509.031	488.83	130.508	129.926	131.946	1026.94	0	0	0	NA	0.99	0.97	0.01
3	-1692.44	-1724.264	-1656.449	552.53	-223.491	-225.23	-221.984	1021.58	-954.555	-980.099	-927.774	501.11	-514.395	-531.293	-494.995	784.69	130.479	129.946	131.689	774.24	0	0	0	NA	0.99	0.97	0.01
7	-1717.344	-1758.446	-1685.193	594.88	-223.112	-224.505	-221.772	959.08	-965.046	-992.711	-938.495	399.23	-529.186	-547.145	-513.657	830.25	130.145	129.548	131.436	882.33	0	0	0	NA	1.0	0.99	0.05
