Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
6	-1481.95	-1502.838	-1456.964	847.92	-217.356	-218.799	-216.407	955.0	-933.741	-949.784	-917.726	747.42	-330.853	-346.48	-317.519	759.21	113.698	112.663	115.354	944.34	0	0	0	NA	0.98	0.96	0.01
4	-1489.796	-1511.455	-1465.71	572.4	-217.057	-218.55	-216.206	961.07	-945.89	-960.622	-930.28	458.36	-326.85	-343.213	-312.14	678.94	113.038	112.183	114.678	946.59	0	0	0	NA	0.96	0.96	0.01
8	-1495.026	-1518.612	-1471.831	762.77	-217.303	-218.948	-216.261	1044.34	-947.805	-962.996	-933.544	561.14	-329.917	-345.274	-311.954	797.81	113.349	112.291	115.224	1009.28	0	0	0	NA	0.96	0.95	0.01
14	-1488.573	-1510.665	-1463.67	665.56	-217.079	-218.25	-215.884	1031.37	-934.248	-950.975	-919.125	508.72	-337.245	-353.174	-323.531	739.3	113.009	112.163	114.508	1053.74	0	0	0	NA	0.96	0.98	0.01
13	-1492.217	-1512.781	-1469.382	744.55	-217.194	-218.579	-216.275	1113.97	-946.832	-961.051	-931.152	465.12	-328.191	-344.338	-312.64	783.44	113.311	112.324	115.028	1025.56	0	0	0	NA	1.0	0.93	0.01
20	-1496.553	-1519.313	-1472.714	861.19	-216.784	-218.242	-215.745	993.11	-939.689	-954.894	-923.999	620.38	-340.08	-356.738	-324.751	829.26	111.995	111.065	113.618	971.03	0	0	0	NA	1.0	0.96	0.01
12	-1488.074	-1510.437	-1467.144	650.89	-217.36	-218.94	-216.084	955.1	-936.568	-951.639	-921.891	591.59	-334.146	-349.218	-316.959	692.32	113.817	112.92	115.42	943.14	0	0	0	NA	1.0	0.98	0.01
1	-1481.214	-1503.573	-1458.82	755.03	-216.964	-218.471	-215.982	1018.63	-930.2	-945.93	-914.26	518.5	-334.049	-349.319	-317.573	759.55	112.237	111.149	114.348	876.99	0	0	0	NA	1.0	0.98	0.01
11	-1477.611	-1502.825	-1455.011	727.33	-216.706	-218.343	-215.725	901.11	-936.033	-952.18	-922.108	486.49	-324.872	-341.941	-308.103	781.93	111.788	110.662	113.608	880.03	0	0	0	NA	0.95	0.91	0.01
9	-1477.063	-1496.483	-1453.069	909.17	-217.32	-218.862	-216.412	850.2	-932.001	-947.426	-918.43	690.7	-327.741	-343.137	-312.311	803.57	113.562	112.632	115.143	809.08	0	0	0	NA	0.98	0.96	0.05
5	-1463.198	-1486.469	-1440.529	747.66	-217.224	-218.898	-216.275	984.32	-927.514	-941.939	-912.252	394.4	-318.46	-335.209	-302.678	826.74	113.148	112.203	114.758	926.05	0	0	0	NA	1.0	0.95	0.01
15	-1503.399	-1526.074	-1481.943	661.94	-216.766	-218.47	-215.648	874.45	-949.793	-965.804	-934.321	659.17	-336.841	-351.56	-321.881	733.11	112.074	111.032	113.981	839.59	0	0	0	NA	1.0	0.93	0.01
19	-1482.07	-1503.483	-1457.636	776.55	-217.355	-218.874	-216.017	939.4	-935.777	-952.324	-920.857	571.74	-328.938	-346.122	-311.851	681.74	113.803	112.878	115.499	863.65	0	0	0	NA	0.98	0.95	0.01
3	-1490.455	-1511.379	-1465.646	790.91	-216.804	-218.257	-215.591	920.46	-936.682	-952.505	-921.459	672.5	-336.969	-354.155	-323.344	772.56	112.334	111.513	113.924	896.56	0	0	0	NA	1.0	0.98	0.01
10	-1502.602	-1522.937	-1478.753	773.09	-217.291	-218.872	-216.062	1038.18	-946.62	-962.334	-933.309	546.4	-338.691	-354.916	-323.628	942.19	113.587	112.7	115.26	839.01	0	0	0	NA	1.0	0.96	0.01
2	-1485.462	-1506.618	-1459.368	592.29	-217.262	-218.619	-216.288	1110.72	-940.695	-956.573	-925.751	485.46	-327.505	-346.137	-312.882	770.02	113.819	112.942	115.488	1032.85	0	0	0	NA	1.0	0.95	0.01
16	-1481.676	-1503.335	-1458.64	780.75	-217.22	-218.586	-216.104	915.54	-931.24	-946.195	-913.966	558.94	-333.216	-349.999	-319.046	787.1	113.783	112.991	115.186	826.49	0	0	0	NA	1.0	0.96	0.01
18	-1483.143	-1507.591	-1460.853	771.49	-216.759	-218.146	-215.823	965.08	-943.679	-958.484	-928.489	580.12	-322.705	-337.841	-305.654	730.21	112.665	111.944	114.086	930.26	0	0	0	NA	1.0	0.93	0.01
17	-1484.51	-1507.029	-1461.112	631.03	-217.134	-218.565	-215.971	958.45	-945.191	-959.314	-930.803	458.12	-322.185	-338.042	-304.334	712.16	113.323	112.497	114.758	1045.52	0	0	0	NA	0.96	1.0	0.01
7	-1478.184	-1501.419	-1455.375	629.7	-216.717	-218.385	-215.792	940.83	-931.984	-948.084	-917.023	496.59	-329.483	-345.585	-313.142	837.82	111.833	110.983	113.362	952.49	0	0	0	NA	1.0	0.96	0.01
