Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
6	-1480.634	-1504.354	-1459.17	740.24	-220.276	-221.783	-219.211	965.45	-928.826	-945.161	-913.954	662.85	-331.533	-345.136	-316.057	806.42	113.583	112.663	115.375	881.96	0	0	0	NA	1.0	0.95	0.01
4	-1487.206	-1511.016	-1463.449	495.48	-220.032	-221.586	-218.9	1026.34	-940.289	-955.489	-925.862	485.65	-326.886	-343.361	-312.279	784.23	112.989	112.183	114.51	1062.85	0	0	0	NA	0.98	0.96	0.01
8	-1493.712	-1518.78	-1471.176	635.96	-220.204	-221.797	-219.144	940.35	-942.701	-960.032	-928.823	544.06	-330.807	-347.557	-313.236	659.7	113.233	112.293	114.934	962.24	0	0	0	NA	0.98	0.98	0.01
14	-1488.183	-1510.759	-1464.754	650.5	-220.116	-221.663	-218.957	1030.25	-930.324	-947.359	-916.115	524.45	-337.743	-353.755	-323.267	824.56	112.928	112.164	114.37	975.98	0	0	0	NA	0.96	0.98	0.01
13	-1490.872	-1515.956	-1467.69	656.71	-220.21	-221.682	-218.98	940.81	-941.502	-957.972	-925.649	404.27	-329.16	-347.721	-313.134	707.73	113.225	112.322	114.836	852.66	0	0	0	NA	0.98	0.93	0.01
20	-1495.161	-1520.48	-1471.048	735.74	-219.814	-221.331	-218.587	935.09	-934.255	-950.757	-919.87	477.49	-341.092	-356.651	-324.368	702.35	111.885	111.064	113.46	1046.59	0	0	0	NA	0.93	0.95	0.01
12	-1485.747	-1509.102	-1462.813	731.83	-220.37	-221.846	-219.17	1016.46	-930.445	-947.472	-915.874	588.22	-334.932	-352.001	-319.641	926.39	113.737	112.918	115.275	857.18	0	0	0	NA	0.98	0.95	0.01
1	-1479.002	-1500.122	-1457.554	749.09	-219.956	-221.364	-218.808	1012.29	-924.848	-940.098	-909.086	516.53	-334.198	-348.853	-319.285	929.84	112.113	111.151	113.873	744.0	0	0	0	NA	0.98	0.98	0.05
11	-1475.103	-1497.87	-1454.417	821.21	-219.637	-221.153	-218.532	1008.93	-930.043	-945.54	-915.827	568.03	-325.422	-342.439	-309.702	862.42	111.571	110.66	113.138	1022.79	0	0	0	NA	0.96	0.95	0.01
9	-1474.946	-1496.38	-1451.509	669.16	-220.385	-221.814	-219.133	952.59	-926.005	-941.623	-909.622	417.68	-328.556	-342.776	-311.257	911.54	113.494	112.632	115.141	912.19	0	0	0	NA	0.95	0.96	0.01
5	-1460.729	-1482.601	-1435.74	815.83	-220.185	-221.873	-219.029	1000.46	-922.566	-938.165	-907.675	564.5	-317.978	-336.278	-303.237	759.97	113.034	112.2	114.547	956.35	0	0	0	NA	1.0	0.93	0.01
15	-1500.549	-1524.427	-1480.165	681.24	-219.836	-221.371	-218.552	768.88	-942.935	-958.386	-926.914	484.1	-337.778	-353.547	-322.846	761.23	111.91	111.034	113.416	961.96	0	0	0	NA	0.95	0.91	0.01
19	-1479.83	-1504.099	-1455.05	748.79	-220.443	-222.035	-219.072	1025.84	-929.59	-946.627	-914.661	561.0	-329.797	-346.03	-312.306	790.91	113.702	112.878	115.343	904.64	0	0	0	NA	0.95	0.96	0.01
3	-1489.018	-1511.805	-1464.853	728.57	-219.867	-221.659	-218.646	883.95	-932.09	-948.605	-916.809	509.18	-337.061	-352.149	-319.734	770.63	112.189	111.513	113.362	904.71	0	0	0	NA	0.98	0.96	0.01
10	-1502.024	-1526.67	-1480.663	618.84	-220.199	-221.684	-219.039	978.35	-942.024	-958.241	-927.346	349.82	-339.802	-355.063	-324.369	905.28	113.514	112.698	115.095	936.07	0	0	0	NA	0.98	0.95	0.01
2	-1483.038	-1508.567	-1462.256	595.36	-220.17	-221.802	-219.086	1005.91	-935.194	-950.819	-919.446	459.12	-327.675	-345.259	-312.713	830.61	113.69	112.94	115.104	957.71	0	0	0	NA	0.95	1.0	0.01
16	-1478.763	-1499.461	-1455.929	580.44	-220.25	-221.871	-219.042	957.73	-924.909	-940.924	-910.417	468.04	-333.605	-349.568	-318.979	889.21	113.715	112.99	114.991	1017.56	0	0	0	NA	0.98	1.0	0.01
18	-1476.902	-1499.544	-1452.344	836.72	-219.959	-221.291	-218.608	865.7	-934.721	-949.042	-919.025	595.15	-322.222	-337.335	-304.621	858.43	112.54	111.944	113.601	975.15	0	0	0	NA	0.96	0.95	0.01
17	-1483.095	-1506.894	-1459.868	774.37	-220.068	-221.455	-218.774	924.12	-940.203	-955.008	-925.667	572.93	-322.824	-340.267	-305.518	762.98	113.196	112.5	114.479	964.77	0	0	0	NA	1.0	0.98	0.01
7	-1475.918	-1499.68	-1454.154	699.23	-219.769	-221.353	-218.518	910.77	-927.035	-941.796	-912.531	436.45	-329.114	-345.373	-313.893	755.62	111.694	110.983	112.959	944.98	0	0	0	NA	1.0	0.96	0.01
