Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
6	-1481.691	-1503.135	-1458.86	681.08	-217.408	-218.723	-216.48	1028.07	-933.286	-948.112	-916.02	539.39	-330.997	-345.116	-315.985	777.67	113.619	112.663	115.299	1055.9	0	0	0	NA	1.0	0.96	0.01
4	-1492.747	-1514.725	-1469.451	789.51	-217.139	-218.446	-216.107	784.68	-947.624	-963.361	-934.139	647.83	-327.984	-344.223	-312.293	920.17	113.075	112.183	114.846	851.72	0	0	0	NA	1.0	0.98	0.01
8	-1495.328	-1518.341	-1472.378	628.47	-217.405	-218.953	-216.371	977.68	-947.16	-962.672	-931.206	499.13	-330.763	-347.968	-315.098	552.2	113.304	112.292	115.205	942.54	0	0	0	NA	1.0	0.96	0.05
14	-1487.261	-1511.592	-1466.355	843.41	-217.227	-218.667	-216.233	905.53	-934.372	-950.885	-918.245	629.99	-335.663	-351.459	-321.75	917.19	112.961	112.162	114.392	1015.3	0	0	0	NA	1.0	0.93	0.01
13	-1495.688	-1519.896	-1472.186	703.51	-217.321	-218.782	-216.388	961.58	-947.162	-961.364	-930.068	506.72	-331.204	-348.397	-314.516	759.37	113.287	112.323	115.028	976.13	0	0	0	NA	0.96	0.96	0.01
20	-1497.613	-1522.795	-1472.442	740.67	-216.89	-218.214	-215.836	1036.45	-941.726	-960.928	-927.177	497.31	-338.996	-356.202	-320.999	721.12	111.976	111.064	113.731	1021.38	0	0	0	NA	0.96	0.96	0.01
12	-1487.401	-1510.645	-1462.765	727.3	-217.454	-218.961	-216.242	850.81	-935.617	-949.997	-917.819	531.52	-334.33	-350.293	-317.824	866.6	113.774	112.918	115.228	1078.94	0	0	0	NA	1.0	1.0	0.01
1	-1481.688	-1504.86	-1458.685	462.09	-217.114	-218.808	-216.09	1122.32	-931.129	-947.196	-914.443	394.13	-333.444	-351.642	-318.306	692.1	112.212	111.149	114.126	892.22	0	0	0	NA	1.0	0.95	0.01
11	-1479.29	-1507.073	-1457.824	697.86	-216.822	-218.306	-215.739	978.76	-936.813	-952.55	-920.377	437.01	-325.655	-342.29	-307.356	979.0	111.792	110.66	113.443	980.63	0	0	0	NA	0.98	0.98	0.01
9	-1479.43	-1504.604	-1456.278	844.25	-217.378	-218.921	-216.49	1034.04	-932.109	-948.847	-918.046	577.99	-329.944	-347.191	-313.258	803.93	113.51	112.632	115.209	628.97	0	0	0	NA	1.0	0.96	0.01
5	-1464.038	-1487.161	-1438.176	932.63	-217.375	-219.162	-216.357	945.46	-927.259	-942.533	-911.893	541.4	-319.404	-335.58	-303.608	983.72	113.128	112.2	114.768	938.41	0	0	0	NA	1.0	0.98	0.01
15	-1502.419	-1524.331	-1479.3	548.49	-216.885	-218.544	-215.77	973.08	-949.791	-964.655	-935.084	478.82	-335.744	-351.213	-319.852	732.3	112.148	111.032	114.065	957.92	0	0	0	NA	1.0	0.98	0.01
19	-1483.679	-1507.437	-1464.125	679.08	-217.442	-218.945	-216.212	990.17	-936.234	-950.503	-920.597	462.56	-330.003	-345.206	-312.623	758.38	113.76	112.877	115.292	1041.29	0	0	0	NA	1.0	0.98	0.01
3	-1487.184	-1507.571	-1463.351	756.38	-216.916	-218.495	-215.867	906.23	-937.206	-953.404	-922.25	557.24	-333.062	-349.18	-317.706	753.73	112.343	111.514	113.958	1012.32	0	0	0	NA	1.0	1.0	0.01
10	-1500.729	-1523.139	-1478.042	754.02	-217.378	-218.893	-216.424	888.6	-947.002	-960.453	-930.259	591.56	-336.349	-352.035	-321.227	749.43	113.657	112.7	115.442	924.86	0	0	0	NA	1.0	0.96	0.01
2	-1485.992	-1509.199	-1463.489	766.17	-217.377	-218.753	-216.327	942.48	-941.264	-958.859	-927.793	498.8	-327.351	-343.214	-311.256	905.18	113.803	112.94	115.357	1069.39	0	0	0	NA	1.0	0.98	0.01
16	-1480.624	-1507.12	-1460.584	754.45	-217.322	-218.717	-216.25	884.95	-930.832	-946.196	-914.228	544.93	-332.47	-348.469	-317.759	810.04	113.792	112.992	115.201	908.69	0	0	0	NA	1.0	1.0	0.01
18	-1486.987	-1510.515	-1462.723	963.28	-216.935	-218.231	-215.933	823.6	-945.242	-960.712	-931.16	711.24	-324.811	-340.517	-306.667	918.53	112.693	111.944	114.072	917.33	0	0	0	NA	0.96	0.95	0.01
17	-1486.304	-1510.092	-1464.487	759.46	-217.231	-218.687	-216.125	990.34	-945.515	-960.175	-931.312	495.13	-323.559	-341.38	-306.667	861.51	113.326	112.497	114.905	1107.14	0	0	0	NA	0.98	0.95	0.01
7	-1479.445	-1502.47	-1455.714	843.44	-216.811	-218.202	-215.804	568.27	-932.989	-949.577	-918.824	577.92	-329.644	-348.193	-315.373	918.22	111.861	110.984	113.277	983.16	0	0	0	NA	1.0	0.95	0.01
