Taxon_name	Status	MinAge	MaxAge
Angoumeius_paradoxus	extinct	43.151	43.88
Angoumeius_paradoxus	extinct	38.261	41.94
Centrodeania_annae	extinct	61.601	66
Centrodeania_annae	extinct	61.601	66
Centrodeania_rugosa	extinct	61.601	66
Centrodeania_rugosa	extinct	61.601	66
Centrophoroides_appendiculatus	extinct	66.001	72.1
Centrophoroides_appendiculatus	extinct	66.001	72.1
Centrophoroides_appendiculatus	extinct	72.101	76.4
Centrophoroides_appendiculatus	extinct	72.101	76.4
Centrophoroides_appendiculatus	extinct	72.101	76.4
Centrophoroides_appendiculatus	extinct	80.601	83.6
Centrophoroides_appendiculatus	extinct	72.101	76.4
Centrophoroides_appendiculatus	extinct	66.001	83.6
Centrophoroides_appendiculatus	extinct	72.101	76.4
Centrophoroides_appendiculatus	extinct	80.601	83.6
Centrophoroides_appendiculatus	extinct	66.001	70.1
Centrophoroides_appendiculatus	extinct	66.001	70.1
Centrophoroides_latidens	extinct	83.601	85.8
Centrophoroides_latidens	extinct	83.601	85.8
Centrophorus_granulosus	extant	3.601	5.333
Centrophorus_granulosus	extant	3.601	5.333
Centrophorus_granulosus	extant	3.601	5.333
Centrophorus_granulosus	extant	3.601	5.333
Centrophorus_granulosus	extant	2.589	3.6
Centrophorus_granulosus	extant	5.3	7.9
Centrophorus_granulosus	extant	0.0118	2.588
Centrophorus_granulosus	extant	2.589	5.333
Centrophorus_granulosus	extant	15.971	20.44
Centrophorus_sp.-nov.	extinct	23.031	28.1
Centrophorus_sp.-nov.	extinct	15.971	23.03
Centrophorus_squamosus	extant	0.0118	2.588
Centrophorus_squamosus	extant	3.601	5.333
Centroscymnus_praecursor	extinct	72.101	76.4
Centroscymnus_praecursor	extinct	66.001	70.1
Centroscymnus_praecursor	extinct	61.601	66
Centroscymnus_praecursor	extinct	61.601	66
Centroscymnus_praecursor	extinct	61.601	66
Centroscymnus_praecursor	extinct	61.601	66
Centroscymnus_praecursor	extinct	72.101	76.4
Centroscymnus_praecursor	extinct	72.101	76.4
Centroscymnus_praecursor	extinct	80.601	83.6
Centroscymnus_praecursor	extinct	70.101	72.1
Centroscymnus_praecursor	extinct	80.601	83.6
Centroscymnus_schmidi	extinct	66.001	70.1
Centroscymnus_schmidi	extinct	72.101	76.4
Centroscymnus_schmidi	extinct	66.001	70.1
Centroselachus_crepidater	extant	3.601	5.333
Centroselachus_crepidater	extant	0.0118	2.588
Cretascymnus_beauryi	extinct	66.001	70.1
Cretascymnus_beauryi	extinct	66.001	70.1
Cretascymnus_beauryi	extinct	66.001	70.1
Cretascymnus_beauryi	extinct	66.001	70.1
Cretascymnus_beauryi	extinct	66.001	70.1
Cretascymnus_beauryi	extinct	66.001	70.1
Cretascymnus_beauryi	extinct	66.001	70.1
Cretascymnus_westfalicus	extinct	72.101	76.4
Cretascymnus_westfalicus	extinct	72.101	76.4
Cretascymnus_westfalicus	extinct	72.101	76.4
Cretascymnus_westfalicus	extinct	80.601	83.6
Cretascymnus_westfalicus	extinct	80.601	83.6
Dalatias_licha	extant	3.601	5.333
Dalatias_licha	extant	2.589	3.6
Dalatias_licha	extant	2.589	5.333
