Species	Status
Acrosqualiolus_mirus	extinct
Angoumeius_paradoxus	extinct
Angoumeius_sanadaensis	extinct
Centrodeania_annae	extinct
Centrodeania_rugosa	extinct
Centrophoroides_appendiculatus	extinct
Centrophoroides_latidens	extinct
Centrophorus_granulosus	extant
Centrophorus_serratus	extinct
Centrophorus_sp.-nov.	extinct
Centrophorus_squamosus	extant
Centrophorus_stehlini	extinct
Centroscymnus_praecursor	extinct
Centroscymnus_schmidi	extinct
Centroscymnus_sp.-nov.	extinct
Centroselachus_crepidater	extant
Centrosqualus_mustardi	extinct
Centrosqualus_primaevus	extinct
Cretascymnus_adonis	extinct
Cretascymnus_beauryi	extinct
Cretascymnus_quimbalaensis	extinct
Cretascymnus_westfalicus	extinct
Dalatias_bassanii	extinct
Dalatias_licha	extant
Dalatias_orientalis	extinct
Dalatias_turkmenicus	extinct
Deania_angoumeensis	extinct
Deania_calcea	extant
Deania_radicans	extinct
Dracipinna_bracheri	extinct
Eodalatias_austrinalis	extinct
Eodalatias_crenulatus	extinct
Eoetmopterus_davidi	extinct
Eoetmopterus_supracretaceus	extinct
Eosqualiolus_aturensis	extinct
Eosqualiolus_skrovinai	extinct
Etmopterus_acutidens	extinct
Etmopterus_cahuzaci	extinct
Etmopterus_ledouxi-n-nud	extinct
Hessinodon_wardi	extinct
Incognitorapax_fernsebneri	extinct
Incognitorapax_sp.-nov.	extinct
Isistius_exiguus	extinct
Isistius_triangulus	extinct
Isistius_trituratus	extinct
Megasqualus_orpiensis	extinct
Microetmopterus_wardi	extinct
Oligodalatias_jordani	extinct
Oxynotus_centrina	extant
Oxynotus_crochardi	extinct
Paraetmopterus_horvathi	extinct
Paraetmopterus_nolfi	extinct
Proetmopterus_hemmooriensis	extinct
Proetmopterus_lukasi	extinct
Protocentrophorus_balticus	extinct
Protocentrophorus_steviae	extinct
Protosqualus_albertsi	extinct
Protosqualus_barringtonensis	extinct
Protosqualus_glickmani	extinct
Protosqualus_pachyrhiza	extinct
Protosqualus_sigei	extinct
Protoxynotus_mayrmelnhofi	extinct
Protoxynotus_misburgensis	extinct
Rhinoscymnus_clarki	extinct
Rhinoscymnus_rostratus	extant
Rhinoscymnus_viridiadamas	extinct
Scymnodalatias_cigalafulgosii	extinct
Scymnodalatias_garricki	extant
Scymnodalatias_kazenobon	extinct
Scymnodon_ringens	extant
Somniosus_gonzalezi	extinct
Somniosus_microcephalus	extant
Squaliodalatias_goordi	extinct
Squaliodalatias_savoiei	extinct
Squaliodalatias_weltoni	extinct
Squaliolus_gasconensis	extinct
Squaliolus_schaubi	extinct
Squalus_acanthias	extant
Squalus_almeidae	extinct
Squalus_argentinensis	extinct
Squalus_ballingsloevensis	extinct
Squalus_balsvikensis	extinct
Squalus_blainvillei	extant
Squalus_crenatidens	extinct
Squalus_depauwi	extinct
Squalus_gabrielsoni	extinct
Squalus_huntensis	extinct
Squalus_minor	extinct
Squalus_nicholsae	extinct
Squalus_occidentalis	extinct
Squalus_smithi	extinct
Squalus_suckleyi	extant
Squalus_volgensis	extinct
Squalus_vondermarcki	extinct
Squalus_weltoni	extinct
Squalus_woodburnei	extinct
Squalus_worlandensis	extinct
Trigonognathus_virginiae	extinct
Zameus_squamulosus	extant
