it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Acrosqualiolus_TS	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Euprotomicroides_TS	Euprotomicrus_TS	Hessinodon_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Microetmopterus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Acrosqualiolus_TE	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Euprotomicroides_TE	Euprotomicrus_TE	Hessinodon_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Microetmopterus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3542.1543443489268	-225.38367058804627	-2291.9229400492495	-1024.847733711631	0.5357460772402733	0.5357460772402733	0.5357460772402733	0.5357460772402733	1.0	128.68674591802346	0.0	1.1	1.1	0.26701227907103614	1.7330091945214634	0.21421522458412295	0.3841444285132528	0.36616764106902777	0.2483489672412686	1.2629440627881434	0.24944668068335984	0.15063127624478495	0.12061832491395078	0.2178641352138469	0.23162986609740288	0.38792126980341834	0.20825520398325334	0.2715984442860004	0.3900479748443494	0.18382879939574764	0.13347095571692685	0.2050438147357614	0.3983181562237018	0.22110898346018917	0.5876223947843959	0.24443410823864417	0.34481346679718794	0.4032739184802697	0.1438099138282794	0.2131643883111645	0.2288596672558359	0.13723755499217205	0.30089876471456845	0.3605353945643779	0.25708028900160484	0.18929693535997616	0.20774653216644312	0.14569651046499935	0.10376622907616008	0.6593340415112883	0.12547590258924501	0.628815852343162	0.3206718683661175	0.12779603086900237	0.1360190068864427	1594.2935713266454	43.75818786855151	65.02281370415426	67.95820775811345	85.80334303625276	68.49437330618183	84.20470891871767	28.634444656261287	88.05859193520548	85.01858735679912	60.49916282627354	64.42953104228513	27.45563066198227	64.50492467178913	88.85692318968253	54.4197775522121	43.805051588672654	71.38394484562644	36.7267864758922	72.57722008423517	96.27310609554135	58.63852314846527	70.30793093001705	70.5314242969518	55.17531722702488	33.730542392394874	47.38036908889272	77.08519114347692	104.15905521060043	128.68674591802346	96.54592141632902	85.15011458093447	78.47107155515013	25.762137584230317	44.029863967529266	114.77081818928528	48.40459859686258	102.35622083690103	53.7203573910129	20.280759299146148	43.689980524086764	12.513432787732336	61.34454646415356	65.51583613538378	0.0	0.0	0.0	71.56496234560919	66.40977183835324	0.0	0.0	22.53792563471766	48.283585550277444	64.65081708849	12.959731086918483	0.0	0.0	0.0	72.48185681104883	64.65329119411109	0.0	50.224536769896126	70.3005212620313	1.6052488562521	0.0	9.174961655756963	65.99518184556298	61.469251221382414	69.5869123504389	66.88077114805499	0.0	0.0	0.0	0.0	16.935586450754915	0.0	0.0	0.0	0.0
20000	-2732.762507698176	-221.79270717811394	-2233.696813262126	-277.2729872579357	0.35370560055749983	0.6652438122948918	0.2191046754808339	0.6239026843661466	1.3178935094220547	128.05811146176353	0.0	1.0100776468987476	8.438670738640417	0.08977003151355503	0.2854312867000255	0.024534772022240546	0.0788857971212225	0.0673051566398116	0.04782281040992278	0.02421955497934447	0.10219433790461963	0.11333932048641492	0.017731293570126764	0.05054907822347591	0.02362935812855476	0.0036063193533957465	0.04388158437918909	0.003460257601393572	0.08367495607500508	0.016741967743131303	0.0881409958153819	0.0065366000471670255	0.00040764680894228583	0.0006213068874168574	0.02269786959388169	0.01034009636292244	0.0020509868923714986	0.01586921894114248	0.020869478918669374	0.014204237387071914	0.038860809668243505	0.17849305054823544	0.02168610100729689	0.04373618627888845	0.0003701937527262685	0.027795638336391326	0.03873541733568411	6.425634812761089e-05	0.034958069728438144	0.009846873237721265	0.0013739971202543291	0.007489394218820627	0.023238214504186776	0.027719103264314336	0.010237707006030487	1560.432739372094	45.883913485610705	62.42197975392948	71.5864355410357	88.28371095709196	67.95035457898375	83.84506065077244	29.681689610858964	85.10945624102982	88.87399317311487	60.71940157694539	66.00827681948516	27.75847189488007	64.41149650977896	85.92535403972863	62.51997639013006	47.387909926375364	56.79079274690674	18.274152493714322	79.55303885650807	99.87730856733698	60.05954528482842	68.1120395744561	70.57423745833754	60.96278609021678	27.07456865634183	49.49531945862761	75.05325121324343	95.52105152420678	128.05811146176353	97.79425319172887	74.66016883235463	54.77463711745609	25.951364348146257	39.07737422060201	111.1425440719163	47.732066518536925	97.85047943261553	45.97329624755608	22.653560620956917	41.864532757524984	12.872758273238277	60.21557564814582	65.48435519407765	0.0	0.0	0.0	69.76342611434379	66.32016891383562	0.0	0.0	18.101350076965215	45.357377447491935	63.920289275290806	8.468350704257748	0.0	0.0	0.0	66.66062748765877	57.37942612902456	0.0	48.87144984730809	70.47415708910441	4.239585253684829	0.0	7.996700210284562	66.09564417096206	62.65800594917243	69.99297274491386	66.11542472180489	0.0	0.0	0.0	0.0	12.098511756924665	0.0	0.0	0.0	0.0
40000	-2702.0786385277856	-220.00651233999295	-2219.1457921783854	-262.9263340094071	0.4512180344254192	0.4513681771179626	0.17810679797805642	0.5558057868218094	0.8480622386634871	129.00852506284497	0.0	16.568884129487586	2.602266220969358	0.2195804289676947	0.325427970061565	0.11561184347372315	0.2084414608908367	0.008685959556717941	0.027475751755728636	0.08538974487666838	0.031991258508988665	0.10320468712627719	0.05536078111329003	0.01570917259939097	0.14737291173923564	0.0029077883465835285	0.008090236920082223	0.01726123039800949	0.03822741461192399	0.004921241201686525	0.017079229994022883	0.0058894064898931675	0.001338787837087592	0.003417929064160494	0.02336068598307078	0.09466088389457207	0.03931245376869832	0.014581610561613513	0.00165266141693059	0.05055093288073352	0.014162730074223044	0.14214567675270065	0.027594454758574336	0.021046428119602036	0.00027933340633404697	0.03540653682500272	0.004283274800935732	0.008917944840424113	0.012509430308515184	0.008774237744440886	0.019121849548891828	0.00017799771069639057	0.002699929049557587	0.023746933977762816	0.04147616458558541	1513.7786271812558	45.51675830182721	68.70855968141971	68.7996625718297	86.02496372980598	68.00688929234184	85.0707309109102	27.0354804058506	89.37562434526974	86.61516905098519	61.01994128175384	62.41422075557978	27.70838468587403	64.49810665055142	86.06747137715159	59.250376958020084	46.08574412460204	55.67928004173134	17.676184881005245	73.39479316010471	89.75661119680937	58.49918407939407	68.52717693053155	71.99212159600788	58.50971106800076	27.87079056213705	47.80465378281263	77.4493016278051	100.21278879364593	129.00852506284497	99.91964753110064	74.00796977975634	52.57177055323291	30.06530835049828	33.04384412560347	96.72649883784847	47.725243741663284	97.86028740498273	46.39598095076028	26.36540336725449	41.49682824704993	8.970944210675261	60.87673199727842	66.11210278598007	0.0	0.0	0.0	67.84714964509057	67.58959271775618	0.0	0.0	22.221871243929932	48.01140748977214	65.8352304441717	9.056685537796326	0.0	0.0	0.0	72.42232675541375	63.202973610728286	0.0	46.51323874885628	66.83382089205712	8.744857690663787	0.0	13.113439561909024	65.29529667833026	65.42997000380493	68.38239460159564	68.22681526562143	0.0	0.0	0.0	0.0	3.298856239567427	0.0	0.0	0.0	0.0
60000	-2697.8984355919224	-220.41091433319045	-2220.237393273878	-257.2501279848543	0.3825995758736228	0.5618292188706584	0.2045602302889229	0.6368300714185023	1.210878939755379	127.74305263043888	0.0	17.971298518414528	0.9691313363054486	0.09736946159465058	0.5834718025211278	0.00870036259504581	0.1700056986236399	0.043521246095924594	0.027707397086451584	0.06444261593882752	0.11314929879194198	0.05896889610750251	0.15543381944707363	0.021522139585697785	0.026485256047921225	0.005419932984424959	0.009172137576668382	0.11234921468256666	0.001003025975268504	0.02549373417744102	0.01610096192522643	0.013917137836991653	0.00853104976400278	0.01511823687926065	0.10171527133974911	0.25519960616717785	0.014834375480218508	0.020352705416359383	0.03175613098146768	0.01123094315243441	0.008130740796341648	0.27424289326966184	0.0410359242490149	0.0062173876752616855	0.004717218966458744	0.02276625960448856	0.014194866624502872	0.012924799531553267	0.013371443284909454	0.007467176291917237	0.04003149677391716	0.0075109464247435885	0.027411353785500817	0.026380707002729147	0.041356082764896794	1548.1130604174327	49.71742010135621	60.87079251348566	66.38514680893893	87.21129330602136	67.75010332417486	83.31104755243366	34.23693517139955	85.53349849679277	85.61778327552035	62.148234998851066	65.33479252344696	31.047802707902527	65.59075060274874	85.07324538367683	55.026582220114705	56.65660324960722	55.68332615236879	19.703083750586988	72.5172250044682	85.10636802005767	59.96898176466565	69.45716941686389	72.94331893814017	55.892563237703975	34.871705451224265	57.608070229669394	75.31184251388899	96.32031222669532	127.74305263043888	95.09151937261437	73.07962012030018	56.21978638012595	33.77940500562896	33.05225586650135	96.02906605555333	55.53399823586032	97.17387150133978	50.71444489338038	31.06011254379042	40.54459700722977	7.710948006578663	61.28046857570198	66.12866902024727	0.0	0.0	0.0	71.54630546044005	67.0789046199061	0.0	0.0	22.595908909553167	38.883596381096254	65.74337613582604	1.8814658979524979	0.0	0.0	0.0	72.33630007659723	65.35689342034769	0.0	49.99851880615799	69.7864165811552	12.2200188686101	0.0	13.006434755637489	66.70062693266419	65.49090825639057	68.6444773620181	67.7471152631704	0.0	0.0	0.0	0.0	3.578120793625172	0.0	0.0	0.0	0.0
80000	-2701.0517949129294	-219.80508413666058	-2226.7284978298217	-254.51821294644697	0.3563813727522782	0.3673679360139712	0.20220507620451353	0.5434893654374373	1.2269789221913132	128.20280707362494	0.0	4.5242699774981565	1.906431327649483	0.003295781266057767	0.555826845265232	0.06357816013127435	0.1763148391999903	0.04782707331050366	0.003199781367215731	0.032766786895849886	0.09470029371653871	0.10461415990739713	0.15888263735252628	0.0070056755378046605	0.0028513499728426467	0.022536164736298308	0.000551972956458543	0.03546962998208731	0.013947335906123024	0.004669339304136828	0.004903182586609343	0.005460534098171621	0.0014235470330182696	0.0011572100104921715	0.00243045073549454	0.06538602967238864	0.059660047119424575	0.08516275756316555	0.030757299032587452	0.010578684968387247	0.046606885084004734	0.19631348202733853	0.03951629564872416	0.004998546065062637	0.002086396854342557	0.013003462846473603	0.012827197523144743	0.02144068393695762	0.025366944744185067	0.0004575489625807492	0.0076760929947790775	0.009049407891961842	0.035905865706062585	0.009451683431584004	0.10664834257844565	1569.7380527195685	44.995355913954334	58.5355853739649	66.13881757760865	86.78512412706345	68.46584175432433	85.69518133868664	31.998406236866863	89.1515296413177	86.36866638597954	61.52469118576492	64.38017513389099	31.143473381064798	65.51820511037027	88.47366356900805	56.6967936597111	58.53330045553667	55.762650283185316	18.91318688908534	74.13090681805592	87.61003837001712	58.808753277922946	68.8633938918658	70.87918828697363	59.390250243703285	34.31799098274202	57.044934045693665	75.0192433571196	97.37816724253328	128.20280707362494	95.57518736593248	74.78728525967244	59.37688664993019	34.40610227684887	31.95816713878326	96.54627881276632	56.08953884982953	97.5874182358924	65.8596234448994	28.70191685092183	41.78982509180836	4.0786911454496595	61.56206549777734	65.99108677344623	0.0	0.0	0.0	71.2762972351159	66.91743699085123	0.0	0.0	22.458830812479977	48.05139457387122	65.95820853306282	4.728756055292972	0.0	0.0	0.0	71.82706864829544	65.40606727009454	0.0	42.33417584177948	70.42238040921727	11.797125830964648	0.0	13.199881545057748	65.1916553645406	69.60396858827866	69.73835551957434	66.67556484192559	0.0	0.0	0.0	0.0	2.86783720466018	0.0	0.0	0.0	0.0
100000	-2722.82598894472	-219.20673891811654	-2229.292808552676	-274.3264414739274	0.3856836587971009	0.4859065849833603	0.16623049781803556	0.6454840163615672	1.2797787233554854	128.28224727989723	0.0	9.521605864504116	19.203900627977916	0.1597806319682313	0.16981067324292487	0.11618139585902154	0.23816177563480478	0.024015430430590682	0.01408112714376194	0.008867260888157993	0.06076393618592217	0.0644111955792763	0.04154993528546742	0.1253547325880096	0.02859318341391287	0.01766815654784327	0.011073686439335316	0.0584269752383434	0.07217580619771867	0.039301815987847676	0.015789953017567068	0.00019808262976065156	0.012269659200096702	0.005244608284236584	0.02234321977148909	0.13548764356428922	0.014459759206698737	0.016568022447173456	0.022141175234882644	0.004752892580359302	0.012626190667154251	0.05725887821199796	0.04691647771103618	0.003046451694845152	0.010215269600820842	0.01828773732910887	0.01673901705939741	0.001606272434751441	0.0369850091110537	0.01785521836006786	0.01674130334575076	0.0030667861096352537	0.021177933345873284	0.02392357384632095	0.01728040532255745	1536.0098406769491	47.1280159551972	49.808356009294016	67.7152921328969	85.29657414897589	67.84998440584286	83.5311518756002	27.219546846344212	86.92886698495444	85.08770876751184	60.539574511687036	63.99198722130209	28.652471076243508	64.552241495865	86.77042939202506	50.54757708719857	49.88524500082078	54.73855542288791	17.48322422173862	74.78203391463849	87.11135798730871	59.914677440736995	69.2917541216399	70.67119684291833	59.10044349308485	25.1332988115572	53.321032672108785	76.21886027362424	95.64770473575298	128.28224727989723	91.10456844952344	77.60370617665794	52.0898783105195	26.499956438319803	32.29618236674334	97.10295695382815	57.19425739900904	100.45137246261443	64.00697029089255	25.40169345970903	41.69793529451668	2.1961815290170374	61.02321588499369	66.17436742047502	0.0	0.0	0.0	66.62685605760777	67.3932583912937	0.0	0.0	22.152439823133918	49.09392923862191	64.54523473030257	4.8737075441186795	0.0	0.0	0.0	69.86145649055184	52.19871813398324	0.0	41.949125088676595	62.68898787872299	11.32382523867657	0.0	11.801101009735778	66.30488777794339	65.28895049715864	68.13499736940449	64.4293496963071	0.0	0.0	0.0	0.0	5.184586665280364	0.0	0.0	0.0	0.0
120000	-2695.1298658876217	-220.30544495804114	-2216.072527188233	-258.75189374134743	0.3886470540876797	0.5431773891462897	0.20421743367290474	0.5136831636473037	1.3506592139348408	128.81962105953727	0.0	18.814643236431102	11.925581843363908	0.019796408490380692	0.8061648960171964	0.06433360776907623	0.21726778678524633	0.03887425878337405	0.04496049537457922	0.06991883701304118	0.05383288050566451	0.09732083593202787	0.022271594720687328	0.03910990885340235	0.1269434686517215	0.009789036654651835	0.010946712261994116	0.07342523293405256	0.038997593001381364	0.02664363000176294	0.02544745837221936	0.012054482832778306	0.009457656259356765	0.008219561513303688	0.012893392950485385	0.06356582573638378	0.02261790210872444	0.01800831734506935	0.04603313065801708	0.01679742343854732	0.04681174331516157	0.15071975627056616	0.045663288792647666	0.007243498089048474	0.04006504281973455	0.04039794478767364	0.01218673985665015	0.00577612522608086	0.011366598610533395	0.004376599657645652	0.002756534191954058	0.001690128847866894	0.03880719604540931	0.018089975587017658	0.01115900852056902	1471.9225822329483	46.554219311065374	47.432897998796534	66.53391253247725	85.50524921756453	67.99306367040532	85.08835046969988	28.97852269311238	85.31258592054752	85.28066096715882	60.08629244079052	64.78599181337772	31.60274836256342	71.19131691689022	89.28069519475162	46.99660009287702	45.223358398650326	45.850680733446595	22.997572316608004	72.85964430571835	86.53172166784643	58.62704094433836	69.42541434290571	75.27372076499712	60.00070362168872	23.952294821906563	49.01368566615182	75.88800547981121	95.62791224383888	128.81962105953727	91.68178084815041	74.01468460613266	51.92286912146726	29.52272878694403	33.01669607635838	95.25170264226739	47.10930776811578	97.88256868866026	66.86281338076328	28.834781784715133	41.50954394440683	2.6207686214726107	61.44629964890688	65.83113235540522	0.0	0.0	0.0	70.08519904751356	65.89910210929042	0.0	0.0	20.72507929311439	48.617149113401	65.85416294808977	14.033657720748485	0.0	0.0	0.0	68.70648545235858	65.04732591197714	0.0	51.08851115443353	68.33335077395489	11.613710884161659	0.0	9.210870845813107	66.04086972860519	70.57729859588497	69.7248351821727	67.97008088658069	0.0	0.0	0.0	0.0	11.956401221858199	0.0	0.0	0.0	0.0
140000	-2702.8363550326912	-219.18674313839605	-2218.1145976277758	-265.5350142665193	0.24141068878551344	0.35102921912721885	0.15862004834124174	0.49967254230280495	0.7610719262505465	128.08918809261664	0.0	18.58711003647186	8.760959941292404	0.13776587245860575	0.3954476442885472	0.05992143375810556	0.1467446444419912	0.20486532595436016	0.12290583642215397	0.011615724361727243	0.08599365068882102	0.11599202147630905	0.058559478292477686	0.08971350169233569	0.004062108821229247	0.023771397435335698	0.02933087353669118	0.02645079962579341	0.04509365656068434	0.013135998580010607	0.0012517346006558066	0.00769553431653488	0.004770377422398185	0.003844540341624886	0.0005526345224414549	0.13716884396376827	0.011367377233645752	0.02822790037417355	0.017614506685414286	0.027296661779242583	0.0031113289035978246	0.19559086894685293	0.04115036828620816	0.07584995061209741	0.012259318912853175	0.03339416815720292	0.02276521722523787	5.292707483420633e-05	0.009492240127184021	0.007915234263538856	0.0012242547165592199	0.0022290064070967586	0.034138565151928715	0.06810620029808467	0.04013346449653313	1517.8497745567927	44.72169015059064	57.8517661579356	66.19723137969247	86.20162514157678	67.80089918641168	84.72337150591294	31.009499795039368	95.49159965535756	86.02133727168224	60.734572923565224	62.8540250435879	29.620949867125084	65.92687530922147	83.63933277039106	51.51820882956849	50.630400267625376	51.54402383251689	20.25607765119315	76.23319445247067	83.41605386363582	58.633936766243984	68.0271533439581	75.63864060162877	67.07787568614685	26.986699684841064	50.51137270900105	75.16453873359313	96.17131037977104	128.08918809261664	95.71758867435229	76.24176867293649	58.09990037644578	29.624736915334353	32.592011257047744	97.16440363370678	54.430060403661166	97.84890563973639	62.36336848876081	28.08509696910344	41.77545031624696	9.854159971379596	58.36093020988223	65.01771912518271	0.0	0.0	0.0	69.6552859590601	67.47107329788791	0.0	0.0	22.44647463950604	46.04351775146394	64.52786069529617	14.75207003720336	0.0	0.0	0.0	69.42394938920935	65.16087448158179	0.0	51.382872643935755	67.45869544542384	11.57479715891367	0.0	12.986311225422908	66.66358303364414	69.91066518927319	69.65356881767894	63.20284499475696	0.0	0.0	0.0	0.0	9.688813144244074	0.0	0.0	0.0	0.0
160000	-2714.785587756516	-219.9790909808857	-2228.9848589978137	-265.8216377778167	0.25261220163008263	0.39137879118007624	0.12730876903621477	0.46627016317804815	0.45006174931682114	127.91695702172403	0.0	15.191576828256187	5.989199491538345	0.019899367504251024	0.5001957948149305	0.024920375773124753	0.20438689408139776	0.025803212659519674	0.07340967973889582	0.014877210198973012	0.1309487401706471	0.09346387258716188	0.05224946890078606	0.06862629774417592	0.12545018127525656	0.004553049769281345	0.045862135033638764	0.07841796781274804	0.0294082775818117	0.003425030928139693	0.012573748897962967	0.003934360440378107	0.011253373902728693	0.009260783806545077	0.09737970861932914	0.02202993176890739	0.14182930559751986	0.007031984124060215	0.03915274342303959	0.007944811705453423	0.013498825412094483	0.1564688274825147	0.11610175685945634	0.06561374678689814	0.002424721671726198	0.034124927931237586	0.012194239006487105	0.00010061868512348052	0.00221153924917069	0.0008770048903704216	0.007166437376247236	0.007843576797016838	0.031465201116782526	0.005051688753326707	0.02147127755988489	1529.5596045446223	45.015310865177	52.677142587404816	66.42930439910344	85.47614856979847	70.39990502970606	88.03187110017777	33.80486733754666	95.27279188032767	85.893838794066	61.292530241429176	67.82553169913824	32.197026923840156	78.87574616476931	85.07238699311179	47.50705061917447	48.16151681797387	47.87972273776232	20.696749218159816	75.70398308638131	89.2021015604223	63.52968789821859	68.36589961939667	72.48453626223488	63.17163893925957	27.84523304084487	51.648332306061064	78.50843403348402	95.7810584398226	127.91695702172403	96.36881724512011	75.51515321572067	55.50673591360683	29.560248749252	33.20458194974832	95.20143077729757	50.22324249355871	97.48960767278992	48.10006275767493	33.20103808189417	43.217796908924555	11.585154647451981	60.52241184465742	66.19339058148884	0.0	0.0	0.0	69.33600230474133	66.8710975049994	0.0	0.0	22.394133822809405	42.97208903635908	65.8606224976192	11.005820125900659	0.0	0.0	0.0	69.9675400004136	64.65941327018399	0.0	45.12199105583608	69.9937850417987	11.451032190024536	0.0	12.553271274977636	65.5591122738389	65.70675363912432	69.83004936860245	64.82618528754247	0.0	0.0	0.0	0.0	11.850965821263525	0.0	0.0	0.0	0.0
180000	-2694.7489463029324	-220.04327948723363	-2218.4781799313027	-256.22748688439606	0.2443115305398086	0.4501430245001533	0.1567113038219555	0.454150916626007	0.49876673129882215	128.36508158303405	0.0	17.328100536270274	4.611382483211054	0.1524863002234867	0.4693624906988202	0.009451401789844271	0.17022984730915489	0.03604727646063305	0.0338462982419403	0.051901927363364776	0.03706991125655866	0.027553954770140478	0.026865691816606842	0.16630476119387644	0.03925433865306541	0.034085480434475984	0.006234493476674001	0.033658663501260504	0.014486720042214627	0.0010411961616187467	0.03163846343781326	0.03346219901428338	0.010484877292433997	0.0005903407487771752	0.06070442504880855	0.11966305857048394	0.0036801589596462347	0.002569973572481073	0.028283075295884762	0.0033765180868980203	0.004810428280625048	0.11969764224215504	0.04493156419237524	0.0654511968928467	0.004615936686770006	0.0028949497746387286	0.013708293817380906	0.022691475983186216	0.002020251684577955	0.00490067832645187	0.005808492586121289	0.005062167758489957	0.10797956027077706	0.015474237772885807	0.015627871320616125	1527.1026051768997	52.17450312840627	50.18236876554563	67.26589182523418	86.15657611396023	68.38510473370535	84.0703652057152	30.412795292946928	99.00623328591986	86.1827689475275	60.012006808334	68.25659487488386	30.818620961942614	68.57067620759156	85.85773179756842	50.68113649858996	50.61894356724095	54.79099016239583	18.18613075297206	77.46997196844448	96.97418574307972	58.5568955167128	68.16349715670863	70.52685169032377	54.932008770170604	26.23179479531533	52.120026485452634	76.1763357322251	95.57470676783002	128.36508158303405	95.49083785762457	77.16406900981883	50.359004174879615	33.631159864451334	32.97393209829927	97.67175304045766	50.799707451996234	98.25870650183442	54.77223386037962	27.831527014459237	42.543818936649735	12.101948374288913	55.54224017290257	65.67891246139467	0.0	0.0	0.0	66.98094674557089	66.69105077367938	0.0	0.0	11.472610922850949	41.379586142494105	66.0227191958806	13.157343338977512	0.0	0.0	0.0	69.05562389611893	63.542415380139374	0.0	51.93393627850766	70.37333940893963	13.27815275591611	0.0	10.856281746251744	66.38425301083844	69.1123173069567	69.44617763396849	68.20258156606354	0.0	0.0	0.0	0.0	14.8148647886888	0.0	0.0	0.0	0.0
