Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
2	-2699.737	-2720.442	-2679.183	471.47	-223.297	-224.912	-222.02	791.93	-2214.627	-2228.576	-2200.617	282.71	-261.813	-276.963	-246.23	577.07	129.319	128.522	130.796	942.8	0	0	0	NA	0.74	0.97	0.01
20	-2706.355	-2727.521	-2689.194	591.72	-224.104	-225.656	-222.727	932.68	-2219.471	-2231.66	-2207.298	449.52	-262.781	-278.537	-250.283	741.59	131.56	130.614	133.324	1095.82	0	0	0	NA	0.74	0.95	0.01
16	-2696.769	-2715.978	-2676.253	581.45	-223.868	-225.671	-222.516	927.69	-2211.686	-2223.921	-2199.108	455.48	-261.215	-274.833	-246.187	524.41	131.005	130.088	132.732	959.33	0	0	0	NA	0.82	0.92	0.01
13	-2702.991	-2723.796	-2683.786	538.19	-224.17	-225.707	-222.839	1094.26	-2215.928	-2229.778	-2202.336	269.03	-262.894	-278.84	-248.255	540.56	131.58	130.643	133.241	989.78	0	0	0	NA	0.79	0.97	0.01
10	-2693.405	-2714.623	-2674.353	414.89	-222.939	-224.419	-221.685	1009.16	-2210.843	-2224.334	-2198.456	338.97	-259.623	-274.905	-244.96	312.53	128.502	127.692	129.934	950.33	0	0	0	NA	0.79	0.95	0.01
8	-2703.056	-2721.686	-2681.276	687.83	-224.015	-225.789	-222.599	915.51	-2218.555	-2229.795	-2206.546	410.96	-260.487	-276.345	-245.909	550.38	131.316	130.44	132.896	925.13	0	0	0	NA	0.72	0.92	0.01
9	-2692.553	-2715.037	-2673.748	505.79	-224.037	-225.483	-222.692	863.72	-2207.652	-2219.943	-2193.753	518.59	-260.863	-276.641	-245.016	467.44	131.293	130.412	132.883	1048.64	0	0	0	NA	0.77	0.95	0.01
18	-2704.081	-2723.681	-2681.281	613.98	-224.19	-226.064	-222.872	933.76	-2219.621	-2232.054	-2206.25	586.25	-260.27	-274.572	-242.997	567.78	131.528	130.662	133.135	862.6	0	0	0	NA	0.77	0.92	0.01
1	-2707.351	-2725.758	-2686.258	398.94	-223.518	-225.47	-222.291	964.0	-2219.026	-2231.0	-2206.694	315.11	-264.806	-279.281	-250.703	537.72	130.341	129.426	132.053	978.16	0	0	0	NA	0.82	0.97	0.01
15	-2705.635	-2727.884	-2689.053	596.12	-224.044	-225.747	-222.659	950.85	-2218.502	-2232.152	-2206.315	517.43	-263.09	-277.599	-249.046	555.83	131.509	130.577	133.146	926.94	0	0	0	NA	0.69	0.92	0.01
12	-2696.008	-2715.147	-2676.35	661.28	-223.382	-225.191	-221.93	992.07	-2211.975	-2223.899	-2200.142	320.79	-260.651	-275.908	-246.056	759.3	129.549	128.642	131.304	944.48	0	0	0	NA	0.82	0.95	0.01
14	-2698.462	-2718.055	-2678.626	547.22	-224.005	-225.88	-222.775	968.98	-2211.76	-2224.435	-2199.344	455.99	-262.697	-277.726	-249.434	586.15	131.622	130.695	133.52	881.36	0	0	0	NA	0.72	0.95	0.05
7	-2683.568	-2703.196	-2663.962	749.59	-222.625	-224.409	-221.487	814.82	-2202.634	-2213.385	-2188.953	394.5	-258.31	-274.897	-243.725	701.56	128.201	127.35	129.752	876.13	0	0	0	NA	0.82	0.95	0.01
6	-2696.994	-2719.709	-2676.871	400.3	-223.574	-225.374	-222.261	956.09	-2214.024	-2227.729	-2202.457	283.57	-259.396	-276.918	-245.29	385.77	130.158	129.302	131.491	997.08	0	0	0	NA	0.82	0.92	0.01
4	-2700.335	-2722.395	-2681.031	463.18	-224.231	-225.848	-222.899	833.13	-2214.996	-2228.728	-2202.391	235.3	-261.107	-276.6	-245.821	453.97	131.629	130.735	133.348	851.63	0	0	0	NA	0.74	0.95	0.01
19	-2708.167	-2727.227	-2686.939	532.18	-224.078	-225.691	-222.747	1019.24	-2221.443	-2234.291	-2209.611	388.3	-262.647	-279.007	-248.165	539.25	131.424	130.517	133.069	1040.87	0	0	0	NA	0.74	0.95	0.01
17	-2702.48	-2722.17	-2681.638	588.2	-222.67	-224.402	-221.558	955.55	-2215.995	-2228.339	-2202.907	436.13	-263.816	-278.942	-249.729	688.18	128.163	127.335	129.723	887.23	0	0	0	NA	0.77	0.97	0.01
5	-2697.418	-2716.411	-2677.397	504.93	-223.816	-225.628	-222.483	1041.3	-2213.485	-2226.37	-2200.164	348.39	-260.117	-274.356	-243.734	683.04	130.51	129.652	132.188	934.25	0	0	0	NA	0.79	0.92	0.01
3	-2695.829	-2717.778	-2678.686	507.35	-223.133	-224.757	-221.802	888.57	-2212.386	-2224.463	-2199.241	254.42	-260.309	-274.251	-246.888	705.72	128.84	128.009	130.43	951.44	0	0	0	NA	0.79	0.95	0.01
11	-2702.077	-2723.584	-2684.018	483.38	-223.815	-225.377	-222.408	946.46	-2216.599	-2230.673	-2205.293	400.17	-261.663	-276.052	-246.134	449.22	130.773	129.876	132.487	932.97	0	0	0	NA	0.72	0.92	0.05
