Order	Family	Genus
Squaliformes	Dalatiidae	Acrosqualiolus
Squaliformes	Dalatiidae	Angoumeius
Squaliformes	Centrophoridae	Centrodeania
Squaliformes	Squalidae	Centrophoroides
Squaliformes	Centrophoridae	Centrophorus
Squaliformes	Somniosidae	Centroscymnus
Squaliformes	Somniosidae	Centroselachus
Squaliformes	Squalidae	Centrosqualus
Squaliformes	Somniosidae	Cretascymnus
Squaliformes	Dalatiidae	Dalatias
Squaliformes	Centrophoridae	Deania
Squaliformes	Dalatiidae	Dracipinna
Squaliformes	Dalatiidae	Eodalatias
Squaliformes	Etmopteridae	Eoetmopterus
Squaliformes	Dalatiidae	Eosqualiolus
Squaliformes	Etmopteridae	Etmopterus
Squaliformes	Dalatiidae	Euprotomicroides
Squaliformes	Dalatiidae	Euprotomicrus
Squaliformes	Dalatiidae	Hessinodon
Squaliformes	Etmopteridae	Incognitorapax
Squaliformes	Dalatiidae	Isistius
Squaliformes	Squalidae	Megasqualus
Squaliformes	Etmopteridae	Microetmopterus
Squaliformes	Dalatiidae	Oligodalatias
Squaliformes	Somniosidae	Oxynotus
Squaliformes	Etmopteridae	Paraetmopterus
Squaliformes	Etmopteridae	Proetmopterus
Squaliformes	Centrophoridae	Protocentrophorus
Squaliformes	Squalidae	Protosqualus
Squaliformes	Somniosidae	Protoxynotus
Squaliformes	Somniosidae	Rhinoscymnus
Squaliformes	Somniosidae	Scymnodalatias
Squaliformes	Somniosidae	Scymnodon
Squaliformes	Somniosidae	Somniosus
Squaliformes	Dalatiidae	Squaliodalatias
Squaliformes	Dalatiidae	Squaliolus
Squaliformes	Squalidae	Squalus
Squaliformes	Etmopteridae	Trigonognathus
Squaliformes	Somniosidae	Zameus

