Order	Family	Genus	Species
Squaliformes	Dalatiidae	Acrosqualiolus	Acrosqualiolus_mirus
Squaliformes	Dalatiidae	Angoumeius	Angoumeius_paradoxus
Squaliformes	Dalatiidae	Angoumeius	Angoumeius_sanadaensis
Squaliformes	Centrophoridae	Centrodeania	Centrodeania_annae
Squaliformes	Centrophoridae	Centrodeania	Centrodeania_rugosa
Squaliformes	Squalidae	Centrophoroides	Centrophoroides_appendiculatus
Squaliformes	Squalidae	Centrophoroides	Centrophoroides_latidens
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_granulosus
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_serratus
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_sp.-nov.
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_squamosus
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_stehlini
Squaliformes	Somniosidae	Centroscymnus	Centroscymnus_praecursor
Squaliformes	Somniosidae	Centroscymnus	Centroscymnus_schmidi
Squaliformes	Somniosidae	Centroscymnus	Centroscymnus_sp.-nov.
Squaliformes	Somniosidae	Centroselachus	Centroselachus_crepidater
Squaliformes	Squalidae	Centrosqualus	Centrosqualus_mustardi
Squaliformes	Squalidae	Centrosqualus	Centrosqualus_primaevus
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus_adonis
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus_beauryi
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus_quimbalaensis
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus_westfalicus
Squaliformes	Dalatiidae	Dalatias	Dalatias_bassanii
Squaliformes	Dalatiidae	Dalatias	Dalatias_licha
Squaliformes	Dalatiidae	Dalatias	Dalatias_orientalis
Squaliformes	Dalatiidae	Dalatias	Dalatias_turkmenicus
Squaliformes	Centrophoridae	Deania	Deania_angoumeensis
Squaliformes	Centrophoridae	Deania	Deania_calcea
Squaliformes	Centrophoridae	Deania	Deania_radicans
Squaliformes	Dalatiidae	Dracipinna	Dracipinna_bracheri
Squaliformes	Dalatiidae	Eodalatias	Eodalatias_austrinalis
Squaliformes	Dalatiidae	Eodalatias	Eodalatias_crenulatus
Squaliformes	Etmopteridae	Eoetmopterus	Eoetmopterus_davidi
Squaliformes	Etmopteridae	Eoetmopterus	Eoetmopterus_supracretaceus
Squaliformes	Dalatiidae	Eosqualiolus	Eosqualiolus_aturensis
