Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Dalatiidae	Acrosqualiolus	Acrosqualiolus mirus	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Aculeola	Aculeola nigra	Extant	67	Yes	Photophore	D	Ebert (2016) & Ebert et al. (2021a)	Acuña & Villarroel (2010)	Ebert (2016)
Squaliformes	Dalatiidae	Angoumeius	Angoumeius paradoxus	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Angoumeius	Angoumeius sanadaensis	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Centrodeania	Centrodeania annae	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Centrodeania	Centrodeania rugosa	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Centrophoroides	Centrophoroides appendiculatus	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Centrophoroides	Centrophoroides latidens	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus atromarginatus	Extant	99	No	NA	D	White & Dharmadi (2010)	Ebert et al. (2021a)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus granulosus	Extant	176	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus harrissoni	Extant	114	No	NA	D	White et al. (2008)	White et al. (2008)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus isodon	Extant	108	No	NA	D	White & Dharmadi (2010)	Ebert et al. (2021a)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus lesliei	Extant	99	No	NA	D	Ebert et al. (2021a)	White et al. (2017b)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus longipinnis	Extant	91	No	NA	D	White et al. (2017b)	White et al. (2017b)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus lusitanicus	Extant	160	No	NA	D	Compango et al. (1989)	Compango et al. (1989)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus moluccensis	Extant	98	No	NA	D	Graham & Daley (2011)	Ebert et al. (2021a)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus serratus	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus seychellorum	Extant	80	No	NA	D	Baranes (2003)	Baranes (2003)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus sp.-nov.	Extinct	NA	NA	NA	NA	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus squamosus	Extant	166	No	NA	D	Moura et al. (2014)	Rodríguez-Cabello et al. (2016); Ebert et al. (2021a)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus stehlini	Extinct	NA	NA	NA	NA	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus tessellatus	Extant	90	No	NA	D	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus uyato	Extant	128	No	NA	D	Ebert et al. (2021a)	Lteif et al. (2017)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus westraliensis	Extant	91	No	NA	D	White et al. (2008)	White et al. (2008)	NA
Squaliformes	Centrophoridae	Centrophorus	Centrophorus zeehaani	Extant	110	No	NA	D	Graham & Daley (2011)	White et al. (2008) & Graham & Daley (2011)	NA
Squaliformes	Etmopteridae	Centroscyllium	Centroscyllium excelsum	Extant	64	Yes	Photophore	D	Shirai & Nakaya (1990)	Shirai & Nakaya (1990)	Shirai & Nakaya (1990)
Squaliformes	Etmopteridae	Centroscyllium	Centroscyllium fabricii	Extant	120	Yes	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Claes et al. (2014)
Squaliformes	Etmopteridae	Centroscyllium	Centroscyllium granulatum	Extant	62	Yes	Photophore	D	Ebert et al. (2021a)	Bustamante et al. (2014)	Burckhardt (1900)
Squaliformes	Etmopteridae	Centroscyllium	Centroscyllium kamoharai	Extant	63	Yes	Photophore	D	Daley et al. (2002)	Daley et al. (2002)	Abe (1966)
Squaliformes	Etmopteridae	Centroscyllium	Centroscyllium nigrum	Extant	52	Yes	Photophore	D	Ebert et al. (2021a)	Mundy (2005)	Lourtie et al. (2022)
